Index       TIME              VM(1)      
11       2.04700000e-07    5.05392949e-01
12       4.09500000e-07    5.25288547e-01
13       8.19100000e-07    5.64499956e-01
14       1.22870000e-06    6.03418562e-01
15       2.04790000e-06    6.80899909e-01
16       3.68630000e-06    8.36434410e-01
17       5.32470000e-06    9.93202535e-01
18       6.96310000e-06    1.15099701e+00
19       8.60150000e-06    1.30957837e+00
20       1.00000000e-05    1.44543048e+00
21       1.03276800e-05    1.44480689e+00
22       1.09830400e-05    1.44414161e+00
23       1.22937600e-05    1.44364741e+00
24       1.36044800e-05    1.44347161e+00
25       1.62259200e-05    1.44339148e+00
26       2.14688000e-05    1.44337144e+00
27       3.14688000e-05    1.44336891e+00
28       4.14688000e-05    1.44336875e+00
29       5.00000000e-05    1.44336873e+00
30       5.00625000e-05    1.43713135e+00
31       5.01250000e-05    1.43090497e+00
32       5.02500000e-05    1.41849029e+00
33       5.05000000e-05    1.39377755e+00
34       5.10000000e-05    1.34464750e+00
35       5.20000000e-05    1.24698512e+00
36       5.40000000e-05    1.05282137e+00
37       5.60000000e-05    8.59919804e-01
38       5.80000000e-05    6.68642510e-01
39       6.00000000e-05    4.79884713e-01
40       6.02000000e-05    4.80913952e-01
41       6.04000000e-05    4.81762272e-01
42       6.08000000e-05    4.82899144e-01
43       6.12000000e-05    4.83664143e-01
44       6.20000000e-05    4.84418270e-01
45       6.28000000e-05    4.84795999e-01
46       6.44000000e-05    4.85039637e-01
47       6.60000000e-05    4.85121064e-01
48       6.92000000e-05    4.85152420e-01
49       7.56000000e-05    4.85159248e-01
50       8.56000000e-05    4.85160037e-01
51       9.56000000e-05    4.85160093e-01
52       1.00000000e-04    4.85160097e-01


0        0.00000000e+00    4.94088134e-01
1        1.00000000e-10    4.94098121e-01
2        3.00000000e-10    4.94118115e-01
3        7.00000000e-10    4.94158102e-01
4        1.50000000e-09    4.94238070e-01
5        3.10000000e-09    4.94397982e-01
6        6.30000000e-09    4.94717711e-01
7        1.27000000e-08    4.95356788e-01
8        2.55000000e-08    4.96633448e-01
9        5.11000000e-08    4.99180994e-01
10       1.02300000e-07    5.04254462e-01
11       2.04700000e-07    5.14325523e-01
12       4.09500000e-07    5.34232743e-01
13       8.19100000e-07    5.73476896e-01
14       1.22870000e-06    6.12430717e-01
15       2.04790000e-06    6.89979685e-01
16       2.86710000e-06    7.67683306e-01
17       4.50550000e-06    9.23915492e-01
18       6.14390000e-06    1.08127945e+00
19       7.78230000e-06    1.23953644e+00
20       9.42070000e-06    1.39847731e+00
21       1.00000000e-05    1.45481362e+00
22       1.03276800e-05    1.45419328e+00
23       1.09830400e-05    1.45353076e+00
24       1.22937600e-05    1.45303795e+00
25       1.36044800e-05    1.45286235e+00
26       1.62259200e-05    1.45278217e+00
27       2.14688000e-05    1.45276208e+00
28       3.14688000e-05    1.45275954e+00
29       4.14688000e-05    1.45275937e+00
30       5.00000000e-05    1.45275936e+00
31       5.00625000e-05    1.44652189e+00
32       5.01250000e-05    1.44029533e+00
33       5.02500000e-05    1.42787997e+00
34       5.05000000e-05    1.40316493e+00
35       5.10000000e-05    1.35402810e+00
36       5.20000000e-05    1.25634774e+00
37       5.40000000e-05    1.06213682e+00
38       5.60000000e-05    8.69169585e-01
39       5.80000000e-05    6.77796021e-01
40       6.00000000e-05    4.88880360e-01
41       6.02000000e-05    4.89893187e-01
42       6.04000000e-05    4.90728230e-01
43       6.08000000e-05    4.91848899e-01
44       6.12000000e-05    4.92604019e-01
45       6.20000000e-05    4.93350381e-01
46       6.28000000e-05    4.93725074e-01
47       6.44000000e-05    4.93967657e-01
48       6.60000000e-05    4.94048981e-01
49       6.92000000e-05    4.94080437e-01
50       7.56000000e-05    4.94087318e-01
51       8.56000000e-05    4.94088117e-01
52       9.56000000e-05    4.94088175e-01
53       1.00000000e-04    4.94088178e-01


0        0.00000000e+00    5.01224361e-01
1        1.00000000e-10    5.01234348e-01
2        3.00000000e-10    5.01254342e-01
3        7.00000000e-10    5.01294327e-01
4        1.50000000e-09    5.01374293e-01
5        3.10000000e-09    5.01534201e-01
6        6.30000000e-09    5.01853923e-01
7        1.27000000e-08    5.02492994e-01
8        2.55000000e-08    5.03769671e-01
9        5.11000000e-08    5.06317356e-01
10       1.02300000e-07    5.11391497e-01
11       2.04700000e-07    5.21465231e-01
12       4.09500000e-07    5.41381587e-01
13       8.19100000e-07    5.80651507e-01
14       1.22870000e-06    6.19632994e-01
15       2.04790000e-06    6.97234880e-01
16       3.68630000e-06    8.52956199e-01
17       5.32470000e-06    1.00985517e+00
18       6.96310000e-06    1.16774458e+00
19       8.60150000e-06    1.32639881e+00
20       1.00000000e-05    1.46230118e+00
21       1.03276800e-05    1.46168448e+00
22       1.09830400e-05    1.46102517e+00
23       1.22937600e-05    1.46053412e+00
24       1.36044800e-05    1.46035886e+00
25       1.62259200e-05    1.46027871e+00
26       2.14688000e-05    1.46025858e+00
27       3.14688000e-05    1.46025603e+00
28       4.14688000e-05    1.46025586e+00
29       5.00000000e-05    1.46025585e+00
30       5.00625000e-05    1.45401834e+00
31       5.01250000e-05    1.44779166e+00
32       5.02500000e-05    1.43537579e+00
33       5.05000000e-05    1.41065899e+00
34       5.10000000e-05    1.36151684e+00
35       5.20000000e-05    1.26382234e+00
36       5.40000000e-05    1.06957439e+00
37       5.60000000e-05    8.76555646e-01
38       5.80000000e-05    6.85106608e-01
39       6.00000000e-05    4.96067512e-01
40       6.02000000e-05    4.97067447e-01
41       6.04000000e-05    4.97892150e-01
42       6.08000000e-05    4.99000413e-01
43       6.12000000e-05    4.99748133e-01
44       6.20000000e-05    5.00488970e-01
45       6.28000000e-05    5.00861678e-01
46       6.44000000e-05    5.01103792e-01
47       6.60000000e-05    5.01185193e-01
48       6.92000000e-05    5.01216805e-01
49       7.56000000e-05    5.01223750e-01
50       8.56000000e-05    5.01224560e-01
51       9.56000000e-05    5.01224619e-01
52       1.00000000e-04    5.01224622e-01
End of Xyce(TM) Parameter Sweep
