Index       TIME              V(1)              V(2)              V(3)              V(4)              V(5)              V(6)       
296      1.70024119e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -2.01913375e-01    9.97588101e-01
297      1.70045038e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -1.99393015e-01    9.95496203e-01
298      1.70086876e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -1.94352295e-01    9.91312405e-01
299      1.70170552e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -1.84270855e-01    9.82944810e-01
300      1.70337904e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -1.64107976e-01    9.66209620e-01
301      1.70672608e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -1.23782217e-01    9.32739240e-01
302      1.71342015e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -4.31306988e-02    8.65798480e-01
303      1.72680830e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.18172337e-01    7.31916960e-01
304      1.75358461e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    4.40778409e-01    4.64153920e-01
305      1.80000000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    0.00000000e+00
306      1.80198406e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    9.80159403e-01   -1.98405966e-02
307      1.80362636e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    9.63736364e-01   -3.62636364e-02
308      1.80691097e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    9.30890284e-01   -6.91097160e-02
309      1.81348019e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    8.65198125e-01   -1.34801875e-01
310      1.82661862e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    7.33813807e-01   -2.66186193e-01
311      1.85289548e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    4.71045170e-01   -5.28954830e-01
312      1.90000000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    0.00000000e+00   -1.00000000e+00
313      1.90000625e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -6.25000000e-05   -9.68750000e-01
314      1.90001250e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -1.25000000e-04   -9.37500000e-01
315      1.90002500e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -2.50000000e-04   -8.75000000e-01
316      1.90005000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -5.00000000e-04   -7.50000000e-01
317      1.90010000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -1.00000000e-03   -5.00000000e-01
318      1.90020000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -2.00000000e-03   -5.32907052e-13
319      1.90040000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -4.00000000e-03    1.00000000e+00
320      1.90080000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -8.00000000e-03    3.00000000e+00
321      1.90100000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -1.00000000e-02    4.00000000e+00
322      1.90108000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -1.08000000e-02    3.99919192e+00
323      1.90124000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -1.24000000e-02    3.99757576e+00
324      1.90156000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -1.56000000e-02    3.99434343e+00
325      1.90220000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -2.20000000e-02    3.98787879e+00
326      1.90348000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -3.48000000e-02    3.97494949e+00
327      1.90604000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -6.04000000e-02    3.94909091e+00
328      1.91116000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -1.11600000e-01    3.89737374e+00
329      1.92140000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -2.14000000e-01    3.79393939e+00
330      1.94188000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -4.18800000e-01    3.58707071e+00
331      1.98284000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -8.28400000e-01    3.17333333e+00
332      2.00000000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -1.00000000e+00    3.00000000e+00
333      2.00000039e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -9.98046875e-01    9.99996094e-01
334      2.00000041e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -9.97947118e-01    9.99995894e-01
335      2.00000043e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -9.97847360e-01    9.99995695e-01
336      2.00000047e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -9.97647846e-01    9.99995296e-01
337      2.00000055e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -9.97248816e-01    9.99994498e-01
338      2.00000071e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -9.96450757e-01    9.99992902e-01
339      2.00000103e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -9.94854639e-01    9.99989709e-01
340      2.00000167e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -9.91662404e-01    9.99983325e-01
341      2.00000294e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -9.85277932e-01    9.99970556e-01
342      2.00000550e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -9.72508990e-01    9.99945018e-01
343      2.00001061e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -9.46971105e-01    9.99893942e-01
344      2.00002082e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -8.95895334e-01    9.99791791e-01
345      2.00004125e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -7.93743794e-01    9.99587488e-01
346      2.00008211e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -5.89440713e-01    9.99178881e-01
347      2.00016383e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00   -1.80834551e-01    9.98361669e-01
348      2.00032728e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    6.36377774e-01    9.96727244e-01
349      2.00065416e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    2.27080242e+00    9.93458395e-01
350      2.00100000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    4.00000000e+00    9.90000000e-01
351      2.00106538e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.99933963e+00    9.89346230e-01
352      2.00119613e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.99801888e+00    9.88038690e-01
353      2.00145764e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.99537738e+00    9.85423611e-01
354      2.00198065e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.99009440e+00    9.80193452e-01
355      2.00302669e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.97952842e+00    9.69733134e-01
356      2.00511875e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.95839646e+00    9.48812499e-01
357      2.00930288e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.91613255e+00    9.06971228e-01
358      2.01767113e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.83160473e+00    8.23288686e-01
359      2.03440764e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.66254909e+00    6.55923602e-01
360      2.06788066e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.32443781e+00    3.21193434e-01
361      2.10000000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    0.00000000e+00
362      2.10000654e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    9.80654789e-05   -6.53769859e-05
363      2.10000664e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    9.95977520e-05   -6.63985014e-05
364      2.10000674e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.01130025e-04   -6.74200168e-05
365      2.10000684e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.02662298e-04   -6.84415322e-05
366      2.10000705e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.05726844e-04   -7.04845630e-05
367      2.10000746e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.11855937e-04   -7.45706246e-05
368      2.10000827e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.24114122e-04   -8.27427478e-05
369      2.10000991e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.48630491e-04   -9.90869943e-05
370      2.10001318e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.97663231e-04   -1.31775487e-04
371      2.10001972e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    2.95728710e-04   -1.97152473e-04
372      2.10003279e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    4.91859668e-04   -3.27906445e-04
373      2.10005894e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    8.84121583e-04   -5.89414389e-04
374      2.10011124e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.66864541e-03   -1.11243028e-03
375      2.10021585e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.23769308e-03   -2.15846205e-03
376      2.10042505e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    6.37578840e-03   -4.25052560e-03
