Index        TIME          {V(4)+1.0}          V(5)          {V(1)+1.0}
129     1.00030388e-04   5.99996741e+00   6.35690330e-01   1.36852298e+00   
130     1.00039616e-04   5.99996580e+00   6.36136327e-01   1.62788338e+00   
131     1.00048844e-04   5.99996602e+00   6.36586141e-01   1.94901331e+00   
132     1.00058071e-04   5.99996981e+00   6.37038101e-01   2.32325297e+00   
133     1.00067299e-04   5.99997635e+00   6.37490940e-01   2.74085164e+00   
134     1.00076527e-04   5.99998380e+00   6.37943730e-01   3.19199473e+00   
135     1.00085755e-04   5.99999248e+00   6.38395780e-01   3.66751536e+00   
136     1.00100000e-04   6.00000632e+00   6.39091138e-01   4.43096862e+00   
137     1.00100950e-04   6.00000788e+00   6.39137248e-01   4.48093413e+00   
138     1.00101765e-04   6.00000972e+00   6.39176628e-01   4.52263612e+00   
139     1.00103393e-04   6.00001435e+00   6.39255158e-01   4.60401195e+00   
140     1.00106650e-04   6.00002730e+00   6.39410921e-01   4.75433625e+00   
141     1.00109907e-04   6.00004176e+00   6.39565105e-01   4.88910487e+00   
142     1.00113164e-04   6.00005527e+00   6.39717880e-01   5.00960899e+00   
143     1.00116421e-04   6.00006714e+00   6.39869399e-01   5.11712568e+00   
144     1.00122935e-04   6.00008423e+00   6.40169294e-01   5.29891581e+00   
145     1.00129448e-04   6.00009261e+00   6.40465708e-01   5.44298682e+00   
146     1.00135962e-04   6.00009445e+00   6.40759423e-01   5.55720223e+00   
147     1.00142476e-04   6.00009248e+00   6.41051037e-01   5.64782435e+00   
148     1.00148990e-04   6.00008858e+00   6.41341008e-01   5.71978740e+00   
149     1.00162018e-04   6.00007918e+00   6.41917443e-01   5.82359775e+00   
150     1.00175045e-04   6.00007016e+00   6.42490526e-01   5.88887072e+00   
151     1.00188073e-04   6.00006297e+00   6.43061503e-01   5.93003255e+00   
152     1.00214128e-04   6.00005350e+00   6.44200023e-01   5.97397038e+00   
153     1.00240183e-04   6.00004848e+00   6.45335970e-01   5.99058748e+00   
154     1.00266239e-04   6.00004617e+00   6.46470747e-01   5.99667549e+00   
155     1.00292294e-04   6.00004475e+00   6.47604886e-01   5.99864543e+00   
156     1.00318349e-04   6.00004330e+00   6.48738617e-01   5.99925552e+00   
157     1.00370460e-04   6.00004115e+00   6.51005129e-01   5.99970569e+00   
158     1.00422570e-04   6.00003978e+00   6.53270438e-01   5.99989454e+00   
159     1.00526791e-04   6.00003773e+00   6.57797503e-01   6.00009065e+00   
160     1.00735233e-04   6.00003410e+00   6.66837469e-01   6.00019515e+00   
161     1.01152117e-04   6.00002732e+00   6.84860982e-01   6.00023077e+00   
162     1.01985886e-04   6.00001704e+00   7.20683558e-01   6.00025459e+00   
163     1.02819654e-04   6.00001030e+00   7.56208739e-01   6.00028053e+00   
164     1.03653423e-04   6.00000587e+00   7.91438994e-01   6.00029921e+00   
165     1.04487191e-04   6.00000299e+00   8.26376771e-01   6.00031324e+00   
166     1.06154728e-04   5.99999980e+00   8.95385774e-01   6.00032754e+00   
167     1.09489801e-04   5.99999789e+00   1.03000863e+00   6.00033097e+00   
168     1.12824875e-04   5.99999792e+00   1.16021597e+00   6.00032319e+00   
169     1.19495022e-04   5.99999813e+00   1.40802529e+00   6.00030767e+00   
170     1.26165169e-04   5.99999844e+00   1.63984097e+00   6.00029238e+00   
171     1.32835316e-04   5.99999846e+00   1.85669523e+00   6.00027819e+00   
172     1.42835316e-04   5.99999873e+00   2.15600233e+00   6.00025774e+00   
173     1.52835316e-04   5.99999876e+00   2.42680766e+00   6.00023873e+00   
174     1.62835316e-04   5.99999891e+00   2.67182479e+00   6.00022090e+00   
175     1.64465980e-04   5.99999892e+00   2.70917233e+00   6.00021761e+00   
176     1.67727309e-04   5.99999888e+00   2.78266864e+00   6.00021303e+00   
177     1.68860325e-04   5.99999893e+00   2.80750401e+00   6.00021042e+00   
178     1.69993342e-04   5.99999891e+00   2.83219939e+00   6.00020910e+00   
179     1.72259375e-04   5.99999895e+00   2.88075961e+00   6.00020492e+00   
180     1.74525408e-04   5.99999895e+00   2.92823093e+00   6.00020177e+00   
181     1.76791440e-04   5.99999898e+00   2.97463820e+00   6.00019776e+00   
182     1.80100000e-04   5.99999898e+00   3.04054009e+00   6.00019310e+00   
183     1.80102950e-04   6.00000309e+00   3.04059635e+00   5.98500474e+00   
184     1.80105470e-04   6.00000816e+00   3.04064342e+00   5.96238990e+00   
185     1.80107991e-04   6.00001355e+00   3.04069003e+00   5.93525015e+00   
186     1.80113032e-04   6.00002296e+00   3.04078065e+00   5.85642151e+00   
187     1.80118073e-04   6.00002786e+00   3.04086825e+00   5.74977501e+00   
188     1.80123114e-04   6.00002882e+00   3.04095329e+00   5.62082540e+00   
189     1.80133196e-04   6.00002541e+00   3.04111712e+00   5.31414027e+00   
190     1.80143278e-04   6.00001939e+00   3.04127371e+00   4.96148798e+00   
191     1.80153360e-04   6.00001398e+00   3.04142381e+00   4.58183808e+00   
192     1.80173524e-04   6.00000615e+00   3.04170183e+00   3.79784008e+00   
193     1.80182122e-04   6.00000084e+00   3.04173096e+00   3.48191357e+00   
194     1.80183291e-04   5.99999473e+00   3.04171765e+00   3.45757392e+00   
195     1.80184459e-04   5.99998547e+00   3.04169309e+00   3.44021339e+00   
196     1.80186795e-04   5.99996122e+00   3.04157036e+00   3.41649168e+00   
197     1.80189132e-04   5.99994650e+00   3.04133487e+00   3.39943935e+00   
198     1.80193805e-04   5.99993720e+00   3.04047097e+00   3.37349687e+00   
199     1.80198478e-04   5.99993226e+00   3.03903715e+00   3.35176608e+00   
200     1.80200000e-04   5.99993005e+00   3.03843976e+00   3.34519544e+00   
201     1.80200467e-04   5.99992898e+00   3.03824010e+00   3.34324366e+00   
202     1.80201402e-04   5.99992664e+00   3.03781657e+00   3.33948831e+00   
203     1.80203271e-04   5.99992135e+00   3.03692176e+00   3.33228045e+00   
204     1.80207009e-04   5.99990747e+00   3.03485473e+00   3.31894905e+00   
205     1.80214486e-04   5.99986957e+00   3.02970446e+00   3.29536562e+00   
206     1.80229440e-04   5.99976763e+00   3.01607278e+00   3.25595004e+00   
207     1.80259346e-04   5.99953538e+00   2.98024841e+00   3.19392950e+00   
208     1.80289253e-04   5.99933222e+00   2.93837675e+00   3.14355149e+00   
209     1.80349067e-04   5.99909556e+00   2.85084261e+00   3.05412455e+00   
210     1.80408881e-04   5.99902364e+00   2.76373301e+00   2.97018321e+00   
211     1.80462713e-04   5.99901697e+00   2.68731408e+00   2.89676141e+00   
212     1.80516546e-04   5.99903580e+00   2.61285729e+00   2.82547174e+00   
213     1.80570378e-04   5.99906683e+00   2.54039653e+00   2.75614883e+00   
214     1.80678043e-04   5.99913752e+00   2.40134434e+00   2.62332590e+00   
215     1.80785707e-04   5.99920538e+00   2.26991225e+00   2.49795229e+00   
216     1.80882606e-04   5.99928020e+00   2.15793889e+00   2.39140062e+00   
217     1.80979504e-04   5.99935449e+00   2.05183105e+00   2.29069978e+00   
218     1.81076402e-04   5.99941905e+00   1.95146086e+00   2.19567831e+00   
219     1.81173301e-04   5.99948275e+00   1.85666248e+00   2.10614677e+00   
220     1.81270199e-04   5.99954414e+00   1.76726118e+00   2.02193920e+00   
221     1.81367097e-04   5.99960029e+00   1.68307697e+00   1.94285769e+00   
222     1.81463995e-04   5.99965678e+00   1.60392033e+00   1.86871174e+00   
223     1.81657792e-04   5.99975485e+00   1.45986317e+00   1.73443053e+00   
224     1.81851589e-04   5.99984648e+00   1.33379072e+00   1.61787344e+00   
225     1.82045385e-04   5.99992370e+00   1.22434801e+00   1.51765704e+00   
226     1.82239182e-04   5.99999478e+00   1.13009498e+00   1.43226709e+00   
227     1.82432978e-04   6.00005146e+00   1.04953088e+00   1.36017546e+00   
228     1.82626775e-04   6.00010238e+00   9.81165123e-01   1.29986960e+00   
229     1.82820571e-04   6.00013995e+00   9.23543249e-01   1.24987323e+00   
230     1.83208165e-04   6.00019562e+00   8.34496359e-01   1.17477800e+00   
231     1.83595758e-04   6.00021985e+00   7.73188173e-01   1.12550569e+00   
232     1.83983351e-04   6.00022576e+00   7.31397997e-01   1.09374597e+00   
233     1.84370944e-04   6.00021427e+00   7.02902297e-01   1.07338406e+00   
234     1.85146130e-04   6.00017852e+00   6.68828554e-01   1.05100831e+00   
235     1.85921316e-04   6.00013412e+00   6.52449266e-01   1.04130103e+00   
236     1.87471689e-04   6.00007040e+00   6.39001059e-01   1.03395264e+00   
237     1.89022061e-04   6.00003212e+00   6.35808593e-01   1.03231164e+00   
238     1.92122806e-04   6.00000536e+00   6.34605316e-01   1.03169406e+00   
239     1.95223551e-04   5.99999917e+00   6.34697683e-01   1.03174755e+00   
240     2.00000000e-04   6.00000015e+00   6.34689400e-01   1.03173655e+00   
241     2.00003143e-04   5.99999886e+00   6.34707765e-01   1.03541658e+00   
242     2.00005717e-04   5.99999749e+00   6.34741797e-01   1.04095997e+00   
243     2.00010865e-04   5.99999399e+00   6.34853634e-01   1.05983812e+00   
244     2.00021160e-04   5.99997925e+00   6.35251226e-01   1.17621783e+00   
245     2.00030388e-04   5.99996743e+00   6.35690416e-01   1.36851781e+00   
246     2.00039616e-04   5.99996580e+00   6.36136417e-01   1.62787922e+00   
247     2.00048844e-04   5.99996603e+00   6.36586234e-01   1.94901151e+00   
248     2.00058071e-04   5.99996982e+00   6.37038198e-01   2.32325471e+00   
249     2.00067299e-04   5.99997636e+00   6.37491041e-01   2.74085778e+00   
250     2.00076527e-04   5.99998381e+00   6.37943834e-01   3.19200578e+00   
251     2.00085755e-04   5.99999249e+00   6.38395889e-01   3.66753157e+00   
252     2.00100000e-04   6.00000631e+00   6.39091235e-01   4.43097582e+00   
253     2.00100951e-04   6.00000788e+00   6.39137347e-01   4.48094275e+00   
254     2.00101765e-04   6.00000972e+00   6.39176728e-01   4.52264575e+00   
255     2.00103393e-04   6.00001435e+00   6.39255259e-01   4.60402362e+00   
256     2.00106650e-04   6.00002729e+00   6.39411025e-01   4.75435224e+00   
257     2.00109907e-04   6.00004174e+00   6.39565212e-01   4.88912557e+00   
258     2.00113164e-04   6.00005524e+00   6.39717990e-01   5.00963434e+00   
259     2.00116421e-04   6.00006711e+00   6.39869512e-01   5.11715497e+00   
260     2.00122935e-04   6.00008421e+00   6.40169413e-01   5.29894973e+00   
261     2.00129449e-04   6.00009260e+00   6.40465832e-01   5.44302160e+00   
262     2.00135963e-04   6.00009445e+00   6.40759552e-01   5.55723546e+00   
263     2.00142477e-04   6.00009248e+00   6.41051171e-01   5.64785484e+00   
264     2.00148991e-04   6.00008859e+00   6.41341147e-01   5.71981466e+00   
265     2.00162019e-04   6.00007919e+00   6.41917591e-01   5.82361871e+00   
266     2.00175047e-04   6.00007017e+00   6.42490684e-01   5.88888653e+00   
267     2.00188074e-04   6.00006298e+00   6.43061672e-01   5.93004481e+00   
268     2.00214130e-04   6.00005351e+00   6.44200212e-01   5.97397875e+00   
269     2.00240186e-04   6.00004849e+00   6.45336180e-01   5.99059533e+00   
270     2.00266242e-04   6.00004617e+00   6.46470978e-01   5.99668488e+00   
271     2.00292297e-04   6.00004476e+00   6.47605138e-01   5.99865413e+00   
272     2.00318353e-04   6.00004332e+00   6.48738890e-01   5.99926069e+00   
273     2.00370465e-04   6.00004116e+00   6.51005443e-01   5.99970540e+00   
274     2.00422576e-04   6.00003978e+00   6.53270794e-01   5.99989488e+00   
275     2.00526799e-04   6.00003774e+00   6.57797942e-01   6.00009047e+00   
276     2.00735245e-04   6.00003410e+00   6.66838074e-01   6.00019475e+00   
277     2.01152137e-04   6.00002733e+00   6.84861916e-01   6.00023103e+00   
278     2.01985921e-04   6.00001704e+00   7.20685144e-01   6.00025417e+00   
279     2.02819705e-04   6.00001030e+00   7.56210965e-01   6.00028082e+00   
280     2.03653488e-04   6.00000587e+00   7.91441849e-01   6.00029877e+00   
281     2.04487272e-04   6.00000299e+00   8.26380245e-01   6.00031354e+00   
282     2.06154840e-04   5.99999980e+00   8.95390455e-01   6.00032710e+00   
283     2.09489975e-04   5.99999789e+00   1.03001560e+00   6.00033129e+00   
284     2.12825110e-04   5.99999792e+00   1.16022508e+00   6.00032276e+00   
285     2.19495381e-04   5.99999813e+00   1.40803825e+00   6.00030800e+00   
286     2.26165651e-04   5.99999844e+00   1.63985724e+00   6.00029197e+00   
287     2.32835922e-04   5.99999846e+00   1.85671433e+00   6.00027853e+00   
288     2.42835922e-04   5.99999873e+00   2.15601961e+00   6.00025734e+00   
289     2.52835922e-04   5.99999876e+00   2.42682331e+00   6.00023909e+00   
290     2.62835922e-04   5.99999891e+00   2.67183936e+00   6.00022051e+00   
291     2.72835922e-04   5.99999892e+00   2.89352095e+00   6.00020466e+00   
292     2.80100000e-04   5.99999902e+00   3.04113471e+00   6.00019242e+00   
293     2.80102950e-04   6.00000312e+00   3.04119094e+00   5.98500457e+00   
294     2.80105470e-04   6.00000819e+00   3.04123800e+00   5.96239088e+00   
295     2.80107991e-04   6.00001358e+00   3.04128459e+00   5.93525249e+00   
296     2.80113032e-04   6.00002299e+00   3.04137517e+00   5.85642771e+00   
297     2.80118073e-04   6.00002789e+00   3.04146273e+00   5.74978621e+00   
298     2.80123114e-04   6.00002885e+00   3.04154774e+00   5.62084241e+00   
299     2.80133196e-04   6.00002543e+00   3.04171149e+00   5.31417048e+00   
300     2.80143278e-04   6.00001941e+00   3.04186800e+00   4.96153322e+00   
301     2.80153359e-04   6.00001400e+00   3.04201802e+00   4.58190058e+00   
302     2.80173523e-04   6.00000616e+00   3.04229587e+00   3.79795503e+00   
303     2.80182117e-04   6.00000083e+00   3.04232437e+00   3.48231000e+00   
304     2.80183285e-04   5.99999471e+00   3.04231092e+00   3.45803114e+00   
305     2.80184453e-04   5.99998543e+00   3.04228623e+00   3.44070978e+00   
306     2.80186789e-04   5.99996119e+00   3.04216317e+00   3.41702597e+00   
307     2.80189125e-04   5.99994648e+00   3.04192736e+00   3.39999014e+00   
308     2.80193797e-04   5.99993720e+00   3.04106286e+00   3.37406211e+00   
309     2.80198469e-04   5.99993226e+00   3.03962858e+00   3.35233853e+00   
310     2.80200000e-04   5.99993003e+00   3.03902757e+00   3.34573307e+00   
311     2.80200467e-04   5.99992896e+00   3.03882777e+00   3.34378203e+00   
312     2.80201402e-04   5.99992662e+00   3.03840396e+00   3.34002794e+00   
313     2.80203271e-04   5.99992132e+00   3.03750859e+00   3.33282220e+00   
314     2.80207008e-04   5.99990743e+00   3.03544053e+00   3.31949390e+00   
315     2.80214484e-04   5.99986951e+00   3.03028845e+00   3.29591419e+00   
316     2.80229435e-04   5.99976756e+00   3.01665407e+00   3.25650211e+00   
317     2.80259336e-04   5.99953530e+00   2.98082675e+00   3.19448362e+00   
318     2.80289238e-04   5.99933212e+00   2.93895377e+00   3.14410542e+00   
319     2.80349042e-04   5.99909540e+00   2.85141780e+00   3.05467675e+00   
320     2.80408845e-04   5.99902345e+00   2.76430614e+00   2.97073292e+00   
321     2.80462669e-04   5.99901679e+00   2.68788478e+00   2.89730805e+00   
322     2.80516492e-04   5.99903564e+00   2.61342500e+00   2.82601494e+00   
323     2.80570315e-04   5.99906669e+00   2.54096080e+00   2.75668829e+00   
324     2.80677962e-04   5.99913743e+00   2.40190055e+00   2.62385666e+00   
325     2.80785608e-04   5.99920534e+00   2.27045900e+00   2.49847323e+00   
326     2.80882490e-04   5.99928007e+00   2.15847582e+00   2.39191081e+00   
327     2.80979372e-04   5.99935429e+00   2.05235677e+00   2.29119807e+00   
328     2.81076253e-04   5.99941887e+00   1.95197427e+00   2.19616380e+00   
329     2.81173135e-04   5.99948256e+00   1.85716262e+00   2.10661848e+00   
330     2.81270017e-04   5.99954395e+00   1.76774717e+00   2.02239633e+00   
331     2.81366899e-04   5.99960010e+00   1.68354808e+00   1.94329957e+00   
332     2.81463781e-04   5.99965659e+00   1.60437595e+00   1.86913781e+00   
333     2.81657544e-04   5.99975468e+00   1.46028621e+00   1.73482327e+00   
334     2.81851308e-04   5.99984631e+00   1.33417937e+00   1.61823105e+00   
335     2.82045072e-04   5.99992354e+00   1.22470129e+00   1.51797884e+00   
336     2.82238835e-04   5.99999463e+00   1.13041290e+00   1.43255340e+00   
337     2.82432599e-04   6.00005134e+00   1.04981426e+00   1.36042727e+00   
338     2.82626363e-04   6.00010227e+00   9.81415446e-01   1.30008865e+00   
339     2.82820126e-04   6.00013987e+00   9.23762547e-01   1.25006174e+00   
340     2.83207654e-04   6.00019559e+00   8.34661260e-01   1.17491378e+00   
341     2.83595181e-04   6.00021987e+00   7.73309674e-01   1.12560057e+00   
342     2.83982708e-04   6.00022580e+00   7.31486684e-01   1.09381123e+00   
343     2.84370235e-04   6.00021434e+00   7.02967050e-01   1.07342882e+00   
344     2.85145290e-04   6.00017861e+00   6.68863208e-01   1.05102968e+00   
345     2.85920345e-04   6.00013421e+00   6.52468560e-01   1.04131199e+00   
346     2.87470454e-04   6.00007045e+00   6.39006782e-01   1.03395565e+00   
347     2.89020563e-04   6.00003216e+00   6.35810386e-01   1.03231253e+00   
348     2.92120781e-04   6.00000536e+00   6.34605270e-01   1.03169406e+00   
349     2.95221000e-04   5.99999918e+00   6.34697679e-01   1.03174752e+00   
350     3.00000000e-04   6.00000014e+00   6.34689400e-01   1.03173658e+00   
351     3.00003143e-04   5.99999886e+00   6.34707765e-01   1.03541660e+00   
352     3.00005717e-04   5.99999749e+00   6.34741797e-01   1.04095997e+00   
353     3.00010865e-04   5.99999399e+00   6.34853634e-01   1.05983813e+00   
354     3.00021160e-04   5.99997925e+00   6.35251226e-01   1.17621787e+00   
355     3.00030388e-04   5.99996743e+00   6.35690416e-01   1.36851791e+00   
356     3.00039616e-04   5.99996580e+00   6.36136417e-01   1.62787940e+00   
