Index	TIME	N(YRXN!R1_000_CONC_XSPEC)	N(YRXN!R1_000_CONC_YSPEC)
255	1.87170813e+00	1.52524943e+02	7.57407816e+01
256	1.87957245e+00	1.53271720e+02	7.58388251e+01
257	1.88743677e+00	1.54021552e+02	7.59392301e+01
258	1.89530109e+00	1.54774434e+02	7.60420145e+01
259	1.90316541e+00	1.55530360e+02	7.61471970e+01
260	1.91102973e+00	1.56289325e+02	7.62547961e+01
261	1.91889405e+00	1.57051321e+02	7.63648307e+01
262	1.92675837e+00	1.57816341e+02	7.64773202e+01
263	1.93462269e+00	1.58584379e+02	7.65922839e+01
264	1.94248701e+00	1.59355427e+02	7.67097417e+01
265	1.95035133e+00	1.60129476e+02	7.68297135e+01
266	1.95821565e+00	1.60906517e+02	7.69522196e+01
267	1.96607997e+00	1.61686543e+02	7.70772806e+01
268	1.97394429e+00	1.62469542e+02	7.72049174e+01
269	1.98180861e+00	1.63255506e+02	7.73351511e+01
270	1.98967293e+00	1.64044423e+02	7.74680032e+01
271	1.99753725e+00	1.64836283e+02	7.76034953e+01
272	2.00540157e+00	1.65631074e+02	7.77416495e+01
273	2.01326589e+00	1.66428784e+02	7.78824882e+01
274	2.02113021e+00	1.67229402e+02	7.80260339e+01
275	2.02899453e+00	1.68032913e+02	7.81723096e+01
276	2.03685885e+00	1.68839305e+02	7.83213385e+01
277	2.04472317e+00	1.69648563e+02	7.84731442e+01
278	2.05258749e+00	1.70460673e+02	7.86277506e+01
279	2.06045181e+00	1.71275620e+02	7.87851819e+01
280	2.06831613e+00	1.72093387e+02	7.89454625e+01
281	2.07618045e+00	1.72913960e+02	7.91086174e+01
282	2.08404477e+00	1.73737321e+02	7.92746717e+01
283	2.09190909e+00	1.74563453e+02	7.94436510e+01
284	2.09977341e+00	1.75392337e+02	7.96155810e+01
285	2.10763773e+00	1.76223956e+02	7.97904880e+01
286	2.11550205e+00	1.77058289e+02	7.99683985e+01
287	2.12336637e+00	1.77895317e+02	8.01493394e+01
288	2.13123069e+00	1.78735020e+02	8.03333380e+01
289	2.13909501e+00	1.79577376e+02	8.05204218e+01
290	2.14695933e+00	1.80422364e+02	8.07106189e+01
291	2.15482365e+00	1.81269961e+02	8.09039575e+01
292	2.16268797e+00	1.82120144e+02	8.11004663e+01
293	2.17055229e+00	1.82972889e+02	8.13001744e+01
294	2.17841661e+00	1.83828171e+02	8.15031112e+01
295	2.18628093e+00	1.84685966e+02	8.17093066e+01
296	2.19414525e+00	1.85546247e+02	8.19187908e+01
297	2.20200957e+00	1.86408988e+02	8.21315942e+01
298	2.20987389e+00	1.87274160e+02	8.23477481e+01
299	2.21773821e+00	1.88141737e+02	8.25672836e+01
300	2.22560253e+00	1.89011688e+02	8.27902326e+01
301	2.23346685e+00	1.89883984e+02	8.30166272e+01
302	2.24133117e+00	1.90758595e+02	8.32465000e+01
303	2.24919549e+00	1.91635489e+02	8.34798841e+01
304	2.25705981e+00	1.92514633e+02	8.37168128e+01
305	2.26492413e+00	1.93395996e+02	8.39573199e+01
306	2.27278845e+00	1.94279542e+02	8.42014397e+01
307	2.28065277e+00	1.95165237e+02	8.44492069e+01
308	2.28851709e+00	1.96053046e+02	8.47006565e+01
309	2.29638141e+00	1.96942931e+02	8.49558240e+01
310	2.30424573e+00	1.97834857e+02	8.52147455e+01
311	2.31211005e+00	1.98728783e+02	8.54774573e+01
312	2.31997437e+00	1.99624671e+02	8.57439963e+01
313	2.32783869e+00	2.00522482e+02	8.60143998e+01
314	2.33570301e+00	2.01422173e+02	8.62887054e+01
315	2.34356733e+00	2.02323702e+02	8.65669515e+01
316	2.35143165e+00	2.03227028e+02	8.68491766e+01
317	2.35929597e+00	2.04132105e+02	8.71354198e+01
318	2.36716029e+00	2.05038888e+02	8.74257208e+01
319	2.37502461e+00	2.05947332e+02	8.77201196e+01
320	2.38288893e+00	2.06857389e+02	8.80186567e+01
321	2.39075325e+00	2.07769012e+02	8.83213730e+01
322	2.39861757e+00	2.08682151e+02	8.86283101e+01
323	2.40648189e+00	2.09596755e+02	8.89395100e+01
324	2.41434621e+00	2.10512775e+02	8.92550149e+01
325	2.42221053e+00	2.11430156e+02	8.95748679e+01
326	2.43007485e+00	2.12348847e+02	8.98991123e+01
327	2.43793917e+00	2.13268791e+02	9.02277920e+01
328	2.44580349e+00	2.14189933e+02	9.05609515e+01
329	2.45366781e+00	2.15112217e+02	9.08986356e+01
330	2.46153213e+00	2.16035584e+02	9.12408896e+01
331	2.46939645e+00	2.16959975e+02	9.15877596e+01
332	2.47726077e+00	2.17885329e+02	9.19392919e+01
333	2.48512509e+00	2.18811586e+02	9.22955333e+01
334	2.49298941e+00	2.19738681e+02	9.26565313e+01
335	2.50085373e+00	2.20666551e+02	9.30223338e+01
336	2.50871805e+00	2.21595130e+02	9.33929892e+01
337	2.51658237e+00	2.22524352e+02	9.37685465e+01
338	2.52444669e+00	2.23454149e+02	9.41490552e+01
339	2.53231101e+00	2.24384452e+02	9.45345651e+01
340	2.54017533e+00	2.25315189e+02	9.49251268e+01
341	2.54803965e+00	2.26246290e+02	9.53207914e+01
342	2.55590397e+00	2.27177682e+02	9.57216102e+01
343	2.56376829e+00	2.28109288e+02	9.61276354e+01
344	2.57163261e+00	2.29041035e+02	9.65389196e+01
345	2.57949693e+00	2.29972844e+02	9.69555158e+01
346	2.58736125e+00	2.30904637e+02	9.73774776e+01
347	2.59522557e+00	2.31836334e+02	9.78048591e+01
348	2.60308989e+00	2.32767854e+02	9.82377151e+01
349	2.61095421e+00	2.33699113e+02	9.86761006e+01
350	2.61881853e+00	2.34630028e+02	9.91200714e+01
351	2.62668285e+00	2.35560512e+02	9.95696837e+01
352	2.63454717e+00	2.36490479e+02	1.00024994e+02
353	2.64241149e+00	2.37419839e+02	1.00486060e+02
354	2.65027581e+00	2.38348504e+02	1.00952939e+02
355	2.65814013e+00	2.39276380e+02	1.01425689e+02
356	2.66600445e+00	2.40203375e+02	1.01904369e+02
357	2.67386877e+00	2.41129394e+02	1.02389039e+02
358	2.68173309e+00	2.42054341e+02	1.02879757e+02
359	2.68959741e+00	2.42978119e+02	1.03376585e+02
360	2.69746173e+00	2.43900627e+02	1.03879583e+02
361	2.70532605e+00	2.44821766e+02	1.04388813e+02
362	2.71319037e+00	2.45741432e+02	1.04904335e+02
363	2.72105469e+00	2.46659522e+02	1.05426212e+02
364	2.72891901e+00	2.47575930e+02	1.05954507e+02
365	2.73678333e+00	2.48490549e+02	1.06489283e+02
366	2.74464765e+00	2.49403270e+02	1.07030604e+02
367	2.75251197e+00	2.50313983e+02	1.07578532e+02
368	2.76037629e+00	2.51222576e+02	1.08133134e+02
369	2.76824061e+00	2.52128935e+02	1.08694473e+02
370	2.77610493e+00	2.53032944e+02	1.09262616e+02
371	2.78396925e+00	2.53934488e+02	1.09837627e+02
372	2.79183357e+00	2.54833447e+02	1.10419573e+02
373	2.79969789e+00	2.55729702e+02	1.11008520e+02
374	2.80756221e+00	2.56623129e+02	1.11604535e+02
375	2.81542653e+00	2.57513607e+02	1.12207686e+02
376	2.82329085e+00	2.58401009e+02	1.12818040e+02
377	2.83115517e+00	2.59285210e+02	1.13435666e+02
