Index       TIME        N(YRXN!R1_000_CONC_ZSPEC)
347      3.59843750e-06    1.00000379e+00
348      3.63843750e-06    1.00000381e+00
349      3.67843750e-06    1.00000382e+00
350      3.71843750e-06    1.00000384e+00
351      3.75843750e-06    1.00000386e+00
352      3.79843750e-06    1.00000387e+00
353      3.83843750e-06    1.00000389e+00
354      3.87843750e-06    1.00000390e+00
355      3.91843750e-06    1.00000392e+00
356      3.95843750e-06    1.00000393e+00
357      3.99843750e-06    1.00000395e+00
358      4.03843750e-06    1.00000396e+00
359      4.07843750e-06    1.00000398e+00
360      4.11843750e-06    1.00000399e+00
361      4.15843750e-06    1.00000401e+00
362      4.19843750e-06    1.00000402e+00
363      4.23843750e-06    1.00000404e+00
364      4.27843750e-06    1.00000405e+00
365      4.31843750e-06    1.00000406e+00
366      4.35843750e-06    1.00000408e+00
367      4.39843750e-06    1.00000409e+00
368      4.43843750e-06    1.00000411e+00
369      4.47843750e-06    1.00000412e+00
370      4.51843750e-06    1.00000413e+00
371      4.55843750e-06    1.00000415e+00
372      4.59843750e-06    1.00000416e+00
373      4.63843750e-06    1.00000417e+00
374      4.67843750e-06    1.00000419e+00
375      4.71843750e-06    1.00000420e+00
376      4.75843750e-06    1.00000421e+00
377      4.79843750e-06    1.00000422e+00
378      4.83843750e-06    1.00000424e+00
379      4.91843750e-06    1.00000426e+00
380      4.99843750e-06    1.00000429e+00
381      5.07843750e-06    1.00000431e+00
382      5.15843750e-06    1.00000433e+00
383      5.23843750e-06    1.00000436e+00
384      5.31843750e-06    1.00000438e+00
385      5.39843750e-06    1.00000440e+00
386      5.47843750e-06    1.00000443e+00
387      5.55843750e-06    1.00000445e+00
388      5.63843750e-06    1.00000447e+00
389      5.71843750e-06    1.00000449e+00
390      5.79843750e-06    1.00000451e+00
391      5.87843750e-06    1.00000454e+00
392      5.95843750e-06    1.00000456e+00
393      6.03843750e-06    1.00000458e+00
394      6.11843750e-06    1.00000460e+00
395      6.19843750e-06    1.00000462e+00
396      6.27843750e-06    1.00000464e+00
397      6.35843750e-06    1.00000466e+00
398      6.43843750e-06    1.00000468e+00
399      6.51843750e-06    1.00000469e+00
400      6.59843750e-06    1.00000471e+00
401      6.67843750e-06    1.00000473e+00
402      6.75843750e-06    1.00000475e+00
403      6.83843750e-06    1.00000477e+00
404      6.91843750e-06    1.00000479e+00
405      6.99843750e-06    1.00000480e+00
406      7.07843750e-06    1.00000482e+00
407      7.15843750e-06    1.00000484e+00
408      7.23843750e-06    1.00000486e+00
409      7.31843750e-06    1.00000487e+00
410      7.39843750e-06    1.00000489e+00
411      7.47843750e-06    1.00000491e+00
412      7.55843750e-06    1.00000492e+00
413      7.63843750e-06    1.00000494e+00
414      7.71843750e-06    1.00000496e+00
415      7.79843750e-06    1.00000497e+00
416      7.87843750e-06    1.00000499e+00
417      7.95843750e-06    1.00000500e+00
418      8.03843750e-06    1.00000502e+00
419      8.11843750e-06    1.00000504e+00
420      8.19843750e-06    1.00000505e+00
421      8.27843750e-06    1.00000507e+00
422      8.35843750e-06    1.00000508e+00
423      8.43843750e-06    1.00000510e+00
424      8.59843750e-06    1.00000513e+00
425      8.75843750e-06    1.00000515e+00
426      8.91843750e-06    1.00000518e+00
427      9.07843750e-06    1.00000521e+00
428      9.23843750e-06    1.00000524e+00
429      9.39843750e-06    1.00000526e+00
430      9.55843750e-06    1.00000529e+00
431      9.71843750e-06    1.00000532e+00
432      9.87843750e-06    1.00000534e+00
433      1.00384375e-05    1.00000537e+00
434      1.01984375e-05    1.00000539e+00
435      1.03584375e-05    1.00000542e+00
436      1.05184375e-05    1.00000544e+00
437      1.06784375e-05    1.00000546e+00
438      1.08384375e-05    1.00000549e+00
439      1.09984375e-05    1.00000551e+00
440      1.11584375e-05    1.00000553e+00
441      1.13184375e-05    1.00000556e+00
442      1.14784375e-05    1.00000558e+00
443      1.16384375e-05    1.00000560e+00
444      1.17984375e-05    1.00000562e+00
445      1.19584375e-05    1.00000564e+00
446      1.21184375e-05    1.00000566e+00
447      1.22784375e-05    1.00000568e+00
448      1.24384375e-05    1.00000570e+00
449      1.25984375e-05    1.00000572e+00
450      1.27584375e-05    1.00000574e+00
451      1.29184375e-05    1.00000576e+00
452      1.30784375e-05    1.00000578e+00
453      1.32384375e-05    1.00000580e+00
454      1.33984375e-05    1.00000582e+00
455      1.35584375e-05    1.00000584e+00
456      1.37184375e-05    1.00000586e+00
457      1.38784375e-05    1.00000587e+00
458      1.40384375e-05    1.00000589e+00
459      1.41984375e-05    1.00000591e+00
460      1.43584375e-05    1.00000593e+00
461      1.45184375e-05    1.00000595e+00
462      1.48384375e-05    1.00000598e+00
