Index        TIME               V(OUT)               V(IN)               V(1)        
1146     1.9561656250e-05    4.8043914594e+00    4.1972589762e+00    3.3437500000e+00
1147     1.9562156250e-05    4.8032707686e+00    3.7221762948e+00    2.8437500000e+00
1148     1.9562585957e-05    4.8038640884e+00    3.2513167304e+00    2.4140434121e+00
1149     1.9563015663e-05    4.8114048181e+00    2.8260928075e+00    1.9843368242e+00
1150     1.9563381867e-05    4.8213475069e+00    2.4670677518e+00    1.6181333809e+00
1151     1.9563748070e-05    4.8373559029e+00    2.1144529552e+00    1.2519299375e+00
1152     1.9563799455e-05    4.8403868596e+00    2.0650828183e+00    1.2005452295e+00
1153     1.9563850839e-05    4.8436525192e+00    2.0157744326e+00    1.1491605215e+00
1154     1.9563953609e-05    4.8522331605e+00    1.9149534537e+00    1.0463911055e+00
1155     1.9564056378e-05    4.8659761415e+00    1.8036720044e+00    9.4362168949e-01
1156     1.9564159148e-05    4.8843340474e+00    1.6839314285e+00    8.4085227347e-01
1157     1.9564261917e-05    4.9031046368e+00    1.5658058261e+00    7.3808285745e-01
1158     1.9564364687e-05    4.9238057850e+00    1.4469953714e+00    6.3531344143e-01
1159     1.9564467456e-05    4.9457619138e+00    1.3271585032e+00    5.3254402542e-01
1160     1.9564570225e-05    4.9650247917e+00    1.2122614688e+00    4.2977460940e-01
1161     1.9564672995e-05    4.9809335641e+00    1.1065667341e+00    3.2700519338e-01
1162     1.9564775764e-05    4.9907801375e+00    1.0074763309e+00    2.2423577737e-01
1163     1.9564878534e-05    4.9903333377e+00    9.1114865435e-01    1.2146636135e-01
1164     1.9564981303e-05    4.9758517401e+00    8.1436564242e-01    1.8696945331e-02
1165     1.9565000000e-05    4.9714962080e+00    7.9672124458e-01   -4.1868730705e-12
1166     1.9565010277e-05    4.9687627953e+00    7.8712064419e-01    0.0000000000e+00
1167     1.9565017585e-05    4.9667267175e+00    7.8036081602e-01    0.0000000000e+00
1168     1.9565032201e-05    4.9624585683e+00    7.6696064982e-01    0.0000000000e+00
1169     1.9565061434e-05    4.9527157811e+00    7.4084866438e-01    0.0000000000e+00
1170     1.9565119899e-05    4.9280518435e+00    6.9125398230e-01    0.0000000000e+00
1171     1.9565236828e-05    4.8548376944e+00    6.0173308257e-01    0.0000000000e+00
1172     1.9565353758e-05    4.7431039544e+00    5.2442971885e-01    0.0000000000e+00
