Index         TIME             V(3)         {V(2)-V(27)}   {V(3)-(V(2)-V(27))}
97      1.67183063e-04   1.38015855e+01   1.38015855e+01   0.00000000e+00   
98      1.69224960e-04   1.35289372e+01   1.35289372e+01   0.00000000e+00   
99      1.71266858e-04   1.31704890e+01   1.31704890e+01   0.00000000e+00   
100     1.73308755e-04   1.27313746e+01   1.27313746e+01   0.00000000e+00   
101     1.75350652e-04   1.22174246e+01   1.22174246e+01   0.00000000e+00   
102     1.77392549e-04   1.16351012e+01   1.16351012e+01   0.00000000e+00   
103     1.79434446e-04   1.09914278e+01   1.09914278e+01   0.00000000e+00   
104     1.81476343e-04   1.02939125e+01   1.02939125e+01   0.00000000e+00   
105     1.83518241e-04   9.55046731e+00   9.55046731e+00   0.00000000e+00   
106     1.85560138e-04   8.76932338e+00   8.76932338e+00   0.00000000e+00   
107     1.87602035e-04   7.95894316e+00   7.95894316e+00   0.00000000e+00   
108     1.89643932e-04   7.12793079e+00   7.12793079e+00   0.00000000e+00   
109     1.91685829e-04   6.28494135e+00   6.28494135e+00   0.00000000e+00   
110     1.93727727e-04   5.43858995e+00   5.43858995e+00   0.00000000e+00   
111     1.95769624e-04   4.59736178e+00   4.59736178e+00   0.00000000e+00   
112     1.97811521e-04   3.76952390e+00   3.76952390e+00   0.00000000e+00   
113     1.99853418e-04   2.96303977e+00   2.96303977e+00   0.00000000e+00   
114     2.01895315e-04   2.18548742e+00   2.18548742e+00   0.00000000e+00   
115     2.03937213e-04   1.44398207e+00   1.44398207e+00   0.00000000e+00   
116     2.05979110e-04   7.45104070e-01   7.45104070e-01   0.00000000e+00   
117     2.07059612e-04   3.94593802e-01   3.94593802e-01   0.00000000e+00   
118     2.08140114e-04   5.85179959e-02   5.85179959e-02   0.00000000e+00   
119     2.08462491e-04   -3.88432969e-02  -3.88432969e-02  0.00000000e+00   
120     2.08784868e-04   -1.34832567e-01  -1.34832567e-01  0.00000000e+00   
121     2.09048607e-04   -2.12328627e-01  -2.12328627e-01  0.00000000e+00   
122     2.09312346e-04   -2.88883804e-01  -2.88883804e-01  0.00000000e+00   
123     2.09839824e-04   -4.39132388e-01  -4.39132388e-01  0.00000000e+00   
124     2.10367302e-04   -5.85502156e-01  -5.85502156e-01  0.00000000e+00   
125     2.10894781e-04   -7.27920299e-01  -7.27920299e-01  0.00000000e+00   
