Index       TIME              V(1A)             V(2A)             V(3A)        {I(C1A)+I(C1B)}        I(C2)             I(C3)        {P(C1A)+P(C1B)}        P(C2)             P(C3)      
44       5.94686160e-03    7.15207274e-02    1.37940221e-01    1.37940221e-01    9.28479273e-04    8.62059779e-04    8.62059779e-04    6.64055130e-05    1.18912716e-04    1.18912716e-04
45       7.92550227e-03    9.42042965e-02    1.79553659e-01    1.79553659e-01    9.05795703e-04    8.20446341e-04    8.20446341e-04    8.53298470e-05    1.47314142e-04    1.47314142e-04
46       9.90414293e-03    1.16333686e-01    2.19158328e-01    2.19158328e-01    8.83666314e-04    7.80841672e-04    7.80841672e-04    1.02800159e-04    1.71127956e-04    1.71127956e-04
47       1.18827836e-02    1.37922435e-01    2.56851197e-01    2.56851197e-01    8.62077565e-04    7.43148803e-04    7.43148803e-04    1.18899837e-04    1.90878660e-04    1.90878660e-04
48       1.38614243e-02    1.58983752e-01    2.92724552e-01    2.92724552e-01    8.41016248e-04    7.07275448e-04    7.07275448e-04    1.33707918e-04    2.07036889e-04    2.07036889e-04
49       1.58400649e-02    1.79530522e-01    3.26866225e-01    3.26866225e-01    8.20469478e-04    6.73133775e-04    6.73133775e-04    1.47299313e-04    2.20024696e-04    2.20024696e-04
50       1.78187056e-02    1.99575316e-01    3.59359808e-01    3.59359808e-01    8.00424684e-04    6.40640192e-04    6.40640192e-04    1.59745009e-04    2.30220336e-04    2.30220336e-04
51       1.97973462e-02    2.19130398e-01    3.90284856e-01    3.90284856e-01    7.80869602e-04    6.09715144e-04    6.09715144e-04    1.71112267e-04    2.37962587e-04    2.37962587e-04
52       2.37546276e-02    2.56824616e-01    4.47762048e-01    4.47762048e-01    7.43175384e-04    5.52237952e-04    5.52237952e-04    1.90865732e-04    2.47271196e-04    2.47271196e-04
53       2.77119089e-02    2.92699254e-01    4.99820926e-01    4.99820926e-01    7.07300746e-04    5.00179074e-04    5.00179074e-04    2.07026401e-04    2.49999968e-04    2.49999968e-04
54       3.16691902e-02    3.26842148e-01    5.46972269e-01    5.46972269e-01    6.73157852e-04    4.53027731e-04    4.53027731e-04    2.20016358e-04    2.47793606e-04    2.47793606e-04
55       3.56264715e-02    3.59336892e-01    5.89678706e-01    5.89678706e-01    6.40663108e-04    4.10321294e-04    4.10321294e-04    2.30213890e-04    2.41957730e-04    2.41957730e-04
56       3.95837529e-02    3.90263048e-01    6.28359254e-01    6.28359254e-01    6.09736952e-04    3.71640746e-04    3.71640746e-04    2.37957801e-04    2.33523902e-04    2.33523902e-04
57       4.35410342e-02    4.19696332e-01    6.63393427e-01    6.63393427e-01    5.80303668e-04    3.36606573e-04    3.36606573e-04    2.43551321e-04    2.23302588e-04    2.23302588e-04
58       4.74983155e-02    4.47708810e-01    6.95124967e-01    6.95124967e-01    5.52291190e-04    3.04875033e-04    3.04875033e-04    2.47265631e-04    2.11926247e-04    2.11926247e-04
59       5.14555968e-02    4.74369067e-01    7.23865209e-01    7.23865209e-01    5.25630933e-04    2.76134791e-04    2.76134791e-04    2.49343055e-04    1.99884368e-04    1.99884368e-04
60       5.54128782e-02    4.99742377e-01    7.49896139e-01    7.49896139e-01    5.00257623e-04    2.50103861e-04    2.50103861e-04    2.49999934e-04    1.87551920e-04    1.87551920e-04
61       5.93701595e-02    5.23890864e-01    7.73473161e-01    7.73473161e-01    4.76109136e-04    2.26526839e-04    2.26526839e-04    2.49429227e-04    1.75212430e-04    1.75212430e-04
62       6.33274408e-02    5.46873653e-01    7.94827602e-01    7.94827602e-01    4.53126347e-04    2.05172398e-04    2.05172398e-04    2.47802861e-04    1.63076685e-04    1.63076685e-04
63       6.72847221e-02    5.68747014e-01    8.14168984e-01    8.14168984e-01    4.31252986e-04    1.85831016e-04    1.85831016e-04    2.45273848e-04    1.51297850e-04    1.51297850e-04
64       7.12420035e-02    5.89564503e-01    8.31687074e-01    8.31687074e-01    4.10435497e-04    1.68312926e-04    1.68312926e-04    2.41978200e-04    1.39983685e-04    1.39983685e-04
65       7.51992848e-02    6.09377087e-01    8.47553752e-01    8.47553752e-01    3.90622913e-04    1.52446248e-04    1.52446248e-04    2.38036653e-04    1.29206389e-04    1.29206389e-04
66       7.91565661e-02    6.28233276e-01    8.61924696e-01    8.61924696e-01    3.71766724e-04    1.38075304e-04    1.38075304e-04    2.33556227e-04    1.19010514e-04    1.19010514e-04
67       8.70711288e-02    6.63279325e-01    8.86785325e-01    8.86785325e-01    3.36720675e-04    1.13214675e-04    1.13214675e-04    2.23339862e-04    1.00397113e-04    1.00397113e-04
68       9.49856914e-02    6.95021621e-01    9.07169767e-01    9.07169767e-01    3.04978379e-04    9.28302335e-05    9.28302335e-05    2.11966567e-04    8.42127812e-05    8.42127812e-05
