Index       TIME              V(1A)             V(2A)             V(3A)        {I(C1A)+I(C1B)}        I(C2)             I(C3)        {P(C1A)+P(C1B)}        P(C2)             P(C3)      
53       3.12172918e-02    3.23032505e-01    5.41844737e-01    5.41844737e-01    6.76967495e-04    4.58155263e-04    4.58155263e-04    2.18682506e-04    2.48249018e-04    2.48249018e-04
54       3.53781392e-02    3.57349560e-01    5.87146423e-01    5.87146423e-01    6.42650440e-04    4.12853577e-04    4.12853577e-04    2.29650852e-04    2.42405501e-04    2.42405501e-04
55       3.95389866e-02    3.89927004e-01    6.27968748e-01    6.27968748e-01    6.10072996e-04    3.72031252e-04    3.72031252e-04    2.37883936e-04    2.33624000e-04    2.33624000e-04
56       4.36998340e-02    4.20853022e-01    6.64754624e-01    6.64754624e-01    5.79146978e-04    3.35245376e-04    3.35245376e-04    2.43735756e-04    2.22855914e-04    2.22855914e-04
57       4.78606813e-02    4.50211328e-01    6.97903169e-01    6.97903169e-01    5.49788672e-04    3.02096831e-04    3.02096831e-04    2.47521088e-04    2.10834336e-04    2.10834336e-04
58       5.20215287e-02    4.78081393e-01    7.27774038e-01    7.27774038e-01    5.21918607e-04    2.72225962e-04    2.72225962e-04    2.49519575e-04    1.98118988e-04    1.98118988e-04
59       5.61823761e-02    5.04538660e-01    7.54691321e-01    7.54691321e-01    4.95461340e-04    2.45308679e-04    2.45308679e-04    2.49979401e-04    1.85132331e-04    1.85132331e-04
60       6.03432235e-02    5.29654746e-01    7.78947065e-01    7.78947065e-01    4.70345254e-04    2.21052935e-04    2.21052935e-04    2.49120596e-04    1.72188535e-04    1.72188535e-04
61       6.45040709e-02    5.53497640e-01    8.00804438e-01    8.00804438e-01    4.46502360e-04    1.99195562e-04    1.99195562e-04    2.47138003e-04    1.59516690e-04    1.59516690e-04
62       6.86649182e-02    5.76131882e-01    8.20500588e-01    8.20500588e-01    4.23868118e-04    1.79499412e-04    1.79499412e-04    2.44203937e-04    1.47279373e-04    1.47279373e-04
63       7.28257656e-02    5.97618741e-01    8.38249213e-01    8.38249213e-01    4.02381259e-04    1.61750787e-04    1.61750787e-04    2.40470581e-04    1.35587470e-04    1.35587470e-04
64       7.69866130e-02    6.18016382e-01    8.54242881e-01    8.54242881e-01    3.81983618e-04    1.45757119e-04    1.45757119e-04    2.36072134e-04    1.24511981e-04    1.24511981e-04
65       8.53083077e-02    6.55786333e-01    8.81709434e-01    8.81709434e-01    3.44213667e-04    1.18290566e-04    1.18290566e-04    2.25730618e-04    1.04297908e-04    1.04297908e-04
66       9.36300025e-02    6.89821650e-01    9.04000174e-01    9.04000174e-01    3.10178350e-04    9.59998255e-05    9.59998255e-05    2.13967741e-04    8.67838590e-05    8.67838590e-05
67       1.00011000e-01    7.13613396e-01    9.18183263e-01    9.18183263e-01    2.86386604e-04    8.18167375e-05    8.18167375e-05    2.04369317e-04    7.51227589e-05    7.51227589e-05
68       1.00011006e-01    7.13613418e-01    9.18183274e-01    9.18183274e-01    2.80136582e-04    7.55667252e-05    7.55667252e-05    1.99909224e-04    6.93841032e-05    6.93841032e-05
69       1.00011013e-01    7.13613440e-01    9.18183285e-01    9.18183285e-01    2.73886560e-04    6.93167149e-05    6.93167149e-05    1.95449130e-04    6.36454490e-05    6.36454490e-05
70       1.00011025e-01    7.13613481e-01    9.18183305e-01    9.18183305e-01    2.61386518e-04    5.68166944e-05    5.68166944e-05    1.86528943e-04    5.21681402e-05    5.21681402e-05
71       1.00011050e-01    7.13613559e-01    9.18183333e-01    9.18183333e-01    2.36386441e-04    3.18166684e-05    3.18166684e-05    1.68688570e-04    2.92135347e-05    2.92135347e-05
72       1.00011100e-01    7.13613691e-01    9.18183341e-01    9.18183341e-01    1.86386308e-04   -1.81833422e-05   -1.81833422e-05    1.33007822e-04   -1.66956419e-05   -1.66956419e-05
73       1.00011200e-01    7.13613862e-01    9.18183171e-01    9.18183171e-01    8.63861386e-05   -1.18183170e-04   -1.18183170e-04    6.16463460e-05   -1.08513797e-04   -1.08513797e-04
74       1.00011400e-01    7.13613828e-01    9.18182080e-01    9.18182080e-01   -1.13613828e-04   -3.18182081e-04   -3.18182081e-04   -8.10763987e-05   -2.92149085e-04   -2.92149085e-04
75       1.00011800e-01    7.13612260e-01    9.18176898e-01    9.18176898e-01   -5.13612259e-04   -7.18176897e-04   -7.18176897e-04   -3.66520005e-04   -6.59413435e-04   -6.59413435e-04
76       1.00012000e-01    7.13610726e-01    9.18172807e-01    9.18172807e-01   -7.13610726e-04   -9.18172808e-04   -9.18172808e-04   -5.09240268e-04   -8.43041305e-04   -8.43041305e-04
77       1.00012080e-01    7.13610012e-01    9.18170971e-01    9.18170971e-01   -7.13610012e-04   -9.18170971e-04   -9.18170971e-04   -5.09239249e-04   -8.43037931e-04   -8.43037931e-04
78       1.00012240e-01    7.13608585e-01    9.18167298e-01    9.18167298e-01   -7.13608585e-04   -9.18167298e-04   -9.18167298e-04   -5.09237212e-04   -8.43031187e-04   -8.43031187e-04
79       1.00012560e-01    7.13605730e-01    9.18159953e-01    9.18159953e-01   -7.13605730e-04   -9.18159953e-04   -9.18159953e-04   -5.09233138e-04   -8.43017699e-04   -8.43017699e-04
80       1.00013200e-01    7.13600022e-01    9.18145262e-01    9.18145262e-01   -7.13600022e-04   -9.18145262e-04   -9.18145262e-04   -5.09224991e-04   -8.42990723e-04   -8.42990723e-04
81       1.00014480e-01    7.13588604e-01    9.18115882e-01    9.18115882e-01   -7.13588604e-04   -9.18115882e-04   -9.18115882e-04   -5.09208696e-04   -8.42936773e-04   -8.42936773e-04
82       1.00017040e-01    7.13565770e-01    9.18057125e-01    9.18057125e-01   -7.13565770e-04   -9.18057125e-04   -9.18057125e-04   -5.09176108e-04   -8.42828884e-04   -8.42828884e-04
83       1.00022160e-01    7.13520103e-01    9.17939621e-01    9.17939621e-01   -7.13520103e-04   -9.17939621e-04   -9.17939621e-04   -5.09110937e-04   -8.42613147e-04   -8.42613147e-04
84       1.00032400e-01    7.13428778e-01    9.17704658e-01    9.17704658e-01   -7.13428778e-04   -9.17704658e-04   -9.17704658e-04   -5.08980621e-04   -8.42181840e-04   -8.42181840e-04
85       1.00052880e-01    7.13246164e-01    9.17234914e-01    9.17234914e-01   -7.13246164e-04   -9.17234914e-04   -9.17234914e-04   -5.08720090e-04   -8.41319887e-04   -8.41319887e-04
86       1.00093840e-01    7.12881075e-01    9.16296146e-01    9.16296146e-01   -7.12881075e-04   -9.16296146e-04   -9.16296146e-04   -5.08199427e-04   -8.39598627e-04   -8.39598627e-04
87       1.00175760e-01    7.12151458e-01    9.14421491e-01    9.14421491e-01   -7.12151459e-04   -9.14421491e-04   -9.14421491e-04   -5.07159700e-04   -8.36166663e-04   -8.36166663e-04
88       1.00339600e-01    7.10694464e-01    9.10683676e-01    9.10683676e-01   -7.10694464e-04   -9.10683676e-04   -9.10683676e-04   -5.05086622e-04   -8.29344757e-04   -8.29344757e-04
89       1.00667280e-01    7.07789409e-01    9.03253788e-01    9.03253788e-01   -7.07789409e-04   -9.03253788e-04   -9.03253788e-04   -5.00965848e-04   -8.15867405e-04   -8.15867405e-04
90       1.01322640e-01    7.02014851e-01    8.88575125e-01    8.88575125e-01   -7.02014851e-04   -8.88575125e-04   -8.88575125e-04   -4.92824851e-04   -7.89565753e-04   -7.89565753e-04
