Index       TIME              V(1A)             V(2A)             I(C1)             I(C2)             P(C1)             P(C2)      
117      1.93536600e-01    7.91287245e-03    7.91287245e-03   -7.91287245e-06   -7.91287245e-06   -6.26135504e-08   -6.26135504e-08
118      1.95379800e-01    7.55645905e-03    7.55645905e-03   -7.55645904e-06   -7.55645904e-06   -5.71000733e-08   -5.71000733e-08
119      1.97223000e-01    7.21609930e-03    7.21609930e-03   -7.21609931e-06   -7.21609931e-06   -5.20720892e-08   -5.20720892e-08
120      1.99066200e-01    6.89107012e-03    6.89107012e-03   -6.89107011e-06   -6.89107011e-06   -4.74868473e-08   -4.74868473e-08
121      2.00909400e-01    6.58068098e-03    6.58068098e-03   -6.58068098e-06   -6.58068098e-06   -4.33053622e-08   -4.33053622e-08
122      2.02752600e-01    6.28427245e-03    6.28427245e-03   -6.28427244e-06   -6.28427244e-06   -3.94920801e-08   -3.94920801e-08
123      2.04595800e-01    6.00121482e-03    6.00121482e-03   -6.00121483e-06   -6.00121483e-06   -3.60145794e-08   -3.60145794e-08
124      2.06439000e-01    5.73090674e-03    5.73090674e-03   -5.73090673e-06   -5.73090673e-06   -3.28432920e-08   -3.28432920e-08
125      2.08282200e-01    5.47277394e-03    5.47277394e-03   -5.47277395e-06   -5.47277395e-06   -2.99512546e-08   -2.99512546e-08
126      2.10125400e-01    5.22626801e-03    5.22626801e-03   -5.22626800e-06   -5.22626800e-06   -2.73138773e-08   -2.73138773e-08
127      2.11968600e-01    4.99086526e-03    4.99086526e-03   -4.99086527e-06   -4.99086527e-06   -2.49087361e-08   -2.49087361e-08
128      2.13811800e-01    4.76606557e-03    4.76606557e-03   -4.76606557e-06   -4.76606557e-06   -2.27153810e-08   -2.27153810e-08
129      2.15655000e-01    4.55139137e-03    4.55139137e-03   -4.55139138e-06   -4.55139138e-06   -2.07151634e-08   -2.07151634e-08
130      2.17498200e-01    4.34638656e-03    4.34638656e-03   -4.34638655e-06   -4.34638655e-06   -1.88910761e-08   -1.88910761e-08
131      2.19341400e-01    4.15061563e-03    4.15061563e-03   -4.15061564e-06   -4.15061564e-06   -1.72276102e-08   -1.72276102e-08
