Index     V(DRAIN)           V(GATE)        {-I(VDRAIN)}   
230     -7.10000000e-02   -2.00000000e-01   -1.16355050e-07
231     -7.00000000e-02   -2.00000000e-01   -1.12368395e-07
232     -6.90000000e-02   -2.00000000e-01   -1.08510597e-07
233     -6.80000000e-02   -2.00000000e-01   -1.04777696e-07
234     -6.70000000e-02   -2.00000000e-01   -1.01165839e-07
235     -6.60000000e-02   -2.00000000e-01   -9.76712709e-08
236     -6.50000000e-02   -2.00000000e-01   -9.42903377e-08
237     -6.40000000e-02   -2.00000000e-01   -9.10194820e-08
238     -6.30000000e-02   -2.00000000e-01   -8.78552409e-08
239     -6.20000000e-02   -2.00000000e-01   -8.47942440e-08
240     -6.10000000e-02   -2.00000000e-01   -8.18332116e-08
241     -6.00000000e-02   -2.00000000e-01   -7.89689517e-08
242     -5.90000000e-02   -2.00000000e-01   -7.61983583e-08
243     -5.80000000e-02   -2.00000000e-01   -7.35184092e-08
244     -5.70000000e-02   -2.00000000e-01   -7.09261635e-08
245     -5.60000000e-02   -2.00000000e-01   -6.84187597e-08
246     -5.50000000e-02   -2.00000000e-01   -6.59934135e-08
247     -5.40000000e-02   -2.00000000e-01   -6.36474151e-08
248     -5.30000000e-02   -2.00000000e-01   -6.13781278e-08
249     -5.20000000e-02   -2.00000000e-01   -5.91829852e-08
250     -5.10000000e-02   -2.00000000e-01   -5.70594892e-08
251     -5.00000000e-02   -2.00000000e-01   -5.50052076e-08
252     -4.90000000e-02   -2.00000000e-01   -5.30177725e-08
253     -4.80000000e-02   -2.00000000e-01   -5.10948772e-08
254     -4.70000000e-02   -2.00000000e-01   -4.92342749e-08
255     -4.60000000e-02   -2.00000000e-01   -4.74337757e-08
256     -4.50000000e-02   -2.00000000e-01   -4.56912450e-08
257     -4.40000000e-02   -2.00000000e-01   -4.40046008e-08
258     -4.30000000e-02   -2.00000000e-01   -4.23718119e-08
259     -4.20000000e-02   -2.00000000e-01   -4.07908953e-08
260     -4.10000000e-02   -2.00000000e-01   -3.92599144e-08
261     -4.00000000e-02   -2.00000000e-01   -3.77769763e-08
262     -3.90000000e-02   -2.00000000e-01   -3.63402299e-08
263     -3.80000000e-02   -2.00000000e-01   -3.49478639e-08
264     -3.70000000e-02   -2.00000000e-01   -3.35981043e-08
265     -3.60000000e-02   -2.00000000e-01   -3.22892123e-08
266     -3.50000000e-02   -2.00000000e-01   -3.10194825e-08
267     -3.40000000e-02   -2.00000000e-01   -2.97872411e-08
268     -3.30000000e-02   -2.00000000e-01   -2.85908432e-08
269     -3.20000000e-02   -2.00000000e-01   -2.74286721e-08
270     -3.10000000e-02   -2.00000000e-01   -2.62991370e-08
271     -3.00000000e-02   -2.00000000e-01   -2.52006716e-08
272     -2.90000000e-02   -2.00000000e-01   -2.41317333e-08
273     -2.80000000e-02   -2.00000000e-01   -2.30908016e-08
274     -2.70000000e-02   -2.00000000e-01   -2.20763780e-08
275     -2.60000000e-02   -2.00000000e-01   -2.10869848e-08
276     -2.50000000e-02   -2.00000000e-01   -2.01211657e-08
277     -2.40000000e-02   -2.00000000e-01   -1.91774850e-08
278     -2.30000000e-02   -2.00000000e-01   -1.82545290e-08
279     -2.20000000e-02   -2.00000000e-01   -1.73509058e-08
280     -2.10000000e-02   -2.00000000e-01   -1.64652468e-08
281     -2.00000000e-02   -2.00000000e-01   -1.55962076e-08
282     -1.90000000e-02   -2.00000000e-01   -1.47424697e-08
283     -1.80000000e-02   -2.00000000e-01   -1.39027424e-08
284     -1.70000000e-02   -2.00000000e-01   -1.30757650e-08
285     -1.60000000e-02   -2.00000000e-01   -1.22603097e-08
286     -1.50000000e-02   -2.00000000e-01   -1.14551864e-08
287     -1.40000000e-02   -2.00000000e-01   -1.06592468e-08
288     -1.30000000e-02   -2.00000000e-01   -9.87139204e-09
289     -1.20000000e-02   -2.00000000e-01   -9.09058012e-09
290     -1.10000000e-02   -2.00000000e-01   -8.31583517e-09
291     -1.00000000e-02   -2.00000000e-01   -7.54625712e-09
292     -9.00000000e-03   -2.00000000e-01   -6.78103082e-09
293     -8.00000000e-03   -2.00000000e-01   -6.01943365e-09
294     -7.00000000e-03   -2.00000000e-01   -5.26084016e-09
295     -6.00000000e-03   -2.00000000e-01   -4.50472252e-09
296     -5.00000000e-03   -2.00000000e-01   -3.75064564e-09
297     -4.00000000e-03   -2.00000000e-01   -2.99825597e-09
298     -3.00000000e-03   -2.00000000e-01   -2.24726260e-09
299     -2.00000000e-03   -2.00000000e-01   -1.49740895e-09
300     -1.00000000e-03   -2.00000000e-01   -7.48430755e-10
301      0.00000000e+00   -2.00000000e-01    1.27109903e-14
302      1.00000000e-03   -2.00000000e-01    7.48456179e-10
303      2.00000000e-03   -2.00000000e-01    1.49743438e-09
304      3.00000000e-03   -2.00000000e-01    2.24728803e-09
305      4.00000000e-03   -2.00000000e-01    2.99828141e-09
306      5.00000000e-03   -2.00000000e-01    3.75067110e-09
307      6.00000000e-03   -2.00000000e-01    4.50474799e-09
308      7.00000000e-03   -2.00000000e-01    5.26086565e-09
309      8.00000000e-03   -2.00000000e-01    6.01945916e-09
310      9.00000000e-03   -2.00000000e-01    6.78105634e-09
311      1.00000000e-02   -2.00000000e-01    7.54628267e-09
312      1.10000000e-02   -2.00000000e-01    8.31586075e-09
313      1.20000000e-02   -2.00000000e-01    9.09060573e-09
314      1.30000000e-02   -2.00000000e-01    9.87141768e-09
315      1.40000000e-02   -2.00000000e-01    1.06592725e-08
316      1.50000000e-02   -2.00000000e-01    1.14552121e-08
317      1.60000000e-02   -2.00000000e-01    1.22603355e-08
318      1.70000000e-02   -2.00000000e-01    1.30757908e-08
319      1.80000000e-02   -2.00000000e-01    1.39027683e-08
320      1.90000000e-02   -2.00000000e-01    1.47424956e-08
321      2.00000000e-02   -2.00000000e-01    1.55962335e-08
322      2.10000000e-02   -2.00000000e-01    1.64652728e-08
323      2.20000000e-02   -2.00000000e-01    1.73509318e-08
324      2.30000000e-02   -2.00000000e-01    1.82545551e-08
325      2.40000000e-02   -2.00000000e-01    1.91775112e-08
326      2.50000000e-02   -2.00000000e-01    2.01211919e-08
327      2.60000000e-02   -2.00000000e-01    2.10870112e-08
328      2.70000000e-02   -2.00000000e-01    2.20764044e-08
329      2.80000000e-02   -2.00000000e-01    2.30908281e-08
330      2.90000000e-02   -2.00000000e-01    2.41317598e-08
331      3.00000000e-02   -2.00000000e-01    2.52006983e-08
332      3.10000000e-02   -2.00000000e-01    2.62991637e-08
333      3.20000000e-02   -2.00000000e-01    2.74286990e-08
334      3.30000000e-02   -2.00000000e-01    2.85908701e-08
335      3.40000000e-02   -2.00000000e-01    2.97872681e-08
336      3.50000000e-02   -2.00000000e-01    3.10195096e-08
337      3.60000000e-02   -2.00000000e-01    3.22892395e-08
338      3.70000000e-02   -2.00000000e-01    3.35981316e-08
339      3.80000000e-02   -2.00000000e-01    3.49478914e-08
340      3.90000000e-02   -2.00000000e-01    3.63402575e-08
341      4.00000000e-02   -2.00000000e-01    3.77770039e-08
342      4.10000000e-02   -2.00000000e-01    3.92599422e-08
343      4.20000000e-02   -2.00000000e-01    4.07909232e-08
344      4.30000000e-02   -2.00000000e-01    4.23718399e-08
345      4.40000000e-02   -2.00000000e-01    4.40046289e-08
346      4.50000000e-02   -2.00000000e-01    4.56912732e-08
347      4.60000000e-02   -2.00000000e-01    4.74338041e-08
348      4.70000000e-02   -2.00000000e-01    4.92343034e-08
349      4.80000000e-02   -2.00000000e-01    5.10949059e-08
350      4.90000000e-02   -2.00000000e-01    5.30178013e-08
351      5.00000000e-02   -2.00000000e-01    5.50052366e-08
352      5.10000000e-02   -2.00000000e-01    5.70595183e-08
353      5.20000000e-02   -2.00000000e-01    5.91830146e-08
354      5.30000000e-02   -2.00000000e-01    6.13781574e-08
355      5.40000000e-02   -2.00000000e-01    6.36474448e-08
356      5.50000000e-02   -2.00000000e-01    6.59934433e-08
357      5.60000000e-02   -2.00000000e-01    6.84187898e-08
358      5.70000000e-02   -2.00000000e-01    7.09261937e-08
359      5.80000000e-02   -2.00000000e-01    7.35184396e-08
360      5.90000000e-02   -2.00000000e-01    7.61983890e-08
361      6.00000000e-02   -2.00000000e-01    7.89689825e-08
362      6.10000000e-02   -2.00000000e-01    8.18332427e-08
363      6.20000000e-02   -2.00000000e-01    8.47942753e-08
364      6.30000000e-02   -2.00000000e-01    8.78552724e-08
365      6.40000000e-02   -2.00000000e-01    9.10195137e-08
366      6.50000000e-02   -2.00000000e-01    9.42903697e-08
367      6.60000000e-02   -2.00000000e-01    9.76713031e-08
368      6.70000000e-02   -2.00000000e-01    1.01165871e-07
369      6.80000000e-02   -2.00000000e-01    1.04777729e-07
370      6.90000000e-02   -2.00000000e-01    1.08510630e-07
371      7.00000000e-02   -2.00000000e-01    1.12368428e-07
372      7.10000000e-02   -2.00000000e-01    1.16355083e-07
373      7.20000000e-02   -2.00000000e-01    1.20474659e-07
374      7.30000000e-02   -2.00000000e-01    1.24731328e-07
375      7.40000000e-02   -2.00000000e-01    1.29129372e-07
376      7.50000000e-02   -2.00000000e-01    1.33673185e-07
377      7.60000000e-02   -2.00000000e-01    1.38367278e-07
378      7.70000000e-02   -2.00000000e-01    1.43216276e-07
379      7.80000000e-02   -2.00000000e-01    1.48224922e-07
380      7.90000000e-02   -2.00000000e-01    1.53398083e-07
381      8.00000000e-02   -2.00000000e-01    1.58740746e-07
382      8.10000000e-02   -2.00000000e-01    1.64258025e-07
383      8.20000000e-02   -2.00000000e-01    1.69955158e-07
384      8.30000000e-02   -2.00000000e-01    1.75837517e-07
385      8.40000000e-02   -2.00000000e-01    1.81910600e-07
386      8.50000000e-02   -2.00000000e-01    1.88180040e-07
387      8.60000000e-02   -2.00000000e-01    1.94651604e-07
388      8.70000000e-02   -2.00000000e-01    2.01331197e-07
389      8.80000000e-02   -2.00000000e-01    2.08224860e-07
390      8.90000000e-02   -2.00000000e-01    2.15338775e-07
391      9.00000000e-02   -2.00000000e-01    2.22679267e-07
392      9.10000000e-02   -2.00000000e-01    2.30252802e-07
393      9.20000000e-02   -2.00000000e-01    2.38065991e-07
394      9.30000000e-02   -2.00000000e-01    2.46125592e-07
395      9.40000000e-02   -2.00000000e-01    2.54438511e-07
396      9.50000000e-02   -2.00000000e-01    2.63011799e-07
397      9.60000000e-02   -2.00000000e-01    2.71852662e-07
398      9.70000000e-02   -2.00000000e-01    2.80968453e-07
399      9.80000000e-02   -2.00000000e-01    2.90366678e-07
400      9.90000000e-02   -2.00000000e-01    3.00054997e-07
401      1.00000000e-01   -2.00000000e-01    3.10041221e-07
402     -1.00000000e-01   -4.00000000e-01   -1.97666729e-05
403     -9.90000000e-02   -4.00000000e-01   -1.94981349e-05
404     -9.80000000e-02   -4.00000000e-01   -1.92316303e-05
405     -9.70000000e-02   -4.00000000e-01   -1.89671508e-05
406     -9.60000000e-02   -4.00000000e-01   -1.87046883e-05
407     -9.50000000e-02   -4.00000000e-01   -1.84442343e-05
408     -9.40000000e-02   -4.00000000e-01   -1.81857799e-05
409     -9.30000000e-02   -4.00000000e-01   -1.79293163e-05
410     -9.20000000e-02   -4.00000000e-01   -1.76748344e-05
411     -9.10000000e-02   -4.00000000e-01   -1.74223248e-05
412     -9.00000000e-02   -4.00000000e-01   -1.71717780e-05
413     -8.90000000e-02   -4.00000000e-01   -1.69231841e-05
414     -8.80000000e-02   -4.00000000e-01   -1.66765332e-05
415     -8.70000000e-02   -4.00000000e-01   -1.64318149e-05
416     -8.60000000e-02   -4.00000000e-01   -1.61890187e-05
417     -8.50000000e-02   -4.00000000e-01   -1.59481337e-05
418     -8.40000000e-02   -4.00000000e-01   -1.57091488e-05
419     -8.30000000e-02   -4.00000000e-01   -1.54720526e-05
420     -8.20000000e-02   -4.00000000e-01   -1.52368333e-05
421     -8.10000000e-02   -4.00000000e-01   -1.50034790e-05
422     -8.00000000e-02   -4.00000000e-01   -1.47719772e-05
423     -7.90000000e-02   -4.00000000e-01   -1.45423153e-05
424     -7.80000000e-02   -4.00000000e-01   -1.43144800e-05
425     -7.70000000e-02   -4.00000000e-01   -1.40884581e-05
426     -7.60000000e-02   -4.00000000e-01   -1.38642355e-05
427     -7.50000000e-02   -4.00000000e-01   -1.36417982e-05
428     -7.40000000e-02   -4.00000000e-01   -1.34211313e-05
429     -7.30000000e-02   -4.00000000e-01   -1.32022197e-05
430     -7.20000000e-02   -4.00000000e-01   -1.29850480e-05
431     -7.10000000e-02   -4.00000000e-01   -1.27695999e-05
432     -7.00000000e-02   -4.00000000e-01   -1.25558589e-05
433     -6.90000000e-02   -4.00000000e-01   -1.23438079e-05
434     -6.80000000e-02   -4.00000000e-01   -1.21334293e-05
435     -6.70000000e-02   -4.00000000e-01   -1.19247048e-05
436     -6.60000000e-02   -4.00000000e-01   -1.17176157e-05
437     -6.50000000e-02   -4.00000000e-01   -1.15121424e-05
438     -6.40000000e-02   -4.00000000e-01   -1.13082649e-05
439     -6.30000000e-02   -4.00000000e-01   -1.11059625e-05
440     -6.20000000e-02   -4.00000000e-01   -1.09052137e-05
441     -6.10000000e-02   -4.00000000e-01   -1.07059962e-05
442     -6.00000000e-02   -4.00000000e-01   -1.05082871e-05
443     -5.90000000e-02   -4.00000000e-01   -1.03120627e-05
444     -5.80000000e-02   -4.00000000e-01   -1.01172984e-05
445     -5.70000000e-02   -4.00000000e-01   -9.92396864e-06
446     -5.60000000e-02   -4.00000000e-01   -9.73204715e-06
447     -5.50000000e-02   -4.00000000e-01   -9.54150664e-06
448     -5.40000000e-02   -4.00000000e-01   -9.35231885e-06
449     -5.30000000e-02   -4.00000000e-01   -9.16445453e-06
450     -5.20000000e-02   -4.00000000e-01   -8.97788337e-06
451     -5.10000000e-02   -4.00000000e-01   -8.79257399e-06
452     -5.00000000e-02   -4.00000000e-01   -8.60849391e-06
