Index     V(DRAIN)           V(GATE)        {-I(VDRAIN)}   
382      8.10000000e-02    2.00000000e-01    8.46121035e-06
383      8.20000000e-02    2.00000000e-01    8.65041664e-06
384      8.30000000e-02    2.00000000e-01    8.84244427e-06
385      8.40000000e-02    2.00000000e-01    9.03731023e-06
386      8.50000000e-02    2.00000000e-01    9.23503107e-06
387      8.60000000e-02    2.00000000e-01    9.43562292e-06
388      8.70000000e-02    2.00000000e-01    9.63910149e-06
389      8.80000000e-02    2.00000000e-01    9.84548207e-06
390      8.90000000e-02    2.00000000e-01    1.00547796e-05
391      9.00000000e-02    2.00000000e-01    1.02670084e-05
392      9.10000000e-02    2.00000000e-01    1.04821827e-05
393      9.20000000e-02    2.00000000e-01    1.07003161e-05
394      9.30000000e-02    2.00000000e-01    1.09214219e-05
395      9.40000000e-02    2.00000000e-01    1.11455129e-05
396      9.50000000e-02    2.00000000e-01    1.13726016e-05
397      9.60000000e-02    2.00000000e-01    1.16027001e-05
398      9.70000000e-02    2.00000000e-01    1.18358202e-05
399      9.80000000e-02    2.00000000e-01    1.20719731e-05
400      9.90000000e-02    2.00000000e-01    1.23111697e-05
401      1.00000000e-01    2.00000000e-01    1.25534207e-05
402     -1.00000000e-01    4.00000000e-01   -9.48997421e-05
403     -9.90000000e-02    4.00000000e-01   -9.40078722e-05
404     -9.80000000e-02    4.00000000e-01   -9.31156958e-05
405     -9.70000000e-02    4.00000000e-01   -9.22231843e-05
406     -9.60000000e-02    4.00000000e-01   -9.13303090e-05
407     -9.50000000e-02    4.00000000e-01   -9.04370406e-05
408     -9.40000000e-02    4.00000000e-01   -8.95433497e-05
409     -9.30000000e-02    4.00000000e-01   -8.86492066e-05
410     -9.20000000e-02    4.00000000e-01   -8.77545812e-05
411     -9.10000000e-02    4.00000000e-01   -8.68594434e-05
412     -9.00000000e-02    4.00000000e-01   -8.59637625e-05
413     -8.90000000e-02    4.00000000e-01   -8.50675078e-05
414     -8.80000000e-02    4.00000000e-01   -8.41706482e-05
415     -8.70000000e-02    4.00000000e-01   -8.32731524e-05
416     -8.60000000e-02    4.00000000e-01   -8.23749887e-05
417     -8.50000000e-02    4.00000000e-01   -8.14761254e-05
418     -8.40000000e-02    4.00000000e-01   -8.05765304e-05
419     -8.30000000e-02    4.00000000e-01   -7.96761713e-05
420     -8.20000000e-02    4.00000000e-01   -7.87750154e-05
