Index        TIME             R1:R            R1:TEMP           I(R1)            R2:R            R2:TEMP           I(R2)           R3:TEMP          R4:TEMP          R5:TEMP
85      9.61542654e-03   3.00478516e-04   2.16941034e+02   1.66401248e+04   4.34499189e-04   9.60388289e+01   1.15075013e+04   2.75594825e+01   2.92393739e+01   2.75594825e+01   
86      9.88875373e-03   3.03063724e-04   2.20377048e+02   1.64981804e+04   4.36864360e-04   9.76202486e+01   1.14452000e+04   2.75753080e+01   2.93027593e+01   2.75753080e+01   
87      1.01659558e-02   3.05468933e-04   2.23810297e+02   1.63682766e+04   4.39078348e-04   9.92092065e+01   1.13874893e+04   2.75913535e+01   2.93670281e+01   2.75913535e+01   
88      1.04683956e-02   3.07872208e-04   2.27501242e+02   1.62405046e+04   4.41302889e-04   1.00926744e+02   1.13300867e+04   2.76088550e+01   2.94371314e+01   2.76088550e+01   
89      1.08127606e-02   3.10455870e-04   2.31638181e+02   1.61053486e+04   4.43707441e-04   1.02862860e+02   1.12686864e+04   2.76287766e+01   2.95169319e+01   2.76287766e+01   
90      1.12017207e-02   3.13351727e-04   2.36229778e+02   1.59565101e+04   4.46418004e-04   1.05025251e+02   1.12002651e+04   2.76512704e+01   2.96070397e+01   2.76512704e+01   
91      1.16157267e-02   3.16565845e-04   2.41023866e+02   1.57945024e+04   4.49445352e-04   1.07298332e+02   1.11248230e+04   2.76752032e+01   2.97029175e+01   2.76752032e+01   
92      1.20216352e-02   3.19921706e-04   2.45631573e+02   1.56288239e+04   4.52627664e-04   1.09498085e+02   1.10466072e+04   2.76986583e+01   2.97968866e+01   2.76986583e+01   
93      1.23977579e-02   3.23147101e-04   2.49821053e+02   1.54728295e+04   4.55707319e-04   1.11511026e+02   1.09719546e+04   2.77203835e+01   2.98839296e+01   2.77203835e+01   
94      1.27469790e-02   3.26079737e-04   2.53645063e+02   1.53336728e+04   4.58525436e-04   1.13358804e+02   1.09045205e+04   2.77405472e+01   2.99647209e+01   2.77405472e+01   
95      1.30894644e-02   3.28756544e-04   2.57337812e+02   1.52088227e+04   4.61112326e-04   1.15152177e+02   1.08433449e+04   2.77603152e+01   3.00439301e+01   2.77603152e+01   
96      1.34514675e-02   3.31341469e-04   2.61183630e+02   1.50901728e+04   4.63623048e-04   1.17028793e+02   1.07846235e+04   2.77812026e+01   3.01276287e+01   2.77812026e+01   
97      1.38572687e-02   3.34033541e-04   2.65429263e+02   1.49685567e+04   4.66250310e-04   1.19110560e+02   1.07238535e+04   2.78046087e+01   3.02214245e+01   2.78046087e+01   
98      1.43195919e-02   3.37005484e-04   2.70185845e+02   1.48365538e+04   4.69164784e-04   1.21455065e+02   1.06572364e+04   2.78312642e+01   3.03282475e+01   2.78312642e+01   
99      1.48272168e-02   3.40335092e-04   2.75312197e+02   1.46914030e+04   4.72447091e-04   1.23996255e+02   1.05831956e+04   2.78605182e+01   3.04454911e+01   2.78605182e+01   
100     1.53440167e-02   3.43923538e-04   2.80428537e+02   1.45381151e+04   4.76004757e-04   1.26547635e+02   1.05040967e+04   2.78902859e+01   3.05648017e+01   2.78902859e+01   
