Index       TIME            {V(4)+1}         {V(11)-0.5}   
145      2.00776348e-03    5.00000000e+00   -6.30749506e-01
146      2.00856017e-03    5.00000000e+00   -6.40957046e-01
147      2.00935685e-03    5.00000000e+00   -6.50068040e-01
148      2.01015353e-03    5.00000000e+00   -6.59532282e-01
149      2.01174689e-03    5.00000000e+00   -6.79457079e-01
150      2.01334026e-03    5.00000000e+00   -7.00535823e-01
151      2.01652699e-03    5.00000000e+00   -1.04352567e+00
152      2.01700025e-03    5.00000000e+00   -1.17847390e+00
153      2.01747352e-03    5.00000000e+00   -1.33293090e+00
154      2.01842005e-03    5.00000000e+00   -1.73093117e+00
155      2.01936659e-03    5.00000000e+00   -2.19370256e+00
156      2.02125966e-03    5.00000000e+00   -3.16464220e+00
157      2.02315272e-03    5.00000000e+00   -4.12934793e+00
158      2.02504579e-03    5.00000000e+00   -4.68894916e+00
159      2.02667954e-03    5.00000000e+00   -4.67682826e+00
160      2.02831328e-03    5.00000000e+00   -4.63339269e+00
161      2.02994703e-03    5.00000000e+00   -4.66532744e+00
162      2.03158078e-03    5.00000000e+00   -4.64922496e+00
163      2.03321452e-03    5.00000000e+00   -4.65524020e+00
164      2.03648201e-03    5.00000000e+00   -4.65366435e+00
165      2.03974950e-03    5.00000000e+00   -4.65372031e+00
166      2.04628449e-03    5.00000000e+00   -4.65445470e+00
167      2.05935445e-03    5.00000000e+00   -4.65344087e+00
168      2.07242442e-03    5.00000000e+00   -4.65460490e+00
169      2.09856435e-03    5.00000000e+00   -4.65334001e+00
170      2.15084420e-03    5.00000000e+00   -4.65465200e+00
171      2.25540392e-03    5.00000000e+00   -4.65331705e+00
172      2.45540392e-03    5.00000000e+00   -4.65466379e+00
173      2.65540392e-03    5.00000000e+00   -4.65330853e+00
174      2.85540392e-03    5.00000000e+00   -4.65467092e+00
175      3.00000100e-03    5.00000000e+00   -4.65330015e+00
176      3.00000110e-03    4.60000000e+00   -4.65330129e+00
177      3.00000118e-03    4.28016874e+00   -4.65330219e+00
178      3.00000126e-03    3.96033748e+00   -4.65330310e+00
179      3.00000142e-03    3.32067496e+00   -4.65330491e+00
180      3.00000174e-03    2.04134992e+00   -4.65330853e+00
181      3.00000200e-03    1.00000000e+00   -4.65331147e+00
182      3.00000206e-03    1.00000000e+00   -4.65331219e+00
183      3.00000219e-03    1.00000000e+00   -4.65331363e+00
184      3.00000245e-03    1.00000000e+00   -4.65331651e+00
185      3.00000296e-03    1.00000000e+00   -4.65332225e+00
