 TITLE = " Xyce homotopy data, homotopy-step-tecplot.cir", 
	VARIABLES = " Vtest:DCV0" 
" IVAR" 
" I(VTEST)" 
DATASETAUXDATA TIME= " 12:03:40 PM Oct 09, 2017 " 
ZONE F=POINT T= "  IVAR = 1.00e+00 A = 3.00e+00" 
ZONE F=POINT T= "  IVAR = 1.00e+00 A = 4.00e+00" 
    0.00000000e+00   1.00000000e+00    1.15353823e-01
    9.99964953e-03   1.00000000e+00    1.16709376e-01
    2.08695758e-02   1.00000000e+00    1.18188931e-01
    3.26854291e-02   1.00000000e+00    1.19804442e-01
    4.55294157e-02   1.00000000e+00    1.21569137e-01
    5.94908618e-02   1.00000000e+00    1.23497680e-01
    7.46668239e-02   1.00000000e+00    1.25606356e-01
    9.11627505e-02   1.00000000e+00    1.27913289e-01
    1.09093198e-01   1.00000000e+00    1.30438697e-01
    1.28582604e-01   1.00000000e+00    1.33205191e-01
    1.49766127e-01   1.00000000e+00    1.36238129e-01
    1.72790543e-01   1.00000000e+00    1.39566047e-01
    1.97815224e-01   1.00000000e+00    1.43221167e-01
    2.25013174e-01   1.00000000e+00    1.47240023e-01
    2.54572153e-01   1.00000000e+00    1.51664224e-01
    2.86695863e-01   1.00000000e+00    1.56541408e-01
    3.21605212e-01   1.00000000e+00    1.61926424e-01
    3.59539638e-01   1.00000000e+00    1.67882857e-01
    4.00758475e-01   1.00000000e+00    1.74484971e-01
    4.45542346e-01   1.00000000e+00    1.81820270e-01
    4.94194515e-01   1.00000000e+00    1.89992918e-01
    5.47042116e-01   1.00000000e+00    1.99128387e-01
    6.04437115e-01   1.00000000e+00    2.09379961e-01
    6.66756690e-01   1.00000000e+00    2.20938146e-01
    7.33656534e-01   1.00000000e+00    2.33896256e-01
    8.05444316e-01   1.00000000e+00    2.48518753e-01
    8.82432636e-01   1.00000000e+00    2.65154895e-01
    9.64926565e-01   1.00000000e+00    2.84282773e-01
    1.05319745e+00   1.00000000e+00    3.06587851e-01
    1.14742364e+00   1.00000000e+00    3.33116094e-01
    1.24346095e+00   1.00000000e+00    3.64174847e-01
    1.33759252e+00   1.00000000e+00    4.00687895e-01
    1.42792479e+00   1.00000000e+00    4.46030070e-01
    1.50813900e+00   1.00000000e+00    5.08577969e-01
    1.54199167e+00   1.00000000e+00    6.13803585e-01
    1.48697192e+00   1.00000000e+00    7.05353814e-01
    1.40977212e+00   1.00000000e+00    7.71139985e-01
    1.32551450e+00   1.00000000e+00    8.26862631e-01
    1.23806124e+00   1.00000000e+00    8.77272313e-01
    1.14896048e+00   1.00000000e+00    9.24664643e-01
    1.05902440e+00   1.00000000e+00    9.70436189e-01
    9.68790350e-01   1.00000000e+00    1.01561243e+00
    8.78712332e-01   1.00000000e+00    1.06110000e+00
    7.89287314e-01   1.00000000e+00    1.10786597e+00
    7.01215736e-01   1.00000000e+00    1.15715484e+00
    6.15743567e-01   1.00000000e+00    1.21088551e+00
    5.35741263e-01   1.00000000e+00    1.27267868e+00
    4.70799737e-01   1.00000000e+00    1.35133451e+00
    4.72816677e-01   1.00000000e+00    1.46606251e+00
    5.47787125e-01   1.00000000e+00    1.53861169e+00
    6.36436325e-01   1.00000000e+00    1.58764899e+00
    7.29802520e-01   1.00000000e+00    1.62620156e+00
    8.25418345e-01   1.00000000e+00    1.65858032e+00
    9.22315878e-01   1.00000000e+00    1.68682116e+00
    1.02002932e+00   1.00000000e+00    1.71206191e+00
    1.11830263e+00   1.00000000e+00    1.73500918e+00
    1.21698138e+00   1.00000000e+00    1.75613509e+00
    1.31596587e+00   1.00000000e+00    1.77577250e+00
    1.41518829e+00   1.00000000e+00    1.79416590e+00
    1.51460062e+00   1.00000000e+00    1.81150084e+00
    1.61416766e+00   1.00000000e+00    1.82792186e+00
    1.71386294e+00   1.00000000e+00    1.84354406e+00
    1.81366604e+00   1.00000000e+00    1.85846079e+00
    1.91356094e+00   1.00000000e+00    1.87274904e+00
    2.00002867e+00   1.00000000e+00    1.88465012e+00
    2.00000000e+00   1.00000000e+00    1.88464618e+00
DATASETAUXDATA TIME= " 12:03:40 PM Oct 09, 2017 " 
ZONE F=POINT T= "  IVAR = 1.50e+00 A = 4.00e+00" 
    0.00000000e+00   1.50000000e+00    6.15353822e-01
    9.99964946e-03   1.50000000e+00    6.16709376e-01
    2.08695758e-02   1.50000000e+00    6.18188931e-01
    3.26854290e-02   1.50000000e+00    6.19804442e-01
    4.55294156e-02   1.50000000e+00    6.21569137e-01
    5.94908617e-02   1.50000000e+00    6.23497680e-01
    7.46668239e-02   1.50000000e+00    6.25606356e-01
    9.11627505e-02   1.50000000e+00    6.27913289e-01
    1.09093198e-01   1.50000000e+00    6.30438697e-01
    1.28582604e-01   1.50000000e+00    6.33205191e-01
    1.49766127e-01   1.50000000e+00    6.36238129e-01
    1.72790543e-01   1.50000000e+00    6.39566047e-01
    1.97815224e-01   1.50000000e+00    6.43221167e-01
    2.25013174e-01   1.50000000e+00    6.47240023e-01
    2.54572152e-01   1.50000000e+00    6.51664224e-01
    2.86695863e-01   1.50000000e+00    6.56541408e-01
    3.21605212e-01   1.50000000e+00    6.61926424e-01
    3.59539638e-01   1.50000000e+00    6.67882857e-01
    4.00758475e-01   1.50000000e+00    6.74484971e-01
    4.45542346e-01   1.50000000e+00    6.81820270e-01
    4.94194515e-01   1.50000000e+00    6.89992918e-01
    5.47042116e-01   1.50000000e+00    6.99128387e-01
    6.04437115e-01   1.50000000e+00    7.09379961e-01
    6.66756705e-01   1.50000000e+00    7.20938062e-01
    7.34402640e-01   1.50000000e+00    7.34044090e-01
    8.07798446e-01   1.50000000e+00    7.49012049e-01
    8.86505561e-01   1.50000000e+00    7.66065669e-01
    9.70831086e-01   1.50000000e+00    7.85710794e-01
    1.06104284e+00   1.50000000e+00    8.08678580e-01
    1.15730178e+00   1.50000000e+00    8.36097737e-01
    1.25319030e+00   1.50000000e+00    8.67618799e-01
    1.34705164e+00   1.50000000e+00    9.04836019e-01
    1.43678238e+00   1.50000000e+00    9.51408217e-01
    1.51503507e+00   1.50000000e+00    1.01668728e+00
    1.53826902e+00   1.50000000e+00    1.12745278e+00
    1.47854543e+00   1.50000000e+00    1.21388209e+00
    1.40014020e+00   1.50000000e+00    1.27806787e+00
    1.31537969e+00   1.50000000e+00    1.33299427e+00
    1.22767423e+00   1.50000000e+00    1.38295605e+00
    1.13844123e+00   1.50000000e+00    1.43009621e+00
    1.04844526e+00   1.50000000e+00    1.47574889e+00
    9.58206298e-01   1.50000000e+00    1.52091515e+00
    8.68177012e-01   1.50000000e+00    1.56649959e+00
    7.78868466e-01   1.50000000e+00    1.61348920e+00
    6.91020566e-01   1.50000000e+00    1.66317993e+00
