Index    TIME    {V(DRAIN)}_regr_pce_mean    {V(DRAIN)}_regr_pce_meanPlus    {V(DRAIN)}_regr_pce_meanMinus    {V(DRAIN)}_regr_pce_stddev    {V(DRAIN)}_regr_pce_variance    
154   9.46805700e-07   9.16015400e-02   3.09322800e-01   -1.26119700e-01   2.17721200e-01   4.74025400e-02   
155   9.46942200e-07   9.52347600e-02   3.17410500e-01   -1.26941000e-01   2.22175700e-01   4.93620600e-02   
156   9.47215100e-07   1.02843000e-01   3.34087100e-01   -1.28401100e-01   2.31244100e-01   5.34738300e-02   
157   9.47488000e-07   1.11001000e-01   3.51866300e-01   -1.29864400e-01   2.40865400e-01   5.80161300e-02   
158   9.47760900e-07   1.19747300e-01   3.70916100e-01   -1.31421500e-01   2.51168800e-01   6.30857600e-02   
159   9.48306700e-07   1.38571000e-01   4.11204100e-01   -1.34062000e-01   2.72633100e-01   7.43287900e-02   
160   9.48852600e-07   1.58540300e-01   4.52483000e-01   -1.35402500e-01   2.93942800e-01   8.64023500e-02   
161   9.49343800e-07   1.77529700e-01   4.90676000e-01   -1.35616600e-01   3.13146300e-01   9.80605900e-02   
162   9.49785900e-07   1.95665600e-01   5.26349300e-01   -1.35018200e-01   3.30683700e-01   1.09351700e-01   
163   9.50228000e-07   2.14783100e-01   5.63218100e-01   -1.33652000e-01   3.48435100e-01   1.21407000e-01   
164   9.50670100e-07   2.34284800e-01   5.99679300e-01   -1.31109800e-01   3.65394500e-01   1.33513200e-01   
165   9.51068100e-07   2.51814400e-01   6.31293200e-01   -1.27664300e-01   3.79478700e-01   1.44004100e-01   
166   9.51466000e-07   2.68558100e-01   6.59987100e-01   -1.22870900e-01   3.91429000e-01   1.53216700e-01   
167   9.51807800e-07   2.82072700e-01   6.81694000e-01   -1.17548600e-01   3.99621300e-01   1.59697200e-01   
168   9.52115500e-07   2.94252500e-01   7.00821200e-01   -1.12316300e-01   4.06568800e-01   1.65298200e-01   
169   9.52423200e-07   3.06561200e-01   7.19965400e-01   -1.06842900e-01   4.13404200e-01   1.70903000e-01   
170   9.52730900e-07   3.18648800e-01   7.38276600e-01   -1.00979000e-01   4.19627800e-01   1.76087500e-01   
171   9.53038600e-07   3.30421000e-01   7.55190400e-01   -9.43483300e-02   4.24769400e-01   1.80429000e-01   
172   9.53346300e-07   3.41892300e-01   7.70582000e-01   -8.67974600e-02   4.28689700e-01   1.83774900e-01   
173   9.53654000e-07   3.53096900e-01   7.84952200e-01   -7.87582600e-02   4.31855200e-01   1.86498900e-01   
174   9.53961700e-07   3.64219800e-01   7.98861600e-01   -7.04218800e-02   4.34641700e-01   1.88913400e-01   
175   9.54269400e-07   3.75421000e-01   8.12549100e-01   -6.17071000e-02   4.37128100e-01   1.91081000e-01   
176   9.54577100e-07   3.86715100e-01   8.26095000e-01   -5.26648600e-02   4.39380000e-01   1.93054700e-01   
177   9.54884800e-07   3.97996700e-01   8.39309600e-01   -4.33162600e-02   4.41312900e-01   1.94757100e-01   
178   9.55192500e-07   4.09148000e-01   8.52016700e-01   -3.37207200e-02   4.42868700e-01   1.96132700e-01   
179   9.55500200e-07   4.19898500e-01   8.63800300e-01   -2.40032300e-02   4.43901800e-01   1.97048800e-01   
180   9.55807900e-07   4.30544000e-01   8.75179300e-01   -1.40913100e-02   4.44635300e-01   1.97700500e-01   
181   9.56115600e-07   4.41534300e-01   8.86954300e-01   -3.88579000e-03   4.45420100e-01   1.98399000e-01   
182   9.56423300e-07   4.52579500e-01   8.98610700e-01   6.54831900e-03   4.46031200e-01   1.98943800e-01   
183   9.56731000e-07   4.63182700e-01   9.09268900e-01   1.70964600e-02   4.46086200e-01   1.98992900e-01   
184   9.57038700e-07   4.73259900e-01   9.18784100e-01   2.77356400e-02   4.45524200e-01   1.98491900e-01   
185   9.57346400e-07   4.83137200e-01   9.27692200e-01   3.85822000e-02   4.44555000e-01   1.97629200e-01   
186   9.57654100e-07   4.93195000e-01   9.36633600e-01   4.97564300e-02   4.43438600e-01   1.96637800e-01   
187   9.57961800e-07   5.03701800e-01   9.46091500e-01   6.13120700e-02   4.42389700e-01   1.95708700e-01   
188   9.58269500e-07   5.14672400e-01   9.56134500e-01   7.32102900e-02   4.41462100e-01   1.94888800e-01   
189   9.58577200e-07   5.26016400e-01   9.66629800e-01   8.54029700e-02   4.40613400e-01   1.94140200e-01   
190   9.58884900e-07   5.37591800e-01   9.77343900e-01   9.78396000e-02   4.39752200e-01   1.93382000e-01   
191   9.59192600e-07   5.49228500e-01   9.87936400e-01   1.10520600e-01   4.38707900e-01   1.92464700e-01   
192   9.59500300e-07   5.61086600e-01   9.98651300e-01   1.23522000e-01   4.37564700e-01   1.91462900e-01   
193   9.59808000e-07   5.73188900e-01   1.00959700e+00   1.36780900e-01   4.36408000e-01   1.90451900e-01   
194   9.60115700e-07   5.85229400e-01   1.02027600e+00   1.50182500e-01   4.35047000e-01   1.89265900e-01   
195   9.60423400e-07   5.96910000e-01   1.03014500e+00   1.63674900e-01   4.33235100e-01   1.87692700e-01   
196   9.60731100e-07   6.08239500e-01   1.03914300e+00   1.77335500e-01   4.30904000e-01   1.85678200e-01   
197   9.61038800e-07   6.19341700e-01   1.04740200e+00   1.91281600e-01   4.28060100e-01   1.83235400e-01   
198   9.61346500e-07   6.30263200e-01   1.05497500e+00   2.05551700e-01   4.24711500e-01   1.80379900e-01   
199   9.61654200e-07   6.41292400e-01   1.06231700e+00   2.20267900e-01   4.21024500e-01   1.77261600e-01   
200   9.61961900e-07   6.52578700e-01   1.06966100e+00   2.35496700e-01   4.17082000e-01   1.73957400e-01   
201   9.62269600e-07   6.64173900e-01   1.07709800e+00   2.51249400e-01   4.12924500e-01   1.70506600e-01   
202   9.62577300e-07   6.75971900e-01   1.08447200e+00   2.67472200e-01   4.08499700e-01   1.66872000e-01   
203   9.62884900e-07   6.87784500e-01   1.09148800e+00   2.84081500e-01   4.03703000e-01   1.62976100e-01   
204   9.63192600e-07   6.99619100e-01   1.09822200e+00   3.01015900e-01   3.98603200e-01   1.58884500e-01   
205   9.63500300e-07   7.10936100e-01   1.10381700e+00   3.18055500e-01   3.92880500e-01   1.54355100e-01   
206   9.63808000e-07   7.21588800e-01   1.10789000e+00   3.35287600e-01   3.86301200e-01   1.49228600e-01   
207   9.64115700e-07   7.32296000e-01   1.11159200e+00   3.53000400e-01   3.79295600e-01   1.43865200e-01   
208   9.64423400e-07   7.43331800e-01   1.11553900e+00   3.71124700e-01   3.72207100e-01   1.38538100e-01   
209   9.64731100e-07   7.54194300e-01   1.11922800e+00   3.89160200e-01   3.65034200e-01   1.33249900e-01   
210   9.65038800e-07   7.64505000e-01   1.12206800e+00   4.06941900e-01   3.57563200e-01   1.27851400e-01   
