Index    TIME    v(5)quad_pce_mean    v(5)quad_pce_meanPlus    v(5)quad_pce_meanMinus    v(5)quad_pce_stddev    v(5)quad_pce_variance    v(2)quad_pce_mean    v(2)quad_pce_meanPlus    v(2)quad_pce_meanMinus    v(2)quad_pce_stddev    v(2)quad_pce_variance    
44   2.90699100e-09   2.36894700e+00   2.45932700e+00   2.27856600e+00   9.03807100e-02   8.16867200e-03   2.40729900e+00   2.43849100e+00   2.37610600e+00   3.11928000e-02   9.72990600e-04   
45   3.00466900e-09   2.34962500e+00   2.43886500e+00   2.26038500e+00   8.92397600e-02   7.96373500e-03   2.42514200e+00   2.45723600e+00   2.39304800e+00   3.20941900e-02   1.03003700e-03   
46   3.10234700e-09   2.31923500e+00   2.40731600e+00   2.23115400e+00   8.80809100e-02   7.75824600e-03   2.44413900e+00   2.47688600e+00   2.41139100e+00   3.27473900e-02   1.07239100e-03   
47   3.20002600e-09   2.28119100e+00   2.36594300e+00   2.19644000e+00   8.47515300e-02   7.18282300e-03   2.46259400e+00   2.49594500e+00   2.42924400e+00   3.33505400e-02   1.11225800e-03   
48   3.29770400e-09   2.24805200e+00   2.32951300e+00   2.16659000e+00   8.14613800e-02   6.63595700e-03   2.48014700e+00   2.51411900e+00   2.44617600e+00   3.39712900e-02   1.15404800e-03   
49   3.39538200e-09   2.22167000e+00   2.30020000e+00   2.14314000e+00   7.85298100e-02   6.16693000e-03   2.49726300e+00   2.53198100e+00   2.46254500e+00   3.47179200e-02   1.20533400e-03   
50   3.49306100e-09   2.20003200e+00   2.27655500e+00   2.12350800e+00   7.65234700e-02   5.85584200e-03   2.51371300e+00   2.54905000e+00   2.47837500e+00   3.53376400e-02   1.24874900e-03   
51   3.68841700e-09   2.16733400e+00   2.24052500e+00   2.09414400e+00   7.31904600e-02   5.35684300e-03   2.54561100e+00   2.58250400e+00   2.50871700e+00   3.68935500e-02   1.36113400e-03   
52   3.88377400e-09   2.14425200e+00   2.21542800e+00   2.07307700e+00   7.11755900e-02   5.06596500e-03   2.57618500e+00   2.61454100e+00   2.53783000e+00   3.83552400e-02   1.47112500e-03   
53   4.07913000e-09   2.12750800e+00   2.19697300e+00   2.05804400e+00   6.94648900e-02   4.82537100e-03   2.60555100e+00   2.64551000e+00   2.56559200e+00   3.99591700e-02   1.59673500e-03   
