Index       TIME              R1:R              R2:R              V(1)              V(2)       
60       6.00000000e-01    1.00000000e+00    1.00000000e+00   -5.87763231e-01   -2.93881615e-01
61       6.10000000e-01    1.00000000e+00    1.00000000e+00   -6.37352916e-01   -3.18676458e-01
62       6.20000000e-01    1.00000000e+00    1.00000000e+00   -6.84433599e-01   -3.42216800e-01
63       6.30000000e-01    1.00000000e+00    1.00000000e+00   -7.28881606e-01   -3.64440803e-01
64       6.40000000e-01    1.00000000e+00    1.00000000e+00   -7.70492801e-01   -3.85246400e-01
65       6.50000000e-01    1.00000000e+00    1.00000000e+00   -8.08901048e-01   -4.04450524e-01
66       6.60000000e-01    1.00000000e+00    1.00000000e+00   -8.44192482e-01   -4.22096241e-01
67       6.70000000e-01    1.00000000e+00    1.00000000e+00   -8.76239763e-01   -4.38119882e-01
68       6.80000000e-01    1.00000000e+00    1.00000000e+00   -9.04753602e-01   -4.52376801e-01
69       6.90000000e-01    1.00000000e+00    1.00000000e+00   -9.29626433e-01   -4.64813216e-01
70       7.00000000e-01    1.00000000e+00    1.00000000e+00   -9.50922295e-01   -4.75461148e-01
71       7.10000000e-01    1.00000000e+00    1.00000000e+00   -9.68564009e-01   -4.84282005e-01
72       7.20000000e-01    1.00000000e+00    1.00000000e+00   -9.82166934e-01   -4.91083467e-01
73       7.30000000e-01    1.00000000e+00    1.00000000e+00   -9.91950365e-01   -4.95975183e-01
74       7.40000000e-01    1.00000000e+00    1.00000000e+00   -9.97918865e-01   -4.98959432e-01
75       7.50000000e-01    1.00000000e+00    1.00000000e+00   -9.99956452e-01   -4.99978226e-01
76       7.60000000e-01    1.00000000e+00    1.00000000e+00   -9.97876845e-01   -4.98938422e-01
77       7.70000000e-01    1.00000000e+00    1.00000000e+00   -9.91959849e-01   -4.95979925e-01
78       7.80000000e-01    1.00000000e+00    1.00000000e+00   -9.82226917e-01   -4.91113459e-01
79       7.90000000e-01    1.00000000e+00    1.00000000e+00   -9.68491490e-01   -4.84245745e-01
80       8.00000000e-01    1.00000000e+00    1.00000000e+00   -9.50900433e-01   -4.75450217e-01
81       8.10000000e-01    1.00000000e+00    1.00000000e+00   -9.29653055e-01   -4.64826528e-01
82       8.20000000e-01    1.00000000e+00    1.00000000e+00   -9.04825763e-01   -4.52412881e-01
83       8.30000000e-01    1.00000000e+00    1.00000000e+00   -8.76190880e-01   -4.38095440e-01
84       8.40000000e-01    1.00000000e+00    1.00000000e+00   -8.44189274e-01   -4.22094637e-01
85       8.50000000e-01    1.00000000e+00    1.00000000e+00   -8.08939511e-01   -4.04469756e-01
86       8.60000000e-01    1.00000000e+00    1.00000000e+00   -7.70467227e-01   -3.85233614e-01
87       8.70000000e-01    1.00000000e+00    1.00000000e+00   -7.28854998e-01   -3.64427499e-01
88       8.80000000e-01    1.00000000e+00    1.00000000e+00   -6.84444128e-01   -3.42222064e-01
89       8.90000000e-01    1.00000000e+00    1.00000000e+00   -6.37395032e-01   -3.18697516e-01
90       9.00000000e-01    1.00000000e+00    1.00000000e+00   -5.87722134e-01   -2.93861067e-01
91       9.10000000e-01    1.00000000e+00    1.00000000e+00   -5.35738030e-01   -2.67869015e-01
92       9.20000000e-01    1.00000000e+00    1.00000000e+00   -4.81694558e-01   -2.40847279e-01
93       9.30000000e-01    1.00000000e+00    1.00000000e+00   -4.25771874e-01   -2.12885937e-01
94       9.40000000e-01    1.00000000e+00    1.00000000e+00   -3.68072468e-01   -1.84036234e-01
95       9.50000000e-01    1.00000000e+00    1.00000000e+00   -3.08967232e-01   -1.54483616e-01
96       9.60000000e-01    1.00000000e+00    1.00000000e+00   -2.48669803e-01   -1.24334901e-01
97       9.70000000e-01    1.00000000e+00    1.00000000e+00   -1.87366818e-01   -9.36834091e-02
98       9.80000000e-01    1.00000000e+00    1.00000000e+00   -1.25312852e-01   -6.26564259e-02
99       9.90000000e-01    1.00000000e+00    1.00000000e+00   -6.27820520e-02   -3.13910260e-02
100      1.00000000e+00    1.00000000e+00    1.00000000e+00   -2.44929371e-16   -1.22464685e-16
End of Xyce(TM) Simulation
