STEPNUM  Index       TIME              R1:R              R2:R              V(1)              V(2)       
0        77       7.70000000e-01    1.00000000e+00    3.00000000e+00   -9.91968394e-01   -7.43976295e-01
0        78       7.80000000e-01    1.00000000e+00    3.00000000e+00   -9.82139327e-01   -7.36604495e-01
0        79       7.90000000e-01    1.00000000e+00    3.00000000e+00   -9.68498428e-01   -7.26373821e-01
0        80       8.00000000e-01    1.00000000e+00    3.00000000e+00   -9.51021481e-01   -7.13266111e-01
0        81       8.10000000e-01    1.00000000e+00    3.00000000e+00   -9.29655340e-01   -6.97241505e-01
0        82       8.20000000e-01    1.00000000e+00    3.00000000e+00   -9.04684916e-01   -6.78513687e-01
0        83       8.30000000e-01    1.00000000e+00    3.00000000e+00   -8.76203652e-01   -6.57152739e-01
0        84       8.40000000e-01    1.00000000e+00    3.00000000e+00   -8.44317412e-01   -6.33238059e-01
0        85       8.50000000e-01    1.00000000e+00    3.00000000e+00   -8.08932359e-01   -6.06699270e-01
0        86       8.60000000e-01    1.00000000e+00    3.00000000e+00   -7.70393661e-01   -5.77795246e-01
0        87       8.70000000e-01    1.00000000e+00    3.00000000e+00   -7.28867187e-01   -5.46650391e-01
0        88       8.80000000e-01    1.00000000e+00    3.00000000e+00   -6.84507735e-01   -5.13380801e-01
0        89       8.90000000e-01    1.00000000e+00    3.00000000e+00   -6.37379169e-01   -4.78034377e-01
0        90       9.00000000e-01    1.00000000e+00    3.00000000e+00   -5.87700024e-01   -4.40775018e-01
0        91       9.10000000e-01    1.00000000e+00    3.00000000e+00   -5.35745169e-01   -4.01808876e-01
0        92       9.20000000e-01    1.00000000e+00    3.00000000e+00   -4.81708492e-01   -3.61281369e-01
0        93       9.30000000e-01    1.00000000e+00    3.00000000e+00   -4.25767760e-01   -3.19325820e-01
0        94       9.40000000e-01    1.00000000e+00    3.00000000e+00   -3.68077892e-01   -2.76058419e-01
0        95       9.50000000e-01    1.00000000e+00    3.00000000e+00   -3.08968366e-01   -2.31726275e-01
0        96       9.60000000e-01    1.00000000e+00    3.00000000e+00   -2.48659836e-01   -1.86494877e-01
0        97       9.70000000e-01    1.00000000e+00    3.00000000e+00   -1.87377195e-01   -1.40532896e-01
0        98       9.80000000e-01    1.00000000e+00    3.00000000e+00   -1.25320343e-01   -9.39902574e-02
0        99       9.90000000e-01    1.00000000e+00    3.00000000e+00   -6.27805991e-02   -4.70854493e-02
0        100      1.00000000e+00    1.00000000e+00    3.00000000e+00   -2.44929741e-16   -1.83697729e-16

1        0        0.00000000e+00    2.00000000e+00    3.00000000e+00    0.00000000e+00    0.00000000e+00
1        1        1.00000000e-02    2.00000000e+00    3.00000000e+00    6.27765091e-02    3.76659055e-02
1        2        2.00000000e-02    2.00000000e+00    3.00000000e+00    1.25331306e-01    7.51987834e-02
1        3        3.00000000e-02    2.00000000e+00    3.00000000e+00    1.87339637e-01    1.12403782e-01
1        4        4.00000000e-02    2.00000000e+00    3.00000000e+00    2.48681917e-01    1.49209150e-01
1        5        5.00000000e-02    2.00000000e+00    3.00000000e+00    3.08948700e-01    1.85369220e-01
1        6        6.00000000e-02    2.00000000e+00    3.00000000e+00    3.68106870e-01    2.20864122e-01
1        7        7.00000000e-02    2.00000000e+00    3.00000000e+00    4.25686097e-01    2.55411658e-01
1        8        8.00000000e-02    2.00000000e+00    3.00000000e+00    4.81723163e-01    2.89033898e-01
1        9        9.00000000e-02    2.00000000e+00    3.00000000e+00    5.35711030e-01    3.21426618e-01
1        10       1.00000000e-01    2.00000000e+00    3.00000000e+00    5.87739438e-01    3.52643663e-01
1        11       1.10000000e-01    2.00000000e+00    3.00000000e+00    6.37288532e-01    3.82373119e-01
1        12       1.20000000e-01    2.00000000e+00    3.00000000e+00    6.84484222e-01    4.10690533e-01
1        13       1.30000000e-01    2.00000000e+00    3.00000000e+00    7.28816811e-01    4.37290087e-01
1        14       1.40000000e-01    2.00000000e+00    3.00000000e+00    7.70432271e-01    4.62259362e-01
1        15       1.50000000e-01    2.00000000e+00    3.00000000e+00    8.08852515e-01    4.85311509e-01
1        16       1.60000000e-01    2.00000000e+00    3.00000000e+00    8.44228616e-01    5.06537170e-01
1        17       1.70000000e-01    2.00000000e+00    3.00000000e+00    8.76133480e-01    5.25680088e-01
1        18       1.80000000e-01    2.00000000e+00    3.00000000e+00    9.04709918e-01    5.42825951e-01
1        19       1.90000000e-01    2.00000000e+00    3.00000000e+00    9.29598637e-01    5.57759182e-01
1        20       2.00000000e-01    2.00000000e+00    3.00000000e+00    9.50922805e-01    5.70553683e-01
1        21       2.10000000e-01    2.00000000e+00    3.00000000e+00    9.68404738e-01    5.81042843e-01
1        22       2.20000000e-01    2.00000000e+00    3.00000000e+00    9.82138896e-01    5.89283337e-01
1        23       2.30000000e-01    2.00000000e+00    3.00000000e+00    9.91939658e-01    5.95163795e-01
1        24       2.40000000e-01    2.00000000e+00    3.00000000e+00    9.97866277e-01    5.98719766e-01
1        25       2.50000000e-01    2.00000000e+00    3.00000000e+00    9.99832045e-01    5.99899227e-01
1        26       2.60000000e-01    2.00000000e+00    3.00000000e+00    9.97857259e-01    5.98714355e-01
1        27       2.70000000e-01    2.00000000e+00    3.00000000e+00    9.91957181e-01    5.95174309e-01
1        28       2.80000000e-01    2.00000000e+00    3.00000000e+00    9.82112267e-01    5.89267360e-01
1        29       2.90000000e-01    2.00000000e+00    3.00000000e+00    9.68438951e-01    5.81063371e-01
1        30       3.00000000e-01    2.00000000e+00    3.00000000e+00    9.50879839e-01    5.70527903e-01
1        31       3.10000000e-01    2.00000000e+00    3.00000000e+00    9.29647896e-01    5.57788738e-01
1        32       3.20000000e-01    2.00000000e+00    3.00000000e+00    9.04652695e-01    5.42791617e-01
1        33       3.30000000e-01    2.00000000e+00    3.00000000e+00    8.76195376e-01    5.25717225e-01
1        34       3.40000000e-01    2.00000000e+00    3.00000000e+00    8.44159972e-01    5.06495983e-01
1        35       3.50000000e-01    2.00000000e+00    3.00000000e+00    8.08923933e-01    4.85354360e-01
1        36       3.60000000e-01    2.00000000e+00    3.00000000e+00    7.70355721e-01    4.62213433e-01
1        37       3.70000000e-01    2.00000000e+00    3.00000000e+00    7.28894021e-01    4.37336413e-01
1        38       3.80000000e-01    2.00000000e+00    3.00000000e+00    6.84403864e-01    4.10642318e-01
1        39       3.90000000e-01    2.00000000e+00    3.00000000e+00    6.37367283e-01    3.82420370e-01
1        40       4.00000000e-01    2.00000000e+00    3.00000000e+00    5.87659842e-01    3.52595905e-01
1        41       4.10000000e-01    2.00000000e+00    3.00000000e+00    5.35786672e-01    3.21472003e-01
1        42       4.20000000e-01    2.00000000e+00    3.00000000e+00    4.81649246e-01    2.88989547e-01
1        43       4.30000000e-01    2.00000000e+00    3.00000000e+00    4.25753704e-01    2.55452223e-01
1        44       4.40000000e-01    2.00000000e+00    3.00000000e+00    3.68043758e-01    2.20826255e-01
1        45       4.50000000e-01    2.00000000e+00    3.00000000e+00    3.09003215e-01    1.85401929e-01
1        46       4.60000000e-01    2.00000000e+00    3.00000000e+00    2.48634802e-01    1.49180881e-01
1        47       4.70000000e-01    2.00000000e+00    3.00000000e+00    1.87376008e-01    1.12425605e-01
1        48       4.80000000e-01    2.00000000e+00    3.00000000e+00    1.25305295e-01    7.51831769e-02
1        49       4.90000000e-01    2.00000000e+00    3.00000000e+00    6.27895467e-02    3.76737280e-02
1        50       5.00000000e-01    2.00000000e+00    3.00000000e+00   -9.40397584e-06   -5.64238551e-06
1        51       5.10000000e-01    2.00000000e+00    3.00000000e+00   -6.27825857e-02   -3.76695514e-02
1        52       5.20000000e-01    2.00000000e+00    3.00000000e+00   -1.25315084e-01   -7.51890502e-02
1        53       5.30000000e-01    2.00000000e+00    3.00000000e+00   -1.87325717e-01   -1.12395430e-01
1        54       5.40000000e-01    2.00000000e+00    3.00000000e+00   -2.48624262e-01   -1.49174557e-01
1        55       5.50000000e-01    2.00000000e+00    3.00000000e+00   -3.08997333e-01   -1.85398400e-01
1        56       5.60000000e-01    2.00000000e+00    3.00000000e+00   -3.68047125e-01   -2.20828275e-01
1        57       5.70000000e-01    2.00000000e+00    3.00000000e+00   -4.25649571e-01   -2.55389742e-01
1        58       5.80000000e-01    2.00000000e+00    3.00000000e+00   -4.81648409e-01   -2.88989045e-01
1        59       5.90000000e-01    2.00000000e+00    3.00000000e+00   -5.35805325e-01   -3.21483195e-01
1        60       6.00000000e-01    2.00000000e+00    3.00000000e+00   -5.87631829e-01   -3.52579097e-01
1        61       6.10000000e-01    2.00000000e+00    3.00000000e+00   -6.37235260e-01   -3.82341156e-01
1        62       6.20000000e-01    2.00000000e+00    3.00000000e+00   -6.84443050e-01   -4.10665830e-01
1        63       6.30000000e-01    2.00000000e+00    3.00000000e+00   -7.28870716e-01   -4.37322429e-01
