Index    TIME    V(DRAIN)quad_pce_mean    V(DRAIN)quad_pce_meanPlus    V(DRAIN)quad_pce_meanMinus    V(DRAIN)quad_pce_stddev    V(DRAIN)quad_pce_variance    
66   4.63927800e-07   3.52732000e-01   7.97291700e-01   -9.18278200e-02   4.44559800e-01   1.97633400e-01   
67   4.64114500e-07   3.44275200e-01   7.90596500e-01   -1.02046200e-01   4.46321400e-01   1.99202800e-01   
68   4.64488000e-07   3.33367500e-01   7.78460500e-01   -1.11725400e-01   4.45092900e-01   1.98107700e-01   
69   4.64824200e-07   3.27643700e-01   7.67955000e-01   -1.12667500e-01   4.40311200e-01   1.93874000e-01   
70   4.65160300e-07   3.22424700e-01   7.56735700e-01   -1.11886400e-01   4.34311100e-01   1.88626100e-01   
71   4.65496500e-07   3.16888700e-01   7.44683900e-01   -1.10906600e-01   4.27795300e-01   1.83008800e-01   
72   4.66168800e-07   3.04527800e-01   7.17852000e-01   -1.08796300e-01   4.13324200e-01   1.70836900e-01   
73   4.66841100e-07   2.90250200e-01   6.87133600e-01   -1.06633100e-01   3.96883300e-01   1.57516400e-01   
74   4.67513400e-07   2.73782500e-01   6.52276400e-01   -1.04711400e-01   3.78493900e-01   1.43257600e-01   
75   4.68185700e-07   2.54984500e-01   6.13353700e-01   -1.03384600e-01   3.58369200e-01   1.28428500e-01   
76   4.68858000e-07   2.33785800e-01   5.70681900e-01   -1.03110300e-01   3.36896100e-01   1.13499000e-01   
77   4.69530300e-07   2.10186000e-01   5.24853800e-01   -1.04481900e-01   3.14667800e-01   9.90158300e-02   
78   4.70202700e-07   1.84127000e-01   4.76695800e-01   -1.08441800e-01   2.92568800e-01   8.55965300e-02   
79   4.70875000e-07   1.55693800e-01   4.27616500e-01   -1.16229000e-01   2.71922700e-01   7.39419800e-02   
80   4.71547300e-07   1.25214200e-01   3.79570000e-01   -1.29141600e-01   2.54355800e-01   6.46968900e-02   
81   4.72219600e-07   9.64359400e-02   3.37250600e-01   -1.44378700e-01   2.40814600e-01   5.79916900e-02   
82   4.72311900e-07   9.33764700e-02   3.32301000e-01   -1.45548100e-01   2.38924500e-01   5.70849400e-02   
83   4.72404300e-07   9.06437700e-02   3.27571800e-01   -1.46284300e-01   2.36928000e-01   5.61349000e-02   
84   4.72589000e-07   8.67366200e-02   3.19090300e-01   -1.45617100e-01   2.32353700e-01   5.39882400e-02   
85   4.72773700e-07   8.40762200e-02   3.11235700e-01   -1.43083300e-01   2.27159500e-01   5.16014300e-02   
86   4.72958400e-07   8.18325000e-02   3.03423200e-01   -1.39758200e-01   2.21590700e-01   4.91024200e-02   
87   4.73327900e-07   7.74129800e-02   2.87196900e-01   -1.32370900e-01   2.09783900e-01   4.40092800e-02   
88   4.73697300e-07   7.27662600e-02   2.69985300e-01   -1.24452800e-01   1.97219100e-01   3.88953600e-02   
89   4.74436200e-07   6.26448300e-02   2.32434400e-01   -1.07144700e-01   1.69789600e-01   2.88284900e-02   
90   4.75913900e-07   3.91931600e-02   1.45291700e-01   -6.69053900e-02   1.06098500e-01   1.12569000e-02   
91   4.77391600e-07   1.22262500e-02   4.49121100e-02   -2.04596100e-02   3.26858600e-02   1.06836500e-03   
92   4.78044400e-07   3.27734300e-03   1.16145600e-02   -5.05987400e-03   8.33721700e-03   6.95091900e-05   
93   4.78305800e-07   1.47362500e-03   4.91919100e-03   -1.97194100e-03   3.44556600e-03   1.18719200e-05   
94   4.78567100e-07   7.39498200e-04   2.21125600e-03   -7.32259200e-04   1.47175700e-03   2.16607000e-06   
95   4.78828500e-07   4.63755500e-04   1.21138900e-03   -2.83877600e-04   7.47633100e-04   5.58955200e-07   
96   4.79089800e-07   3.19095000e-04   7.04505900e-04   -6.63158800e-05   3.85410900e-04   1.48541600e-07   
97   4.79612500e-07   2.90046600e-04   6.30443600e-04   -5.03504100e-05   3.40397000e-04   1.15870100e-07   
98   4.80657900e-07   2.44389300e-04   5.17894400e-04   -2.91159200e-05   2.73505200e-04   7.48050800e-08   
99   4.81703200e-07   2.07560600e-04   4.28006900e-04   -1.28857400e-05   2.20446300e-04   4.85965900e-08   
100   4.83794000e-07   1.55012000e-04   3.03183600e-04   6.84025700e-06   1.48171700e-04   2.19548500e-08   
101   4.87975400e-07   9.61545400e-05   1.69227300e-04   2.30817800e-05   7.30727700e-05   5.33962900e-09   
102   4.96338300e-07   5.14533000e-05   7.59167600e-05   2.69898300e-05   2.44634600e-05   5.98461100e-10   
103   5.00000000e-07   4.27478100e-05   5.95359000e-05   2.59597300e-05   1.67880800e-05   2.81839800e-10   
104   5.01672600e-07   1.33566500e-07   2.37044200e-07   3.00889300e-08   1.03477600e-07   1.07076200e-14   
105   5.05017800e-07   9.20581400e-09   1.41976400e-08   4.21399000e-09   4.99182400e-09   2.49183100e-17   
106   5.11708100e-07   8.79714700e-09   1.34672500e-08   4.12704000e-09   4.67010700e-09   2.18099000e-17   
107   5.25088800e-07   9.20268800e-09   1.41892400e-08   4.21613100e-09   4.98655700e-09   2.48657500e-17   
108   5.51850100e-07   8.79750200e-09   1.34667400e-08   4.12826400e-09   4.66923800e-09   2.18017900e-17   
109   6.05372800e-07   9.20273900e-09   1.41909900e-08   4.21449100e-09   4.98824900e-09   2.48826300e-17   
110   7.05372800e-07   8.79734300e-09   1.34645900e-08   4.13009300e-09   4.66725000e-09   2.17832200e-17   
111   8.05372800e-07   9.20282600e-09   1.41921100e-08   4.21353800e-09   4.98928800e-09   2.48930000e-17   
112   9.00000000e-07   8.79735700e-09   1.34641000e-08   4.13061100e-09   4.66674600e-09   2.17785100e-17   
113   9.03410300e-07   -5.04999000e-05   -2.69963400e-05   -7.40034600e-05   2.35035600e-05   5.52417300e-10   
114   9.06202700e-07   -5.97462100e-05   -2.73861100e-05   -9.21063100e-05   3.23601000e-05   1.04717600e-09   
115   9.11787500e-07   -9.32526000e-05   -2.38036300e-05   -1.62701600e-04   6.94489700e-05   4.82316000e-09   
116   9.22957000e-07   -4.21858800e-04   1.01079100e-04   -9.44796700e-04   5.22937900e-04   2.73464100e-07   
117   9.25749400e-07   -6.95894700e-04   2.43658900e-04   -1.63544800e-03   9.39553500e-04   8.82760800e-07   
118   9.31334100e-07   -1.74739700e-03   8.86750000e-04   -4.38154400e-03   2.63414700e-03   6.93873000e-06   
119   9.32730300e-07   -2.16628200e-03   1.26380000e-03   -5.59636400e-03   3.43008200e-03   1.17654600e-05   
120   9.35522700e-07   -2.70029100e-03   3.30747800e-03   -8.70805900e-03   6.00776900e-03   3.60932800e-05   
121   9.38315100e-07   -1.34306600e-03   1.33621800e-02   -1.60483100e-02   1.47052500e-02   2.16244300e-04   
122   9.41107500e-07   7.00937700e-03   4.87387800e-02   -3.47200200e-02   4.17294000e-02   1.74134300e-03   
123   9.41491300e-07   9.23882400e-03   5.71793700e-02   -3.87017200e-02   4.79405500e-02   2.29829600e-03   
124   9.41875100e-07   1.16762600e-02   6.62177100e-02   -4.28651900e-02   5.45414500e-02   2.97477000e-03   
125   9.42642700e-07   1.78637100e-02   8.79840700e-02   -5.22566600e-02   7.01203700e-02   4.91686600e-03   
126   9.43410300e-07   2.60670000e-02   1.15224400e-01   -6.30904200e-02   8.91574200e-02   7.94904600e-03   
127   9.44177900e-07   3.67245100e-02   1.48787200e-01   -7.53381700e-02   1.12062700e-01   1.25580400e-02   
128   9.44945500e-07   5.02490700e-02   1.89468600e-01   -8.89704200e-02   1.39219500e-01   1.93820700e-02   
129   9.45713200e-07   6.70467900e-02   2.37893300e-01   -1.03799700e-01   1.70846500e-01   2.91885200e-02   
130   9.46480800e-07   8.76456100e-02   2.94519100e-01   -1.19227900e-01   2.06873500e-01   4.27966500e-02   
131   9.47248400e-07   1.11625100e-01   3.54906300e-01   -1.31656100e-01   2.43281200e-01   5.91857300e-02   
132   9.47364000e-07   1.15414800e-01   3.63582700e-01   -1.32753100e-01   2.48167900e-01   6.15872900e-02   
133   9.47479600e-07   1.19171100e-01   3.71993400e-01   -1.33651300e-01   2.52822300e-01   6.39191300e-02   
134   9.47710900e-07   1.26533600e-01   3.87297300e-01   -1.34230000e-01   2.60763600e-01   6.79976800e-02   
135   9.47942100e-07   1.33904800e-01   4.01544500e-01   -1.33734800e-01   2.67639700e-01   7.16309900e-02   
136   9.48173400e-07   1.41522100e-01   4.15836300e-01   -1.32792100e-01   2.74314200e-01   7.52482700e-02   
137   9.48635900e-07   1.57836200e-01   4.46353200e-01   -1.30680800e-01   2.88517000e-01   8.32420600e-02   
138   9.49098400e-07   1.74706400e-01   4.76419500e-01   -1.27006600e-01   3.01713100e-01   9.10307700e-02   
139   9.49560900e-07   1.91524100e-01   5.03631200e-01   -1.20583000e-01   3.12107100e-01   9.74108700e-02   
140   9.49977100e-07   2.07593600e-01   5.29292000e-01   -1.14104800e-01   3.21698400e-01   1.03489900e-01   
141   9.50393300e-07   2.25201000e-01   5.58498100e-01   -1.08096200e-01   3.33297200e-01   1.11087000e-01   
142   9.50809600e-07   2.44201600e-01   5.90858900e-01   -1.02455700e-01   3.46657300e-01   1.20171300e-01   
143   9.51225800e-07   2.63705100e-01   6.24033300e-01   -9.66231600e-02   3.60328200e-01   1.29836400e-01   
144   9.51642100e-07   2.83462600e-01   6.57786100e-01   -9.08608100e-02   3.74323400e-01   1.40118000e-01   
145   9.52058300e-07   3.04139600e-01   6.94216400e-01   -8.59372400e-02   3.90076800e-01   1.52159900e-01   
146   9.52474600e-07   3.25622200e-01   7.32893300e-01   -8.16488700e-02   4.07271100e-01   1.65869800e-01   
147   9.52890800e-07   3.46386900e-01   7.69735900e-01   -7.69620000e-02   4.23348900e-01   1.79224300e-01   
148   9.53307100e-07   3.64279900e-01   7.98953000e-01   -7.03933300e-02   4.34673200e-01   1.88940800e-01   
149   9.53681500e-07   3.78166100e-01   8.19065500e-01   -6.27333000e-02   4.40899400e-01   1.94392300e-01   
150   9.54055900e-07   3.90525800e-01   8.34726700e-01   -5.36750500e-02   4.44200900e-01   1.97314400e-01   
151   9.54430400e-07   4.01558200e-01   8.46551900e-01   -4.34354300e-02   4.44993700e-01   1.98019400e-01   
152   9.54804800e-07   4.11873100e-01   8.56307300e-01   -3.25610700e-02   4.44434200e-01   1.97521800e-01   
153   9.55179200e-07   4.21608700e-01   8.64422000e-01   -2.12046700e-02   4.42813400e-01   1.96083700e-01   
154   9.55553700e-07   4.31067400e-01   8.71424500e-01   -9.28977000e-03   4.40357100e-01   1.93914400e-01   
155   9.55928100e-07   4.40740300e-01   8.78195700e-01   3.28479800e-03   4.37455500e-01   1.91367300e-01   
156   9.56302500e-07   4.51037300e-01   8.85491100e-01   1.65834600e-02   4.34453800e-01   1.88750100e-01   
157   9.56677000e-07   4.62180500e-01   8.93758400e-01   3.06025900e-02   4.31577900e-01   1.86259500e-01   
158   9.57425800e-07   4.87333800e-01   9.14073300e-01   6.05942900e-02   4.26739500e-01   1.82106600e-01   
159   9.58174700e-07   5.16538400e-01   9.40595400e-01   9.24813600e-02   4.24057000e-01   1.79824400e-01   
160   9.58923600e-07   5.49974100e-01   9.74634800e-01   1.25313300e-01   4.24660700e-01   1.80336700e-01   
161   9.59672400e-07   5.87765700e-01   1.01744400e+00   1.58087100e-01   4.29678600e-01   1.84623700e-01   
162   9.60421300e-07   6.29539300e-01   1.06932100e+00   1.89757600e-01   4.39781600e-01   1.93407900e-01   
163   9.60530500e-07   6.35850000e-01   1.07745000e+00   1.94250500e-01   4.41599600e-01   1.95010200e-01   
164   9.60749000e-07   6.47814800e-01   1.09281500e+00   2.02814500e-01   4.45000300e-01   1.98025300e-01   
165   9.60967500e-07   6.57452300e-01   1.10422100e+00   2.10683900e-01   4.46768300e-01   1.99602000e-01   
166   9.61186000e-07   6.63985800e-01   1.11010600e+00   2.17865500e-01   4.46120300e-01   1.99023300e-01   
167   9.61404500e-07   6.68436400e-01   1.11213900e+00   2.24733500e-01   4.43702900e-01   1.96872200e-01   
168   9.61623000e-07   6.72036800e-01   1.11239700e+00   2.31676500e-01   4.40360300e-01   1.93917200e-01   
169   9.61841500e-07   6.75453200e-01   1.11202200e+00   2.38884700e-01   4.36568500e-01   1.90592100e-01   
170   9.62278500e-07   6.82571700e-01   1.11076500e+00   2.54378900e-01   4.28192800e-01   1.83349100e-01   
171   9.62715400e-07   6.90370100e-01   1.10933100e+00   2.71409000e-01   4.18961100e-01   1.75528400e-01   
172   9.63589400e-07   7.08458900e-01   1.10640900e+00   3.10508700e-01   3.97950200e-01   1.58364300e-01   
173   9.64463300e-07   7.30210000e-01   1.10379300e+00   3.56627200e-01   3.73582800e-01   1.39564100e-01   
174   9.65337300e-07   7.56028800e-01   1.10227900e+00   4.09778100e-01   3.46250600e-01   1.19889500e-01   
175   9.66211300e-07   7.86172600e-01   1.10310100e+00   4.69244200e-01   3.16928400e-01   1.00443600e-01   
176   9.67085200e-07   8.20827500e-01   1.10832000e+00   5.33334600e-01   2.87492900e-01   8.26521800e-02   
177   9.67959200e-07   8.59988700e-01   1.12121900e+00   5.98758100e-01   2.61230500e-01   6.82414000e-02   
178   9.68833100e-07   9.00087600e-01   1.14246400e+00   6.57711400e-01   2.42376200e-01   5.87462300e-02   
179   9.68942400e-07   9.04222500e-01   1.14449700e+00   6.63947500e-01   2.40275000e-01   5.77320700e-02   
180   9.69051600e-07   9.07857800e-01   1.14592900e+00   6.69786900e-01   2.38070900e-01   5.66777500e-02   
181   9.69270100e-07   9.12782300e-01   1.14561300e+00   6.79951400e-01   2.32830900e-01   5.42102500e-02   
182   9.69488600e-07   9.15915500e-01   1.14263600e+00   6.89194700e-01   2.26720800e-01   5.14023200e-02   
183   9.69707100e-07   9.18550300e-01   1.13868500e+00   6.98415200e-01   2.20135100e-01   4.84594700e-02   
184   9.70144100e-07   9.23822500e-01   1.12982600e+00   7.17819100e-01   2.06003300e-01   4.24373700e-02   
185   9.70581100e-07   9.29451300e-01   1.12022400e+00   7.38678600e-01   1.90772700e-01   3.63942200e-02   
186   9.71455000e-07   9.41967900e-01   1.09881300e+00   7.85122900e-01   1.56845000e-01   2.46003600e-02   
187   9.72329000e-07   9.56184700e-01   1.07440400e+00   8.37964800e-01   1.18219800e-01   1.39759300e-02   
188   9.73202900e-07   9.72082700e-01   1.04708000e+00   8.97085700e-01   7.49970900e-02   5.62456300e-03   
189   9.74076900e-07   9.89282700e-01   1.01747400e+00   9.61091700e-01   2.81909500e-02   7.94729600e-04   
