Index       TIME              V(N1)           V(N1,N2)          V(N1,N3)      I(YMEMRISTOR!MR1)     I(RPTG2)      N(YMEMRISTOR!MR1_X)       V(N4)      
352      1.04883717e-03    3.00835961e-01    2.34386000e-01    2.34383247e-01    1.32899753e-03    1.32905429e-03    6.67058063e-01    6.67094389e-01
353      1.05767341e-03    3.00835961e-01    2.34304141e-01    2.34301599e-01    1.33062970e-03    1.33068724e-03    6.68110643e-01    6.68146777e-01
354      1.07534588e-03    3.00835961e-01    2.34141519e-01    2.34139774e-01    1.33386249e-03    1.33392374e-03    6.70199013e-01    6.70234783e-01
355      1.11069083e-03    3.00835961e-01    2.33820630e-01    2.33821863e-01    1.34020500e-03    1.34028196e-03    6.74309983e-01    6.74345147e-01
356      1.12000000e-03    3.00835961e-01    2.33744169e-01    2.33739385e-01    1.34188949e-03    1.34193153e-03    6.75378380e-01    6.75413364e-01
357      1.12000005e-03    2.97100995e-01    2.30840138e-01    2.30837471e-01    1.32521716e-03    1.32527049e-03    6.75378385e-01    6.75413369e-01
358      1.12000008e-03    2.93913244e-01    2.28363357e-01    2.28360719e-01    1.31099773e-03    1.31105050e-03    6.75378389e-01    6.75413374e-01
359      1.12000016e-03    2.87537740e-01    2.23409794e-01    2.23407213e-01    1.28255893e-03    1.28261055e-03    6.75378397e-01    6.75413382e-01
360      1.12000032e-03    2.74786734e-01    2.13502658e-01    2.13500192e-01    1.22568151e-03    1.22573084e-03    6.75378411e-01    6.75413396e-01
361      1.12000063e-03    2.49284721e-01    1.93688353e-01    1.93686116e-01    1.11192734e-03    1.11197209e-03    6.75378432e-01    6.75413416e-01
362      1.12000100e-03    2.19098857e-01    1.70234783e-01    1.70232817e-01    9.77281474e-04    9.77320810e-04    6.75378444e-01    6.75413429e-01
363      1.12000106e-03    2.19098857e-01    1.70234783e-01    1.70232817e-01    9.77281479e-04    9.77320811e-04    6.75378445e-01    6.75413430e-01
364      1.12000119e-03    2.19098857e-01    1.70234783e-01    1.70232817e-01    9.77281481e-04    9.77320813e-04    6.75378447e-01    6.75413432e-01
365      1.12000144e-03    2.19098857e-01    1.70234783e-01    1.70232816e-01    9.77281485e-04    9.77320817e-04    6.75378451e-01    6.75413435e-01
366      1.12000194e-03    2.19098857e-01    1.70234783e-01    1.70232816e-01    9.77281494e-04    9.77320826e-04    6.75378458e-01    6.75413443e-01
367      1.12000293e-03    2.19098857e-01    1.70234782e-01    1.70232815e-01    9.77281511e-04    9.77320843e-04    6.75378474e-01    6.75413458e-01
368      1.12000493e-03    2.19098857e-01    1.70234780e-01    1.70232813e-01    9.77281545e-04    9.77320878e-04    6.75378505e-01    6.75413489e-01
369      1.12000892e-03    2.19098857e-01    1.70234777e-01    1.70232810e-01    9.77281614e-04    9.77320947e-04    6.75378566e-01    6.75413551e-01
370      1.12001691e-03    2.19098857e-01    1.70234770e-01    1.70232803e-01    9.77281753e-04    9.77321085e-04    6.75378689e-01    6.75413673e-01
371      1.12003289e-03    2.19098857e-01    1.70234756e-01    1.70232789e-01    9.77282029e-04    9.77321361e-04    6.75378935e-01    6.75413919e-01
372      1.12006484e-03    2.19098857e-01    1.70234728e-01    1.70232762e-01    9.77282582e-04    9.77321914e-04    6.75379426e-01    6.75414410e-01
373      1.12012873e-03    2.19098857e-01    1.70234673e-01    1.70232706e-01    9.77283687e-04    9.77323018e-04    6.75380409e-01    6.75415393e-01
374      1.12025653e-03    2.19098857e-01    1.70234562e-01    1.70232596e-01    9.77285897e-04    9.77325228e-04    6.75382375e-01    6.75417359e-01
375      1.12051212e-03    2.19098857e-01    1.70234341e-01    1.70232375e-01    9.77290318e-04    9.77329647e-04    6.75386307e-01    6.75421289e-01
376      1.12102330e-03    2.19098857e-01    1.70233899e-01    1.70231933e-01    9.77299159e-04    9.77338485e-04    6.75394171e-01    6.75429151e-01
377      1.12204566e-03    2.19098857e-01    1.70233015e-01    1.70231049e-01    9.77316839e-04    9.77356159e-04    6.75409897e-01    6.75444871e-01
378      1.12409039e-03    2.19098857e-01    1.70231247e-01    1.70229282e-01    9.77352189e-04    9.77391498e-04    6.75441341e-01    6.75476305e-01
379      1.12817984e-03    2.19098857e-01    1.70227713e-01    1.70225750e-01    9.77422852e-04    9.77462141e-04    6.75504202e-01    6.75539144e-01
380      1.13635875e-03    2.19098857e-01    1.70220649e-01    1.70218693e-01    9.77564031e-04    9.77603291e-04    6.75629808e-01    6.75664709e-01
381      1.15271656e-03    2.19098857e-01    1.70206541e-01    1.70204605e-01    9.77845800e-04    9.77885047e-04    6.75880568e-01    6.75915385e-01
382      1.18543217e-03    2.19098857e-01    1.70178404e-01    1.70176538e-01    9.78406992e-04    9.78446390e-04    6.76380278e-01    6.76414930e-01
383      1.20000000e-03    2.19098857e-01    1.70166043e-01    1.70164086e-01    9.78656658e-04    9.78695421e-04    6.76602021e-01    6.76636599e-01
384      1.20000004e-03    2.15181044e-01    1.67123222e-01    1.67121315e-01    9.61156421e-04    9.61194571e-04    6.76602021e-01    6.76636600e-01
385      1.20000008e-03    2.11861076e-01    1.64544739e-01    1.64542861e-01    9.46326751e-04    9.46364312e-04    6.76602021e-01    6.76636600e-01
386      1.20000015e-03    2.05221142e-01    1.59387770e-01    1.59385951e-01    9.16667446e-04    9.16703830e-04    6.76602022e-01    6.76636600e-01
387      1.20000030e-03    1.91941274e-01    1.49073825e-01    1.49072124e-01    8.57348976e-04    8.57383006e-04    6.76602022e-01    6.76636600e-01
388      1.20000060e-03    1.65381537e-01    1.28445910e-01    1.28444444e-01    7.38712557e-04    7.38741877e-04    6.76602022e-01    6.76636600e-01
