Index       V(2)              V(1)             I(VDS)           N(M1:GM)     
142      0.00000000e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00
143     -5.00000000e-02    1.00000000e+00    1.43925040e-04   -1.16387146e-04
144     -1.00000000e-01    1.00000000e+00    2.84137191e-04   -2.21748118e-04
145     -1.50000000e-01    1.00000000e+00    4.20336247e-04   -3.18109806e-04
146     -2.00000000e-01    1.00000000e+00    5.52349818e-04   -4.06961439e-04
147     -2.50000000e-01    1.00000000e+00    6.80092039e-04   -4.89425779e-04
148     -3.00000000e-01    1.00000000e+00    8.03537331e-04   -5.66360144e-04
149     -3.50000000e-01    1.00000000e+00    9.22706592e-04   -6.38415342e-04
150     -4.00000000e-01    1.00000000e+00    1.03768040e-03   -7.06065598e-04
151     -4.50000000e-01    1.00000000e+00    1.14875832e-03   -7.69614270e-04
152     -5.00000000e-01    1.00000000e+00    1.25759687e-03   -8.29172506e-04
153     -5.50000000e-01    1.00000000e+00    1.37508349e-03   -8.84601364e-04
154     -6.00000000e-01    1.00000000e+00    1.57573014e-03   -9.35445645e-04
155     -6.50000000e-01    1.00000000e+00    2.37352648e-03   -9.81018320e-04
156     -7.00000000e-01    1.00000000e+00    7.31949316e-03   -1.02077966e-03
157     -7.50000000e-01    1.00000000e+00    4.09544221e-02   -1.05473308e-03
158     -8.00000000e-01    1.00000000e+00    2.01540751e-01   -1.08341729e-03
159     -8.50000000e-01    1.00000000e+00    3.94943001e-01   -1.10760088e-03
160     -9.00000000e-01    1.00000000e+00    5.88343254e-01   -1.12802910e-03
161     -9.50000000e-01    1.00000000e+00    7.81741702e-01   -1.14532854e-03
162     -1.00000000e+00    1.00000000e+00    9.75138501e-01   -1.16000286e-03
163     -1.05000000e+00    1.00000000e+00    1.16853378e+00   -1.17245523e-03
164     -1.10000000e+00    1.00000000e+00    1.36192766e+00   -1.18301159e-03
165     -1.15000000e+00    1.00000000e+00    1.55532022e+00   -1.19193851e-03
166     -1.20000000e+00    1.00000000e+00    1.74871154e+00   -1.19945648e-03
167     -1.25000000e+00    1.00000000e+00    1.94210171e+00   -1.20574945e-03
