Index       V(2)              V(1)             I(VDS)           N(M1:GM)          N(M1:VTH)        N(M1:VDSAT)        N(M1:VDS)         N(M1:VGS)         N(M1:VBS)     {N(M1:VDS)-N(M1:VDSAT)}
70       3.50000000e+00    0.00000000e+00   -2.97816542e-08    7.51982798e-07    2.56295871e-01    3.82121161e-02    3.50000000e+00    0.00000000e+00    0.00000000e+00    3.46178788e+00
71       0.00000000e+00    5.00000000e-01    0.00000000e+00    0.00000000e+00    3.04361422e-01    1.51578589e-01    0.00000000e+00    5.00000000e-01    0.00000000e+00   -1.51578589e-01
72       5.00000000e-02    5.00000000e-01   -4.45812867e-05    2.62740270e-04    3.03674771e-01    1.51967728e-01    5.00000000e-02    5.00000000e-01    0.00000000e+00   -1.01967728e-01
73       1.00000000e-01    5.00000000e-01   -7.27489371e-05    4.96705771e-04    3.02988120e-01    1.52356565e-01    1.00000000e-01    5.00000000e-01    0.00000000e+00   -5.23565651e-02
74       1.50000000e-01    5.00000000e-01   -8.80062452e-05    6.75799033e-04    3.02301469e-01    1.52745096e-01    1.50000000e-01    5.00000000e-01    0.00000000e+00   -2.74509563e-03
75       2.00000000e-01    5.00000000e-01   -9.60418682e-05    7.76809189e-04    3.01614819e-01    1.53133317e-01    2.00000000e-01    5.00000000e-01    0.00000000e+00    4.68666831e-02
76       2.50000000e-01    5.00000000e-01   -1.01326382e-04    8.33448487e-04    3.00928168e-01    1.53521226e-01    2.50000000e-01    5.00000000e-01    0.00000000e+00    9.64787743e-02
77       3.00000000e-01    5.00000000e-01   -1.05464344e-04    8.72665384e-04    3.00241517e-01    1.53908819e-01    3.00000000e-01    5.00000000e-01    0.00000000e+00    1.46091181e-01
78       3.50000000e-01    5.00000000e-01   -1.08964816e-04    9.03260218e-04    2.99554867e-01    1.54296094e-01    3.50000000e-01    5.00000000e-01    0.00000000e+00    1.95703906e-01
79       4.00000000e-01    5.00000000e-01   -1.12048391e-04    9.28545485e-04    2.98868216e-01    1.54683047e-01    4.00000000e-01    5.00000000e-01    0.00000000e+00    2.45316953e-01
80       4.50000000e-01    5.00000000e-01   -1.14837182e-04    9.50179086e-04    2.98181565e-01    1.55069676e-01    4.50000000e-01    5.00000000e-01    0.00000000e+00    2.94930324e-01
81       5.00000000e-01    5.00000000e-01   -1.17408159e-04    9.69148181e-04    2.97494914e-01    1.55455977e-01    5.00000000e-01    5.00000000e-01    0.00000000e+00    3.44544023e-01
82       5.50000000e-01    5.00000000e-01   -1.19813460e-04    9.86098915e-04    2.96808264e-01    1.55841948e-01    5.50000000e-01    5.00000000e-01    0.00000000e+00    3.94158052e-01
83       6.00000000e-01    5.00000000e-01   -1.22090061e-04    1.00147893e-03    2.96121613e-01    1.56227587e-01    6.00000000e-01    5.00000000e-01    0.00000000e+00    4.43772413e-01
84       6.50000000e-01    5.00000000e-01   -1.24265058e-04    1.01561050e-03    2.95434962e-01    1.56612889e-01    6.50000000e-01    5.00000000e-01    0.00000000e+00    4.93387111e-01
85       7.00000000e-01    5.00000000e-01   -1.26358818e-04    1.02873246e-03    2.94748312e-01    1.56997854e-01    7.00000000e-01    5.00000000e-01    0.00000000e+00    5.43002146e-01
86       7.50000000e-01    5.00000000e-01   -1.28386971e-04    1.04102585e-03    2.94061661e-01    1.57382477e-01    7.50000000e-01    5.00000000e-01    0.00000000e+00    5.92617523e-01
87       8.00000000e-01    5.00000000e-01   -1.30361724e-04    1.05263057e-03    2.93375010e-01    1.57766757e-01    8.00000000e-01    5.00000000e-01    0.00000000e+00    6.42233243e-01
88       8.50000000e-01    5.00000000e-01   -1.32292756e-04    1.06365649e-03    2.92688359e-01    1.58150691e-01    8.50000000e-01    5.00000000e-01    0.00000000e+00    6.91849309e-01
89       9.00000000e-01    5.00000000e-01   -1.34187839e-04    1.07419114e-03    2.92001709e-01    1.58534276e-01    9.00000000e-01    5.00000000e-01    0.00000000e+00    7.41465724e-01
90       9.50000000e-01    5.00000000e-01   -1.36053295e-04    1.08430508e-03    2.91315058e-01    1.58917510e-01    9.50000000e-01    5.00000000e-01    0.00000000e+00    7.91082490e-01
91       1.00000000e+00    5.00000000e-01   -1.37894313e-04    1.09405588e-03    2.90628407e-01    1.59300390e-01    1.00000000e+00    5.00000000e-01    0.00000000e+00    8.40699610e-01
92       1.05000000e+00    5.00000000e-01   -1.39715200e-04    1.10349094e-03    2.89941757e-01    1.59682915e-01    1.05000000e+00    5.00000000e-01    0.00000000e+00    8.90317085e-01
