Index       TIME              V(1)              I(L1)             V(3)              V(2)              I(VS)      
75       3.26785714e-04    0.00000000e+00    0.00000000e+00    2.52437231e-02    2.74163441e-02    2.17262098e-06
76       3.31547619e-04    0.00000000e+00    0.00000000e+00    2.97309527e-02    2.74783994e-02   -2.25255321e-06
77       3.36309524e-04    0.00000000e+00    0.00000000e+00    3.42179160e-02    2.76067526e-02   -6.61116338e-06
78       3.41071429e-04    0.00000000e+00    0.00000000e+00    3.87045731e-02    2.77991721e-02   -1.09054010e-05
79       3.45833333e-04    0.00000000e+00    0.00000000e+00    4.31908836e-02    2.80547375e-02   -1.51361461e-05
80       3.50595238e-04    0.00000000e+00    0.00000000e+00    4.76768076e-02    2.83736587e-02   -1.93031489e-05
81       3.55357143e-04    0.00000000e+00    0.00000000e+00    5.21623047e-02    2.87569457e-02   -2.34053589e-05
82       3.60119048e-04    0.00000000e+00    0.00000000e+00    5.66473348e-02    2.92060277e-02   -2.74413072e-05
83       3.62500000e-04    0.00000000e+00    0.00000000e+00    5.88896943e-02    2.94514798e-02   -2.94382144e-05
84       3.67261905e-04    0.00000000e+00    0.00000000e+00    6.33739512e-02    3.00019232e-02   -3.33720280e-05
85       3.72023810e-04    0.00000000e+00    0.00000000e+00    6.78576408e-02    3.06213893e-02   -3.72362516e-05
86       3.76785714e-04    0.00000000e+00    0.00000000e+00    7.23407230e-02    3.13104018e-02   -4.10303212e-05
87       3.81547619e-04    0.00000000e+00    0.00000000e+00    7.68231576e-02    3.20688726e-02   -4.47542850e-05
88       3.86309524e-04    0.00000000e+00    0.00000000e+00    8.13049044e-02    3.28960914e-02   -4.84088130e-05
89       3.91071429e-04    0.00000000e+00    0.00000000e+00    8.57859234e-02    3.37907728e-02   -5.19951506e-05
90       3.95833333e-04    0.00000000e+00    0.00000000e+00    7.84929521e-02    3.45671962e-02   -4.39257559e-05
91       4.00595238e-04    0.00000000e+00    0.00000000e+00    5.60997851e-04    3.41223553e-02    3.35613574e-05
92       4.05357143e-04    0.00000000e+00    0.00000000e+00    5.04897564e-03    3.37613338e-02    2.87123581e-05
93       4.10119048e-04    0.00000000e+00    0.00000000e+00    9.53690823e-03    3.34822525e-02    2.39453442e-05
94       4.12500000e-04    0.00000000e+00    0.00000000e+00    1.17808394e-02    3.33777244e-02    2.15968850e-05
95       4.17261905e-04    0.00000000e+00    0.00000000e+00    1.62686263e-02    3.23888861e-02    1.61202598e-05
96       4.22023810e-04    0.00000000e+00    0.00000000e+00    2.07562676e-02    3.21925286e-02    1.14362609e-05
97       4.26785714e-04    0.00000000e+00    0.00000000e+00    2.52437231e-02    3.20770294e-02    6.83330626e-06
98       4.31547619e-04    0.00000000e+00    0.00000000e+00    2.97309527e-02    3.20430582e-02    2.31210555e-06
99       4.36309524e-04    0.00000000e+00    0.00000000e+00    3.42179160e-02    3.20902102e-02   -2.12770585e-06
100      4.41071429e-04    0.00000000e+00    0.00000000e+00    3.87045731e-02    3.22168434e-02   -6.48772968e-06
