Index       V(G)              V(D)        {N(X1:M1:IDS)+N(X1:M1:IDB)-N(X1:M1:IGD)} {((N(X2:M1:IDS)+N(X2:M1:IDB)-N(X2:M1:IGD))-(N(X1:M1:IDS)+N(X1:M1:IDB)-N(X1:M1:IGD)))/(V(G2)-V(G))}    N(X1:M1:GM)    {N(X1:M1:GM)-{((N(X2:M1:IDS)+N(X2:M1:IDB)-N(X2:M1:IGD))-(N(X1:M1:IDS)+N(X1:M1:IDB)-N(X1:M1:IGD)))/(V(G2)-V(G))}}   N(X1:M1:VTH)      N(X1:M1:VDS)      N(X1:M1:VSB)      N(X1:M1:VGS)      N(X1:M1:VDSS)  
19      -8.10000000e-01    1.00000000e+00    3.21883824e-03   -1.00806709e-06   -1.00802935e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -8.10000000e-01    1.21141022e-01
20      -8.00000000e-01    1.00000000e+00    3.21882857e-03   -9.26288127e-07   -9.26234421e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -8.00000000e-01    1.21141022e-01
21      -7.90000000e-01    1.00000000e+00    3.21881969e-03   -8.50288986e-07   -8.50297932e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -7.90000000e-01    1.21141022e-01
22      -7.80000000e-01    1.00000000e+00    3.21881155e-03   -7.79847165e-07   -7.79861587e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -7.80000000e-01    1.21141022e-01
23      -7.70000000e-01    1.00000000e+00    3.21880408e-03   -7.14503315e-07   -7.14584791e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -7.70000000e-01    1.21141022e-01
24      -7.60000000e-01    1.00000000e+00    3.21879724e-03   -6.54116293e-07   -6.54144030e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -7.60000000e-01    1.21141022e-01
25      -7.50000000e-01    1.00000000e+00    3.21879098e-03   -5.98248306e-07   -5.98232253e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -7.50000000e-01    1.21141022e-01
26      -7.40000000e-01    1.00000000e+00    3.21878526e-03   -5.46555110e-07   -5.46558262e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -7.40000000e-01    1.21141022e-01
27      -7.30000000e-01    1.00000000e+00    3.21878004e-03   -4.98851813e-07   -4.98846120e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -7.30000000e-01    1.21141022e-01
28      -7.20000000e-01    1.00000000e+00    3.21877527e-03   -4.54822809e-07   -4.54834560e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -7.20000000e-01    1.21141022e-01
29      -7.10000000e-01    1.00000000e+00    3.21877093e-03   -4.14256851e-07   -4.14276414e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -7.10000000e-01    1.21141022e-01
30      -7.00000000e-01    1.00000000e+00    3.21876697e-03   -3.76868674e-07   -3.76938052e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -7.00000000e-01    1.21141022e-01
31      -6.90000000e-01    1.00000000e+00    3.21876338e-03   -3.42607886e-07   -3.42598829e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -6.90000000e-01    1.21141022e-01
32      -6.80000000e-01    1.00000000e+00    3.21876011e-03   -3.11102247e-07   -3.11050550e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -6.80000000e-01    1.21141022e-01
33      -6.70000000e-01    1.00000000e+00    3.21875715e-03   -2.82151479e-07   -2.82096940e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -6.70000000e-01    1.21141022e-01
34      -6.60000000e-01    1.00000000e+00    3.21875446e-03   -2.55477458e-07   -2.55553133e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -6.60000000e-01    1.21141022e-01
35      -6.50000000e-01    1.00000000e+00    3.21875203e-03   -2.31251984e-07   -2.31245173e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -6.50000000e-01    1.21141022e-01
36      -6.40000000e-01    1.00000000e+00    3.21874983e-03   -2.09047732e-07   -2.09009521e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -6.40000000e-01    1.21141022e-01
37      -6.30000000e-01    1.00000000e+00    3.21874784e-03   -1.88616760e-07   -1.88692585e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -6.30000000e-01    1.21141022e-01
38      -6.20000000e-01    1.00000000e+00    3.21874605e-03   -1.70184768e-07   -1.70150251e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -6.20000000e-01    1.21141022e-01
39      -6.10000000e-01    1.00000000e+00    3.21874444e-03   -1.53210210e-07   -1.53247441e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -6.10000000e-01    1.21141022e-01
40      -6.00000000e-01    1.00000000e+00    3.21874298e-03   -1.37838235e-07   -1.37857669e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -6.00000000e-01    1.21141022e-01
41      -5.90000000e-01    1.00000000e+00    3.21874167e-03   -1.23782810e-07   -1.23862623e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -5.90000000e-01    1.21141022e-01
42      -5.80000000e-01    1.00000000e+00    3.21874050e-03   -1.11112029e-07   -1.11151751e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -5.80000000e-01    1.21141022e-01
43      -5.70000000e-01    1.00000000e+00    3.21873945e-03   -9.96705150e-08   -9.96218622e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -5.70000000e-01    1.21141022e-01
44      -5.60000000e-01    1.00000000e+00    3.21873850e-03   -8.92143499e-08   -8.91767464e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -5.60000000e-01    1.21141022e-01
45      -5.50000000e-01    1.00000000e+00    3.21873766e-03   -7.97184287e-08   -7.97267966e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -5.50000000e-01    1.21141022e-01
46      -5.40000000e-01    1.00000000e+00    3.21873691e-03   -7.11557870e-08   -7.11886513e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -5.40000000e-01    1.21141022e-01
47      -5.30000000e-01    1.00000000e+00    3.21873623e-03   -6.35792520e-08   -6.34848466e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -5.30000000e-01    1.21141022e-01
48      -5.20000000e-01    1.00000000e+00    3.21873563e-03   -5.64619133e-08   -5.65434797e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -5.20000000e-01    1.21141022e-01
49      -5.10000000e-01    1.00000000e+00    3.21873510e-03   -5.01709243e-08   -5.02978857e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -5.10000000e-01    1.21141022e-01
50      -5.00000000e-01    1.00000000e+00    3.21873463e-03   -4.45823931e-08   -4.46863237e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -5.00000000e-01    1.21141022e-01
51      -4.90000000e-01    1.00000000e+00    3.21873420e-03   -3.97393285e-08   -3.96516754e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -4.90000000e-01    1.21141022e-01
52      -4.80000000e-01    1.00000000e+00    3.21873383e-03   -3.50558702e-08   -3.51411522e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -4.80000000e-01    1.21141022e-01
53      -4.70000000e-01    1.00000000e+00    3.21873350e-03   -3.10035685e-08   -3.11060127e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -4.70000000e-01    1.21141022e-01
54      -4.60000000e-01    1.00000000e+00    3.21873321e-03   -2.75293074e-08   -2.75012870e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -4.60000000e-01    1.21141022e-01
55      -4.50000000e-01    1.00000000e+00    3.21873295e-03   -2.41897552e-08   -2.42855092e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -4.50000000e-01    1.21141022e-01
56      -4.40000000e-01    1.00000000e+00    3.21873272e-03   -2.13883521e-08   -2.14204540e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -4.40000000e-01    1.21141022e-01
57      -4.30000000e-01    1.00000000e+00    3.21873252e-03   -1.88600749e-08   -1.88708762e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -4.30000000e-01    1.21141022e-01
58      -4.20000000e-01    1.00000000e+00    3.21873234e-03   -1.67276906e-08   -1.66042516e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -4.20000000e-01    1.21141022e-01
59      -4.10000000e-01    1.00000000e+00    3.21873219e-03   -1.43855117e-08   -1.45905129e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -4.10000000e-01    1.21141023e-01
60      -4.00000000e-01    1.00000000e+00    3.21873205e-03   -1.26851654e-08   -1.28017797e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -4.00000000e-01    1.21141023e-01
61      -3.90000000e-01    1.00000000e+00    3.21873193e-03   -1.12312225e-08   -1.12120735e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -3.90000000e-01    1.21141023e-01
62      -3.80000000e-01    1.00000000e+00    3.21873182e-03   -9.92900942e-09   -9.79701248e-09    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -3.80000000e-01    1.21141023e-01
63      -3.70000000e-01    1.00000000e+00    3.21873173e-03   -8.43919535e-09   -8.53347591e-09    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -3.70000000e-01    1.21141024e-01
64      -3.60000000e-01    1.00000000e+00    3.21873165e-03   -7.22801444e-09   -7.39922466e-09    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -3.60000000e-01    1.21141024e-01
65      -3.50000000e-01    1.00000000e+00    3.21873158e-03   -6.44325860e-09   -6.37246306e-09    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -3.50000000e-01    1.21141025e-01
66      -3.40000000e-01    1.00000000e+00    3.21873153e-03   -5.48478745e-09   -5.43131987e-09    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -3.40000000e-01    1.21141026e-01
67      -3.30000000e-01    1.00000000e+00    3.21873148e-03   -4.59964559e-09   -4.55322139e-09    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -3.30000000e-01    1.21141027e-01
68      -3.20000000e-01    1.00000000e+00    3.21873143e-03   -3.65918235e-09   -3.71412055e-09    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -3.20000000e-01    1.21141028e-01
69      -3.10000000e-01    1.00000000e+00    3.21873140e-03   -2.93783816e-09   -2.88753531e-09    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -3.10000000e-01    1.21141030e-01
70      -3.00000000e-01    1.00000000e+00    3.21873138e-03   -2.02384404e-09   -2.04333526e-09    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -3.00000000e-01    1.21141032e-01
71      -2.90000000e-01    1.00000000e+00    3.21873136e-03   -1.04681588e-09   -1.14619653e-09    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -2.90000000e-01    1.21141035e-01
72      -2.80000000e-01    1.00000000e+00    3.21873135e-03   -3.09772048e-10   -1.53620769e-10    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -2.80000000e-01    1.21141039e-01
73      -2.70000000e-01    1.00000000e+00    3.21873136e-03    9.63735264e-10    9.86618249e-10    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -2.70000000e-01    1.21141044e-01
74      -2.60000000e-01    1.00000000e+00    3.21873137e-03    2.66880535e-09    2.33977869e-09    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -2.60000000e-01    1.21141051e-01
75      -2.50000000e-01    1.00000000e+00    3.21873141e-03    4.16333632e-09    3.98843894e-09    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -2.50000000e-01    1.21141060e-01
76      -2.40000000e-01    1.00000000e+00    3.21873146e-03    5.96311194e-09    6.03807555e-09    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -2.40000000e-01    1.21141071e-01
77      -2.30000000e-01    1.00000000e+00    3.21873153e-03    8.67361739e-09    8.62433092e-09    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -2.30000000e-01    1.21141086e-01
78      -2.20000000e-01    1.00000000e+00    3.21873163e-03    1.20247878e-08    1.19224947e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -2.20000000e-01    1.21141106e-01
79      -2.10000000e-01    1.00000000e+00    3.21873177e-03    1.61081465e-08    1.61598854e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -2.10000000e-01    1.21141131e-01
80      -2.00000000e-01    1.00000000e+00    3.21873196e-03    2.14672030e-08    2.16320309e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -2.00000000e-01    1.21141164e-01
81      -1.90000000e-01    1.00000000e+00    3.21873221e-03    2.87598893e-08    2.87238285e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -1.90000000e-01    1.21141207e-01
82      -1.80000000e-01    1.00000000e+00    3.21873254e-03    3.80675427e-08    3.79372271e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -1.80000000e-01    1.21141264e-01
83      -1.70000000e-01    1.00000000e+00    3.21873298e-03    5.00008531e-08    4.99274605e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -1.70000000e-01    1.21141337e-01
84      -1.60000000e-01    1.00000000e+00    3.21873355e-03    6.58652822e-08    6.55504871e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -1.60000000e-01    1.21141433e-01
85      -1.50000000e-01    1.00000000e+00    3.21873430e-03    8.61579319e-08    8.59251221e-08    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -1.50000000e-01    1.21141558e-01
86      -1.40000000e-01    1.00000000e+00    3.21873529e-03    1.12757026e-07    1.12514434e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -1.40000000e-01    1.21141722e-01
87      -1.30000000e-01    1.00000000e+00    3.21873658e-03    1.47785097e-07    1.47232402e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -1.30000000e-01    1.21141936e-01
88      -1.20000000e-01    1.00000000e+00    3.21873827e-03    1.92626586e-07    1.92583704e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -1.20000000e-01    1.21142216e-01
89      -1.10000000e-01    1.00000000e+00    3.21874048e-03    2.51929161e-07    2.51846962e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -1.10000000e-01    1.21142582e-01
90      -1.00000000e-01    1.00000000e+00    3.21874337e-03    3.29597461e-07    3.29314981e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -1.00000000e-01    1.21143061e-01
91      -9.00000000e-02    1.00000000e+00    3.21874714e-03    4.30789661e-07    4.30609753e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -9.00000000e-02    1.21143687e-01
92      -8.00000000e-02    1.00000000e+00    3.21875208e-03    5.63243031e-07    5.63095523e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -8.00000000e-02    1.21144507e-01
93      -7.00000000e-02    1.00000000e+00    3.21875854e-03    7.37257475e-07    7.36420455e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -7.00000000e-02    1.21145580e-01
94      -6.00000000e-02    1.00000000e+00    3.21876699e-03    9.63494329e-07    9.63226911e-07    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -6.00000000e-02    1.21146986e-01
95      -5.00000000e-02    1.00000000e+00    3.21877804e-03    1.25940924e-06    1.26008271e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -5.00000000e-02    1.21148826e-01
96      -4.00000000e-02    1.00000000e+00    3.21879250e-03    1.64907151e-06    1.64870185e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -4.00000000e-02    1.21151237e-01
97      -3.00000000e-02    1.00000000e+00    3.21881141e-03    2.15828512e-06    2.15754408e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -3.00000000e-02    1.21154395e-01
98      -2.00000000e-02    1.00000000e+00    3.21883617e-03    2.82326247e-06    2.82390980e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -2.00000000e-02    1.21158534e-01
99      -1.00000000e-02    1.00000000e+00    3.21886858e-03    3.69929783e-06    3.69668138e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -1.00000000e-02    1.21163958e-01
100      0.00000000e+00    1.00000000e+00    3.21891100e-03    4.83992187e-06    4.83990663e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    1.21171067e-01
101      1.00000000e-02    1.00000000e+00    3.21896655e-03    6.33607752e-06    6.33747582e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    1.00000000e-02    1.21180384e-01
102      2.00000000e-02    1.00000000e+00    3.21903930e-03    8.29848346e-06    8.29921338e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    2.00000000e-02    1.21192596e-01
103      3.00000000e-02    1.00000000e+00    3.21913456e-03    1.08709338e-05    1.08687895e-05    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    3.00000000e-02    1.21208600e-01
104      4.00000000e-02    1.00000000e+00    3.21925932e-03    1.42334062e-05    1.42339557e-05    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    4.00000000e-02    1.21229569e-01
105      5.00000000e-02    1.00000000e+00    3.21942270e-03    1.86396038e-05    1.86397168e-05    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    5.00000000e-02    1.21257034e-01
106      6.00000000e-02    1.00000000e+00    3.21963664e-03    2.44061137e-05    2.44051594e-05    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    6.00000000e-02    1.21292988e-01
107      7.00000000e-02    1.00000000e+00    3.21991671e-03    3.19449327e-05    3.19447361e-05    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    7.00000000e-02    1.21340020e-01
108      8.00000000e-02    1.00000000e+00    3.22028322e-03    4.17954518e-05    4.17948074e-05    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    8.00000000e-02    1.21401479e-01
109      9.00000000e-02    1.00000000e+00    3.22076259e-03    5.46461985e-05    5.46460828e-05    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    9.00000000e-02    1.21481676e-01
110      1.00000000e-01    1.00000000e+00    3.22138907e-03    7.13825700e-05    7.13821162e-05    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    1.00000000e-01    1.21586125e-01
111      1.10000000e-01    1.00000000e+00    3.22220689e-03    9.31238993e-05    9.31229796e-05    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    1.10000000e-01    1.21721821e-01
112      1.20000000e-01    1.00000000e+00    3.22327286e-03    1.21271265e-04    1.21271317e-04    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    1.20000000e-01    1.21897543e-01
113      1.30000000e-01    1.00000000e+00    3.22465941e-03    1.57555593e-04    1.57554807e-04    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    1.30000000e-01    1.22124162e-01
114      1.40000000e-01    1.00000000e+00    3.22645798e-03    2.04055522e-04    2.04054418e-04    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    1.40000000e-01    1.22414901e-01
115      1.50000000e-01    1.00000000e+00    3.22878264e-03    2.63202652e-04    2.63202130e-04    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    1.50000000e-01    1.22785512e-01
116      1.60000000e-01    1.00000000e+00    3.23177328e-03    3.37727623e-04    3.37726718e-04    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    1.60000000e-01    1.23254261e-01
117      1.70000000e-01    1.00000000e+00    3.23559810e-03    4.30526223e-04    4.30525529e-04    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    1.70000000e-01    1.23841655e-01
118      1.80000000e-01    1.00000000e+00    3.24045426e-03    5.44449947e-04    5.44449137e-04    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    1.80000000e-01    1.24569841e-01
119      1.90000000e-01    1.00000000e+00    3.24656596e-03    6.82008364e-04    6.82008248e-04    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    1.90000000e-01    1.25461652e-01
120      2.00000000e-01    1.00000000e+00    3.25417946e-03    8.45045388e-04    8.45045128e-04    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    2.00000000e-01    1.26539369e-01
121      2.10000000e-01    1.00000000e+00    3.26355486e-03    1.03444204e-03    1.03444162e-03    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    2.10000000e-01    1.27823348e-01
122      2.20000000e-01    1.00000000e+00    3.27495544e-03    1.24994279e-03    1.24994275e-03    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    2.20000000e-01    1.29330706e-01
123      2.30000000e-01    1.00000000e+00    3.28863617e-03    1.49014727e-03    1.49014775e-03    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    2.30000000e-01    1.31074286e-01
124      2.40000000e-01    1.00000000e+00    3.30483286e-03    1.75266810e-03    1.75266836e-03    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    2.40000000e-01    1.33062051e-01
125      2.50000000e-01    1.00000000e+00    3.32375362e-03    2.03440321e-03    2.03440367e-03    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    2.50000000e-01    1.35296942e-01
126      2.60000000e-01    1.00000000e+00    3.34557333e-03    2.33185650e-03    2.33185646e-03    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    2.60000000e-01    1.37777166e-01
127      2.70000000e-01    1.00000000e+00    3.37043111e-03    2.64142183e-03    2.64142259e-03    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00    2.70000000e-01    1.40496793e-01
