Index        TIME               V(VOUT)              V(IN)               V(1)        
120      3.0050000000e-06    2.8973208220e+00    3.4830398084e-05    0.0000000000e+00
121      3.0050078125e-06    2.8973919454e+00    1.4317224287e-03    5.1562500001e-03
122      3.0050155554e-06    2.8975049912e+00    3.8156376200e-03    1.0266581668e-02
123      3.0050232984e-06    2.8976452248e+00    6.9282895262e-03    1.5376913336e-02
124      3.0050310413e-06    2.8977952933e+00    1.0346181440e-02    2.0487245004e-02
125      3.0050465271e-06    2.8981319738e+00    1.8524090409e-02    3.0707908340e-02
126      3.0050620130e-06    2.8984831714e+00    2.7761349278e-02    4.0928571676e-02
127      3.0050929847e-06    2.8991253136e+00    4.7365335538e-02    6.1369898348e-02
128      3.0051239564e-06    2.8996063775e+00    6.7465598205e-02    8.1811225020e-02
129      3.0051858998e-06    2.8997464132e+00    1.0765754181e-01    1.2269387836e-01
130      3.0052478432e-06    2.8983072814e+00    1.4767722426e-01    1.6357653171e-01
131      3.0053097866e-06    2.8948886061e+00    1.8771639812e-01    2.0445918505e-01
132      3.0053717301e-06    2.8894572539e+00    2.2787584228e-01    2.4534183840e-01
133      3.0054336735e-06    2.8821685975e+00    2.6815365646e-01    2.8622449174e-01
134      3.0054956169e-06    2.8732806816e+00    3.0853035806e-01    3.2710714508e-01
135      3.0055575603e-06    2.8630521361e+00    3.4898390040e-01    3.6798979843e-01
136      3.0056195037e-06    2.8517318443e+00    3.8950263303e-01    4.0887245177e-01
137      3.0056814471e-06    2.8395219876e+00    4.3007618399e-01    4.4975510512e-01
138      3.0058053340e-06    2.8130651480e+00    5.1134754769e-01    5.3152041180e-01
139      3.0060531076e-06    2.7544718548e+00    6.7426064503e-01    6.9505102518e-01
140      3.0063008813e-06    2.6900115643e+00    8.3749684136e-01    8.5858163856e-01
141      3.0065486549e-06    2.6183922504e+00    1.0007904701e+00    1.0221122519e+00
142      3.0065847852e-06    2.6070644263e+00    1.0246195921e+00    1.0459582154e+00
143      3.0066209154e-06    2.5954862119e+00    1.0484398454e+00    1.0698041789e+00
144      3.0066931759e-06    2.5712609589e+00    1.0960706433e+00    1.1174961059e+00
145      3.0067654364e-06    2.5454808318e+00    1.1437119803e+00    1.1651880328e+00
146      3.0068376969e-06    2.5177152358e+00    1.1913451185e+00    1.2128799598e+00
147      3.0069099574e-06    2.4875438990e+00    1.2389783092e+00    1.2605718867e+00
148      3.0069822179e-06    2.4543646515e+00    1.2865977513e+00    1.3082638137e+00
149      3.0070544784e-06    2.4175398602e+00    1.3342020312e+00    1.3559557406e+00
150      3.0071267389e-06    2.3763245134e+00    1.3817759172e+00    1.4036476676e+00
151      3.0071989994e-06    2.3300358437e+00    1.4293116194e+00    1.4513395946e+00
152      3.0072712599e-06    2.2781372784e+00    1.4768006698e+00    1.4990315215e+00
153      3.0073435204e-06    2.2204444032e+00    1.5242505487e+00    1.5467234485e+00
154      3.0074157809e-06    2.1571908031e+00    1.5716802597e+00    1.5944153754e+00
155      3.0074880414e-06    2.0890111830e+00    1.6191182033e+00    1.6421073024e+00
156      3.0075603019e-06    2.0167694830e+00    1.6665881638e+00    1.6897992294e+00
157      3.0076325624e-06    1.9413833584e+00    1.7141047902e+00    1.7374911563e+00
