Index       V(G)             I(V_D)      
197     -9.70000000e-01   -9.94728398e-03
198     -9.80000000e-01   -1.00792298e-02
199     -9.90000000e-01   -1.02113015e-02
200     -1.00000000e+00   -1.03434763e-02
201     -1.01000000e+00   -1.04757319e-02
202     -1.02000000e+00   -1.06080468e-02
203     -1.03000000e+00   -1.07403996e-02
204     -1.04000000e+00   -1.08727695e-02
205     -1.05000000e+00   -1.10051364e-02
206     -1.06000000e+00   -1.11374802e-02
207     -1.07000000e+00   -1.12697815e-02
208     -1.08000000e+00   -1.14020213e-02
209     -1.09000000e+00   -1.15341807e-02
210     -1.10000000e+00   -1.16662415e-02
211     -1.11000000e+00   -1.17981858e-02
212     -1.12000000e+00   -1.19299958e-02
213     -1.13000000e+00   -1.20616543e-02
214     -1.14000000e+00   -1.21931443e-02
215     -1.15000000e+00   -1.23244492e-02
216     -1.16000000e+00   -1.24555524e-02
217     -1.17000000e+00   -1.25864381e-02
218     -1.18000000e+00   -1.27170902e-02
219     -1.19000000e+00   -1.28474933e-02
220     -1.20000000e+00   -1.29776320e-02
End of Xyce(TM) Simulation
