Index        TIME               V(VOUT)              V(IN)               V(1)           N(M:XINV1:N1_T)     N(M:XINV1:P1_T)  
164      3.0116502429e-06    1.7001324273e+00    3.2455997476e-01    3.3004857081e-01    1.2157326003e+01    3.8435435375e+00
165      3.0122715107e-06    1.7333452740e+00    4.4882920338e-01    4.5430213926e-01    1.2170672370e+01    3.8477470086e+00
166      3.0135140464e-06    1.7879875876e+00    6.9711082715e-01    7.0280927616e-01    1.2217994317e+01    3.8516978215e+00
167      3.0147565821e-06    1.7682651564e+00    9.4451271665e-01    9.5131641305e-01    1.2290690860e+01    3.8527307434e+00
168      3.0149274184e-06    1.7512670490e+00    9.7841822514e-01    9.8548368948e-01    1.2302498633e+01    3.8528915535e+00
169      3.0152690912e-06    1.7004095464e+00    1.0461246600e+00    1.0538182423e+00    1.2326350827e+01    3.8534139011e+00
170      3.0156107640e-06    1.6064729416e+00    1.1139716388e+00    1.1221527952e+00    1.2350065168e+01    3.8544968479e+00
171      3.0159524367e-06    1.4551822122e+00    1.1819822260e+00    1.1904873481e+00    1.2372232619e+01    3.8564873770e+00
172      3.0162941095e-06    1.2768821195e+00    1.2502095516e+00    1.2588219009e+00    1.2391683751e+01    3.8596685599e+00
173      3.0169774550e-06    9.1311771641e-01    1.3868992559e+00    1.3954910066e+00    1.2421063345e+01    3.8698302732e+00
174      3.0176608006e-06    5.6394907004e-01    1.5230950663e+00    1.5321601124e+00    1.2437697059e+01    3.8846448300e+00
175      3.0177462188e-06    5.3024226375e-01    1.5405463083e+00    1.5492437506e+00    1.2438832667e+01    3.8867889035e+00
176      3.0179170551e-06    4.8312076697e-01    1.5760546769e+00    1.5834110270e+00    1.2440888020e+01    3.8910458764e+00
177      3.0182587279e-06    4.4961051827e-01    1.6458109057e+00    1.6517455799e+00    1.2444327909e+01    3.8989316506e+00
178      3.0186004007e-06    4.4183845813e-01    1.7140780633e+00    1.7200801327e+00    1.2447589662e+01    3.9055268129e+00
179      3.0192837462e-06    4.4716455248e-01    1.8511947520e+00    1.8567492384e+00    1.2455039692e+01    3.9142710910e+00
180      3.0199670917e-06    4.5259013177e-01    1.9874860172e+00    1.9934183442e+00    1.2464091274e+01    3.9175530804e+00
181      3.0200000000e-06    4.5248237571e-01    1.9941576103e+00    2.0000000000e+00    1.2464566816e+01    3.9175877401e+00
182      3.0200329083e-06    4.5240218057e-01    1.9972363272e+00    2.0000000000e+00    1.2465044676e+01    3.9176134800e+00
183      3.0200987248e-06    4.5234361122e-01    1.9991430761e+00    2.0000000000e+00    1.2466001591e+01    3.9176597285e+00
184      3.0201645414e-06    4.5231418062e-01    2.0000454976e+00    2.0000000000e+00    1.2466958764e+01    3.9177047460e+00
185      3.0202961745e-06    4.5231627110e-01    1.9999826555e+00    2.0000000000e+00    1.2468873437e+01    3.9177924836e+00
186      3.0205594407e-06    4.5231600766e-01    2.0000109456e+00    2.0000000000e+00    1.2472701859e+01    3.9179681066e+00
