Index         TIME            {V(VOUT)+1}         {V(IN)+1}          {V(1)+1}
69      1.5055810558e-06   9.6948098085e-01   1.6594328506e+00   1.0000000000e+00   
70      1.5056349344e-06   9.6134504664e-01   1.6496326474e+00   1.0000000000e+00   
71      1.5056686575e-06   9.5164253878e-01   1.6447070300e+00   1.0000000000e+00   
72      1.5057023806e-06   9.3775891530e-01   1.6409945008e+00   1.0000000000e+00   
73      1.5057314506e-06   9.2609041074e-01   1.6371750892e+00   1.0000000000e+00   
74      1.5057605206e-06   9.1533388071e-01   1.6326378896e+00   1.0000000000e+00   
75      1.5057895906e-06   9.0541564146e-01   1.6274294123e+00   1.0000000000e+00   
76      1.5058477307e-06   8.8771635084e-01   1.6153311691e+00   1.0000000000e+00   
77      1.5059058707e-06   8.7091902597e-01   1.6022408000e+00   1.0000000000e+00   
78      1.5059640108e-06   8.5414607235e-01   1.5886588740e+00   1.0000000000e+00   
79      1.5060076515e-06   8.3940876205e-01   1.5782582973e+00   1.0000000000e+00   
80      1.5060512923e-06   8.1649071130e-01   1.5676812468e+00   1.0000000000e+00   
81      1.5060835667e-06   7.9193144271e-01   1.5597698117e+00   1.0000000000e+00   
82      1.5061111819e-06   7.7075119266e-01   1.5529421492e+00   1.0000000000e+00   
83      1.5061664123e-06   7.3481223938e-01   1.5391038610e+00   1.0000000000e+00   
84      1.5062094739e-06   7.1123593360e-01   1.5282223817e+00   1.0000000000e+00   
85      1.5062525356e-06   6.9276471575e-01   1.5172710146e+00   1.0000000000e+00   
86      1.5062955972e-06   6.8325062635e-01   1.5057678056e+00   1.0000000000e+00   
87      1.5063296870e-06   6.8371216536e-01   1.4960080335e+00   1.0000000000e+00   
88      1.5063637768e-06   6.9262089451e-01   1.4857561154e+00   1.0000000000e+00   
89      1.5063925442e-06   7.0669557372e-01   1.4768569516e+00   1.0000000000e+00   
90      1.5064213116e-06   7.2776731716e-01   1.4678291825e+00   1.0000000000e+00   
91      1.5064500791e-06   7.5632952440e-01   1.4587637467e+00   1.0000000000e+00   
92      1.5064747875e-06   7.8671999678e-01   1.4509914157e+00   1.0000000000e+00   
93      1.5064994960e-06   8.2314851685e-01   1.4432733318e+00   1.0000000000e+00   
94      1.5065213097e-06   8.5971674151e-01   1.4365181574e+00   1.0000000000e+00   
95      1.5065431235e-06   8.9850322711e-01   1.4298002119e+00   1.0000000000e+00   
96      1.5065649372e-06   9.4288968554e-01   1.4231237824e+00   1.0000000000e+00   
97      1.5065737050e-06   9.6469558498e-01   1.4204506168e+00   1.0000000000e+00   
98      1.5065824729e-06   9.9299148193e-01   1.4177888228e+00   1.0000000000e+00   
99      1.5065859622e-06   1.0062902010e+00   1.4167305646e+00   1.0000000000e+00   
100     1.5065894516e-06   1.0248478800e+00   1.4156706315e+00   1.0000000000e+00   
101     1.5065919909e-06   1.0437694008e+00   1.4148952999e+00   1.0000000000e+00   
102     1.5065940206e-06   1.0596285137e+00   1.4142736291e+00   1.0000000000e+00   
103     1.5065960503e-06   1.0756835218e+00   1.4136506239e+00   1.0000000000e+00   
104     1.5066001097e-06   1.1082347105e+00   1.4124017150e+00   1.0000000000e+00   
105     1.5066041692e-06   1.1413451952e+00   1.4111512165e+00   1.0000000000e+00   
106     1.5066122880e-06   1.2098756926e+00   1.4086507974e+00   1.0000000000e+00   
107     1.5066204069e-06   1.2810111851e+00   1.4061550985e+00   1.0000000000e+00   
108     1.5066285258e-06   1.3547659271e+00   1.4036681761e+00   1.0000000000e+00   
109     1.5066366446e-06   1.4311069194e+00   1.4011957359e+00   1.0000000000e+00   
110     1.5066447635e-06   1.5099762247e+00   1.3987431038e+00   1.0000000000e+00   
111     1.5066528824e-06   1.5913057753e+00   1.3963135022e+00   1.0000000000e+00   
112     1.5066610012e-06   1.6750233711e+00   1.3939088733e+00   1.0000000000e+00   
113     1.5066772389e-06   1.8507895399e+00   1.3892029125e+00   1.0000000000e+00   
114     1.5066934767e-06   2.0350560628e+00   1.3846017693e+00   1.0000000000e+00   
115     1.5067097144e-06   2.2271754671e+00   1.3801033421e+00   1.0000000000e+00   
116     1.5067259521e-06   2.4264879115e+00   1.3757038846e+00   1.0000000000e+00   
117     1.5067421899e-06   2.6323484508e+00   1.3713970356e+00   1.0000000000e+00   
118     1.5067584276e-06   2.8441526215e+00   1.3671732087e+00   1.0000000000e+00   
119     1.5067746653e-06   3.0613184115e+00   1.3630241524e+00   1.0000000000e+00   
120     1.5067943965e-06   3.3244345474e+00   1.3581073989e+00   1.0000000000e+00   
121     1.5068141278e-06   3.5459421396e+00   1.3534265467e+00   1.0000000000e+00   
122     1.5068291664e-06   3.6871777368e+00   1.3500138705e+00   1.0000000000e+00   
123     1.5068442050e-06   3.8101259737e+00   1.3467309917e+00   1.0000000000e+00   
124     1.5068592436e-06   3.9202323980e+00   1.3435497101e+00   1.0000000000e+00   
125     1.5068742822e-06   4.0206983041e+00   1.3404456097e+00   1.0000000000e+00   
126     1.5069043594e-06   4.1968727918e+00   1.3344192522e+00   1.0000000000e+00   
127     1.5069344367e-06   4.3519887183e+00   1.3285080626e+00   1.0000000000e+00   
128     1.5069645139e-06   4.4896693085e+00   1.3226725285e+00   1.0000000000e+00   
129     1.5069945911e-06   4.6125879478e+00   1.3168906175e+00   1.0000000000e+00   
130     1.5070246683e-06   4.7227136251e+00   1.3111516121e+00   1.0000000000e+00   
131     1.5070547456e-06   4.8215108805e+00   1.3054521542e+00   1.0000000000e+00   
132     1.5071149000e-06   4.9842996722e+00   1.2942321417e+00   1.0000000000e+00   
133     1.5071750545e-06   5.1174815748e+00   1.2832234205e+00   1.0000000000e+00   
134     1.5072352089e-06   5.2265103837e+00   1.2724609835e+00   1.0000000000e+00   
135     1.5072953634e-06   5.3159689249e+00   1.2619755115e+00   1.0000000000e+00   
136     1.5073555178e-06   5.3895924336e+00   1.2517911679e+00   1.0000000000e+00   
137     1.5074156723e-06   5.4504080594e+00   1.2419248457e+00   1.0000000000e+00   
138     1.5074758268e-06   5.5008596727e+00   1.2323864871e+00   1.0000000000e+00   
139     1.5075359812e-06   5.5429128879e+00   1.2231799942e+00   1.0000000000e+00   
140     1.5075961357e-06   5.5781437948e+00   1.2143043714e+00   1.0000000000e+00   
141     1.5076562901e-06   5.6078136385e+00   1.2057548766e+00   1.0000000000e+00   
142     1.5077164446e-06   5.6329309995e+00   1.1975240641e+00   1.0000000000e+00   
143     1.5077765990e-06   5.6543029075e+00   1.1896026672e+00   1.0000000000e+00   
144     1.5078367535e-06   5.6725763449e+00   1.1819803086e+00   1.0000000000e+00   
145     1.5078969079e-06   5.6882715887e+00   1.1746460487e+00   1.0000000000e+00   
146     1.5079570624e-06   5.7018087577e+00   1.1675887916e+00   1.0000000000e+00   
147     1.5080172169e-06   5.7135288009e+00   1.1607975724e+00   1.0000000000e+00   
148     1.5080773713e-06   5.7237100040e+00   1.1542617500e+00   1.0000000000e+00   
149     1.5081375258e-06   5.7325809235e+00   1.1479711274e+00   1.0000000000e+00   
150     1.5081976802e-06   5.7403305007e+00   1.1419160155e+00   1.0000000000e+00   
151     1.5082578347e-06   5.7471159662e+00   1.1360872588e+00   1.0000000000e+00   
152     1.5083179891e-06   5.7530690221e+00   1.1304762324e+00   1.0000000000e+00   
153     1.5083781436e-06   5.7583006876e+00   1.1250748206e+00   1.0000000000e+00   
154     1.5084382980e-06   5.7629051097e+00   1.1198753848e+00   1.0000000000e+00   
155     1.5084984525e-06   5.7669625737e+00   1.1148707250e+00   1.0000000000e+00   
156     1.5086187614e-06   5.7733768138e+00   1.1055894191e+00   1.0000000000e+00   
157     1.5087390703e-06   5.7784568140e+00   1.0969880415e+00   1.0000000000e+00   
158     1.5088593792e-06   5.7824872971e+00   1.0890230643e+00   1.0000000000e+00   
159     1.5089796881e-06   5.7856898376e+00   1.0816539335e+00   1.0000000000e+00   
160     1.5090999970e-06   5.7882376821e+00   1.0748425824e+00   1.0000000000e+00   
161     1.5092203059e-06   5.7902668470e+00   1.0685530615e+00   1.0000000000e+00   
162     1.5093406149e-06   5.7918844680e+00   1.0627512811e+00   1.0000000000e+00   
163     1.5094609238e-06   5.7931751482e+00   1.0574048402e+00   1.0000000000e+00   
164     1.5097015416e-06   5.7948926320e+00   1.0482990661e+00   1.0000000000e+00   
165     1.5099421594e-06   5.7960378955e+00   1.0405682178e+00   1.0000000000e+00   
166     1.5101827772e-06   5.7968034666e+00   1.0340230717e+00   1.0000000000e+00   
167     1.5104233950e-06   5.7973165992e+00   1.0284957333e+00   1.0000000000e+00   
168     1.5106640129e-06   5.7976615499e+00   1.0238383940e+00   1.0000000000e+00   
169     1.5111452485e-06   5.7980136411e+00   1.0170938366e+00   1.0000000000e+00   
170     1.5116264841e-06   5.7981950395e+00   1.0122309487e+00   1.0000000000e+00   
171     1.5121077198e-06   5.7982895633e+00   1.0087366052e+00   1.0000000000e+00   
172     1.5125889554e-06   5.7983394892e+00   1.0062323252e+00   1.0000000000e+00   
173     1.5135514267e-06   5.7983764870e+00   1.0034478217e+00   1.0000000000e+00   
174     1.5145138980e-06   5.7983907534e+00   1.0019045110e+00   1.0000000000e+00   
175     1.5154763693e-06   5.7983965212e+00   1.0010509334e+00   1.0000000000e+00   
176     1.5174013118e-06   5.7983997030e+00   1.0003999707e+00   1.0000000000e+00   
177     1.5193262544e-06   5.7984006591e+00   1.0001521150e+00   1.0000000000e+00   
178     1.5231761395e-06   5.7984010334e+00   1.0000356967e+00   1.0000000000e+00   
179     1.5308759097e-06   5.7984011221e+00   1.0000047434e+00   1.0000000000e+00   
180     1.5462754501e-06   5.7984011339e+00   1.0000003375e+00   1.0000000000e+00   
181     1.5770745310e-06   5.7984011347e+00   1.0000000124e+00   1.0000000000e+00   
182     1.6386726927e-06   5.7984011348e+00   1.0000000002e+00   1.0000000000e+00   
183     1.7618690162e-06   5.7984011348e+00   1.0000000000e+00   1.0000000000e+00   
184     2.0082616631e-06   5.7984011348e+00   1.0000000000e+00   1.0000000000e+00   
185     2.3092616631e-06   5.7984011348e+00   1.0000000000e+00   1.0000000000e+00   
186     2.6102616631e-06   5.7984011348e+00   1.0000000000e+00   1.0000000000e+00   
187     2.9112616631e-06   5.7984011348e+00   1.0000000000e+00   1.0000000000e+00   
188     3.0050000000e-06   5.7984011348e+00   1.0000000000e+00   1.0000000000e+00   
189     3.0050250000e-06   5.7984045246e+00   1.0006940011e+00   1.0250000000e+00   
190     3.0050750000e-06   5.7984289850e+00   1.0043949283e+00   1.0750000000e+00   
191     3.0051250000e-06   5.7984653792e+00   1.0102257882e+00   1.1250000000e+00   
192     3.0051750000e-06   5.7985068083e+00   1.0180616862e+00   1.1750000000e+00   
193     3.0052250000e-06   5.7985478815e+00   1.0277982445e+00   1.2250000000e+00   
194     3.0052750000e-06   5.7985850372e+00   1.0393410169e+00   1.2750000000e+00   
195     3.0053250000e-06   5.7986162191e+00   1.0526021003e+00   1.3250000000e+00   
196     3.0053750000e-06   5.7986404667e+00   1.0674988821e+00   1.3750000000e+00   
197     3.0054250000e-06   5.7986575680e+00   1.0839534408e+00   1.4250000000e+00   
198     3.0054750000e-06   5.7986677957e+00   1.1018921606e+00   1.4750000000e+00   
199     3.0055750000e-06   5.7986658597e+00   1.1431738971e+00   1.5750000000e+00   
200     3.0056750000e-06   5.7986475626e+00   1.1893854370e+00   1.6750000000e+00   
201     3.0057750000e-06   5.7986184815e+00   1.2400975576e+00   1.7750000000e+00   
202     3.0058750000e-06   5.7985832560e+00   1.2949223091e+00   1.8750000000e+00   
203     3.0059750000e-06   5.7985454901e+00   1.3535084672e+00   1.9750000000e+00   
204     3.0060750000e-06   5.7985078269e+00   1.4155375505e+00   2.0750000000e+00   
205     3.0061750000e-06   5.7984720939e+00   1.4807203583e+00   2.1750000000e+00   
206     3.0063750000e-06   5.7984130715e+00   1.6217380167e+00   2.3750000000e+00   
207     3.0065750000e-06   5.7983693895e+00   1.7718087839e+00   2.5750000000e+00   
208     3.0067750000e-06   5.7983403911e+00   1.9295788414e+00   2.7750000000e+00   
209     3.0069750000e-06   5.7983325894e+00   2.0962874347e+00   2.9750000000e+00   
210     3.0071750000e-06   5.7983617802e+00   2.2779532370e+00   3.1750000000e+00   
211     3.0073750000e-06   5.7983933902e+00   2.4720774411e+00   3.3750000000e+00   
212     3.0075750000e-06   5.7983738511e+00   2.6658386566e+00   3.5750000000e+00   
213     3.0079750000e-06   5.7981555402e+00   3.0486316834e+00   3.9750000000e+00   
214     3.0083750000e-06   5.7976970496e+00   3.4251663125e+00   4.3750000000e+00   
215     3.0087750000e-06   5.7971010731e+00   3.7879339238e+00   4.7750000000e+00   
216     3.0090812244e-06   5.7963687755e+00   4.0531028025e+00   5.0812243673e+00   
217     3.0092214143e-06   5.7950601116e+00   4.1956117452e+00   5.2214142876e+00   
218     3.0093061022e-06   5.7931825542e+00   4.3122070966e+00   5.3061022251e+00   
219     3.0093907902e-06   5.7915693666e+00   4.4248937600e+00   5.3907901626e+00   
220     3.0094754781e-06   5.7902741166e+00   4.5381638074e+00   5.4754781001e+00   
221     3.0095601660e-06   5.7891152662e+00   4.6552845172e+00   5.5601660376e+00   
222     3.0096448540e-06   5.7877630014e+00   4.7706098816e+00   5.6448539752e+00   
223     3.0097295419e-06   5.7848391983e+00   4.8720957821e+00   5.7295419127e+00   
224     3.0097905581e-06   5.7815563596e+00   4.9360905712e+00   5.7905581152e+00   
225     3.0098515743e-06   5.7792687155e+00   4.9950210306e+00   5.8515743177e+00   
226     3.0099125905e-06   5.7783615547e+00   5.0501666570e+00   5.9125905203e+00   
227     3.0099736067e-06   5.7789512476e+00   5.1039589423e+00   5.9736067228e+00   
228     3.0100000000e-06   5.7795464023e+00   5.1273161646e+00   6.0000000000e+00   
229     3.0100610162e-06   5.7830661110e+00   5.1781205124e+00   6.0000000000e+00   
230     3.0100952875e-06   5.7859538469e+00   5.2040349838e+00   6.0000000000e+00   
231     3.0101295588e-06   5.7899578699e+00   5.2260231210e+00   6.0000000000e+00   
232     3.0101638302e-06   5.7950841289e+00   5.2448309482e+00   6.0000000000e+00   
233     3.0101981015e-06   5.8012742768e+00   5.2612666285e+00   6.0000000000e+00   
234     3.0102323728e-06   5.8084553581e+00   5.2759164336e+00   6.0000000000e+00   
235     3.0102666441e-06   5.8165264624e+00   5.2892192610e+00   6.0000000000e+00   
236     3.0103009154e-06   5.8252316794e+00   5.3014719695e+00   6.0000000000e+00   
237     3.0103351868e-06   5.8340521926e+00   5.3124822921e+00   6.0000000000e+00   
238     3.0103558054e-06   5.8399508312e+00   5.3184830688e+00   6.0000000000e+00   
239     3.0103702165e-06   5.8451294055e+00   5.3225311712e+00   6.0000000000e+00   
240     3.0103846276e-06   5.8517150387e+00   5.3264117497e+00   6.0000000000e+00   
241     3.0103990387e-06   5.8602567850e+00   5.3300524939e+00   6.0000000000e+00   
242     3.0104099164e-06   5.8678643816e+00   5.3326416412e+00   6.0000000000e+00   
243     3.0104207940e-06   5.8759458427e+00   5.3352335055e+00   6.0000000000e+00   
244     3.0104316716e-06   5.8841827846e+00   5.3378825466e+00   6.0000000000e+00   
245     3.0104534269e-06   5.9005455423e+00   5.3434183020e+00   6.0000000000e+00   
246     3.0104751822e-06   5.9166133560e+00   5.3491940047e+00   6.0000000000e+00   
247     3.0104969375e-06   5.9323503985e+00   5.3551814673e+00   6.0000000000e+00   
248     3.0105186928e-06   5.9477661393e+00   5.3613574793e+00   6.0000000000e+00   
249     3.0105404481e-06   5.9628846895e+00   5.3676875562e+00   6.0000000000e+00   
250     3.0105622034e-06   5.9777410220e+00   5.3740936599e+00   6.0000000000e+00   
251     3.0105839587e-06   5.9923793203e+00   5.3805259206e+00   6.0000000000e+00   
252     3.0106057139e-06   6.0068444119e+00   5.3869903204e+00   6.0000000000e+00   
253     3.0106492245e-06   6.0352258276e+00   5.4000968721e+00   6.0000000000e+00   
254     3.0106927351e-06   6.0633917411e+00   5.4133471717e+00   6.0000000000e+00   
255     3.0107362457e-06   6.0916054260e+00   5.4267396837e+00   6.0000000000e+00   
256     3.0107797562e-06   6.1205913407e+00   5.4402627273e+00   6.0000000000e+00   
257     3.0108232668e-06   6.1537139678e+00   5.4538965331e+00   6.0000000000e+00   
258     3.0108667774e-06   6.1941647414e+00   5.4676151337e+00   6.0000000000e+00   
259     3.0109102880e-06   6.2377060499e+00   5.4813867197e+00   6.0000000000e+00   
260     3.0109537985e-06   6.2770421587e+00   5.4957401771e+00   6.0000000000e+00   
261     3.0109973091e-06   6.3067036554e+00   5.5109552766e+00   6.0000000000e+00   
262     3.0110319751e-06   6.3231270019e+00   5.5234809968e+00   6.0000000000e+00   
263     3.0110666412e-06   6.3326310172e+00   5.5361375148e+00   6.0000000000e+00   
264     3.0111013072e-06   6.3353651208e+00   5.5487716152e+00   6.0000000000e+00   
265     3.0111359733e-06   6.3314029526e+00   5.5612772130e+00   6.0000000000e+00   
266     3.0111706393e-06   6.3207906657e+00   5.5735791756e+00   6.0000000000e+00   
267     3.0112053053e-06   6.3035622053e+00   5.5856242626e+00   6.0000000000e+00   
268     3.0112746374e-06   6.2444225176e+00   5.6084347601e+00   6.0000000000e+00   
269     3.0113439695e-06   6.1597395174e+00   5.6299419456e+00   6.0000000000e+00   
270     3.0114133016e-06   6.0484488846e+00   5.6501109384e+00   6.0000000000e+00   
271     3.0114826337e-06   5.9071992607e+00   5.6689417836e+00   6.0000000000e+00   
272     3.0115284690e-06   5.7314000106e+00   5.6810015787e+00   6.0000000000e+00   
273     3.0115485488e-06   5.5498142487e+00   5.6865307861e+00   6.0000000000e+00   
274     3.0115660928e-06   5.3637049219e+00   5.6913885149e+00   6.0000000000e+00   
275     3.0115836367e-06   5.1630538104e+00   5.6962174274e+00   6.0000000000e+00   
276     3.0116187246e-06   4.7225392417e+00   5.7056058677e+00   6.0000000000e+00   
277     3.0116538125e-06   4.2452071170e+00   5.7146830056e+00   6.0000000000e+00   
278     3.0116889003e-06   3.7384020142e+00   5.7233226288e+00   6.0000000000e+00   
279     3.0117239882e-06   3.2144604738e+00   5.7314401241e+00   6.0000000000e+00   
280     3.0117435902e-06   2.9583924405e+00   5.7357277821e+00   6.0000000000e+00   
281     3.0117631923e-06   2.7465776893e+00   5.7397544988e+00   6.0000000000e+00   
282     3.0117786696e-06   2.5977916367e+00   5.7428001091e+00   6.0000000000e+00   
283     3.0117941470e-06   2.4622063108e+00   5.7457466898e+00   6.0000000000e+00   
284     3.0118096243e-06   2.3380133566e+00   5.7486212882e+00   6.0000000000e+00   
285     3.0118251017e-06   2.2240212669e+00   5.7514434624e+00   6.0000000000e+00   
286     3.0118405790e-06   2.1193310303e+00   5.7542268591e+00   6.0000000000e+00   
287     3.0118560563e-06   2.0232075939e+00   5.7569807139e+00   6.0000000000e+00   
288     3.0118715337e-06   1.9350130947e+00   5.7597110573e+00   6.0000000000e+00   
289     3.0118870110e-06   1.8541712700e+00   5.7624216264e+00   6.0000000000e+00   
290     3.0119024884e-06   1.7801624525e+00   5.7651149846e+00   6.0000000000e+00   
291     3.0119179657e-06   1.7125141515e+00   5.7677933349e+00   6.0000000000e+00   
292     3.0119334431e-06   1.6507632555e+00   5.7704580705e+00   6.0000000000e+00   
293     3.0119489204e-06   1.5944535522e+00   5.7731094712e+00   6.0000000000e+00   
294     3.0119643977e-06   1.5431548892e+00   5.7757471201e+00   6.0000000000e+00   
295     3.0119798751e-06   1.4964626639e+00   5.7783701891e+00   6.0000000000e+00   
296     3.0119953524e-06   1.4539972024e+00   5.7809776208e+00   6.0000000000e+00   
297     3.0120108298e-06   1.4154032829e+00   5.7835682467e+00   6.0000000000e+00   
298     3.0120263071e-06   1.3803496205e+00   5.7861408659e+00   6.0000000000e+00   
299     3.0120417845e-06   1.3485282362e+00   5.7886942964e+00   6.0000000000e+00   
300     3.0120572618e-06   1.3196536888e+00   5.7912274089e+00   6.0000000000e+00   
301     3.0120727392e-06   1.2934621812e+00   5.7937391496e+00   6.0000000000e+00   
302     3.0120882165e-06   1.2697105626e+00   5.7962285522e+00   6.0000000000e+00   
303     3.0121036938e-06   1.2481752542e+00   5.7986947465e+00   6.0000000000e+00   
304     3.0121191712e-06   1.2286511277e+00   5.8011369604e+00   6.0000000000e+00   
305     3.0121346485e-06   1.2109503597e+00   5.8035545204e+00   6.0000000000e+00   
306     3.0121501259e-06   1.1949012855e+00   5.8059468493e+00   6.0000000000e+00   
307     3.0121656032e-06   1.1803472690e+00   5.8083134622e+00   6.0000000000e+00   
308     3.0121810806e-06   1.1671456032e+00   5.8106539619e+00   6.0000000000e+00   
309     3.0121965579e-06   1.1551664506e+00   5.8129680335e+00   6.0000000000e+00   
310     3.0122120352e-06   1.1442918321e+00   5.8152554385e+00   6.0000000000e+00   
311     3.0122429899e-06   1.1261487465e+00   5.8197227158e+00   6.0000000000e+00   
312     3.0122739446e-06   1.1109956545e+00   5.8240823568e+00   6.0000000000e+00   
313     3.0123048993e-06   1.0983008831e+00   5.8283351411e+00   6.0000000000e+00   
314     3.0123358540e-06   1.0876258363e+00   5.8324823546e+00   6.0000000000e+00   
315     3.0123668087e-06   1.0786099381e+00   5.8365256867e+00   6.0000000000e+00   
316     3.0123977634e-06   1.0709573939e+00   5.8404671427e+00   6.0000000000e+00   
317     3.0124287180e-06   1.0644260104e+00   5.8443089652e+00   6.0000000000e+00   
318     3.0124596727e-06   1.0588178043e+00   5.8480535644e+00   6.0000000000e+00   
319     3.0124906274e-06   1.0539711505e+00   5.8517034615e+00   6.0000000000e+00   
320     3.0125525368e-06   1.0464225266e+00   5.8586452283e+00   6.0000000000e+00   
321     3.0126144462e-06   1.0404196720e+00   5.8652490765e+00   6.0000000000e+00   
322     3.0126763555e-06   1.0355426613e+00   5.8715346737e+00   6.0000000000e+00   
