Index       TIME              V(1A)             V(2A)             V(3A)             V(4A)      
27       1.10000000e-05    1.37846090e-05    1.37846090e-05    7.35290546e-06    7.35290546e-06
28       1.10639981e-05    1.55489765e-05    1.55489765e-05    8.29404668e-06    8.29404668e-06
29       1.11919944e-05    1.90776991e-05    1.90776991e-05    1.01763256e-05    1.01763256e-05
30       1.14479869e-05    2.61351194e-05    2.61351194e-05    1.39408763e-05    1.39408763e-05
31       1.19599720e-05    4.02498105e-05    4.02498105e-05    2.14699352e-05    2.14699352e-05
32       1.29839422e-05    6.84785951e-05    6.84785951e-05    3.65278830e-05    3.65278830e-05
33       1.50318824e-05    1.24933774e-04    1.24933774e-04    6.66430983e-05    6.66430983e-05
34       1.91277630e-05    2.37834569e-04    2.37834569e-04    1.26870808e-04    1.26870808e-04
35       2.73195241e-05    4.63597917e-04    4.63597917e-04    2.47315345e-04    2.47315345e-04
36       4.37030464e-05    9.14971686e-04    9.14971686e-04    4.88160895e-04    4.88160895e-04
37       7.64700910e-05    1.81710786e-03    1.81710786e-03    9.69677955e-04    9.69677955e-04
38       1.42004180e-04    3.61893754e-03    3.61893754e-03    1.93201632e-03    1.93201632e-03
39       2.73072358e-04    7.21284819e-03    7.21284819e-03    3.85391342e-03    3.85391342e-03
40       5.35208715e-04    1.43618502e-02    1.43618502e-02    7.68661578e-03    7.68661578e-03
41       1.05948143e-03    2.85059696e-02    2.85059696e-02    1.53078661e-02    1.53078661e-02
42       2.10802685e-03    5.61896328e-02    5.61896328e-02    3.03754384e-02    3.03754384e-02
43       4.20511770e-03    1.09223587e-01    1.09223587e-01    5.98241514e-02    5.98241514e-02
44       6.30220856e-03    1.59277493e-01    1.59277493e-01    8.83784701e-02    8.83784701e-02
45       8.39929941e-03    2.06518803e-01    2.06518803e-01    1.16065558e-01    1.16065558e-01
46       1.04963903e-02    2.51105562e-01    2.51105562e-01    1.42911755e-01    1.42911755e-01
47       1.25934811e-02    2.93186932e-01    2.93186932e-01    1.68942599e-01    1.68942599e-01
48       1.46905720e-02    3.32903694e-01    3.32903694e-01    1.94182854e-01    1.94182854e-01
49       1.67876628e-02    3.70388718e-01    3.70388718e-01    2.18656530e-01    2.18656530e-01
50       1.88847537e-02    4.05767410e-01    4.05767410e-01    2.42386911e-01    2.42386911e-01
51       2.09818445e-02    4.39158126e-01    4.39158126e-01    2.65396569e-01    2.65396569e-01
52       2.30789354e-02    4.70672573e-01    4.70672573e-01    2.87707396e-01    2.87707396e-01
53       2.72731171e-02    5.28534132e-01    5.28534132e-01    3.30326634e-01    3.30326634e-01
54       3.14672988e-02    5.80070759e-01    5.80070759e-01    3.70395798e-01    3.70395798e-01
55       3.56614805e-02    6.25973841e-01    6.25973841e-01    4.08067467e-01    4.08067467e-01
56       3.98556622e-02    6.66859190e-01    6.66859190e-01    4.43485094e-01    4.43485094e-01
57       4.40498439e-02    7.03275302e-01    7.03275302e-01    4.76783546e-01    4.76783546e-01
58       4.82440256e-02    7.35710714e-01    7.35710714e-01    5.08089622e-01    5.08089622e-01
59       5.24382073e-02    7.64600565e-01    7.64600565e-01    5.37522534e-01    5.37522534e-01
60       5.66323890e-02    7.90332423e-01    7.90332423e-01    5.65194361e-01    5.65194361e-01
61       6.08265707e-02    8.13251494e-01    8.13251494e-01    5.91210474e-01    5.91210474e-01
62       6.50207524e-02    8.33665247e-01    8.33665247e-01    6.15669942e-01    6.15669942e-01
63       6.92149341e-02    8.51847544e-01    8.51847544e-01    6.38665905e-01    6.38665905e-01
64       7.34091158e-02    8.68042306e-01    8.68042306e-01    6.60285930e-01    6.60285930e-01
65       7.76032975e-02    8.82466796e-01    8.82466796e-01    6.80612344e-01    6.80612344e-01
66       8.59916609e-02    9.06830627e-01    9.06830627e-01    7.17722533e-01    7.17722533e-01
67       9.43800243e-02    9.26144003e-01    9.26144003e-01    7.50520827e-01    7.50520827e-01
68       1.00011000e-01    9.36783758e-01    9.36783758e-01    7.70358453e-01    7.70358453e-01
69       1.00011006e-01    9.36783768e-01    9.36783768e-01    7.70358473e-01    7.70358473e-01
70       1.00011013e-01    9.36783777e-01    9.36783777e-01    7.70358493e-01    7.70358493e-01
71       1.00011025e-01    9.36783792e-01    9.36783792e-01    7.70358532e-01    7.70358532e-01
72       1.00011050e-01    9.36783810e-01    9.36783810e-01    7.70358603e-01    7.70358603e-01
73       1.00011100e-01    9.36783794e-01    9.36783794e-01    7.70358717e-01    7.70358717e-01
74       1.00011200e-01    9.36783554e-01    9.36783554e-01    7.70358834e-01    7.70358834e-01
75       1.00011400e-01    9.36782249e-01    9.36782249e-01    7.70358627e-01    7.70358627e-01
76       1.00011800e-01    9.36776329e-01    9.36776329e-01    7.70356448e-01    7.70356448e-01
77       1.00012000e-01    9.36771715e-01    9.36771715e-01    7.70354476e-01    7.70354476e-01
78       1.00012080e-01    9.36769649e-01    9.36769649e-01    7.70353570e-01    7.70353570e-01
79       1.00012240e-01    9.36765517e-01    9.36765517e-01    7.70351758e-01    7.70351758e-01
80       1.00012560e-01    9.36757253e-01    9.36757253e-01    7.70348132e-01    7.70348132e-01
81       1.00013200e-01    9.36740724e-01    9.36740724e-01    7.70340882e-01    7.70340882e-01
82       1.00014480e-01    9.36707668e-01    9.36707668e-01    7.70326382e-01    7.70326382e-01
83       1.00017040e-01    9.36641560e-01    9.36641560e-01    7.70297382e-01    7.70297382e-01
84       1.00022160e-01    9.36509357e-01    9.36509357e-01    7.70239385e-01    7.70239385e-01
85       1.00032400e-01    9.36245007e-01    9.36245007e-01    7.70123405e-01    7.70123405e-01
86       1.00052880e-01    9.35716531e-01    9.35716531e-01    7.69891497e-01    7.69891497e-01
87       1.00093840e-01    9.34660473e-01    9.34660473e-01    7.69427890e-01    7.69427890e-01
88       1.00175760e-01    9.32551932e-01    9.32551932e-01    7.68501514e-01    7.68501514e-01
89       1.00339600e-01    9.28349103e-01    9.28349103e-01    7.66652105e-01    7.66652105e-01
90       1.00667280e-01    9.20000141e-01    9.20000141e-01    7.62966624e-01    7.62966624e-01
91       1.01322640e-01    9.03526464e-01    9.03526464e-01    7.55648684e-01    7.55648684e-01
92       1.02633360e-01    8.71456200e-01    8.71456200e-01    7.41222370e-01    7.41222370e-01
93       1.05254800e-01    8.10671080e-01    8.10671080e-01    7.13188178e-01    7.13188178e-01
94       1.07876240e-01    7.54125795e-01    7.54125795e-01    6.86214284e-01    6.86214284e-01
95       1.10497680e-01    7.01524613e-01    7.01524613e-01    6.60260585e-01    6.60260585e-01
96       1.13119120e-01    6.52592426e-01    6.52592426e-01    6.35288496e-01    6.35288496e-01
97       1.15740560e-01    6.07073318e-01    6.07073318e-01    6.11260890e-01    6.11260890e-01
98       1.18362000e-01    5.64729222e-01    5.64729222e-01    5.88142045e-01    5.88142045e-01
99       1.20983440e-01    5.25338679e-01    5.25338679e-01    5.65897592e-01    5.65897592e-01
100      1.23604880e-01    4.88695673e-01    4.88695673e-01    5.44494459e-01    5.44494459e-01
101      1.26226320e-01    4.54608561e-01    4.54608561e-01    5.23900825e-01    5.23900825e-01
102      1.28847760e-01    4.22899066e-01    4.22899066e-01    5.04086075e-01    5.04086075e-01
103      1.31469200e-01    3.93401347e-01    3.93401347e-01    4.85020750e-01    4.85020750e-01
104      1.34090640e-01    3.65961129e-01    3.65961129e-01    4.66676506e-01    4.66676506e-01
105      1.36712080e-01    3.40434899e-01    3.40434899e-01    4.49026069e-01    4.49026069e-01
106      1.39333520e-01    3.16689155e-01    3.16689155e-01    4.32043200e-01    4.32043200e-01
107      1.41954960e-01    2.94599705e-01    2.94599705e-01    4.15702649e-01    4.15702649e-01
108      1.44576400e-01    2.74051020e-01    2.74051020e-01    3.99980124e-01    3.99980124e-01
109      1.47197840e-01    2.54935632e-01    2.54935632e-01    3.84852249e-01    3.84852249e-01
110      1.49819280e-01    2.37153564e-01    2.37153564e-01    3.70296534e-01    3.70296534e-01
111      1.52440720e-01    2.20611817e-01    2.20611817e-01    3.56291339e-01    3.56291339e-01
112      1.55062160e-01    2.05223877e-01    2.05223877e-01    3.42815843e-01    3.42815843e-01
113      1.57683600e-01    1.90909265e-01    1.90909265e-01    3.29850011e-01    3.29850011e-01
114      1.60305040e-01    1.77593113e-01    1.77593113e-01    3.17374567e-01    3.17374567e-01
115      1.62926480e-01    1.65205780e-01    1.65205780e-01    3.05370963e-01    3.05370963e-01
116      1.65547920e-01    1.53682478e-01    1.53682478e-01    2.93821355e-01    2.93821355e-01
117      1.68169360e-01    1.42962940e-01    1.42962940e-01    2.82708571e-01    2.82708571e-01
118      1.70790800e-01    1.32991102e-01    1.32991102e-01    2.72016090e-01    2.72016090e-01
119      1.73412240e-01    1.23714813e-01    1.23714813e-01    2.61728016e-01    2.61728016e-01
120      1.76033680e-01    1.15085555e-01    1.15085555e-01    2.51829052e-01    2.51829052e-01
121      1.78655120e-01    1.07058199e-01    1.07058199e-01    2.42304483e-01    2.42304483e-01
122      1.81276560e-01    9.95907609e-02    9.95907609e-02    2.33140148e-01    2.33140148e-01
123      1.83898000e-01    9.26441853e-02    9.26441853e-02    2.24322422e-01    2.24322422e-01
124      1.86519440e-01    8.61821418e-02    8.61821418e-02    2.15838197e-01    2.15838197e-01
125      1.89140880e-01    8.01708336e-02    8.01708336e-02    2.07674858e-01    2.07674858e-01
126      1.91762320e-01    7.45788213e-02    7.45788213e-02    1.99820270e-01    1.99820270e-01
127      1.94383760e-01    6.93768587e-02    6.93768587e-02    1.92262754e-01    1.92262754e-01
128      1.97005200e-01    6.45377392e-02    6.45377392e-02    1.84991076e-01    1.84991076e-01
129      1.99626640e-01    6.00361541e-02    6.00361541e-02    1.77994423e-01    1.77994423e-01
130      2.02248080e-01    5.58485601e-02    5.58485601e-02    1.71262395e-01    1.71262395e-01
131      2.04869520e-01    5.19530557e-02    5.19530557e-02    1.64784983e-01    1.64784983e-01
132      2.07490960e-01    4.83292675e-02    4.83292675e-02    1.58552557e-01    1.58552557e-01
133      2.10112400e-01    4.49582428e-02    4.49582428e-02    1.52555851e-01    1.52555851e-01
134      2.12733840e-01    4.18223512e-02    4.18223512e-02    1.46785950e-01    1.46785950e-01
135      2.15355280e-01    3.89051919e-02    3.89051919e-02    1.41234275e-01    1.41234275e-01
136      2.20598160e-01    3.36607277e-02    3.36607277e-02    1.30749154e-01    1.30749154e-01
137      2.25841040e-01    2.91232233e-02    2.91232233e-02    1.21042440e-01    1.21042440e-01
138      2.31083920e-01    2.51973796e-02    2.51973796e-02    1.12056345e-01    1.12056345e-01
139      2.36326800e-01    2.18007441e-02    2.18007441e-02    1.03737370e-01    1.03737370e-01
140      2.41569680e-01    1.88619790e-02    1.88619790e-02    9.60359896e-02    9.60359896e-02
141      2.46812560e-01    1.63193628e-02    1.63193628e-02    8.89063535e-02    8.89063535e-02
142      2.52055440e-01    1.41194941e-02    1.41194941e-02    8.23060159e-02    8.23060159e-02
143      2.57298320e-01    1.22161702e-02    1.22161702e-02    7.61956822e-02    7.61956822e-02
144      2.62541200e-01    1.05694165e-02    1.05694165e-02    7.05389749e-02    7.05389749e-02
145      2.67784080e-01    9.14464716e-03    9.14464716e-03    6.53022170e-02    6.53022170e-02
146      2.73026960e-01    7.91193831e-03    7.91193831e-03    6.04542319e-02    6.04542319e-02
147      2.78269840e-01    6.84540002e-03    6.84540002e-03    5.59661574e-02    5.59661574e-02
148      2.83512720e-01    5.92263230e-03    5.92263230e-03    5.18112741e-02    5.18112741e-02
149      2.88755600e-01    5.12425472e-03    5.12425472e-03    4.79648459e-02    4.79648459e-02
150      2.93998480e-01    4.43349935e-03    4.43349935e-03    4.44039736e-02    4.44039736e-02
151      2.99241360e-01    3.83585859e-03    3.83585859e-03    4.11074576e-02    4.11074576e-02
152      3.04484240e-01    3.31878048e-03    3.31878048e-03    3.80556724e-02    3.80556724e-02
153      3.09727120e-01    2.87140510e-03    2.87140510e-03    3.52304493e-02    3.52304493e-02
154      3.14970000e-01    2.48433642e-03    2.48433642e-03    3.26149685e-02    3.26149685e-02
155      3.20212880e-01    2.14944504e-03    2.14944504e-03    3.01936590e-02    3.01936590e-02
156      3.25455760e-01    1.85969740e-03    1.85969740e-03    2.79521056e-02    2.79521056e-02
157      3.30698640e-01    1.60900807e-03    1.60900807e-03    2.58769633e-02    2.58769633e-02
158      3.35941520e-01    1.39211195e-03    1.39211195e-03    2.39558780e-02    2.39558780e-02
159      3.41184400e-01    1.20445368e-03    1.20445368e-03    2.21774125e-02    2.21774125e-02
160      3.46427280e-01    1.04209195e-03    1.04209195e-03    2.05309789e-02    2.05309789e-02
161      3.51670160e-01    9.01616768e-04    9.01616768e-04    1.90067752e-02    1.90067752e-02
162      3.56913040e-01    7.80077801e-04    7.80077801e-04    1.75957272e-02    1.75957272e-02
163      3.62155920e-01    6.74922425e-04    6.74922425e-04    1.62894343e-02    1.62894343e-02
164      3.67398800e-01    5.83942114e-04    5.83942114e-04    1.50801195e-02    1.50801195e-02
165      3.72641680e-01    5.05226052e-04    5.05226052e-04    1.39605834e-02    1.39605834e-02
166      3.77884560e-01    4.37121005e-04    4.37121005e-04    1.29241607e-02    1.29241607e-02
167      3.83127440e-01    3.78196596e-04    3.78196596e-04    1.19646812e-02    1.19646812e-02
168      3.88370320e-01    3.27215264e-04    3.27215264e-04    1.10764327e-02    1.10764327e-02
169      3.93613200e-01    2.83106274e-04    2.83106274e-04    1.02541270e-02    1.02541270e-02
170      3.98856080e-01    2.44943226e-04    2.44943226e-04    9.49286874e-03    9.49286874e-03
171      4.00000000e-01    2.37338303e-04    2.37338303e-04    9.33450835e-03    9.33450835e-03
End of Xyce(TM) Simulation
