Index     V(DRAIN)           V(GATE)          I(VDRAIN)    
388      3.88000000e-01    1.00000000e+00   -3.53231777e-03
389      3.89000000e-01    1.00000000e+00   -3.53907665e-03
390      3.90000000e-01    1.00000000e+00   -3.54581307e-03
391      3.91000000e-01    1.00000000e+00   -3.55252697e-03
392      3.92000000e-01    1.00000000e+00   -3.55921828e-03
393      3.93000000e-01    1.00000000e+00   -3.56588694e-03
394      3.94000000e-01    1.00000000e+00   -3.57253289e-03
395      3.95000000e-01    1.00000000e+00   -3.57915608e-03
396      3.96000000e-01    1.00000000e+00   -3.58575644e-03
397      3.97000000e-01    1.00000000e+00   -3.59233391e-03
398      3.98000000e-01    1.00000000e+00   -3.59888845e-03
399      3.99000000e-01    1.00000000e+00   -3.60541999e-03
400      4.00000000e-01    1.00000000e+00   -3.61192848e-03
401      4.01000000e-01    1.00000000e+00   -3.61841387e-03
402      4.02000000e-01    1.00000000e+00   -3.62487611e-03
403      4.03000000e-01    1.00000000e+00   -3.63131515e-03
404      4.04000000e-01    1.00000000e+00   -3.63773094e-03
405      4.05000000e-01    1.00000000e+00   -3.64412343e-03
406      4.06000000e-01    1.00000000e+00   -3.65049257e-03
407      4.07000000e-01    1.00000000e+00   -3.65683833e-03
408      4.08000000e-01    1.00000000e+00   -3.66316066e-03
409      4.09000000e-01    1.00000000e+00   -3.66945952e-03
410      4.10000000e-01    1.00000000e+00   -3.67573486e-03
411      4.11000000e-01    1.00000000e+00   -3.68198665e-03
412      4.12000000e-01    1.00000000e+00   -3.68821484e-03
413      4.13000000e-01    1.00000000e+00   -3.69441941e-03
414      4.14000000e-01    1.00000000e+00   -3.70060032e-03
415      4.15000000e-01    1.00000000e+00   -3.70675753e-03
416      4.16000000e-01    1.00000000e+00   -3.71289100e-03
417      4.17000000e-01    1.00000000e+00   -3.71900072e-03
418      4.18000000e-01    1.00000000e+00   -3.72508665e-03
419      4.19000000e-01    1.00000000e+00   -3.73114875e-03
420      4.20000000e-01    1.00000000e+00   -3.73718701e-03
421      4.21000000e-01    1.00000000e+00   -3.74320140e-03
422      4.22000000e-01    1.00000000e+00   -3.74919189e-03
423      4.23000000e-01    1.00000000e+00   -3.75515846e-03
424      4.24000000e-01    1.00000000e+00   -3.76110109e-03
425      4.25000000e-01    1.00000000e+00   -3.76701976e-03
426      4.26000000e-01    1.00000000e+00   -3.77291444e-03
427      4.27000000e-01    1.00000000e+00   -3.77878513e-03
428      4.28000000e-01    1.00000000e+00   -3.78463181e-03
429      4.29000000e-01    1.00000000e+00   -3.79045445e-03
430      4.30000000e-01    1.00000000e+00   -3.79625306e-03
431      4.31000000e-01    1.00000000e+00   -3.80202761e-03
432      4.32000000e-01    1.00000000e+00   -3.80777810e-03
433      4.33000000e-01    1.00000000e+00   -3.81350452e-03
434      4.34000000e-01    1.00000000e+00   -3.81920685e-03
435      4.35000000e-01    1.00000000e+00   -3.82488510e-03
436      4.36000000e-01    1.00000000e+00   -3.83053926e-03
437      4.37000000e-01    1.00000000e+00   -3.83616932e-03
438      4.38000000e-01    1.00000000e+00   -3.84177528e-03
439      4.39000000e-01    1.00000000e+00   -3.84735715e-03
440      4.40000000e-01    1.00000000e+00   -3.85291491e-03
441      4.41000000e-01    1.00000000e+00   -3.85844859e-03
442      4.42000000e-01    1.00000000e+00   -3.86395817e-03
443      4.43000000e-01    1.00000000e+00   -3.86944366e-03
444      4.44000000e-01    1.00000000e+00   -3.87490508e-03
445      4.45000000e-01    1.00000000e+00   -3.88034241e-03
446      4.46000000e-01    1.00000000e+00   -3.88575569e-03
447      4.47000000e-01    1.00000000e+00   -3.89114491e-03
448      4.48000000e-01    1.00000000e+00   -3.89651008e-03
449      4.49000000e-01    1.00000000e+00   -3.90185123e-03
450      4.50000000e-01    1.00000000e+00   -3.90716835e-03
451      4.51000000e-01    1.00000000e+00   -3.91246148e-03
452      4.52000000e-01    1.00000000e+00   -3.91773062e-03
453      4.53000000e-01    1.00000000e+00   -3.92297579e-03
454      4.54000000e-01    1.00000000e+00   -3.92819702e-03
455      4.55000000e-01    1.00000000e+00   -3.93339432e-03
456      4.56000000e-01    1.00000000e+00   -3.93856771e-03
457      4.57000000e-01    1.00000000e+00   -3.94371722e-03
458      4.58000000e-01    1.00000000e+00   -3.94884288e-03
459      4.59000000e-01    1.00000000e+00   -3.95394470e-03
460      4.60000000e-01    1.00000000e+00   -3.95902271e-03
461      4.61000000e-01    1.00000000e+00   -3.96407695e-03
462      4.62000000e-01    1.00000000e+00   -3.96910743e-03
