Index       V(2)              V(1)             I(VDS)           N(M1:GM)     
221     -7.60000000e-01   -8.00000000e-01    7.32748521e-04    2.42734453e-03
222     -7.80000000e-01   -8.00000000e-01    7.35752743e-04    2.43625721e-03
223     -8.00000000e-01   -8.00000000e-01    7.38728768e-04    2.44496955e-03
224     -8.20000000e-01   -8.00000000e-01    7.41678738e-04    2.45349807e-03
225     -8.40000000e-01   -8.00000000e-01    7.44604558e-04    2.46185733e-03
226     -8.60000000e-01   -8.00000000e-01    7.47507927e-04    2.47006017e-03
227     -8.80000000e-01   -8.00000000e-01    7.50390369e-04    2.47811801e-03
228     -9.00000000e-01   -8.00000000e-01    7.53253256e-04    2.48604104e-03
229     -9.20000000e-01   -8.00000000e-01    7.56097825e-04    2.49383834e-03
230     -9.40000000e-01   -8.00000000e-01    7.58925200e-04    2.50151807e-03
231     -9.60000000e-01   -8.00000000e-01    7.61736402e-04    2.50908754e-03
232     -9.80000000e-01   -8.00000000e-01    7.64532367e-04    2.51655334e-03
233     -1.00000000e+00   -8.00000000e-01    7.67313955e-04    2.52392142e-03
234     -1.02000000e+00   -8.00000000e-01    7.70081958e-04    2.53119716e-03
235     -1.04000000e+00   -8.00000000e-01    7.72837115e-04    2.53838544e-03
236     -1.06000000e+00   -8.00000000e-01    7.75580114e-04    2.54549067e-03
237     -1.08000000e+00   -8.00000000e-01    7.78311605e-04    2.55251689e-03
238     -1.10000000e+00   -8.00000000e-01    7.81032200e-04    2.55946778e-03
239     -1.12000000e+00   -8.00000000e-01    7.83742486e-04    2.56634671e-03
240     -1.14000000e+00   -8.00000000e-01    7.86443024e-04    2.57315678e-03
241     -1.16000000e+00   -8.00000000e-01    7.89134359e-04    2.57990086e-03
242     -1.18000000e+00   -8.00000000e-01    7.91817021e-04    2.58658160e-03
243     -1.20000000e+00   -8.00000000e-01    7.94491528e-04    2.59320149e-03
244      0.00000000e+00   -1.00000000e+00   -1.00991803e-06    0.00000000e+00
245     -2.00000000e-02   -1.00000000e+00    9.11075029e-05    6.84835325e-05
246     -4.00000000e-02   -1.00000000e+00    1.78864386e-04    1.40115959e-04
247     -6.00000000e-02   -1.00000000e+00    2.62310271e-04    2.14809736e-04
248     -8.00000000e-02   -1.00000000e+00    3.41494214e-04    2.92476367e-04
249     -1.00000000e-01   -1.00000000e+00    4.16464980e-04    3.73025458e-04
250     -1.20000000e-01   -1.00000000e+00    4.87271265e-04    4.56363427e-04
251     -1.40000000e-01   -1.00000000e+00    5.53961975e-04    5.42391704e-04
252     -1.60000000e-01   -1.00000000e+00    6.16586561e-04    6.31004191e-04
253     -1.80000000e-01   -1.00000000e+00    6.75195466e-04    7.22083642e-04
254     -2.00000000e-01   -1.00000000e+00    7.29840710e-04    8.15496433e-04
255     -2.20000000e-01   -1.00000000e+00    7.80576678e-04    9.11084952e-04
256     -2.40000000e-01   -1.00000000e+00    8.27461212e-04    1.00865644e-03
257     -2.60000000e-01   -1.00000000e+00    8.70557120e-04    1.10796658e-03
258     -2.80000000e-01   -1.00000000e+00    9.09934304e-04    1.20869544e-03
259     -3.00000000e-01   -1.00000000e+00    9.45672749e-04    1.31041279e-03
260     -3.20000000e-01   -1.00000000e+00    9.77866703e-04    1.41252944e-03
261     -3.40000000e-01   -1.00000000e+00    1.00663039e-03    1.51423363e-03
262     -3.60000000e-01   -1.00000000e+00    1.03210546e-03    1.61441822e-03
263     -3.80000000e-01   -1.00000000e+00    1.05446999e-03    1.71162159e-03
264     -4.00000000e-01   -1.00000000e+00    1.07394733e-03    1.80403423e-03
265     -4.20000000e-01   -1.00000000e+00    1.09081172e-03    1.88964943e-03
266     -4.40000000e-01   -1.00000000e+00    1.10538517e-03    1.96661307e-03
267     -4.60000000e-01   -1.00000000e+00    1.11802140e-03    2.03370200e-03
268     -4.80000000e-01   -1.00000000e+00    1.12907776e-03    2.09068938e-03
269     -5.00000000e-01   -1.00000000e+00    1.13888404e-03    2.13834935e-03
270     -5.20000000e-01   -1.00000000e+00    1.14771976e-03    2.17810271e-03
271     -5.40000000e-01   -1.00000000e+00    1.15580599e-03    2.21155361e-03
272     -5.60000000e-01   -1.00000000e+00    1.16330947e-03    2.24015630e-03
273     -5.80000000e-01   -1.00000000e+00    1.17035284e-03    2.26507606e-03
274     -6.00000000e-01   -1.00000000e+00    1.17702580e-03    2.28718507e-03
275     -6.20000000e-01   -1.00000000e+00    1.18339443e-03    2.30711558e-03
276     -6.40000000e-01   -1.00000000e+00    1.18950824e-03    2.32532231e-03
277     -6.60000000e-01   -1.00000000e+00    1.19540511e-03    2.34213476e-03
278     -6.80000000e-01   -1.00000000e+00    1.20111462e-03    2.35779577e-03
279     -7.00000000e-01   -1.00000000e+00    1.20666038e-03    2.37248811e-03
280     -7.20000000e-01   -1.00000000e+00    1.21206158e-03    2.38635250e-03
281     -7.40000000e-01   -1.00000000e+00    1.21733409e-03    2.39949971e-03
282     -7.60000000e-01   -1.00000000e+00    1.22249119e-03    2.41201873e-03
283     -7.80000000e-01   -1.00000000e+00    1.22754417e-03    2.42398234e-03
284     -8.00000000e-01   -1.00000000e+00    1.23250270e-03    2.43545102e-03
285     -8.20000000e-01   -1.00000000e+00    1.23737514e-03    2.44647569e-03
286     -8.40000000e-01   -1.00000000e+00    1.24216878e-03    2.45709973e-03
287     -8.60000000e-01   -1.00000000e+00    1.24689001e-03    2.46736047e-03
288     -8.80000000e-01   -1.00000000e+00    1.25154448e-03    2.47729029e-03
289     -9.00000000e-01   -1.00000000e+00    1.25613718e-03    2.48691747e-03
290     -9.20000000e-01   -1.00000000e+00    1.26067257e-03    2.49626687e-03
291     -9.40000000e-01   -1.00000000e+00    1.26515463e-03    2.50536048e-03
292     -9.60000000e-01   -1.00000000e+00    1.26958693e-03    2.51421778e-03
293     -9.80000000e-01   -1.00000000e+00    1.27397270e-03    2.52285615e-03
294     -1.00000000e+00   -1.00000000e+00    1.27831485e-03    2.53129114e-03
295     -1.02000000e+00   -1.00000000e+00    1.28261601e-03    2.53953667e-03
296     -1.04000000e+00   -1.00000000e+00    1.28687858e-03    2.54760525e-03
297     -1.06000000e+00   -1.00000000e+00    1.29110475e-03    2.55550815e-03
298     -1.08000000e+00   -1.00000000e+00    1.29529653e-03    2.56325554e-03
299     -1.10000000e+00   -1.00000000e+00    1.29945575e-03    2.57085659e-03
300     -1.12000000e+00   -1.00000000e+00    1.30358412e-03    2.57831960e-03
301     -1.14000000e+00   -1.00000000e+00    1.30768321e-03    2.58565206e-03
302     -1.16000000e+00   -1.00000000e+00    1.31175449e-03    2.59286078e-03
303     -1.18000000e+00   -1.00000000e+00    1.31579932e-03    2.59995191e-03
304     -1.20000000e+00   -1.00000000e+00    1.31981899e-03    2.60693105e-03
305      0.00000000e+00   -1.20000000e+00   -4.68495082e-06    0.00000000e+00
306     -2.00000000e-02   -1.20000000e+00    9.81217119e-05    3.56321396e-05
307     -4.00000000e-02   -1.20000000e+00    1.97117038e-04    7.42429817e-05
308     -6.00000000e-02   -1.20000000e+00    2.92345763e-04    1.15773449e-04
309     -8.00000000e-02   -1.20000000e+00    3.83850786e-04    1.60164596e-04
310     -1.00000000e-01   -1.20000000e+00    4.71673442e-04    2.07357393e-04
311     -1.20000000e-01   -1.20000000e+00    5.55853749e-04    2.57292447e-04
312     -1.40000000e-01   -1.20000000e+00    6.36430647e-04    3.09909655e-04
313     -1.60000000e-01   -1.20000000e+00    7.13442223e-04    3.65147749e-04
314     -1.80000000e-01   -1.20000000e+00    7.86925936e-04    4.22943711e-04
315     -2.00000000e-01   -1.20000000e+00    8.56918847e-04    4.83232001e-04
316     -2.20000000e-01   -1.20000000e+00    9.23457866e-04    5.45943538e-04
317     -2.40000000e-01   -1.20000000e+00    9.86580022e-04    6.11004338e-04
318     -2.60000000e-01   -1.20000000e+00    1.04632278e-03    6.78333681e-04
319     -2.80000000e-01   -1.20000000e+00    1.10272442e-03    7.47841628e-04
320     -3.00000000e-01   -1.20000000e+00    1.15582448e-03    8.19425625e-04
321     -3.20000000e-01   -1.20000000e+00    1.20566438e-03    8.92965846e-04
322     -3.40000000e-01   -1.20000000e+00    1.25228811e-03    9.68318787e-04
323     -3.60000000e-01   -1.20000000e+00    1.29574325e-03    1.04530844e-03
324     -3.80000000e-01   -1.20000000e+00    1.33608225e-03    1.12371417e-03
325     -4.00000000e-01   -1.20000000e+00    1.37336409e-03    1.20325440e-03
326     -4.20000000e-01   -1.20000000e+00    1.40765653e-03    1.28356489e-03
327     -4.40000000e-01   -1.20000000e+00    1.43903900e-03    1.36417152e-03
328     -4.60000000e-01   -1.20000000e+00    1.46760626e-03    1.44445855e-03
329     -4.80000000e-01   -1.20000000e+00    1.49347280e-03    1.52363789e-03
330     -5.00000000e-01   -1.20000000e+00    1.51677761e-03    1.60073156e-03
331     -5.20000000e-01   -1.20000000e+00    1.53768864e-03    1.67458954e-03
332     -5.40000000e-01   -1.20000000e+00    1.55640513e-03    1.74397155e-03
333     -5.60000000e-01   -1.20000000e+00    1.57315576e-03    1.80771115e-03
334     -5.80000000e-01   -1.20000000e+00    1.58819072e-03    1.86493997e-03
335     -6.00000000e-01   -1.20000000e+00    1.60176749e-03    1.91528995e-03
336     -6.20000000e-01   -1.20000000e+00    1.61413338e-03    1.95896665e-03
337     -6.40000000e-01   -1.20000000e+00    1.62551000e-03    1.99664676e-03
338     -6.60000000e-01   -1.20000000e+00    1.63608390e-03    2.02925951e-03
339     -6.80000000e-01   -1.20000000e+00    1.64600470e-03    2.05776647e-03
340     -7.00000000e-01   -1.20000000e+00    1.65538870e-03    2.08301830e-03
341     -7.20000000e-01   -1.20000000e+00    1.66432500e-03    2.10569956e-03
342     -7.40000000e-01   -1.20000000e+00    1.67288192e-03    2.12633216e-03
343     -7.60000000e-01   -1.20000000e+00    1.68111241e-03    2.14530425e-03
344     -7.80000000e-01   -1.20000000e+00    1.68905821e-03    2.16290349e-03
345     -8.00000000e-01   -1.20000000e+00    1.69675284e-03    2.17934533e-03
346     -8.20000000e-01   -1.20000000e+00    1.70422377e-03    2.19479427e-03
