Index       TIME          {V(VOUT)+1.0}     {V(IN)+4.0}       {V(1)+4.0}         IG(MP1)           IG(MN1)           IS(MP1)           ID(MN1)           ID(MP1)     
51       8.36065574e-06    3.95247672e+00    1.42731253e+00    1.42805612e+00    4.64989896e-07    2.78592271e-07    2.94810052e-04    1.28049047e-08   -2.95275042e-04
52       8.52459016e-06    3.95098382e+00    1.59960754e+00    1.60048227e+00    5.18500587e-07    3.56225923e-07    2.94549611e-04   -1.28752455e-08   -2.95068112e-04
53       8.68852459e-06    3.94913449e+00    1.79736196e+00    1.79834390e+00    6.10246909e-07    3.71694112e-07    2.94332521e-04    1.30238706e-08   -2.94942768e-04
54       8.85245902e-06    3.94690665e+00    2.01844795e+00    2.01954364e+00    6.52517796e-07    4.43167517e-07    2.94004545e-04   -1.32259619e-08   -2.94657063e-04
55       9.01639344e-06    3.94421159e+00    2.26055841e+00    2.26173671e+00    7.30717064e-07    4.47582675e-07    2.93722651e-04    1.35259190e-08   -2.94453368e-04
56       9.18032787e-06    3.94100392e+00    2.52108345e+00    2.52235580e+00    7.58873788e-07    5.13467996e-07    2.93303083e-04   -1.39082506e-08   -2.94061957e-04
57       9.34426230e-06    3.93714578e+00    2.79731575e+00    2.79863828e+00    8.21587440e-07    5.00950060e-07    2.92929562e-04    1.44310130e-08   -2.93751149e-04
58       9.50819672e-06    3.93255122e+00    3.08625171e+00    3.08765550e+00    8.33287799e-07    5.70509630e-07    2.92376085e-04   -1.50995842e-08   -2.93209373e-04
59       9.67213115e-06    3.92699430e+00    3.38496649e+00    3.38634380e+00    8.79946723e-07    4.97360619e-07    2.91862970e-04    1.60021620e-08   -2.92742917e-04
60       9.83606557e-06    3.92030857e+00    3.69028573e+00    3.69153701e+00    8.73379619e-07    3.77903814e-07    2.91100008e-04   -1.71593140e-08   -2.91973388e-04
End of Xyce(TM) Simulation
