Index       FREQ            Re(V(VE))         Im(V(VE))        Re(V(OUT))        Im(V(OUT))    
58       8.00000000e+06    3.10101814e-04    1.26643568e-06   -1.57505050e-02   -1.42469559e-02
59       9.00000000e+06    1.77611889e-05    4.60750325e-06    3.97806408e-03    1.58927063e-02
60       1.00000000e+07   -9.27044800e-05    1.50611934e-04    8.13454055e-03   -1.62157085e-02
61       1.10000000e+07    8.17947845e-05   -6.57488317e-05   -1.68346661e-02    4.51153529e-03
62       1.20000000e+07   -7.41135407e-05   -7.01489137e-05    1.18508678e-02    9.22935806e-03
63       1.30000000e+07    2.43498038e-05    7.83590041e-05   -1.28487818e-03   -1.16053745e-02
64       1.40000000e+07    2.85315285e-05   -4.84452008e-05   -4.82689222e-03    7.92083343e-03
65       1.50000000e+07   -5.54240902e-05    2.81290617e-05    8.27041468e-03   -3.43618305e-03
66       1.60000000e+07    5.51666452e-05    1.70955896e-05   -8.41462631e-03   -3.38393507e-03
67       1.70000000e+07   -2.06841573e-05   -5.37677321e-05    2.67767777e-03    8.06743776e-03
68       1.80000000e+07   -2.02211800e-05    4.21968125e-05    3.54714490e-03   -6.18969268e-03
69       1.90000000e+07    3.60046812e-05   -1.29689686e-05   -5.49465790e-03    1.81587403e-03
70       2.00000000e+07   -3.36025365e-05   -9.06248090e-06    4.96486095e-03    1.66045088e-03
71       2.10000000e+07    1.86383309e-05    2.90615735e-05   -2.64793488e-03   -4.56880448e-03
72       2.20000000e+07    8.97629670e-06   -3.34883680e-05   -1.56613886e-03    4.94659389e-03
73       2.30000000e+07   -2.76101151e-05    1.34394122e-05    4.25248751e-03   -1.84892158e-03
74       2.40000000e+07    2.43300556e-05    8.70752102e-06   -3.61324627e-03   -1.41765382e-03
75       2.50000000e+07   -1.17618713e-05   -1.91137633e-05    1.67369646e-03    2.94952301e-03
76       2.60000000e+07   -3.11454317e-06    2.17943603e-05    5.80420782e-04   -3.28227171e-03
77       2.70000000e+07    1.79473580e-05   -1.33220610e-05   -2.77036512e-03    1.90636702e-03
78       2.80000000e+07   -2.05903911e-05   -4.47192445e-06    3.07217098e-03    7.71222994e-04
79       2.90000000e+07    9.40191106e-06    1.58516445e-05   -1.34456210e-03   -2.41522867e-03
80       3.00000000e+07    3.04485993e-06   -1.56333036e-05   -5.18463237e-04    2.34228153e-03
81       3.10000000e+07   -1.16210521e-05    9.67976816e-06    1.79152976e-03   -1.41383319e-03
82       3.20000000e+07    1.53571735e-05    8.79664390e-07   -2.30828503e-03   -2.00366216e-04
83       3.30000000e+07   -9.57261774e-06   -1.17239573e-05    1.38805005e-03    1.80109646e-03
84       3.40000000e+07   -2.02359702e-06    1.37079043e-05    3.56278732e-04   -2.04778772e-03
85       3.50000000e+07    9.66431823e-06   -7.48036837e-06   -1.47872621e-03    1.09039321e-03
86       3.60000000e+07   -1.13470538e-05   -4.67535510e-07    1.70796194e-03    1.11466046e-04
87       3.70000000e+07    8.23687821e-06    7.91834336e-06   -1.20849061e-03   -1.22651110e-03
88       3.80000000e+07   -9.87455519e-08   -1.15362150e-05   -3.36391047e-05    1.73583998e-03
89       3.90000000e+07   -8.04216192e-06    7.57551606e-06    1.23835117e-03   -1.10624214e-03
90       4.00000000e+07    1.01167663e-05    3.02739952e-07   -1.51971347e-03   -8.50413697e-05
91       4.10000000e+07   -6.85848973e-06   -6.44950729e-06    1.00849694e-03    1.00140181e-03
92       4.20000000e+07    9.09402887e-07    9.32222237e-06   -9.88219322e-05   -1.41161769e-03
93       4.30000000e+07    5.96923378e-06   -7.57849010e-06   -9.32580569e-04    1.11196917e-03
94       4.40000000e+07   -9.53807937e-06    9.90965760e-07    1.44704448e-03   -9.89787173e-05
95       4.50000000e+07    7.00216647e-06    5.96819595e-06   -1.04114298e-03   -9.29876674e-04
96       4.60000000e+07   -1.08070953e-06   -8.89911467e-06    1.16748766e-04    1.33078817e-03
97       4.70000000e+07   -4.67492041e-06    7.27514548e-06    7.80885454e-04   -1.07346754e-03
98       4.80000000e+07    8.95605547e-06   -1.90199306e-06   -1.38163932e-03    2.93294309e-04
99       4.90000000e+07   -9.51196880e-06   -5.81660694e-06    1.34052173e-03    8.97973822e-04
100      5.00000000e+07    7.82468953e-07    1.13265755e-05    3.27438790e-05   -1.85688979e-03
End of Xyce(TM) Simulation
