Index       TIME          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}          IG(MP1)           IG(MN1)           IS(MP1)           ID(MN1)           ID(MP1)     
78       9.07418244e-07    2.39861696e+00    5.61768020e+00    5.61926917e+00    5.06017210e-07    1.09418823e-06    1.06844077e-03    9.30646599e-04   -1.06894679e-03
79       9.08619188e-07    2.38017536e+00    5.61957156e+00    5.62117436e+00    4.72881627e-07    1.11732817e-06    1.06550477e-03    9.29471091e-04   -1.06597765e-03
80       9.09820132e-07    2.36278054e+00    5.62146648e+00    5.62307863e+00    5.07865566e-07    1.11578386e-06    1.06259121e-03    9.28207951e-04   -1.06309908e-03
81       9.11021076e-07    2.34629170e+00    5.62336373e+00    5.62498197e+00    4.74079142e-07    1.13177600e-06    1.05965481e-03    9.26859623e-04   -1.06012889e-03
82       9.12222020e-07    2.33059636e+00    5.62526244e+00    5.62688439e+00    5.08630008e-07    1.12497695e-06    1.05674389e-03    9.25447519e-04   -1.05725252e-03
83       9.13422964e-07    2.31560297e+00    5.62716204e+00    5.62878589e+00    4.74533741e-07    1.13703818e-06    1.05381223e-03    9.23969367e-04   -1.05428677e-03
84       9.14623907e-07    2.30123601e+00    5.62906209e+00    5.63068645e+00    5.08865232e-07    1.12724650e-06    1.05090756e-03    9.22443047e-04   -1.05141643e-03
85       9.17025795e-07    2.27413667e+00    5.63286209e+00    5.63448479e+00    4.74507647e-07    1.13578963e-06    1.04507540e-03    9.19243142e-04   -1.04554991e-03
86       9.19427683e-07    2.24891017e+00    5.63666110e+00    5.63827942e+00    5.08608326e-07    1.12050171e-06    1.03928452e-03    9.15897027e-04   -1.03979313e-03
87       9.21829571e-07    2.22524540e+00    5.64045858e+00    5.64207031e+00    4.74110312e-07    1.12596203e-06    1.03348866e-03    9.12414583e-04   -1.03396277e-03
88       9.24231459e-07    2.20292913e+00    5.64425327e+00    5.64585746e+00    5.07887901e-07    1.10724779e-06    1.02773694e-03    9.08834418e-04   -1.02824483e-03
89       9.26633347e-07    2.18178258e+00    5.64804484e+00    5.64964086e+00    4.73303289e-07    1.11120301e-06    1.02198235e-03    9.05156231e-04   -1.02245565e-03
90       9.29035235e-07    2.16166581e+00    5.65183312e+00    5.65342050e+00    5.07036534e-07    1.09139156e-06    1.01627255e-03    9.01409677e-04   -1.01677959e-03
91       9.31437123e-07    2.14246383e+00    5.65561786e+00    5.65719638e+00    4.72386307e-07    1.09470369e-06    1.01056045e-03    8.97589057e-04   -1.01103284e-03
92       9.33839011e-07    2.12408219e+00    5.65939898e+00    5.66096849e+00    5.06100631e-07    1.07451351e-06    1.00489351e-03    8.93719706e-04   -1.00539962e-03
93       9.36240899e-07    2.10644125e+00    5.66317635e+00    5.66473681e+00    4.71415565e-07    1.07765940e-06    9.99224509e-04    8.89792678e-04   -9.99695927e-04
94       9.38642787e-07    2.08947382e+00    5.66694993e+00    5.66850134e+00    5.05120277e-07    1.05743412e-06    9.93600798e-04    8.85830730e-04   -9.94105921e-04
95       9.41044674e-07    2.07312207e+00    5.67071965e+00    5.67226207e+00    4.70416039e-07    1.06065146e-06    9.87975103e-04    8.81822894e-04   -9.88445521e-04
96       9.43446562e-07    2.05733621e+00    5.67448548e+00    5.67601899e+00    5.04115279e-07    1.04056306e-06    9.82394732e-04    8.77790277e-04   -9.82898850e-04
97       9.48250338e-07    2.02729183e+00    5.68200541e+00    5.68352137e+00    4.68896280e-07    1.03564211e-06    9.71263423e-04    8.69629176e-04   -9.71732322e-04
98       9.53054114e-07    1.99905682e+00    5.68950921e+00    5.69100842e+00    5.02028241e-07    1.00800372e-06    9.60242750e-04    8.61388859e-04   -9.60744781e-04
99       9.57857890e-07    1.97239618e+00    5.69699748e+00    5.69848006e+00    4.66888494e-07    1.00451657e-06    9.49283898e-04    8.53071623e-04   -9.49750789e-04
100      9.62661666e-07    1.94713147e+00    5.70446949e+00    5.70593623e+00    4.99922179e-07    9.77696541e-07    9.38435271e-04    8.44713656e-04   -9.38935196e-04
101      9.67465441e-07    1.92310982e+00    5.71192546e+00    5.71337685e+00    4.64814283e-07    9.75462647e-07    9.27648283e-04    8.36310787e-04   -9.28113100e-04
102      9.72269217e-07    1.90020728e+00    5.71936528e+00    5.72080187e+00    4.97832794e-07    9.49671467e-07    9.16970571e-04    8.27892670e-04   -9.17468406e-04
103      9.77072993e-07    1.87831791e+00    5.72678890e+00    5.72821121e+00    4.62717461e-07    9.48505798e-07    9.06353935e-04    8.19451332e-04   -9.06816655e-04
104      9.81876769e-07    1.85735237e+00    5.73419631e+00    5.73560481e+00    4.95735852e-07    9.23698536e-07    8.95845844e-04    8.11012860e-04   -8.96341583e-04
105      9.86680545e-07    1.83723320e+00    5.74158743e+00    5.74298259e+00    4.60609147e-07    9.23484449e-07    8.85398160e-04    8.02566669e-04   -8.85858772e-04
106      9.91484320e-07    1.81789366e+00    5.74896226e+00    5.75034450e+00    4.93628088e-07    8.99566338e-07    8.75058319e-04    7.94136628e-04   -8.75551950e-04
107      9.96288096e-07    1.79927501e+00    5.75632071e+00    5.75769046e+00    4.58490502e-07    9.00199581e-07    8.64778199e-04    7.85710386e-04   -8.65236692e-04
108      1.00109187e-06    1.78132585e+00    5.76366279e+00    5.76502040e+00    4.91508704e-07    8.77074741e-07    8.54605230e-04    7.77310319e-04   -8.55096742e-04
109      1.00589565e-06    1.76400037e+00    5.77098841e+00    5.77233427e+00    4.56361025e-07    8.78461315e-07    8.44491298e-04    7.68922846e-04   -8.44947663e-04
110      1.01069942e-06    1.74725800e+00    5.77829755e+00    5.77963199e+00    4.89377139e-07    8.56042689e-07    8.34483831e-04    7.60569291e-04   -8.34973211e-04
111      1.02030698e-06    1.71537927e+00    5.79286630e+00    5.79417873e+00    4.53156462e-07    8.48197023e-07    8.14679254e-04    7.43936267e-04   -8.15132414e-04
112      1.02991453e-06    1.68544147e+00    5.80736818e+00    5.80866009e+00    4.85050475e-07    8.17707439e-07    7.95225335e-04    7.27447448e-04   -7.95710388e-04
113      1.03952208e-06    1.65723556e+00    5.82180352e+00    5.82307554e+00    4.48852124e-07    8.12174337e-07    7.76070430e-04    7.11101627e-04   -7.76519285e-04
114      1.04912963e-06    1.63059098e+00    5.83617118e+00    5.83742455e+00    4.80671626e-07    7.83568397e-07    7.57260845e-04    6.94931136e-04   -7.57741520e-04
