Index       TIME              V(1)              V(2)              V(3)             I(VIN)             I(RB)             I(RC)            IC(Q1)            IB(Q1)      
32       3.16831683e-08    5.00000000e+00    8.55890474e-01    4.32390019e-01   -4.14410953e-04    4.14410953e-04   -4.56760998e-03    4.56760998e-03    4.14410953e-04
33       3.26732673e-08    5.00000000e+00    8.56209794e-01    3.68737555e-01   -4.14379021e-04    4.14379021e-04   -4.63126244e-03    4.63126244e-03    4.14379021e-04
34       3.36633663e-08    5.00000000e+00    8.56546391e-01    3.07016262e-01   -4.14345361e-04    4.14345361e-04   -4.69298374e-03    4.69298374e-03    4.14345361e-04
35       3.46534653e-08    3.36633663e+00    8.39882523e-01    2.65417585e-01   -2.52645411e-04    2.52645411e-04   -4.73458242e-03    4.73458242e-03    2.52645411e-04
36       3.56435644e-08    8.91089109e-01    8.13963678e-01    2.92626720e-01   -7.71254313e-06    7.71254313e-06   -4.70737328e-03    4.70737328e-03    7.71254313e-06
37       3.66336634e-08    6.58456965e-16    8.04087982e-01    3.83049875e-01    8.04087982e-05   -8.04087982e-05   -4.61695013e-03    4.61695013e-03   -8.04087982e-05
38       3.76237624e-08    0.00000000e+00    8.03442156e-01    4.94618378e-01    8.03442156e-05   -8.03442156e-05   -4.50538162e-03    4.50538162e-03   -8.03442156e-05
39       3.86138614e-08    1.66533454e-15    8.02753606e-01    6.13280940e-01    8.02753606e-05   -8.02753606e-05   -4.38671906e-03    4.38671906e-03   -8.02753606e-05
40       3.96039604e-08   -2.22044605e-16    8.02006246e-01    7.38108574e-01    8.02006246e-05   -8.02006246e-05   -4.26189143e-03    4.26189143e-03   -8.02006246e-05
41       4.05940594e-08   -1.11022302e-16    8.01204991e-01    8.67727458e-01    8.01204991e-05   -8.01204991e-05   -4.13227254e-03    4.13227254e-03   -8.01204991e-05
42       4.15841584e-08    4.44089210e-16    8.00354006e-01    1.00106751e+00    8.00354006e-05   -8.00354006e-05   -3.99893249e-03    3.99893249e-03   -8.00354006e-05
43       4.25742574e-08    1.11022302e-15    7.99453233e-01    1.13721678e+00    7.99453233e-05   -7.99453233e-05   -3.86278322e-03    3.86278322e-03   -7.99453233e-05
44       4.35643564e-08    6.66133815e-16    7.98506297e-01    1.27535157e+00    7.98506297e-05   -7.98506297e-05   -3.72464843e-03    3.72464843e-03   -7.98506297e-05
45       4.45544554e-08    1.77635684e-15    7.97512092e-01    1.41478228e+00    7.97512092e-05   -7.97512092e-05   -3.58521772e-03    3.58521772e-03   -7.97512092e-05
46       4.55445545e-08    8.88178420e-16    7.96473324e-01    1.55487715e+00    7.96473324e-05   -7.96473324e-05   -3.44512285e-03    3.44512285e-03   -7.96473324e-05
47       4.65346535e-08    6.66133815e-16    7.95388249e-01    1.69509896e+00    7.95388249e-05   -7.95388249e-05   -3.30490104e-03    3.30490104e-03   -7.95388249e-05
48       4.75247525e-08    2.22044605e-16    7.94258826e-01    1.83496068e+00    7.94258826e-05   -7.94258826e-05   -3.16503932e-03    3.16503932e-03   -7.94258826e-05
49       4.85148515e-08    0.00000000e+00    7.93082707e-01    1.97404226e+00    7.93082707e-05   -7.93082707e-05   -3.02595774e-03    3.02595774e-03   -7.93082707e-05
50       4.95049505e-08    1.33226763e-15    7.91861229e-01    2.11196843e+00    7.91861229e-05   -7.91861229e-05   -2.88803157e-03    2.88803157e-03   -7.91861229e-05
51       5.04950495e-08    1.22124533e-15    7.90591370e-01    2.24841362e+00    7.90591370e-05   -7.90591370e-05   -2.75158638e-03    2.75158638e-03   -7.90591370e-05
52       5.14851485e-08    6.66133815e-16    7.89273890e-01    2.38309059e+00    7.89273890e-05   -7.89273890e-05   -2.61690941e-03    2.61690941e-03   -7.89273890e-05
53       5.24752475e-08    2.04118899e-16    7.87904963e-01    2.51575156e+00    7.87904963e-05   -7.87904963e-05   -2.48424844e-03    2.48424844e-03   -7.87904964e-05
54       5.34653465e-08    8.32667268e-16    7.86484746e-01    2.64617932e+00    7.86484746e-05   -7.86484746e-05   -2.35382068e-03    2.35382068e-03   -7.86484745e-05
55       5.44554455e-08    2.83492310e-16    7.85008408e-01    2.77419070e+00    7.85008408e-05   -7.85008408e-05   -2.22580930e-03    2.22580930e-03   -7.85008408e-05
56       5.54455446e-08    1.33226763e-15    7.83475396e-01    2.89962423e+00    7.83475396e-05   -7.83475396e-05   -2.10037577e-03    2.10037577e-03   -7.83475396e-05
57       5.64356436e-08    5.55111512e-16    7.81879582e-01    3.02235051e+00    7.81879582e-05   -7.81879582e-05   -1.97764949e-03    1.97764949e-03   -7.81879582e-05
58       5.74257426e-08    2.77555756e-16    7.80219499e-01    3.14225201e+00    7.80219499e-05   -7.80219499e-05   -1.85774799e-03    1.85774799e-03   -7.80219499e-05
59       5.84158416e-08    1.33226763e-15    7.78487275e-01    3.25924397e+00    7.78487275e-05   -7.78487275e-05   -1.74075603e-03    1.74075603e-03   -7.78487275e-05
60       5.94059406e-08    8.88178420e-16    7.76680173e-01    3.37324277e+00    7.76680173e-05   -7.76680173e-05   -1.62675723e-03    1.62675723e-03   -7.76680173e-05
61       6.03960396e-08   -7.04712835e-17    7.74787895e-01    3.48420033e+00    7.74787895e-05   -7.74787895e-05   -1.51579967e-03    1.51579967e-03   -7.74787895e-05
62       6.13861386e-08    6.66133815e-16    7.72805826e-01    3.59205813e+00    7.72805826e-05   -7.72805826e-05   -1.40794187e-03    1.40794187e-03   -7.72805826e-05
63       6.23762376e-08    1.16573418e-15    7.70720147e-01    3.69679764e+00    7.70720147e-05   -7.70720147e-05   -1.30320236e-03    1.30320236e-03   -7.70720147e-05
64       6.33663366e-08    0.00000000e+00    7.68523303e-01    3.79837727e+00    7.68523303e-05   -7.68523303e-05   -1.20162273e-03    1.20162273e-03   -7.68523303e-05
65       6.43564356e-08    8.88178420e-16    7.66196113e-01    3.89680123e+00    7.66196113e-05   -7.66196113e-05   -1.10319877e-03    1.10319877e-03   -7.66196113e-05
66       6.53465347e-08    5.86141624e-16    7.63726137e-01    3.99203665e+00    7.63726137e-05   -7.63726137e-05   -1.00796335e-03    1.00796335e-03   -7.63726137e-05
67       6.63366337e-08    8.88178420e-16    7.61085542e-01    4.08410312e+00    7.61085542e-05   -7.61085542e-05   -9.15896882e-04    9.15896882e-04   -7.61085542e-05
68       6.73267327e-08   -1.11022302e-15    7.58253212e-01    4.17296708e+00    7.58253212e-05   -7.58253212e-05   -8.27032920e-04    8.27032920e-04   -7.58253212e-05
69       6.83168317e-08    1.11022302e-16    7.55186262e-01    4.25865380e+00    7.55186262e-05   -7.55186262e-05   -7.41346196e-04    7.41346196e-04   -7.55186262e-05
70       6.93069307e-08   -4.44089210e-16    7.51846835e-01    4.34111576e+00    7.51846835e-05   -7.51846835e-05   -6.58884238e-04    6.58884238e-04   -7.51846835e-05
71       7.02970297e-08   -1.35719369e-15    7.48163165e-01    4.42036750e+00    7.48163165e-05   -7.48163165e-05   -5.79632500e-04    5.79632500e-04   -7.48163165e-05
72       7.12871287e-08    0.00000000e+00    7.44061334e-01    4.49632305e+00    7.44061334e-05   -7.44061334e-05   -5.03676947e-04    5.03676947e-04   -7.44061334e-05
73       7.22772277e-08   -8.88178420e-16    7.39406106e-01    4.56894975e+00    7.39406106e-05   -7.39406106e-05   -4.31050253e-04    4.31050253e-04   -7.39406106e-05
74       7.32673267e-08   -1.07375283e-15    7.34032799e-01    4.63806329e+00    7.34032799e-05   -7.34032799e-05   -3.61936709e-04    3.61936709e-04   -7.34032799e-05
75       7.42574257e-08   -4.71535824e-16    7.27636198e-01    4.70347648e+00    7.27636198e-05   -7.27636198e-05   -2.96523517e-04    2.96523517e-04   -7.27636198e-05
76       7.52475248e-08   -8.88178420e-16    7.19762436e-01    4.76470425e+00    7.19762436e-05   -7.19762436e-05   -2.35295752e-04    2.35295752e-04   -7.19762436e-05
77       7.62376238e-08    0.00000000e+00    7.09488618e-01    4.82096276e+00    7.09488618e-05   -7.09488618e-05   -1.79037239e-04    1.79037239e-04   -7.09488618e-05
78       7.72277228e-08   -6.58456965e-16    6.95038166e-01    4.87044580e+00    6.95038166e-05   -6.95038166e-05   -1.29554199e-04    1.29554199e-04   -6.95038166e-05
79       7.82178218e-08   -1.30734157e-15    6.72245039e-01    4.90920754e+00    6.72245039e-05   -6.72245039e-05   -9.07924574e-05    9.07924574e-05   -6.72245039e-05
80       7.92079208e-08    0.00000000e+00    6.35241098e-01    4.93132726e+00    6.35241098e-05   -6.35241098e-05   -6.86727428e-05    6.86727428e-05   -6.35241098e-05
81       8.01980198e-08    0.00000000e+00    5.88105786e-01    4.94033445e+00    5.88105786e-05   -5.88105786e-05   -5.96655465e-05    5.96655465e-05   -5.88105786e-05
82       8.11881188e-08    4.44089210e-16    5.41418405e-01    4.94576648e+00    5.41418405e-05   -5.41418405e-05   -5.42335204e-05    5.42335204e-05   -5.41418405e-05
83       8.21782178e-08    1.33226763e-15    4.97606491e-01    4.95017570e+00    4.97606491e-05   -4.97606491e-05   -4.98242991e-05    4.98242991e-05   -4.97606491e-05
84       8.31683168e-08   -6.66133815e-16    4.57373012e-01    4.95429688e+00    4.57373012e-05   -4.57373012e-05   -4.57031221e-05    4.57031221e-05   -4.57373012e-05
85       8.41584158e-08    1.33226763e-15    4.20053118e-01    4.95795337e+00    4.20053118e-05   -4.20053118e-05   -4.20466286e-05    4.20466286e-05   -4.20053118e-05
86       8.51485149e-08    2.25911888e-16    3.85938465e-01    4.96144725e+00    3.85938465e-05   -3.85938465e-05   -3.85527527e-05    3.85527527e-05   -3.85938465e-05
87       8.61386139e-08    4.99600361e-16    3.54264811e-01    4.96453030e+00    3.54264811e-05   -3.54264811e-05   -3.54697015e-05    3.54697015e-05   -3.54264811e-05
88       8.71287129e-08    0.00000000e+00    3.25414328e-01    4.96750367e+00    3.25414328e-05   -3.25414328e-05   -3.24963346e-05    3.24963346e-05   -3.25414328e-05
89       8.81188119e-08    1.11022302e-15    2.98559145e-01    4.97009663e+00    2.98559145e-05   -2.98559145e-05   -2.99033691e-05    2.99033691e-05   -2.98559145e-05
90       8.91089109e-08    3.16095220e-16    2.74214246e-01    4.97262860e+00    2.74214246e-05   -2.74214246e-05   -2.73714025e-05    2.73714025e-05   -2.74214246e-05
91       9.00990099e-08   -8.88178420e-16    2.51450978e-01    4.97480197e+00    2.51450978e-05   -2.51450978e-05   -2.51980264e-05    2.51980264e-05   -2.51450978e-05
92       9.10891089e-08    0.00000000e+00    2.30959078e-01    4.97696021e+00    2.30959078e-05   -2.30959078e-05   -2.30397902e-05    2.30397902e-05   -2.30959078e-05
93       9.20792079e-08    6.10622664e-16    2.11651798e-01    4.97877517e+00    2.11651798e-05   -2.11651798e-05   -2.12248301e-05    2.12248301e-05   -2.11651798e-05
94       9.30693069e-08   -4.44089210e-16    1.94461374e-01    4.98061734e+00    1.94461374e-05   -1.94461374e-05   -1.93826644e-05    1.93826644e-05   -1.94461374e-05
95       9.40594059e-08    6.10622664e-16    1.78047369e-01    4.98212769e+00    1.78047369e-05   -1.78047369e-05   -1.78723129e-05    1.78723129e-05   -1.78047369e-05
96       9.50495050e-08   -4.44089210e-16    1.63708605e-01    4.98370091e+00    1.63708605e-05   -1.63708605e-05   -1.62990926e-05    1.62990926e-05   -1.63708605e-05
97       9.60396040e-08   -8.88178420e-16    1.49669788e-01    4.98495730e+00    1.49669788e-05   -1.49669788e-05   -1.50427005e-05    1.50427005e-05   -1.49669788e-05
98       9.70297030e-08   -2.22044605e-16    1.37856835e-01    4.98629285e+00    1.37856835e-05   -1.37856835e-05   -1.37071530e-05    1.37071530e-05   -1.37856835e-05
99       9.80198020e-08    4.44089210e-16    1.25648942e-01    4.98735695e+00    1.25648942e-05   -1.25648942e-05   -1.26430489e-05    1.26430489e-05   -1.25648942e-05
100      9.90099010e-08    4.44089210e-16    1.16278147e-01    4.98844144e+00    1.16278147e-05   -1.16278147e-05   -1.15585608e-05    1.15585608e-05   -1.16278147e-05
End of Xyce(TM) Simulation
