Index       FREQ        Re({V(VOUT)+1.0}) Im({V(VOUT)+1.0})  Re({V(IN)+4.0})   Im({V(IN)+4.0})   Re({V(1)+4.0})    Im({V(1)+4.0})      Re(IG(MP1))       Im(IG(MP1))       Re(IG(MN1))       Im(IG(MN1))       Re(IS(MP1))       Im(IS(MP1))       Re(ID(MN1))       Im(ID(MN1))       Re(ID(MP1))       Im(ID(MP1))   
15      -1.85000000e+07    1.00004993e+00    1.70004812e-04    3.99999984e+00    1.95193307e-07    4.00000000e+00   -4.02814875e-17   -7.06360114e-10    7.31095189e-10    8.65399957e-10   -9.26269531e-10   -1.43230891e-08   -1.22914351e-08   -2.19984916e-08   -2.79804573e-08    1.50294493e-08    1.15603401e-08
16      -1.84000000e+07    9.99845162e-01   -2.36495947e-04    4.00000039e+00   -8.55324468e-07    4.00000000e+00   -7.96550446e-18   -8.35479779e-10    2.00148806e-09    4.46508767e-10   -1.14616587e-09   -5.03456504e-08   -2.25797356e-08   -3.29632199e-08    1.28126266e-09    5.11811300e-08    2.05782472e-08
17      -1.83000000e+07    9.99796497e-01    3.41420203e-04    3.99999917e+00   -6.51482402e-07    4.00000000e+00   -3.81179466e-17    1.40608575e-09    1.57958653e-09   -5.80307187e-10   -9.28090714e-10   -3.81900774e-08    4.17195225e-08   -2.03593716e-08    6.81715346e-09    3.67839914e-08   -4.32991086e-08
18      -1.82000000e+07    1.00021247e+00   -1.53494177e-05    3.99999954e+00    1.30376276e-07    4.00000000e+00   -6.31047221e-17    8.51602348e-10    5.18437536e-10   -3.86711026e-10   -6.48799071e-10   -5.99429280e-09    1.81781892e-08   -2.62140571e-08    2.26612270e-08    5.14269074e-09   -1.86966268e-08
19      -1.81000000e+07    9.99783285e-01    1.17722509e-04    3.99999951e+00   -6.18608668e-07    4.00000000e+00   -2.11501744e-17    1.94757082e-09    6.36878478e-10   -1.45594880e-09   -1.82576331e-11   -1.85855995e-08    4.89577041e-08    3.69471723e-09    3.53577164e-08    1.66380283e-08   -4.95945825e-08
20      -1.80000000e+07    1.00034441e+00    2.16527038e-04    3.99999888e+00    8.11755822e-07    4.00000000e+00    1.00445662e-17    1.50922579e-09   -1.56429554e-09   -3.85981629e-10    7.52568404e-10    4.69604612e-08    3.76160095e-08    1.15794203e-08    1.82942262e-08   -4.84696865e-08   -3.60517137e-08
21      -1.79000000e+07    1.00001811e+00   -2.53644641e-04    4.00000051e+00    1.12679641e-07    4.00000000e+00   -5.68407216e-17    2.65824695e-10   -9.70736311e-10   -7.75517427e-10    8.58060931e-10    2.13077753e-08   -6.83583704e-10    2.26154626e-08    2.39138085e-08   -2.15735999e-08    1.65431966e-09
22      -1.78000000e+07    1.00007609e+00    1.93892850e-04    3.99999915e+00    4.50510579e-07    4.00000000e+00    3.37163156e-17    4.62492916e-10   -1.87317493e-09    3.88906807e-10    1.42268058e-09    4.74641040e-08    1.45825099e-08    3.81494025e-08   -5.82899741e-09   -4.79265968e-08   -1.27093347e-08
23      -1.77000000e+07    1.00022523e+00   -3.41442722e-04    4.00000106e+00    5.88354610e-07    4.00000000e+00    1.64248925e-17   -1.75823933e-09   -1.43564512e-09    6.99382709e-10    8.47295429e-10    3.62790130e-08   -5.18084044e-08    1.57948282e-08   -1.65949189e-08   -3.45207734e-08    5.32440490e-08
24      -1.76000000e+07    9.99706985e-01   -4.98752356e-05    4.00000005e+00   -4.95594645e-07    4.00000000e+00    3.33334617e-17   -1.04750323e-09   -2.53434325e-11    1.00167116e-09    5.20935525e-10   -7.06877609e-09   -2.39676772e-08    2.17367480e-08   -2.22457711e-08    8.11627892e-09    2.39930205e-08
