Index       FREQ          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}        Re(IG(MP1))       Im(IG(MP1))       Re(IG(MN1))       Im(IG(MN1))       Re(IS(MP1))       Im(IS(MP1))       Re(ID(MN1))       Im(ID(MN1))       Re(ID(MP1))       Im(ID(MP1))   
34      -1.66000000e+07    9.99876741e-01    4.00000009e+00    4.00000000e+00   -1.73436686e-10   -1.40104141e-09    8.33488483e-11    1.38592557e-09    3.22828586e-08   -1.80542199e-09    4.35719439e-08   -1.27701689e-08   -3.21094221e-08    3.20646351e-09
35      -1.65000000e+07    1.00021726e+00    4.00000070e+00    4.00000000e+00   -2.18827043e-09   -9.76503668e-10    1.49202073e-09    1.67322151e-10    2.77561983e-08   -6.47310011e-08    6.59669319e-09   -3.68811649e-08   -2.55679276e-08    6.57075044e-08
36      -1.64000000e+07    9.99585397e-01    4.00000072e+00    4.00000000e+00   -1.20486750e-09    9.37187010e-10    4.84972463e-10    1.43124603e-11   -3.63582243e-08   -3.11561860e-08    5.45377310e-09   -1.93852656e-08    3.75630912e-08    3.02189988e-08
37      -1.63000000e+07    1.00005265e+00    3.99999984e+00    4.00000000e+00   -1.19249649e-09    3.06504789e-10    1.34785118e-09   -5.99944234e-10   -5.72384751e-09   -2.69331507e-08   -1.40078841e-08   -4.39232691e-08    6.91634407e-09    2.66266462e-08
38      -1.62000000e+07    9.99769532e-01    4.00000072e+00    4.00000000e+00   -8.62295795e-10    2.23647408e-09    1.46621553e-10   -1.25683065e-09   -6.57476377e-08   -2.47267022e-08   -4.14707762e-08   -4.27994920e-09    6.66099331e-08    2.24902278e-08
39      -1.61000000e+07    9.99831710e-01    3.99999904e+00    4.00000000e+00    1.19918913e-09    1.19652531e-09   -2.37894362e-10   -8.67638975e-10   -3.20139543e-08    4.34278368e-08   -1.83616130e-08   -3.35482180e-10    3.08147649e-08   -4.46243615e-08
40      -1.60000000e+07    1.00023373e+00    4.00000002e+00    4.00000000e+00    4.11062246e-10    9.88867036e-10   -4.30712586e-10   -9.01893080e-10   -1.98790351e-08    9.47352423e-09   -4.26137492e-08    1.50740691e-08    1.94679731e-08   -1.04623913e-08
41      -1.59000000e+07    9.99809561e-01    3.99999924e+00    4.00000000e+00    2.27363683e-09    7.25133053e-10   -1.51662911e-09   -3.92877205e-10   -2.17913437e-08    6.59213955e-08   -2.35926895e-09    4.58708008e-08    1.95177066e-08   -6.66465282e-08
42      -1.58000000e+07    1.00044386e+00    3.99999935e+00    4.00000000e+00    1.16388345e-09   -1.42416230e-09   -5.09252012e-10    7.55249558e-10    5.13495155e-08    3.24870408e-08    6.32210863e-09    1.72851564e-08   -5.25133983e-08   -3.10628782e-08
43      -1.57000000e+07    1.00000688e+00    4.00000029e+00    4.00000000e+00    7.68840965e-10   -5.28330466e-10   -1.05527300e-09    2.75216578e-10    1.27097209e-08    1.20700708e-08    1.56395772e-08    4.04890915e-08   -1.34785618e-08   -1.15417407e-08
44      -1.56000000e+07    1.00014050e+00    3.99999936e+00    4.00000000e+00    5.86308913e-10   -2.25442165e-09    5.76921263e-11    1.85413751e-09    6.61626463e-08    1.87250052e-08    5.10101173e-08    6.17196702e-10   -6.67489550e-08   -1.64705833e-08
45      -1.55000000e+07    1.00019167e+00    4.00000105e+00    4.00000000e+00   -1.64697749e-09   -1.14651289e-09    6.01819910e-10    4.37009121e-10    3.22953600e-08   -5.90675968e-08    1.58460603e-08   -1.35344792e-08   -3.06483823e-08    6.02141091e-08
46      -1.54000000e+07    9.99657063e-01    3.99999993e+00    4.00000000e+00   -6.24158152e-10   -5.09810700e-10    6.90826451e-10    1.10194667e-09    4.54985888e-09   -1.56436089e-08    3.85612000e-08   -1.59393355e-08   -3.92570120e-09    1.61534196e-08
47      -1.53000000e+07    1.00015163e+00    4.00000072e+00    4.00000000e+00   -2.22394385e-09   -4.77266887e-10    1.50871661e-09    6.80020124e-12    1.52895661e-08   -6.54241209e-08   -1.26639423e-09   -5.58027539e-08   -1.30656220e-08    6.59013877e-08
48      -1.52000000e+07    9.99554845e-01    4.00000035e+00    4.00000000e+00   -1.10098838e-09    1.86784181e-09    7.49388732e-10   -7.10146145e-10   -6.54331291e-08   -3.16634763e-08   -2.01307304e-08   -1.42791755e-08    6.65341169e-08    2.97956342e-08
49      -1.51000000e+07    9.99937811e-01    3.99999973e+00    4.00000000e+00   -2.60974374e-10    6.80668288e-10    5.35385063e-10   -4.36722035e-10   -1.85247888e-08    3.63975205e-09   -1.63136296e-08   -3.57607867e-08    1.87857631e-08   -4.32041979e-09
50      -1.50000000e+07    9.99972730e-01    4.00000012e+00    4.00000000e+00   -3.48089814e-10    2.16402299e-09    2.27039336e-10   -1.55440343e-09   -6.25625383e-08   -1.17039377e-08   -5.89696390e-08    3.08368110e-09    6.29106281e-08    9.53991457e-09
51      -1.49000000e+07    9.99800201e-01    3.99999925e+00    4.00000000e+00    2.04287636e-09    1.02498847e-09   -1.29050070e-09   -3.25927336e-10   -3.08842794e-08    7.13594527e-08   -1.29259712e-08    2.70988039e-08    2.88414027e-08   -7.23844406e-08
52      -1.48000000e+07    1.00044337e+00    3.99999953e+00    4.00000000e+00    7.51057520e-10   -1.07593956e-11   -2.77689206e-10   -4.73032350e-10    1.35704209e-08    2.11825958e-08   -3.08249301e-08    1.65873642e-08   -1.43214778e-08   -2.11718363e-08
53      -1.47000000e+07    9.99895802e-01    3.99999986e+00    4.00000000e+00    2.04507688e-09    2.10454860e-10   -1.90223080e-09    2.70367872e-10   -8.28723863e-09    5.85720631e-08    4.51636033e-09    6.14874545e-08    6.24216161e-09   -5.87825180e-08
54      -1.46000000e+07    1.00041433e+00    3.99999927e+00    4.00000000e+00    9.70162911e-10   -2.21855644e-09   -2.42968597e-10    1.28217514e-09    7.79107397e-08    2.98516614e-08    3.56303287e-08    1.16237293e-08   -7.88809021e-08   -2.76331047e-08
55      -1.45000000e+07    1.00010970e+00    4.00000087e+00    4.00000000e+00   -3.16552569e-10   -8.12633998e-10   -5.56922134e-10    7.48237201e-10    2.33116066e-08   -2.40964328e-08    1.64675309e-08    2.48541504e-08   -2.29950539e-08    2.49090662e-08
56      -1.44000000e+07    9.99894840e-01    3.99999967e+00    4.00000000e+00    1.08844161e-10   -1.92481477e-09    2.18154875e-10    1.63665966e-09    5.46463429e-08    4.96689823e-09    6.45629700e-08   -5.73677408e-09   -5.47551872e-08   -3.04208335e-09
57      -1.43000000e+07    1.00019281e+00    4.00000113e+00    4.00000000e+00   -2.38909869e-09   -9.05193301e-10    1.25784734e-09    6.47190799e-10    2.82882142e-08   -8.38538814e-08    1.00837969e-08   -4.44509949e-08   -2.58991152e-08    8.47590741e-08
58      -1.42000000e+07    9.99472858e-01    4.00000031e+00    4.00000000e+00   -8.32113988e-10    5.93296423e-10    5.20761824e-10    8.00058145e-11   -3.38281886e-08   -2.49988899e-08    1.92114450e-08   -1.61354304e-08    3.46603018e-08    2.44055932e-08
59      -1.41000000e+07    1.00005161e+00    4.00000031e+00    4.00000000e+00   -1.78400065e-09   -5.07713807e-12    1.47471938e-09    1.38964392e-10    1.46527226e-09   -4.95944164e-08   -7.04846985e-09   -6.68450216e-08    3.18728459e-10    4.95994938e-08
60      -1.40000000e+07    9.99651328e-01    4.00000053e+00    4.00000000e+00   -8.08797616e-10    2.49486290e-09    2.75236195e-10   -1.68506484e-09   -8.76801953e-08   -2.63130426e-08   -5.20023842e-08   -8.47580243e-09    8.84889924e-08    2.38181794e-08
61      -1.39000000e+07    9.99853223e-01    3.99999930e+00    4.00000000e+00    8.72096299e-10    8.51956498e-10   -1.75608802e-10   -1.92897138e-10   -2.65611063e-08    4.38683052e-08   -1.59061356e-08   -1.26078254e-08    2.56890098e-08   -4.47202609e-08
62      -1.38000000e+07    1.00025093e+00    4.00000018e+00    4.00000000e+00    1.11860957e-10    1.57394747e-09   -2.92692697e-10   -1.64398953e-09   -4.19248540e-08    2.09228952e-09   -6.66916931e-08    8.30945087e-09    4.18129934e-08   -3.66623702e-09
63      -1.37000000e+07    9.99827940e-01    3.99999922e+00    4.00000000e+00    2.57922047e-09    7.23562973e-10   -1.79552639e-09   -5.93346789e-12   -2.42870075e-08    9.05051676e-08   -7.10622022e-09    5.94917745e-08    2.17077868e-08   -9.12287302e-08
64      -1.36000000e+07    1.00058611e+00    3.99999974e+00    4.00000000e+00    8.75021010e-10   -1.18844697e-09   -6.11712331e-10    1.99788562e-10    5.56503772e-08    2.79016072e-08   -3.45786801e-09    1.56590933e-08   -5.65253974e-08   -2.67131600e-08
65      -1.35000000e+07    1.00000219e+00    4.00000011e+00    4.00000000e+00    1.34915732e-09   -2.03758001e-10   -1.45685252e-09    4.45269956e-10    5.33620078e-09    3.29159658e-08    9.23464563e-09    6.53634188e-08   -6.68535809e-09   -3.27122083e-08
66      -1.34000000e+07    1.00024694e+00    3.99999975e+00    4.00000000e+00    6.45307643e-10   -2.66684153e-09   -3.96946804e-10    1.75874862e-09    9.38152953e-08    2.21445523e-08    6.84450802e-08    5.85624303e-09   -9.44606026e-08   -1.94777106e-08
67      -1.33000000e+07    1.00017121e+00    4.00000093e+00    4.00000000e+00   -1.48205555e-09   -8.70199593e-10    5.54287485e-10    6.19206100e-10    2.86812860e-08   -6.76947232e-08    1.51221210e-08   -6.77698677e-09   -2.71992302e-08    6.85649220e-08
68      -1.32000000e+07    9.99597323e-01    4.00000022e+00    4.00000000e+00   -2.81149071e-10   -1.12614033e-09    5.77538598e-11    1.21463972e-09    2.42566534e-08   -8.33416738e-09    6.44794377e-08   -9.95120816e-09   -2.39755049e-08    9.46030767e-09
69      -1.31000000e+07    1.00013935e+00    4.00000071e+00    4.00000000e+00   -2.69943060e-09   -5.50078812e-10    1.99003572e-09    2.93844789e-10    1.95806289e-08   -9.60472596e-08    4.44778393e-09   -7.72058987e-08   -1.68811981e-08    9.65973382e-08
70      -1.30000000e+07    9.99387545e-01    4.00000063e+00    4.00000000e+00   -8.52680604e-10    1.74482771e-09    2.26611594e-10   -8.59239074e-10   -7.80853142e-08   -2.90014458e-08   -1.62354003e-08   -1.44207130e-08    7.89379939e-08    2.72566179e-08
71      -1.29000000e+07    9.99946313e-01    3.99999967e+00    4.00000000e+00   -8.54021245e-10    3.62299546e-10    1.18562156e-09   -2.02030922e-10   -1.13883520e-08   -1.44461102e-08   -1.07504614e-08   -6.23494426e-08    1.22423731e-08    1.40838114e-08
72      -1.28000000e+07    9.99890079e-01    4.00000052e+00    4.00000000e+00   -4.54667202e-10    2.67915835e-09   -6.79089135e-11   -2.08286359e-09   -9.51911204e-08   -1.67245865e-08   -8.36932235e-08   -2.98760801e-09    9.56457875e-08    1.40454280e-08
73      -1.27000000e+07    9.99818010e-01    3.99999896e+00    4.00000000e+00    2.02006594e-09    8.36120812e-10   -9.81766157e-10   -3.65966263e-10   -2.91891716e-08    8.82534485e-08   -1.38483124e-08    2.65040630e-08    2.71691054e-08   -8.90895685e-08
74      -1.26000000e+07    1.00055139e+00    4.00000005e+00    4.00000000e+00    4.31854496e-10    5.44554333e-10   -4.80218891e-10   -9.78387363e-10   -1.52847885e-09    1.43782767e-08   -5.68480647e-08    1.15485654e-08    1.09662512e-09   -1.49228309e-08
75      -1.25000000e+07    9.99902507e-01    3.99999938e+00    4.00000000e+00    2.64480108e-09    3.68113441e-10   -2.02146966e-09   -7.15654213e-11   -1.39208681e-08    9.27623852e-08   -1.75628012e-09    8.94419495e-08    1.12760669e-08   -9.31304986e-08
76      -1.24000000e+07    1.00059876e+00    3.99999973e+00    4.00000000e+00    8.07951887e-10   -2.29154050e-09   -5.42623628e-10    1.27269790e-09    1.00108522e-07    2.91621834e-08    3.96217547e-08    1.33317900e-08   -1.00916473e-07   -2.68706426e-08
77      -1.23000000e+07    1.00009932e+00    4.00000044e+00    4.00000000e+00    2.33528695e-10   -4.85500156e-10   -6.71222580e-10    3.12302269e-10    1.69763688e-08   -1.27403686e-08    1.20790107e-08    4.96599982e-08   -1.72098973e-08    1.32258679e-08
78      -1.22000000e+07    9.99940279e-01    3.99999990e+00    4.00000000e+00    2.80084823e-10   -2.58225220e-09   -1.81718728e-10    2.10633374e-09    9.07951822e-08    1.11182178e-08    9.64801799e-08    6.78303674e-10   -9.10752671e-08   -8.53596554e-09
79      -1.21000000e+07    1.00017867e+00    4.00000094e+00    4.00000000e+00   -2.52854507e-09   -7.67549598e-10    1.58623359e-09    3.43200098e-10    2.86325573e-08   -1.11667901e-07    1.26057799e-08   -5.36183153e-08   -2.61040120e-08    1.12435449e-07
80      -1.20000000e+07    9.99313012e-01    4.00000032e+00    4.00000000e+00   -5.32368474e-10    8.78623750e-11    2.14875574e-10    5.13430949e-10   -2.60415172e-08   -1.92348883e-08    4.30227411e-08   -1.24184799e-08    2.65738847e-08    1.91470257e-08
