Index       TIME          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}          IG(MP1)           IG(MN1)           IS(MP1)           ID(MN1)           ID(MP1)     
83       2.14645200e-05    1.11800474e+00    6.38635271e+00    6.38714112e+00    3.59561718e-07    4.28853480e-07    2.10293280e-04    1.98905898e-04   -2.10652846e-04
84       2.14952839e-05    1.10328303e+00    6.42105270e+00    6.42181514e+00    3.50545861e-07    4.11890500e-07    1.87152246e-04    1.77222346e-04   -1.87502796e-04
85       2.15260478e-05    1.09013471e+00    6.45484736e+00    6.45558432e+00    3.41399954e-07    3.95559119e-07    1.65910232e-04    1.57280905e-04   -1.66251636e-04
86       2.15568118e-05    1.07840737e+00    6.48772413e+00    6.48843604e+00    3.32127285e-07    3.79787170e-07    1.46471734e-04    1.39001249e-04   -1.46803865e-04
87       2.15875757e-05    1.06796493e+00    6.51967080e+00    6.52035804e+00    3.22731213e-07    3.64512673e-07    1.28742024e-04    1.22302210e-04   -1.29064760e-04
88       2.16183396e-05    1.05868524e+00    6.55067548e+00    6.55133838e+00    3.13215163e-07    3.49682057e-07    1.12627338e-04    1.07102197e-04   -1.12940557e-04
89       2.16798675e-05    1.04318963e+00    6.60980137e+00    6.61042815e+00    2.98650367e-07    3.28137700e-07    8.48741976e-05    8.08790741e-05   -8.51728521e-05
90       2.17413953e-05    1.03114338e+00    6.66503737e+00    6.66561706e+00    2.79002253e-07    3.00685038e-07    6.24866988e-05    5.96709463e-05   -6.27657052e-05
91       2.18029232e-05    1.02191814e+00    6.71628949e+00    6.71682263e+00    2.58879248e-07    2.74262437e-07    4.47688995e-05    4.28509623e-05   -4.50277829e-05
92       2.18644510e-05    1.01498087e+00    6.76348124e+00    6.76396835e+00    2.38369934e-07    2.48742861e-07    3.10556152e-05    2.98071776e-05   -3.12939893e-05
93       2.19259789e-05    1.00988115e+00    6.80654229e+00    6.80698376e+00    2.17505413e-07    2.23966310e-07    2.07188826e-05    1.99565657e-05   -2.09363922e-05
94       2.19875067e-05    1.00623718e+00    6.84540847e+00    6.84580459e+00    1.96316713e-07    1.99802165e-07    1.31727493e-05    1.27512744e-05   -1.33690701e-05
95       2.20490346e-05    1.00372532e+00    6.88002184e+00    6.88037282e+00    1.74835376e-07    1.76142806e-07    7.87772645e-06    7.68411618e-06   -8.05256598e-06
96       2.21105624e-05    1.00207227e+00    6.91033080e+00    6.91063679e+00    1.53093409e-07    1.52898330e-07    4.34487332e-06    4.29343030e-06   -4.49797088e-06
97       2.21720903e-05    1.00104918e+00    6.93629018e+00    6.93655129e+00    1.31123229e-07    1.29992560e-07    2.13948642e-06    2.16735864e-06   -2.27061380e-06
98       2.22336181e-05    1.00046716e+00    6.95786127e+00    6.95807759e+00    1.08957610e-07    1.07359964e-07    8.84370153e-07    9.47561481e-07   -9.93331922e-07
99       2.22951460e-05    1.00017393e+00    6.97501194e+00    6.97518351e+00    8.66296324e-08    8.49432361e-08    2.62667351e-07    3.32384905e-07   -3.49301143e-07
100      2.23566738e-05    1.00005122e+00    6.98771664e+00    6.98784350e+00    6.41726279e-08    6.26913364e-08    2.02316043e-08    7.94853429e-08   -8.44083921e-08
101      2.24182017e-05    1.00001300e+00    6.99595646e+00    6.99603864e+00    4.16201302e-08    4.05578768e-08   -3.24736802e-08    7.91293849e-09   -9.15060986e-09
102      2.24797295e-05    1.00000410e+00    6.99971918e+00    6.99975668e+00    1.90058228e-08    1.84997368e-08   -1.89617069e-08   -3.47034610e-10   -4.82757354e-11
103      2.25412574e-05    9.99999479e-01    6.99899923e+00    6.99899207e+00   -3.63651176e-09   -3.52415741e-09    4.19678092e-09    6.24005665e-10   -5.64429066e-10
