Index       FREQ            Re(V(1))          Im(V(1))          Re(V(2))          Im(V(2))          Re(V(3))          Im(V(3))         Re(I(VIN))        Im(I(VIN))         Re(I(RB))         Im(I(RB))         Re(I(RC))         Im(I(RC))        Re(IC(Q1))        Im(IC(Q1))        Re(IB(Q1))        Im(IB(Q1))    
50       0.00000000e+00    1.59984315e+00    0.00000000e+00    6.73883324e-01    0.00000000e+00    3.14813708e+00    0.00000000e+00   -9.25959828e-05    0.00000000e+00    9.25959828e-05    0.00000000e+00   -1.85186292e-03    0.00000000e+00    1.85186292e-03    0.00000000e+00    9.25959828e-05    0.00000000e+00
51       1.00000000e+07    4.93976601e-01   -1.24876695e+00   -1.00611618e-01   -7.09274642e-02    6.93459808e-01    9.24069280e-01   -5.94588219e-05    1.17783948e-04    5.94588219e-05   -1.17783948e-04    6.93459808e-04    9.24069280e-04   -6.93459808e-04   -9.24069280e-04    5.94588219e-05   -1.17783948e-04
52       2.00000000e+07   -5.23712969e-01   -4.91789111e-01   -6.08117115e-02   -6.47868801e-02    1.97508007e-01   -1.60835127e-01    4.62901257e-05    4.27002231e-05   -4.62901257e-05   -4.27002231e-05    1.97508007e-04   -1.60835127e-04   -1.97508007e-04    1.60835127e-04   -4.62901257e-05   -4.27002231e-05
53       3.00000000e+07   -6.03592773e-02    2.74589041e-02   -2.40980244e-02   -4.24262576e-02    2.67630770e-02   -4.61141764e-02    3.62612530e-06   -6.98851616e-06   -3.62612530e-06    6.98851616e-06    2.67630770e-05   -4.61141764e-05   -2.67630770e-05    4.61141764e-05   -3.62612530e-06    6.98851616e-06
54       4.00000000e+07   -2.00106552e-02   -3.02946816e-01   -1.36835602e-02   -2.34122333e-02    6.13887487e-02   -3.70679493e-02    6.32709497e-07    2.79534582e-05   -6.32709497e-07   -2.79534582e-05    6.13887487e-05   -3.70679493e-05   -6.13887487e-05    3.70679493e-05   -6.32709497e-07   -2.79534582e-05
55       5.00000000e+07   -2.83695353e-01   -9.24451011e-02   -1.85975307e-02   -7.70122410e-03    1.12698655e-02   -4.91276919e-02    2.65097822e-05    8.47438770e-06   -2.65097822e-05   -8.47438770e-06    1.12698655e-05   -4.91276919e-05   -1.12698655e-05    4.91276919e-05   -2.65097822e-05   -8.47438770e-06
56       6.00000000e+07   -4.25757060e-02    4.88413854e-02   -1.88073837e-02   -2.90522433e-03   -1.00414135e-02   -1.77433373e-02    2.37683223e-06   -5.17466098e-06   -2.37683223e-06    5.17466098e-06   -1.00414135e-05   -1.77433373e-05    1.00414135e-05    1.77433373e-05   -2.37683223e-06    5.17466098e-06
57       7.00000000e+07   -7.41699289e-02   -1.31615471e-01   -1.73110711e-02   -4.47485874e-03   -9.66236819e-04   -1.96713462e-02    5.68588578e-06    1.27140612e-05   -5.68588578e-06   -1.27140612e-05   -9.66236819e-07   -1.96713462e-05    9.66236820e-07    1.96713462e-05   -5.68588578e-06   -1.27140612e-05
58       8.00000000e+07   -1.86781872e-01    2.32338333e-02   -1.43194536e-02   -7.59861854e-04   -1.19175390e-02   -2.08897542e-02    1.72462418e-05   -2.39936952e-06   -1.72462418e-05    2.39936952e-06   -1.19175390e-05   -2.08897542e-05    1.19175390e-05    2.08897542e-05   -1.72462418e-05    2.39936952e-06
59       9.00000000e+07   -1.78304738e-02    5.97142600e-02   -9.87139479e-03    3.05967462e-03   -1.17440620e-02   -5.65296523e-03    7.95907904e-07   -5.66545854e-06   -7.95907904e-07    5.66545854e-06   -1.17440620e-05   -5.65296523e-06    1.17440620e-05    5.65296523e-06   -7.95907904e-07    5.66545854e-06
