Index         TIME             V(N03529)           V(NCLK)           V(NMYVDD)           V(NRF)        V(X_DFF:N285734)  V(X_DFF:X_U8A:PREB) V(X_DFF:X_U8A:CLRB)   V(X_DFF:INVVRF)
11      5.2700000000e-06   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
12      6.2700000000e-06   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
13      7.2700000000e-06   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
14      8.2700000000e-06   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
15      9.2700000000e-06   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
16      1.0000000000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
17      1.0000006250e-05   1.1999699996e+01   7.5000000005e-02   1.2000000000e+01   7.5000000005e-02   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
18      1.0000012500e-05   1.1999699996e+01   1.5000000001e-01   1.2000000000e+01   1.5000000001e-01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
19      1.0000018750e-05   1.1999699996e+01   2.2500000002e-01   1.2000000000e+01   2.2500000002e-01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
20      1.0000031250e-05   1.1999699996e+01   3.7500000001e-01   1.2000000000e+01   3.7500000001e-01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
21      1.0000056250e-05   1.1999699996e+01   6.7500000001e-01   1.2000000000e+01   6.7500000001e-01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
22      1.0000106250e-05   1.1999699996e+01   1.2750000000e+00   1.2000000000e+01   1.2750000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
23      1.0000206250e-05   1.1999699996e+01   2.4750000000e+00   1.2000000000e+01   2.4750000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
24      1.0000406250e-05   1.1999699996e+01   4.8750000000e+00   1.2000000000e+01   4.8750000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
25      1.0000806250e-05   1.1999699996e+01   9.6750000000e+00   1.2000000000e+01   9.6750000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
26      1.0001000000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
