Index       FREQ            Re(V(1))          Im(V(1))         Re(I(VSRC))       Im(I(VSRC))   
12       1.58489319e+01    6.28270673e-04    2.50574530e-02   -4.99053135e-06   -1.99038424e-04
13       1.99526231e+01    9.95376141e-04    3.15338765e-02   -7.90655373e-06   -2.50482485e-04
14       2.51188643e+01    1.57664696e-03    3.96756997e-02   -1.25237520e-05   -3.15155285e-04
15       3.16227766e+01    2.49651483e-03    4.99027278e-02   -1.98305222e-05   -3.96391457e-04
16       3.98107171e+01    3.95094021e-03    6.27322109e-02   -3.13834337e-05   -4.98299663e-04
17       5.01187234e+01    6.24738131e-03    7.87930932e-02   -4.96247137e-05   -6.25875786e-04
18       6.30957344e+01    9.86538350e-03    9.88334848e-02   -7.83635266e-05   -7.85062275e-04
19       7.94328235e+01    1.55458764e-02    1.23710154e-01   -1.23485286e-04   -9.82664680e-04
20       1.00000000e+02    2.44165419e-02    1.54338506e-01   -1.93947487e-04   -1.22595433e-03
21       1.25892541e+02    3.81527491e-02    1.91564915e-01   -3.03058058e-04   -1.52165421e-03
22       1.58489319e+02    5.91481251e-02    2.35901726e-01   -4.69830258e-04   -1.87383402e-03
23       1.99526231e+02    9.06088183e-02    2.87052017e-01   -7.19731427e-04   -2.28013522e-03
24       2.51188643e+02    1.36377758e-01    3.43189256e-01   -1.08328704e-03   -2.72604916e-03
25       3.16227766e+02    2.00176794e-01    4.00132534e-01   -1.59006079e-03   -3.17836570e-03
26       3.98107171e+02    2.84006747e-01    4.50940035e-01   -2.25594578e-03   -3.58194402e-03
27       5.01187234e+02    3.86000434e-01    4.86830668e-01   -3.06611043e-03   -3.86703345e-03
28       6.30957344e+02    4.99090323e-01    4.99999172e-01   -3.96441536e-03   -3.97163460e-03
29       7.94328235e+02    6.12273363e-01    4.87231661e-01   -4.86346020e-03   -3.87021866e-03
30       1.00000000e+03    7.14511088e-01    4.51646978e-01   -5.67556332e-03   -3.58755947e-03
31       1.25892541e+03    7.98655504e-01    4.01004850e-01   -6.34394617e-03   -3.18529475e-03
32       1.58489319e+03    8.62762845e-01    3.44097542e-01   -6.85316888e-03   -2.73326393e-03
33       1.99526231e+03    9.08789741e-01    2.87907880e-01   -7.21877351e-03   -2.28693358e-03
0        1.00000000e+00    3.96659633e-06    1.99162762e-03   -2.50275308e-08   -1.25663208e-05
1        1.25892541e+00    6.28661693e-06    2.50730481e-03   -3.96658712e-08   -1.58200238e-05
2        1.58489319e+00    9.96357974e-06    3.15649813e-03   -6.28659381e-08   -1.99161568e-05
3        1.99526231e+00    1.57911177e-05    3.97377256e-03   -9.96352168e-08   -2.50728098e-05
4        2.51188643e+00    2.50270038e-05    5.00263705e-03   -1.57909718e-07   -3.15645059e-05
5        3.16227766e+00    3.96645473e-05    6.29785471e-03   -2.50266374e-07   -3.97367769e-05
6        3.98107171e+00    6.28626126e-05    7.92834540e-03   -3.96636271e-07   -5.00244776e-05
7        5.01187234e+00    9.96268636e-05    9.98082853e-03   -6.28603013e-07   -6.29747706e-05
8        6.30957344e+00    1.57888738e-04    1.25643865e-02   -9.96210586e-07   -7.92759196e-05
9        7.94328235e+00    2.50213679e-04    1.58161649e-02   -1.57874158e-06   -9.97932540e-05
10       1.00000000e+01    3.96503928e-04    1.99084583e-02   -2.50177066e-06   -1.25613880e-04
11       1.25892541e+01    6.28270673e-04    2.50574530e-02   -3.96411995e-06   -1.58101840e-04
12       1.58489319e+01    9.95376141e-04    3.15338765e-02   -6.28039886e-06   -1.98965310e-04
13       1.99526231e+01    1.57664696e-03    3.96756997e-02   -9.94796981e-06   -2.50336741e-04
14       2.51188643e+01    2.49651483e-03    4.99027278e-02   -1.57519437e-05   -3.14864926e-04
15       3.16227766e+01    3.95094021e-03    6.27322109e-02   -2.49287475e-05   -3.95813492e-04
16       3.98107171e+01    6.24738131e-03    7.87930932e-02   -3.94183112e-05   -4.97150809e-04
17       5.01187234e+01    9.86538350e-03    9.88334848e-02   -6.22463618e-05   -6.23597131e-04
18       6.30957344e+01    1.55458764e-02    1.23710154e-01   -9.80878489e-05   -7.80558301e-04
19       7.94328235e+01    2.44165419e-02    1.54338506e-01   -1.54057965e-04   -9.73810139e-04
20       1.00000000e+02    3.81527491e-02    1.91564915e-01   -2.40727572e-04   -1.20869290e-03
21       1.25892541e+02    5.91481251e-02    2.35901726e-01   -3.73199439e-04   -1.48843927e-03
22       1.58489319e+02    9.06088183e-02    2.87052017e-01   -5.71702994e-04   -1.81117578e-03
23       1.99526231e+02    1.36377758e-01    3.43189256e-01   -8.60485481e-04   -2.16537781e-03
24       2.51188643e+02    2.00176794e-01    4.00132534e-01   -1.26303018e-03   -2.52466561e-03
25       3.16227766e+02    2.84006747e-01    4.50940035e-01   -1.79196143e-03   -2.84523927e-03
26       3.98107171e+02    3.86000434e-01    4.86830668e-01   -2.43549809e-03   -3.07169385e-03
27       5.01187234e+02    4.99090323e-01    4.99999172e-01   -3.14904705e-03   -3.15478150e-03
28       6.30957344e+02    6.12273363e-01    4.87231661e-01   -3.86318375e-03   -3.07422395e-03
29       7.94328235e+02    7.14511088e-01    4.51646978e-01   -4.50826019e-03   -2.84969978e-03
30       1.00000000e+03    7.98655504e-01    4.01004850e-01   -5.03917556e-03   -2.53016955e-03
31       1.25892541e+03    8.62762845e-01    3.44097542e-01   -5.44366554e-03   -2.17110871e-03
32       1.58489319e+03    9.08789741e-01    2.87907880e-01   -5.73407562e-03   -1.81657592e-03
33       1.99526231e+03    9.40445587e-01    2.36659427e-01   -5.93381050e-03   -1.49322004e-03
0        1.00000000e+00    6.28661693e-06    2.50730481e-03   -3.15077215e-08   -1.25662916e-05
1        1.25892541e+00    9.96357974e-06    3.15649813e-03   -4.99361897e-08   -1.58199657e-05
2        1.58489319e+00    1.57911177e-05    3.97377256e-03   -7.91430659e-08   -1.99160407e-05
3        1.99526231e+00    2.50270038e-05    5.00263705e-03   -1.25432148e-07   -2.50725782e-05
4        2.51188643e+00    3.96645473e-05    6.29785471e-03   -1.98793647e-07   -3.15640438e-05
5        3.16227766e+00    6.28626126e-05    7.92834540e-03   -3.15059389e-07   -3.97358550e-05
6        3.98107171e+00    9.96268636e-05    9.98082853e-03   -4.99317122e-07   -5.00226384e-05
7        5.01187234e+00    1.57888738e-04    1.25643865e-02   -7.91318196e-07   -6.29711013e-05
8        6.30957344e+00    2.50213679e-04    1.58161649e-02   -1.25403901e-06   -7.92685993e-05
9        7.94328235e+00    3.96503928e-04    1.99084583e-02   -1.98722707e-06   -9.97786515e-05
10       1.00000000e+01    6.28270673e-04    2.50574530e-02   -3.14881241e-06   -1.25584755e-04
11       1.25892541e+01    9.95376141e-04    3.15338765e-02   -4.98869814e-06   -1.58043763e-04
12       1.58489319e+01    1.57664696e-03    3.96756997e-02   -7.90195330e-06   -1.98849542e-04
13       1.99526231e+01    2.49651483e-03    4.99027278e-02   -1.25122136e-05   -2.50106101e-04
14       2.51188643e+01    3.95094021e-03    6.27322109e-02   -1.98016080e-05   -3.14405832e-04
15       3.16227766e+01    6.24738131e-03    7.87930932e-02   -3.13110776e-05   -3.94900924e-04
16       3.98107171e+01    9.86538350e-03    9.88334848e-02   -4.94440426e-05   -4.95340808e-04
17       5.01187234e+01    1.55458764e-02    1.23710154e-01   -7.79139479e-05   -6.20019497e-04
18       6.30957344e+01    2.44165419e-02    1.54338506e-01   -1.22372591e-04   -7.73524888e-04
19       7.94328235e+01    3.81527491e-02    1.91564915e-01   -1.91216708e-04   -9.60098900e-04
20       1.00000000e+02    5.91481251e-02    2.35901726e-01   -2.96442852e-04   -1.18230934e-03
21       1.25892541e+02    9.06088183e-02    2.87052017e-01   -4.54119830e-04   -1.43866806e-03
22       1.58489319e+02    1.36377758e-01    3.43189256e-01   -6.83507913e-04   -1.72002074e-03
23       1.99526231e+02    2.00176794e-01    4.00132534e-01   -1.00326053e-03   -2.00541318e-03
24       2.51188643e+02    2.84006747e-01    4.50940035e-01   -1.42340556e-03   -2.26005388e-03
25       3.16227766e+02    3.86000434e-01    4.86830668e-01   -1.93458489e-03   -2.43993316e-03
26       3.98107171e+02    4.99090323e-01    4.99999172e-01   -2.50137698e-03   -2.50593202e-03
27       5.01187234e+02    6.12273363e-01    4.87231661e-01   -3.06863593e-03   -2.44194289e-03
28       6.30957344e+02    7.14511088e-01    4.51646978e-01   -3.58103836e-03   -2.26359700e-03
29       7.94328235e+02    7.98655504e-01    4.01004850e-01   -4.00275943e-03   -2.00978511e-03
30       1.00000000e+03    8.62762845e-01    3.44097542e-01   -4.32405724e-03   -1.72457295e-03
31       1.25892541e+03    9.08789741e-01    2.87907880e-01   -4.55473816e-03   -1.44295754e-03
32       1.58489319e+03    9.40445587e-01    2.36659427e-01   -4.71339322e-03   -1.18610684e-03
33       1.99526231e+03    9.61579291e-01    1.92209672e-01   -4.81931265e-03   -9.63330338e-04
0        1.00000000e+00    9.96357974e-06    3.15649813e-03   -3.96657254e-08   -1.25662454e-05
1        1.25892541e+00    1.57911177e-05    3.97377256e-03   -6.28655718e-08   -1.58198735e-05
2        1.58489319e+00    2.50270038e-05    5.00263705e-03   -9.96342965e-08   -1.99158568e-05
3        1.99526231e+00    3.96645473e-05    6.29785471e-03   -1.57907407e-07   -2.50722112e-05
4        2.51188643e+00    6.28626126e-05    7.92834540e-03   -2.50260568e-07   -3.15633116e-05
5        3.16227766e+00    9.96268636e-05    9.98082853e-03   -3.96621688e-07   -3.97343941e-05
6        3.98107171e+00    1.57888738e-04    1.25643865e-02   -6.28566386e-07   -5.00197237e-05
7        5.01187234e+00    2.50213679e-04    1.58161649e-02   -9.96118597e-07   -6.29652865e-05
8        6.30957344e+00    3.96503928e-04    1.99084583e-02   -1.57851057e-06   -7.92570001e-05
9        7.94328235e+00    6.28270673e-04    2.50574530e-02   -2.50119060e-06   -9.97555170e-05
10       1.00000000e+01    9.95376141e-04    3.15338765e-02   -3.96266379e-06   -1.25538623e-04
11       1.25892541e+01    1.57664696e-03    3.96756997e-02   -6.27674461e-06   -1.57951806e-04
12       1.58489319e+01    2.49651483e-03    4.99027278e-02   -9.93880454e-06   -1.98666338e-04
13       1.99526231e+01    3.95094021e-03    6.27322109e-02   -1.57289763e-05   -2.49741430e-04
14       2.51188643e+01    6.24738131e-03    7.87930932e-02   -2.48712730e-05   -3.13680954e-04
15       3.16227766e+01    9.86538350e-03    9.88334848e-02   -3.92747991e-05   -3.93463190e-04
16       3.98107171e+01    1.55458764e-02    1.23710154e-01   -6.18892487e-05   -4.92498993e-04
17       5.01187234e+01    2.44165419e-02    1.54338506e-01   -9.72040043e-05   -6.14432659e-04
18       6.30957344e+01    3.81527491e-02    1.91564915e-01   -1.51888830e-04   -7.62633664e-04
19       7.94328235e+01    5.91481251e-02    2.35901726e-01   -2.35472927e-04   -9.39141687e-04
20       1.00000000e+02    9.06088183e-02    2.87052017e-01   -3.60720203e-04   -1.14277466e-03
21       1.25892541e+02    1.36377758e-01    3.43189256e-01   -5.42929634e-04   -1.36626104e-03
22       1.58489319e+02    2.00176794e-01    4.00132534e-01   -7.96918170e-04   -1.59295631e-03
23       1.99526231e+02    2.84006747e-01    4.50940035e-01   -1.13065123e-03   -1.79522461e-03
24       2.51188643e+02    3.86000434e-01    4.86830668e-01   -1.53669540e-03   -1.93810780e-03
25       3.16227766e+02    4.99090323e-01    4.99999172e-01   -1.98691436e-03   -1.99053256e-03
26       3.98107171e+02    6.12273363e-01    4.87231661e-01   -2.43750416e-03   -1.93970418e-03
27       5.01187234e+02    7.14511088e-01    4.51646978e-01   -2.84451988e-03   -1.79803901e-03
28       6.30957344e+02    7.98655504e-01    4.01004850e-01   -3.17950483e-03   -1.59642906e-03
29       7.94328235e+02    8.62762845e-01    3.44097542e-01   -3.43472075e-03   -1.36987699e-03
30       1.00000000e+03    9.08789741e-01    2.87907880e-01   -3.61795713e-03   -1.14618192e-03
31       1.25892541e+03    9.40445587e-01    2.36659427e-01   -3.74398132e-03   -9.42158150e-04
32       1.58489319e+03    9.61579291e-01    1.92209672e-01   -3.82811611e-03   -7.65200487e-04
33       1.99526231e+03    9.75409506e-01    1.54873502e-01   -3.88317519e-03   -6.16562518e-04
0        1.00000000e+00    1.57911177e-05    3.97377256e-03   -4.99358987e-08   -1.25661722e-05
1        1.25892541e+00    2.50270038e-05    5.00263705e-03   -7.91423349e-08   -1.58197274e-05
2        1.58489319e+00    3.96645473e-05    6.29785471e-03   -1.25430312e-07   -1.99155653e-05
3        1.99526231e+00    6.28626126e-05    7.92834540e-03   -1.98789035e-07   -2.50716296e-05
4        2.51188643e+00    9.96268636e-05    9.98082853e-03   -3.15047805e-07   -3.15621511e-05
5        3.16227766e+00    1.57888738e-04    1.25643865e-02   -4.99288028e-07   -3.97320788e-05
6        3.98107171e+00    2.50213679e-04    1.58161649e-02   -7.91245126e-07   -5.00151049e-05
7        5.01187234e+00    3.96503928e-04    1.99084583e-02   -1.25385551e-06   -6.29560730e-05
8        6.30957344e+00    6.28270673e-04    2.50574530e-02   -1.98676631e-06   -7.92386237e-05
9        7.94328235e+00    9.95376141e-04    3.15338765e-02   -3.14765573e-06   -9.97188732e-05
10       1.00000000e+01    1.57664696e-03    3.96756997e-02   -4.98579547e-06   -1.25465579e-04
11       1.25892541e+01    2.49651483e-03    4.99027278e-02   -7.89467307e-06   -1.57806281e-04
12       1.58489319e+01    3.95094021e-03    6.27322109e-02   -1.24939700e-05   -1.98376669e-04
13       1.99526231e+01    6.24738131e-03    7.87930932e-02   -1.97559544e-05   -2.49165638e-04
14       2.51188643e+01    9.86538350e-03    9.88334848e-02   -3.11970819e-05   -3.12538921e-04
15       3.16227766e+01    1.55458764e-02    1.23710154e-01   -4.91603777e-05   -3.91205855e-04
16       3.98107171e+01    2.44165419e-02    1.54338506e-01   -7.72118851e-05   -4.88061210e-04
17       5.01187234e+01    3.81527491e-02    1.91564915e-01   -1.20649586e-04   -6.05781452e-04
18       6.30957344e+01    5.91481251e-02    2.35901726e-01   -1.87042795e-04   -7.45986759e-04
19       7.94328235e+01    9.06088183e-02    2.87052017e-01   -2.86530242e-04   -9.07738180e-04
20       1.00000000e+02    1.36377758e-01    3.43189256e-01   -4.31264338e-04   -1.08525972e-03
21       1.25892541e+02    2.00176794e-01    4.00132534e-01   -6.33014603e-04   -1.26533017e-03
22       1.58489319e+02    2.84006747e-01    4.50940035e-01   -8.98108192e-04   -1.42599760e-03
23       1.99526231e+02    3.86000434e-01    4.86830668e-01   -1.22064055e-03   -1.53949374e-03
24       2.51188643e+02    4.99090323e-01    4.99999172e-01   -1.57826218e-03   -1.58113621e-03
25       3.16227766e+02    6.12273363e-01    4.87231661e-01   -1.93617838e-03   -1.54076180e-03
26       3.98107171e+02    7.14511088e-01    4.51646978e-01   -2.25948245e-03   -1.42823315e-03
27       5.01187234e+02    7.98655504e-01    4.01004850e-01   -2.52557046e-03   -1.26808868e-03
28       6.30957344e+02    8.62762845e-01    3.44097542e-01   -2.72829567e-03   -1.08813197e-03
29       7.94328235e+02    9.08789741e-01    2.87907880e-01   -2.87384550e-03   -9.10444658e-04
30       1.00000000e+03    9.40445587e-01    2.36659427e-01   -2.97395007e-03   -7.48382820e-04
31       1.25892541e+03    9.61579291e-01    1.92209672e-01   -3.04078071e-03   -6.07820352e-04
32       1.58489319e+03    9.75409506e-01    1.54873502e-01   -3.08451569e-03   -4.89753017e-04
33       1.99526231e+03    9.84342355e-01    1.24147023e-01   -3.11276384e-03   -3.92587356e-04
0        1.00000000e+00    2.50270038e-05    5.00263705e-03   -6.28649912e-08   -1.25660561e-05
1        1.25892541e+00    3.96645473e-05    6.29785471e-03   -9.96328381e-08   -1.58194958e-05
2        1.58489319e+00    6.28626126e-05    7.92834540e-03   -1.57903744e-07   -1.99151032e-05
3        1.99526231e+00    9.96268636e-05    9.98082853e-03   -2.50251367e-07   -2.50707078e-05
4        2.51188643e+00    1.57888738e-04    1.25643865e-02   -3.96598578e-07   -3.15603120e-05
5        3.16227766e+00    2.50213679e-04    1.58161649e-02   -6.28508344e-07   -3.97284100e-05
6        3.98107171e+00    3.96503928e-04    1.99084583e-02   -9.95972838e-07   -5.00077863e-05
7        5.01187234e+00    6.28270673e-04    2.50574530e-02   -1.57814458e-06   -6.29414761e-05
8        6.30957344e+00    9.95376141e-04    3.15338765e-02   -2.50027182e-06   -7.92095165e-05
9        7.94328235e+00    1.57664696e-03    3.96756997e-02   -3.96035811e-06   -9.96608518e-05
10       1.00000000e+01    2.49651483e-03    4.99027278e-02   -6.27096172e-06   -1.25349985e-04
11       1.25892541e+01    3.95094021e-03    6.27322109e-02   -9.92431311e-06   -1.57576189e-04
12       1.58489319e+01    6.24738131e-03    7.87930932e-02   -1.56927124e-05   -1.97919302e-04
13       1.99526231e+01    9.86538350e-03    9.88334848e-02   -2.47807230e-05   -2.48258489e-04
14       2.51188643e+01    1.55458764e-02    1.23710154e-01   -3.90494760e-05   -3.10745857e-04
15       3.16227766e+01    2.44165419e-02    1.54338506e-01   -6.13315804e-05   -3.87680799e-04
16       3.98107171e+01    3.81527491e-02    1.91564915e-01   -9.58353727e-05   -4.81189312e-04
17       5.01187234e+01    5.91481251e-02    2.35901726e-01   -1.48573373e-04   -5.92558345e-04
18       6.30957344e+01    9.06088183e-02    2.87052017e-01   -2.27599061e-04   -7.21042066e-04
19       7.94328235e+01    1.36377758e-01    3.43189256e-01   -3.42565440e-04   -8.62052435e-04
20       1.00000000e+02    2.00176794e-01    4.00132534e-01   -5.02821372e-04   -1.00508748e-03
21       1.25892541e+02    2.84006747e-01    4.50940035e-01   -7.13392695e-04   -1.13271015e-03
22       1.58489319e+02    3.86000434e-01    4.86830668e-01   -9.69589252e-04   -1.22286335e-03
23       1.99526231e+02    4.99090323e-01    4.99999172e-01   -1.25365821e-03   -1.25594114e-03
24       2.51188643e+02    6.12273363e-01    4.87231661e-01   -1.53796115e-03   -1.22387060e-03
25       3.16227766e+02    7.14511088e-01    4.51646978e-01   -1.79477071e-03   -1.13448592e-03
26       3.98107171e+02    7.98655504e-01    4.01004850e-01   -2.00613193e-03   -1.00727864e-03
27       5.01187234e+02    8.62762845e-01    3.44097542e-01   -2.16716228e-03   -8.64333946e-04
28       6.30957344e+02    9.08789741e-01    2.87907880e-01   -2.28277662e-03   -7.23191898e-04
29       7.94328235e+02    9.40445587e-01    2.36659427e-01   -2.36229251e-03   -5.94461604e-04
30       1.00000000e+03    9.61579291e-01    1.92209672e-01   -2.41537797e-03   -4.82808867e-04
31       1.25892541e+03    9.75409506e-01    1.54873502e-01   -2.45011790e-03   -3.89024649e-04
32       1.58489319e+03    9.84342355e-01    1.24147023e-01   -2.47255621e-03   -3.11843222e-04
33       1.99526231e+03    9.90063276e-01    9.91866193e-02   -2.48692651e-03   -2.49145523e-04
0        1.00000000e+00    3.96645473e-05    6.29785471e-03   -7.91411764e-08   -1.25658722e-05
1        1.25892541e+00    6.28626126e-05    7.92834540e-03   -1.25427402e-07   -1.58191288e-05
2        1.58489319e+00    9.96268636e-05    9.98082853e-03   -1.98781727e-07   -1.99143710e-05
3        1.99526231e+00    1.57888738e-04    1.25643865e-02   -3.15029448e-07   -2.50692469e-05
4        2.51188643e+00    2.50213679e-04    1.58161649e-02   -4.99241924e-07   -3.15573978e-05
5        3.16227766e+00    3.96503928e-04    1.99084583e-02   -7.91129346e-07   -3.97225967e-05
6        3.98107171e+00    6.28270673e-04    2.50574530e-02   -1.25356480e-06   -4.99961916e-05
7        5.01187234e+00    9.95376141e-04    3.15338765e-02   -1.98603650e-06   -6.29183554e-05
8        6.30957344e+00    1.57664696e-03    3.96756997e-02   -3.14582427e-06   -7.91634285e-05
9        7.94328235e+00    2.49651483e-03    4.99027278e-02   -4.98120195e-06   -9.95690322e-05
10       1.00000000e+01    3.95094021e-03    6.27322109e-02   -7.88316212e-06   -1.25167216e-04
11       1.25892541e+01    6.24738131e-03    7.87930932e-02   -1.24651645e-05   -1.57212890e-04
12       1.58489319e+01    9.86538350e-03    9.88334848e-02   -1.96840279e-05   -1.97198728e-04
13       1.99526231e+01    1.55458764e-02    1.23710154e-01   -3.10181013e-05   -2.46834208e-04
14       2.51188643e+01    2.44165419e-02    1.54338506e-01   -4.87174060e-05   -3.07945805e-04
15       3.16227766e+01    3.81527491e-02    1.91564915e-01   -7.61247424e-05   -3.82222257e-04
16       3.98107171e+01    5.91481251e-02    2.35901726e-01   -1.18016025e-04   -4.70685824e-04
17       5.01187234e+01    9.06088183e-02    2.87052017e-01   -1.80788361e-04   -5.72744072e-04
18       6.30957344e+01    1.36377758e-01    3.43189256e-01   -2.72109401e-04   -6.84752589e-04
19       7.94328235e+01    2.00176794e-01    4.00132534e-01   -3.99405213e-04   -7.98369367e-04
20       1.00000000e+02    2.84006747e-01    4.50940035e-01   -5.66667960e-04   -8.99743657e-04
21       1.25892541e+02    3.86000434e-01    4.86830668e-01   -7.70172119e-04   -9.71354885e-04
22       1.58489319e+02    4.99090323e-01    4.99999172e-01   -9.95816114e-04   -9.97629506e-04
23       1.99526231e+02    6.12273363e-01    4.87231661e-01   -1.22164597e-03   -9.72154973e-04
24       2.51188643e+02    7.14511088e-01    4.51646978e-01   -1.42563705e-03   -9.01154195e-04
25       3.16227766e+02    7.98655504e-01    4.01004850e-01   -1.59352723e-03   -8.00109865e-04
26       3.98107171e+02    8.62762845e-01    3.44097542e-01   -1.72143819e-03   -6.86564858e-04
27       5.01187234e+02    9.08789741e-01    2.87907880e-01   -1.81327392e-03   -5.74451743e-04
28       6.30957344e+02    9.40445587e-01    2.36659427e-01   -1.87643564e-03   -4.72197637e-04
29       7.94328235e+02    9.61579291e-01    1.92209672e-01   -1.91860292e-03   -3.83508715e-04
30       1.00000000e+03    9.75409506e-01    1.54873502e-01   -1.94619783e-03   -3.09013263e-04
31       1.25892541e+03    9.84342355e-01    1.24147023e-01   -1.96402121e-03   -2.47705876e-04
32       1.58489319e+03    9.90063276e-01    9.91866193e-02   -1.97543594e-03   -1.97903324e-04
33       1.99526231e+03    9.93707275e-01    7.90767124e-02   -1.98270668e-03   -1.57778784e-04
0        1.00000000e+00    6.28626126e-05    7.92834540e-03   -9.96305267e-08   -1.25655807e-05
1        1.25892541e+00    9.96268636e-05    9.98082853e-03   -1.57897938e-07   -1.58185472e-05
2        1.58489319e+00    1.57888738e-04    1.25643865e-02   -2.50236785e-07   -1.99132107e-05
3        1.99526231e+00    2.50213679e-04    1.58161649e-02   -3.96561956e-07   -2.50669321e-05
4        2.51188643e+00    3.96503928e-04    1.99084583e-02   -6.28416377e-07   -3.15527801e-05
5        3.16227766e+00    6.28270673e-04    2.50574530e-02   -9.95741913e-07   -3.97133866e-05
6        3.98107171e+00    9.95376141e-04    3.15338765e-02   -1.57756487e-06   -4.99778262e-05
7        5.01187234e+00    1.57664696e-03    3.96756997e-02   -2.49881704e-06   -6.28817464e-05
8        6.30957344e+00    2.49651483e-03    4.99027278e-02   -3.95670935e-06   -7.90904936e-05
9        7.94328235e+00    3.95094021e-03    6.27322109e-02   -6.26181825e-06   -9.94238540e-05
10       1.00000000e+01    6.24738131e-03    7.87930932e-02   -9.90143211e-06   -1.24878637e-04
