Index        TIME            I(VMON)           V(3)        {V(3)/I(VMON)}
69      5.00760152e-05   2.01971721e-06   4.35046059e-01   2.15399491e+05   
70      5.00761586e-05   1.50493262e-06   4.27476102e-01   2.84049994e+05   
71      5.00763019e-05   1.11460678e-06   4.19657227e-01   3.76506975e+05   
72      5.00764452e-05   8.15734533e-07   4.11655445e-01   5.04643886e+05   
73      5.00765885e-05   5.97235228e-07   4.03492916e-01   6.75601334e+05   
74      5.00767319e-05   4.31554141e-07   3.95224752e-01   9.15817309e+05   
75      5.00768752e-05   3.14560494e-07   3.86859213e-01   1.22984043e+06   
76      5.00770185e-05   2.24890837e-07   3.78439025e-01   1.68276765e+06   
77      5.00773052e-05   1.18607211e-07   3.61452539e-01   3.04747525e+06   
78      5.00775918e-05   5.92866964e-08   3.44372127e-01   5.80859025e+06   
79      5.00781651e-05   1.73936130e-08   3.10057806e-01   1.78259575e+07   
80      5.00787384e-05   2.94460302e-09   2.75688598e-01   9.36250474e+07   
81      5.00793117e-05   2.43966882e-09   2.41291501e-01   9.89033835e+07   
82      5.00804583e-05   -1.23446791e-09  1.72502636e-01   -1.39738453e+08  
83      5.00816049e-05   1.31886035e-09   1.03701316e-01   7.86294889e+07   
84      5.00827515e-05   -1.31302441e-09  3.49103659e-02   -2.65877510e+07  
85      5.00838981e-05   1.31323805e-09   -3.38911000e-02  -2.58072785e+07  
86      5.00850447e-05   -1.31354550e-09  -1.02682060e-01  7.81716811e+07   
87      5.00861913e-05   1.31307394e-09   -1.71483527e-01  -1.30597007e+08  
88      5.00873380e-05   -1.31368507e-09  -2.40274486e-01  1.82901132e+08   
89      5.00884846e-05   1.31293597e-09   -3.09075953e-01  -2.35408246e+08  
90      5.00896312e-05   -1.31382279e-09  -3.77866913e-01  2.87608737e+08   
91      5.00919244e-05   1.31272952e-09   -5.15464593e-01  -3.92666262e+08  
92      5.00942176e-05   -1.31409801e-09  -6.53051766e-01  4.96958189e+08   
93      5.00988040e-05   1.31231673e-09   -9.28241873e-01  -7.07330673e+08  
94      5.01000000e-05   -1.31444496e-09  -9.99997371e-01  7.60775386e+08   
95      5.01004586e-05   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
96      5.01013759e-05   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
97      5.01032105e-05   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
98      5.01068796e-05   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
99      5.01142179e-05   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
100     5.01288944e-05   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
101     5.01582475e-05   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
102     5.02169536e-05   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
103     5.03343658e-05   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
104     5.05691902e-05   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
105     5.10388390e-05   -1.09999767e-12  -9.99999998e-01  9.09092830e+11   
106     5.19781366e-05   -1.09999767e-12  -9.99999998e-01  9.09092832e+11   
107     5.38567319e-05   -1.09999767e-12  -9.99999998e-01  9.09092830e+11   
108     5.76139224e-05   -1.09999767e-12  -9.99999998e-01  9.09092832e+11   
109     6.51283035e-05   -1.09999767e-12  -9.99999998e-01  9.09092830e+11   
110     8.01570656e-05   -1.09999767e-12  -9.99999998e-01  9.09092832e+11   
111     1.00157066e-04   -1.09999767e-12  -9.99999998e-01  9.09092830e+11   
112     1.20157066e-04   -1.09999767e-12  -9.99999998e-01  9.09092832e+11   
113     1.40157066e-04   -1.09999767e-12  -9.99999998e-01  9.09092830e+11   
114     1.50100000e-04   -1.09999767e-12  -9.99999998e-01  9.09092832e+11   
115     1.50100039e-04   -1.09765391e-12  -9.97656248e-01  9.08898736e+11   
116     1.50100117e-04   -1.09296637e-12  -9.92968748e-01  9.08508050e+11   
117     1.50100273e-04   -1.08359130e-12  -9.83593748e-01  9.07716539e+11   
118     1.50100586e-04   -1.06484116e-12  -9.64843748e-01  9.06091712e+11   
119     1.50101211e-04   -1.02734085e-12  -9.27343748e-01  9.02664142e+11   
120     1.50102461e-04   -9.52339972e-13  -8.52343748e-01  8.94999447e+11   
121     1.50104961e-04   -8.02337055e-13  -7.02343748e-01  8.75372443e+11   
122     1.50109961e-04   -5.02308019e-13  -4.02343749e-01  8.00990097e+11   
123     1.50119961e-04   2.08502266e-10   1.97655833e-01   9.47979302e+08   
124     1.50121211e-04   3.78580175e-09   2.72648678e-01   7.20187418e+07   
125     1.50121836e-04   1.61214750e-08   3.10124007e-01   1.92367018e+07   
126     1.50122461e-04   6.84412136e-08   3.47519368e-01   5.07763304e+06   
127     1.50123086e-04   2.86834737e-07   3.84582581e-01   1.34078105e+06   
128     1.50123153e-04   3.33929425e-07   3.88512949e-01   1.16345827e+06   
129     1.50123220e-04   3.88508736e-07   3.92428348e-01   1.01008886e+06   
130     1.50123354e-04   5.24781536e-07   4.00204918e-01   7.62612422e+05   
131     1.50123488e-04   7.06375073e-07   4.07890847e-01   5.77442300e+05   
132     1.50123623e-04   9.46512048e-07   4.15459689e-01   4.38937560e+05   
133     1.50123757e-04   1.26101149e-06   4.22879806e-01   3.35349684e+05   
134     1.50123891e-04   1.66803389e-06   4.30114876e-01   2.57857397e+05   
135     1.50124025e-04   2.18735383e-06   4.37125352e-01   1.99842086e+05   
136     1.50124159e-04   2.83912899e-06   4.43870918e-01   1.56340525e+05   
137     1.50124293e-04   3.64224247e-06   4.50313806e-01   1.23636416e+05   
138     1.50124427e-04   4.61252719e-06   4.56422353e-01   9.89527722e+04   
139     1.50124562e-04   5.76125210e-06   4.62174019e-01   8.02211066e+04   
140     1.50124696e-04   7.09425470e-06   4.67557129e-01   6.59064481e+04   
141     1.50124830e-04   8.61186644e-06   4.72571021e-01   5.48744020e+04   
142     1.50124964e-04   1.03095635e-05   4.77224743e-01   4.62895199e+04   
143     1.50125098e-04   1.21790604e-05   4.81534865e-01   3.95379321e+04   
144     1.50125232e-04   1.42095562e-05   4.85522989e-01   3.41687652e+04   
145     1.50125367e-04   1.63888769e-05   4.89213463e-01   2.98503349e+04   
146     1.50125501e-04   1.87043994e-05   4.92631534e-01   2.63377360e+04   
147     1.50125635e-04   2.11437081e-05   4.95802032e-01   2.34491524e+04   
148     1.50125769e-04   2.36950203e-05   4.98748523e-01   2.10486641e+04   
149     1.50125903e-04   2.63474209e-05   5.01492838e-01   1.90338492e+04   
150     1.50126037e-04   2.90909674e-05   5.04054861e-01   1.73268511e+04   
151     1.50126171e-04   3.19167030e-05   5.06452505e-01   1.58679455e+04   
152     1.50126306e-04   3.48166208e-05   5.08701785e-01   1.46108891e+04   
153     1.50126440e-04   3.77835941e-05   5.10816954e-01   1.35195438e+04   
154     1.50126574e-04   4.08112980e-05   5.12810662e-01   1.25654093e+04   
155     1.50126708e-04   4.38941236e-05   5.14694127e-01   1.17258094e+04   
156     1.50126842e-04   4.70270989e-05   5.16477292e-01   1.09825463e+04   
157     1.50126976e-04   5.02058116e-05   5.18168982e-01   1.03208964e+04   
158     1.50127110e-04   5.34263421e-05   5.19777037e-01   9.72885317e+03   
159     1.50127245e-04   5.66852012e-05   5.21308434e-01   9.19655259e+03   
160     1.50127513e-04   6.33057777e-05   5.24165513e-01   8.27990007e+03   
161     1.50127781e-04   7.00462874e-05   5.26782725e-01   7.52049458e+03   
162     1.50128050e-04   7.68901002e-05   5.29193331e-01   6.88246380e+03   
163     1.50128318e-04   8.38226419e-05   5.31426479e-01   6.33989178e+03   
164     1.50128586e-04   9.08332187e-05   5.33503557e-01   5.87344106e+03   
165     1.50128854e-04   9.79117282e-05   5.35444769e-01   5.46864792e+03   
166     1.50129123e-04   1.05050864e-04   5.37264729e-01   5.11432948e+03   
167     1.50129391e-04   1.12243408e-04   5.38977872e-01   4.80186658e+03   
168     1.50129659e-04   1.19484216e-04   5.40594487e-01   4.52440084e+03   
169     1.50130196e-04   1.34090813e-04   5.43577757e-01   4.05380313e+03   
170     1.50130733e-04   1.48839475e-04   5.46276895e-01   3.67024202e+03   
171     1.50131269e-04   1.63706708e-04   5.48738891e-01   3.35196338e+03   
172     1.50131806e-04   1.78673405e-04   5.51001962e-01   3.08384990e+03   
173     1.50132342e-04   1.93725825e-04   5.53093584e-01   2.85503280e+03   
174     1.50132879e-04   2.08851654e-04   5.55038389e-01   2.65757239e+03   
175     1.50133416e-04   2.24042085e-04   5.56853990e-01   2.48548834e+03   
176     1.50134489e-04   2.54585626e-04   5.60159833e-01   2.20028068e+03   
177     1.50135562e-04   2.85308496e-04   5.63107019e-01   1.97367771e+03   
178     1.50136635e-04   3.16176860e-04   5.65763215e-01   1.78938843e+03   
179     1.50137708e-04   3.47163889e-04   5.68182084e-01   1.63663936e+03   
180     1.50138782e-04   3.78251593e-04   5.70399601e-01   1.50798995e+03   
181     1.50139855e-04   4.09423668e-04   5.72448377e-01   1.39818096e+03   
182     1.50142001e-04   4.71978112e-04   5.76125340e-01   1.22066114e+03   
183     1.50144148e-04   5.34755444e-04   5.79356527e-01   1.08340464e+03   
184     1.50146294e-04   5.97710050e-04   5.82233168e-01   9.74106372e+02   
185     1.50148441e-04   6.60804405e-04   5.84830308e-01   8.85027860e+02   
186     1.50152734e-04   7.87325458e-04   5.89359906e-01   7.48559442e+02   
187     1.50157026e-04   9.14177922e-04   5.93226679e-01   6.48918187e+02   
188     1.50161319e-04   1.04128236e-03   5.96589502e-01   5.72937297e+02   
189     1.50165612e-04   1.16857499e-03   5.99575953e-01   5.13082993e+02   
190     1.50174198e-04   1.42359539e-03   6.04678550e-01   4.24754501e+02   
191     1.50191369e-04   1.93476749e-03   6.12621160e-01   3.16638129e+02   
192     1.50200000e-04   2.19207825e-03   6.15843496e-01   2.80940471e+02   
193     1.50201717e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
194     1.50205151e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
195     1.50212020e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
196     1.50225757e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
197     1.50253231e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
198     1.50308180e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
199     1.50418077e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
200     1.50637872e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
201     1.51077461e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
202     1.51956639e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
203     1.53714995e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
204     1.57231707e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
205     1.64265132e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
206     1.78331981e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
207     1.98331981e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
208     2.18331981e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
209     2.38331981e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
210     2.50000000e-04   2.19207780e-03   6.15844403e-01   2.80940943e+02   
211     2.50000156e-04   2.18741779e-03   6.15789420e-01   2.81514315e+02   
212     2.50000313e-04   2.18275790e-03   6.15734204e-01   2.82090013e+02   
213     2.50000625e-04   2.17343823e-03   6.15623536e-01   2.83248692e+02   
214     2.50001250e-04   2.15479961e-03   6.15400777e-01   2.85595363e+02   
215     2.50002500e-04   2.11752527e-03   6.14949456e-01   2.90409501e+02   
216     2.50005000e-04   2.04298868e-03   6.14022634e-01   3.00551168e+02   
217     2.50010000e-04   1.89396813e-03   6.12063747e-01   3.23164756e+02   
218     2.50020000e-04   1.59617953e-03   6.07640949e-01   3.80684590e+02   
219     2.50030000e-04   1.29884297e-03   6.02314066e-01   4.63731245e+02   
220     2.50040000e-04   1.00219485e-03   5.95610304e-01   5.94305893e+02   
221     2.50050000e-04   7.06696929e-04   5.86606142e-01   8.30067484e+02   
222     2.50051270e-04   6.69324323e-04   5.85162533e-01   8.74258582e+02   
223     2.50052540e-04   6.31974177e-04   5.83674004e-01   9.23572552e+02   
224     2.50055079e-04   5.57406959e-04   5.80430797e-01   1.04130526e+03   
225     2.50057619e-04   4.83070747e-04   5.76725579e-01   1.19387395e+03   
226     2.50060159e-04   4.09031362e-04   5.72426705e-01   1.39946898e+03   
227     2.50062698e-04   3.35409747e-04   5.67292293e-01   1.69134110e+03   
228     2.50065238e-04   2.62391508e-04   5.60951129e-01   2.13784026e+03   
229     2.50065632e-04   2.51127618e-04   5.59806416e-01   2.22917105e+03   
230     2.50066027e-04   2.39884217e-04   5.58620728e-01   2.32870980e+03   
231     2.50066816e-04   2.17479181e-04   5.56085816e-01   2.55696115e+03   
232     2.50067605e-04   1.95204469e-04   5.53290257e-01   2.83441389e+03   
233     2.50068394e-04   1.73086670e-04   5.50180871e-01   3.17864380e+03   
234     2.50069183e-04   1.51165694e-04   5.46677839e-01   3.61641471e+03   
235     2.50069972e-04   1.29493686e-04   5.42676871e-01   4.19075930e+03   
236     2.50070761e-04   1.08150454e-04   5.38018353e-01   4.97472119e+03   
237     2.50071472e-04   8.93185285e-05   5.33071718e-01   5.96820981e+03   
238     2.50072111e-04   7.27904984e-05   5.27778341e-01   7.25064881e+03   
239     2.50072671e-04   5.87489658e-05   5.22237375e-01   8.88930329e+03   
240     2.50073144e-04   4.73467541e-05   5.16654176e-01   1.09121351e+04   
241     2.50073538e-04   3.82843658e-05   5.11160979e-01   1.33516899e+04   
242     2.50073871e-04   3.10129871e-05   5.05710043e-01   1.63063958e+04   
243     2.50074156e-04   2.51740582e-05   5.00317775e-01   1.98743393e+04   
244     2.50074404e-04   2.04252765e-05   4.94907199e-01   2.42301347e+04   
245     2.50074622e-04   1.65727156e-05   4.89505285e-01   2.95368181e+04   
246     2.50074819e-04   1.34128955e-05   4.84028592e-01   3.60868085e+04   
247     2.50074996e-04   1.08471754e-05   4.78543333e-01   4.41168614e+04   
248     2.50075155e-04   8.79121976e-06   4.73100214e-01   5.38150822e+04   
249     2.50075299e-04   7.15331158e-06   4.67776504e-01   6.53930000e+04   
250     2.50075442e-04   5.72945076e-06   4.62024699e-01   8.06403123e+04   
251     2.50075585e-04   4.51199293e-06   4.55860088e-01   1.01032979e+05   
252     2.50075729e-04   3.50117302e-06   4.49282201e-01   1.28323336e+05   
253     2.50075872e-04   2.67427089e-06   4.42336479e-01   1.65404514e+05   
254     2.50076015e-04   2.01971721e-06   4.35046059e-01   2.15399492e+05   
255     2.50076159e-04   1.50493262e-06   4.27476102e-01   2.84049994e+05   
256     2.50076302e-04   1.11460678e-06   4.19657227e-01   3.76506976e+05   
257     2.50076445e-04   8.15734532e-07   4.11655445e-01   5.04643886e+05   
258     2.50076589e-04   5.97235227e-07   4.03492916e-01   6.75601334e+05   
259     2.50076732e-04   4.31554140e-07   3.95224752e-01   9.15817310e+05   
260     2.50076875e-04   3.14560494e-07   3.86859213e-01   1.22984043e+06   
261     2.50077019e-04   2.24890837e-07   3.78439025e-01   1.68276765e+06   
262     2.50077305e-04   1.18607210e-07   3.61452539e-01   3.04747526e+06   
263     2.50077592e-04   5.92866963e-08   3.44372127e-01   5.80859026e+06   
264     2.50078165e-04   1.73936130e-08   3.10057806e-01   1.78259575e+07   
265     2.50078738e-04   2.94460297e-09   2.75688598e-01   9.36250491e+07   
266     2.50079312e-04   2.43966887e-09   2.41291501e-01   9.89033816e+07   
267     2.50080458e-04   -1.23446796e-09  1.72502636e-01   -1.39738447e+08  
268     2.50081605e-04   1.31886040e-09   1.03701315e-01   7.86294860e+07   
269     2.50082752e-04   -1.31302445e-09  3.49103658e-02   -2.65877499e+07  
270     2.50083898e-04   1.31323809e-09   -3.38911001e-02  -2.58072776e+07  
271     2.50085045e-04   -1.31354555e-09  -1.02682060e-01  7.81716783e+07   
272     2.50086191e-04   1.31307399e-09   -1.71483527e-01  -1.30597002e+08  
273     2.50087338e-04   -1.31368512e-09  -2.40274487e-01  1.82901125e+08   
274     2.50088485e-04   1.31293602e-09   -3.09075953e-01  -2.35408237e+08  
275     2.50089631e-04   -1.31382284e-09  -3.77866913e-01  2.87608727e+08   
276     2.50091924e-04   1.31272957e-09   -5.15464593e-01  -3.92666248e+08  
277     2.50094218e-04   -1.31409806e-09  -6.53051766e-01  4.96958171e+08   
278     2.50098804e-04   1.31231677e-09   -9.28241873e-01  -7.07330647e+08  
279     2.50100000e-04   -1.31444501e-09  -9.99997371e-01  7.60775357e+08   
280     2.50100459e-04   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
281     2.50101376e-04   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
282     2.50103210e-04   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
283     2.50106880e-04   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
284     2.50114218e-04   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
285     2.50128894e-04   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
286     2.50158247e-04   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
287     2.50216954e-04   -1.09999767e-12  -9.99999998e-01  9.09092831e+11   
288     2.50334366e-04   -1.09999767e-12  -9.99999998e-01  9.09092832e+11   
289     2.50569190e-04   -1.09999767e-12  -9.99999998e-01  9.09092833e+11   
290     2.51038839e-04   -1.09999767e-12  -9.99999998e-01  9.09092835e+11   
291     2.51978137e-04   -1.09999768e-12  -9.99999998e-01  9.09092827e+11   
292     2.53856732e-04   -1.09999767e-12  -9.99999998e-01  9.09092835e+11   
293     2.57613922e-04   -1.09999768e-12  -9.99999998e-01  9.09092827e+11   
294     2.65128304e-04   -1.09999767e-12  -9.99999998e-01  9.09092835e+11   
295     2.80157066e-04   -1.09999768e-12  -9.99999998e-01  9.09092827e+11   
296     3.00157066e-04   -1.09999767e-12  -9.99999998e-01  9.09092835e+11   
297     3.20157066e-04   -1.09999768e-12  -9.99999998e-01  9.09092827e+11   
298     3.40157066e-04   -1.09999767e-12  -9.99999998e-01  9.09092835e+11   
299     3.50100000e-04   -1.09999768e-12  -9.99999998e-01  9.09092827e+11   
300     3.50100039e-04   -1.09765391e-12  -9.97656248e-01  9.08898736e+11   
301     3.50100117e-04   -1.09296637e-12  -9.92968748e-01  9.08508050e+11   
302     3.50100273e-04   -1.08359130e-12  -9.83593748e-01  9.07716539e+11   
303     3.50100586e-04   -1.06484116e-12  -9.64843748e-01  9.06091712e+11   
304     3.50101211e-04   -1.02734083e-12  -9.27343748e-01  9.02664159e+11   
305     3.50102461e-04   -9.52340105e-13  -8.52343748e-01  8.94999322e+11   
306     3.50104961e-04   -8.02336923e-13  -7.02343748e-01  8.75372588e+11   
307     3.50109961e-04   -5.02308152e-13  -4.02343749e-01  8.00989885e+11   
308     3.50119961e-04   2.08502266e-10   1.97655833e-01   9.47979302e+08   
309     3.50121211e-04   3.78580174e-09   2.72648678e-01   7.20187418e+07   
310     3.50121836e-04   1.61214750e-08   3.10124007e-01   1.92367018e+07   
311     3.50122461e-04   6.84412136e-08   3.47519368e-01   5.07763304e+06   
312     3.50123086e-04   2.86834737e-07   3.84582581e-01   1.34078105e+06   
313     3.50123153e-04   3.33929425e-07   3.88512949e-01   1.16345827e+06   
314     3.50123220e-04   3.88508736e-07   3.92428348e-01   1.01008886e+06   
315     3.50123354e-04   5.24781536e-07   4.00204918e-01   7.62612422e+05   
316     3.50123488e-04   7.06375073e-07   4.07890847e-01   5.77442300e+05   
317     3.50123623e-04   9.46512048e-07   4.15459689e-01   4.38937560e+05   
318     3.50123757e-04   1.26101149e-06   4.22879806e-01   3.35349684e+05   
319     3.50123891e-04   1.66803389e-06   4.30114876e-01   2.57857397e+05   
320     3.50124025e-04   2.18735383e-06   4.37125352e-01   1.99842086e+05   
321     3.50124159e-04   2.83912900e-06   4.43870918e-01   1.56340525e+05   
322     3.50124293e-04   3.64224247e-06   4.50313806e-01   1.23636416e+05   
323     3.50124427e-04   4.61252720e-06   4.56422353e-01   9.89527722e+04   
324     3.50124562e-04   5.76125210e-06   4.62174019e-01   8.02211065e+04   
325     3.50124696e-04   7.09425470e-06   4.67557129e-01   6.59064481e+04   
326     3.50124830e-04   8.61186645e-06   4.72571021e-01   5.48744020e+04   
327     3.50124964e-04   1.03095635e-05   4.77224743e-01   4.62895199e+04   
328     3.50125098e-04   1.21790604e-05   4.81534865e-01   3.95379321e+04   
329     3.50125232e-04   1.42095562e-05   4.85522989e-01   3.41687652e+04   
330     3.50125367e-04   1.63888769e-05   4.89213463e-01   2.98503349e+04   
331     3.50125501e-04   1.87043994e-05   4.92631534e-01   2.63377360e+04   
332     3.50125635e-04   2.11437081e-05   4.95802032e-01   2.34491524e+04   
333     3.50125769e-04   2.36950203e-05   4.98748523e-01   2.10486641e+04   
334     3.50125903e-04   2.63474209e-05   5.01492838e-01   1.90338492e+04   
335     3.50126037e-04   2.90909674e-05   5.04054861e-01   1.73268511e+04   
336     3.50126171e-04   3.19167030e-05   5.06452505e-01   1.58679455e+04   
337     3.50126306e-04   3.48166208e-05   5.08701785e-01   1.46108891e+04   
338     3.50126440e-04   3.77835942e-05   5.10816954e-01   1.35195438e+04   
339     3.50126574e-04   4.08112980e-05   5.12810662e-01   1.25654093e+04   
340     3.50126708e-04   4.38941236e-05   5.14694127e-01   1.17258094e+04   
341     3.50126842e-04   4.70270990e-05   5.16477292e-01   1.09825463e+04   
342     3.50126976e-04   5.02058116e-05   5.18168982e-01   1.03208964e+04   
343     3.50127110e-04   5.34263421e-05   5.19777037e-01   9.72885316e+03   
344     3.50127245e-04   5.66852013e-05   5.21308434e-01   9.19655259e+03   
345     3.50127513e-04   6.33057777e-05   5.24165513e-01   8.27990007e+03   
346     3.50127781e-04   7.00462874e-05   5.26782725e-01   7.52049458e+03   
347     3.50128050e-04   7.68901002e-05   5.29193331e-01   6.88246379e+03   
348     3.50128318e-04   8.38226419e-05   5.31426479e-01   6.33989178e+03   
349     3.50128586e-04   9.08332187e-05   5.33503557e-01   5.87344106e+03   
350     3.50128854e-04   9.79117282e-05   5.35444769e-01   5.46864792e+03   
351     3.50129123e-04   1.05050864e-04   5.37264729e-01   5.11432948e+03   
352     3.50129391e-04   1.12243408e-04   5.38977872e-01   4.80186658e+03   
