Index       TIME              V(1)            V(RC_OUT)         V(RG_OUT)    
95       1.10750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
96       1.12250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
97       1.13750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
98       1.15250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
99       1.16750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
100      1.18250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
101      1.19750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
102      1.21250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
103      1.22750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
104      1.24250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
105      1.25750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
106      1.27250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
107      1.28750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
108      1.30250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
109      1.31750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
110      1.33250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
111      1.34750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
112      1.36250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
113      1.37750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
114      1.39250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
115      1.40750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
116      1.42250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
117      1.43750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
118      1.45250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
119      1.46750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
120      1.48250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
121      1.49750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
122      1.51250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
123      1.52750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
124      1.54250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
125      1.55750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
126      1.57250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
127      1.58750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
128      1.60250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
129      1.61750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
130      1.63250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
131      1.64750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
132      1.66250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
133      1.67750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
134      1.69250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
135      1.70750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
136      1.72250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
137      1.73750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
138      1.75250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
139      1.76750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
140      1.78250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
141      1.79750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
142      1.81250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
143      1.82750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
144      1.84250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
145      1.85750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
146      1.87250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
147      1.88750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
148      1.90250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
149      1.91750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
150      1.93250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
151      1.94750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
152      1.96250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
153      1.97750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
154      1.99250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
155      2.00750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
156      2.02250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
157      2.03750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
158      2.05250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
159      2.06750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
160      2.08250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
161      2.09750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
162      2.11250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
163      2.12750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
164      2.14250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
165      2.15750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
166      2.17250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
167      2.18750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
168      2.20000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
169      2.20049192e-08    9.95080819e-01    9.95080819e-01    9.95080819e-01
170      2.20089273e-08    9.91072671e-01    9.91072671e-01    9.91072671e-01
171      2.20169436e-08    9.83056374e-01    9.83056374e-01    9.83056374e-01
172      2.20329762e-08    9.67023782e-01    9.67023782e-01    9.67023782e-01
173      2.20650414e-08    9.34958597e-01    9.34958597e-01    9.34958597e-01
174      2.21291718e-08    8.70828227e-01    8.70828227e-01    8.70828227e-01
175      2.22574325e-08    7.42567486e-01    7.42567486e-01    7.42567486e-01
176      2.24074325e-08    5.92567486e-01    5.92567486e-01    5.92567486e-01
177      2.25574325e-08    4.42567486e-01    4.42567486e-01    4.42567486e-01
178      2.27074325e-08    2.92567486e-01    2.92567486e-01    2.92567486e-01
179      2.28574325e-08    1.42567486e-01    1.42567486e-01    1.42567486e-01
180      2.30000000e-08   -2.22044605e-15   -6.93200850e-16   -2.22044605e-15
181      2.30150000e-08    0.00000000e+00    1.50521278e-15    0.00000000e+00
182      2.30450000e-08    0.00000000e+00    1.56283740e-15    0.00000000e+00
183      2.31050000e-08    0.00000000e+00    1.56237275e-15    0.00000000e+00
184      2.32250000e-08    0.00000000e+00    1.53589193e-15    0.00000000e+00
185      2.33750000e-08    0.00000000e+00    1.47617175e-15    0.00000000e+00
186      2.35250000e-08    0.00000000e+00    1.41591984e-15    0.00000000e+00
187      2.36750000e-08    0.00000000e+00    1.35566793e-15    0.00000000e+00
188      2.38250000e-08    0.00000000e+00    1.32554198e-15    0.00000000e+00
189      2.39750000e-08    0.00000000e+00    1.29541602e-15    0.00000000e+00
190      2.41250000e-08    0.00000000e+00    1.29541602e-15    0.00000000e+00
191      2.42750000e-08    0.00000000e+00    1.28035305e-15    0.00000000e+00
192      2.44250000e-08    0.00000000e+00    1.28035305e-15    0.00000000e+00
193      2.45750000e-08    0.00000000e+00    1.26529007e-15    0.00000000e+00
194      2.47250000e-08    0.00000000e+00    1.26529007e-15    0.00000000e+00
195      2.48750000e-08    0.00000000e+00    1.25022709e-15    0.00000000e+00
196      2.50250000e-08    0.00000000e+00    1.26529007e-15    0.00000000e+00
197      2.51750000e-08    0.00000000e+00    1.25022709e-15    0.00000000e+00
198      2.53250000e-08    0.00000000e+00    1.26529007e-15    0.00000000e+00
199      2.54750000e-08    0.00000000e+00    1.26529007e-15    0.00000000e+00
200      2.56250000e-08    0.00000000e+00    1.28035305e-15    0.00000000e+00
201      2.57750000e-08    0.00000000e+00    1.28788453e-15    0.00000000e+00
202      2.59250000e-08    0.00000000e+00    1.29541602e-15    0.00000000e+00
203      2.60750000e-08    0.00000000e+00    1.30294751e-15    0.00000000e+00
204      2.62250000e-08    0.00000000e+00    1.31047900e-15    0.00000000e+00
205      2.63750000e-08    0.00000000e+00    1.31424474e-15    0.00000000e+00
206      2.65250000e-08    0.00000000e+00    1.31801049e-15    0.00000000e+00
207      2.66750000e-08    0.00000000e+00    1.32554198e-15    0.00000000e+00
208      2.68250000e-08    0.00000000e+00    1.32554198e-15    0.00000000e+00
209      2.69750000e-08    0.00000000e+00    1.32554198e-15    0.00000000e+00
210      2.71250000e-08    0.00000000e+00    1.33683921e-15    0.00000000e+00
211      2.72750000e-08    0.00000000e+00    1.34060495e-15    0.00000000e+00
212      2.74250000e-08    0.00000000e+00    1.34437070e-15    0.00000000e+00
213      2.75750000e-08    0.00000000e+00    1.35190219e-15    0.00000000e+00
214      2.77250000e-08    0.00000000e+00    1.35943367e-15    0.00000000e+00
215      2.78750000e-08    0.00000000e+00    1.37073091e-15    0.00000000e+00
216      2.80250000e-08    0.00000000e+00    1.37449665e-15    0.00000000e+00
217      2.81750000e-08    0.00000000e+00    1.38579388e-15    0.00000000e+00
218      2.83250000e-08    0.00000000e+00    1.39709112e-15    0.00000000e+00
219      2.84750000e-08    0.00000000e+00    1.40085686e-15    0.00000000e+00
220      2.86250000e-08    0.00000000e+00    1.41215409e-15    0.00000000e+00
221      2.87750000e-08    0.00000000e+00    1.41968558e-15    0.00000000e+00
222      2.89250000e-08    0.00000000e+00    1.42721707e-15    0.00000000e+00
223      2.90750000e-08    0.00000000e+00    1.43098282e-15    0.00000000e+00
224      2.92250000e-08    0.00000000e+00    1.43851430e-15    0.00000000e+00
225      2.93750000e-08    0.00000000e+00    1.44981154e-15    0.00000000e+00
226      2.95250000e-08    0.00000000e+00    1.45357728e-15    0.00000000e+00
227      2.96750000e-08    0.00000000e+00    1.46110877e-15    0.00000000e+00
