Index        TIME          {1.0+V(5)}
287     1.11340000e-08   3.33217785e-01   
288     1.11700000e-08   3.39135283e-01   
289     1.12060000e-08   3.44920269e-01   
290     1.12420000e-08   3.50395228e-01   
291     1.12780000e-08   3.55687455e-01   
292     1.13140000e-08   3.60636834e-01   
293     1.13500000e-08   3.65384279e-01   
294     1.13860000e-08   3.69776273e-01   
295     1.14220000e-08   3.73961438e-01   
296     1.14580000e-08   3.77807921e-01   
297     1.14940000e-08   3.81472536e-01   
298     1.15300000e-08   3.84823503e-01   
299     1.15660000e-08   3.88019428e-01   
300     1.16020000e-08   3.90932721e-01   
301     1.16380000e-08   3.93715756e-01   
302     1.16740000e-08   3.96239655e-01   
303     1.17100000e-08   3.98659875e-01   
304     1.17460000e-08   4.00853110e-01   
305     1.17820000e-08   4.02966185e-01   
306     1.18180000e-08   4.04869893e-01   
307     1.18540000e-08   4.06713432e-01   
308     1.18900000e-08   4.08367175e-01   
309     1.19260000e-08   4.09971043e-01   
310     1.19620000e-08   4.11402930e-01   
311     1.19980000e-08   4.12805584e-01   
312     1.20340000e-08   4.14051674e-01   
313     1.20700000e-08   4.15277093e-01   
314     1.21060000e-08   4.16362646e-01   
315     1.21420000e-08   4.17448479e-01   
316     1.21780000e-08   4.18411135e-01   
317     1.22140000e-08   4.19383613e-01   
318     1.22500000e-08   4.20250608e-01   
319     1.22860000e-08   4.21142501e-01   
320     1.23220000e-08   4.21941577e-01   
321     1.23580000e-08   4.22773584e-01   
322     1.23940000e-08   4.23517869e-01   
323     1.24300000e-08   4.24301586e-01   
324     1.24660000e-08   4.25002655e-01   
325     1.25020000e-08   4.25743746e-01   
326     1.25380000e-08   4.26419281e-01   
327     1.25740000e-08   4.27146960e-01   
328     1.26100000e-08   4.27808475e-01   
329     1.26460000e-08   4.28517380e-01   
330     1.26820000e-08   4.29160410e-01   
331     1.27180000e-08   4.29854996e-01   
332     1.27540000e-08   4.30489053e-01   
333     1.27900000e-08   4.31178557e-01   
334     1.28260000e-08   4.31814157e-01   
335     1.28620000e-08   4.32503815e-01   
336     1.28980000e-08   4.33140890e-01   
337     1.29340000e-08   4.33841087e-01   
338     1.29700000e-08   4.34492827e-01   
339     1.30060000e-08   4.35203299e-01   
340     1.30420000e-08   4.35870897e-01   
341     1.30780000e-08   4.36601409e-01   
342     1.31140000e-08   4.37287145e-01   
343     1.31500000e-08   4.38036453e-01   
344     1.31860000e-08   4.38750359e-01   
345     1.31905000e-08   4.38846327e-01   
346     1.31995000e-08   4.39043364e-01   
347     1.32085000e-08   4.39235200e-01   
348     1.32265000e-08   4.39621606e-01   
349     1.32625000e-08   4.40361522e-01   
350     1.33345000e-08   4.41931801e-01   
351     1.34065000e-08   4.43828200e-01   
352     1.34701290e-08   4.46075540e-01   
353     1.35337579e-08   4.49509265e-01   
354     1.35910240e-08   4.53544705e-01   
355     1.36276000e-08   4.56195334e-01   
356     1.36333266e-08   4.56612986e-01   
