Index        TIME             V(1)             V(2)             V(3)             V(4)
221     1.56434803e-04   9.99956856e-01   4.99978428e-01   9.99956856e-01   4.99978428e-01   
222     1.57141325e-04   9.98996520e-01   4.99498260e-01   9.98996520e-01   4.99498260e-01   
223     1.57847846e-04   9.96776361e-01   4.98388181e-01   9.96776361e-01   4.98388181e-01   
224     1.58554368e-04   9.93299181e-01   4.96649591e-01   9.93299181e-01   4.96649591e-01   
225     1.59260890e-04   9.88569363e-01   4.94284682e-01   9.88569363e-01   4.94284682e-01   
226     1.59967412e-04   9.82592873e-01   4.91296437e-01   9.82592873e-01   4.91296437e-01   
227     1.60673934e-04   9.75377247e-01   4.87688624e-01   9.75377247e-01   4.87688624e-01   
228     1.61380456e-04   9.66931586e-01   4.83465793e-01   9.66931586e-01   4.83465793e-01   
229     1.62086977e-04   9.57266538e-01   4.78633269e-01   9.57266538e-01   4.78633269e-01   
230     1.62793499e-04   9.46394294e-01   4.73197147e-01   9.46394294e-01   4.73197147e-01   
231     1.63500021e-04   9.34328564e-01   4.67164282e-01   9.34328564e-01   4.67164282e-01   
232     1.64206543e-04   9.21084564e-01   4.60542282e-01   9.21084564e-01   4.60542282e-01   
233     1.64913065e-04   9.06678995e-01   4.53339497e-01   9.06678995e-01   4.53339497e-01   
234     1.65619587e-04   8.91130025e-01   4.45565012e-01   8.91130025e-01   4.45565012e-01   
235     1.66326108e-04   8.74457262e-01   4.37228631e-01   8.74457262e-01   4.37228631e-01   
236     1.67032630e-04   8.56681731e-01   4.28340866e-01   8.56681731e-01   4.28340866e-01   
237     1.67739152e-04   8.37825850e-01   4.18912925e-01   8.37825850e-01   4.18912925e-01   
238     1.68445674e-04   8.17913397e-01   4.08956699e-01   8.17913397e-01   4.08956699e-01   
239     1.69152196e-04   7.96969484e-01   3.98484742e-01   7.96969484e-01   3.98484742e-01   
240     1.69858718e-04   7.75020523e-01   3.87510261e-01   7.75020523e-01   3.87510261e-01   
241     1.70565239e-04   7.52094193e-01   3.76047096e-01   7.52094193e-01   3.76047096e-01   
242     1.71271761e-04   7.28219406e-01   3.64109703e-01   7.28219406e-01   3.64109703e-01   
243     1.71978283e-04   7.03426271e-01   3.51713135e-01   7.03426271e-01   3.51713135e-01   
244     1.72684805e-04   6.77746053e-01   3.38873027e-01   6.77746053e-01   3.38873027e-01   
245     1.73391327e-04   6.51211139e-01   3.25605569e-01   6.51211139e-01   3.25605569e-01   
246     1.74097849e-04   6.23854990e-01   3.11927495e-01   6.23854990e-01   3.11927495e-01   
247     1.74804370e-04   5.95712106e-01   2.97856053e-01   5.95712106e-01   2.97856053e-01   
248     1.75510892e-04   5.66817976e-01   2.83408988e-01   5.66817976e-01   2.83408988e-01   
249     1.76217414e-04   5.37209040e-01   2.68604520e-01   5.37209040e-01   2.68604520e-01   
250     1.76923936e-04   5.06922635e-01   2.53461318e-01   5.06922635e-01   2.53461318e-01   
251     1.77630458e-04   4.75996957e-01   2.37998479e-01   4.75996957e-01   2.37998479e-01   
252     1.78336980e-04   4.44471005e-01   2.22235503e-01   4.44471005e-01   2.22235503e-01   
253     1.79043501e-04   4.12384536e-01   2.06192268e-01   4.12384536e-01   2.06192268e-01   
