Index              V(1)           V(2)           V(2A)           V(3)           V(3A)           V(4)           V(5)
302   1.020000000e+01   1.345159302e+04   1.345159302e+04   1.345159306e+04   1.345159306e+04   9.999999972e-01   9.999999972e-01 
303   1.030000000e+01   1.486630941e+04   1.486630941e+04   1.486630944e+04   1.486630944e+04   9.999999977e-01   9.999999977e-01 
304   1.040000000e+01   1.642981282e+04   1.642981282e+04   1.642981285e+04   1.642981285e+04   9.999999981e-01   9.999999981e-01 
305   1.050000000e+01   1.815775132e+04   1.815775132e+04   1.815775135e+04   1.815775135e+04   9.999999985e-01   9.999999985e-01 
306   1.060000000e+01   2.006741870e+04   2.006741870e+04   2.006741873e+04   2.006741873e+04   9.999999988e-01   9.999999988e-01 
307   1.070000000e+01   2.217792755e+04   2.217792755e+04   2.217792758e+04   2.217792758e+04   9.999999990e-01   9.999999990e-01 
308   1.080000000e+01   2.451040056e+04   2.451040056e+04   2.451040058e+04   2.451040058e+04   9.999999992e-01   9.999999992e-01 
309   1.090000000e+01   2.708818189e+04   2.708818189e+04   2.708818191e+04   2.708818191e+04   9.999999993e-01   9.999999993e-01 
310   1.100000000e+01   2.993707085e+04   2.993707085e+04   2.993707087e+04   2.993707087e+04   9.999999994e-01   9.999999994e-01 
311   1.110000000e+01   3.308558008e+04   3.308558008e+04   3.308558009e+04   3.308558009e+04   9.999999995e-01   9.999999995e-01 
312   1.120000000e+01   3.656522091e+04   3.656522091e+04   3.656522092e+04   3.656522092e+04   9.999999996e-01   9.999999996e-01 
313   1.130000000e+01   4.041081876e+04   4.041081876e+04   4.041081878e+04   4.041081878e+04   9.999999997e-01   9.999999997e-01 
314   1.140000000e+01   4.466086167e+04   4.466086167e+04   4.466086169e+04   4.466086169e+04   9.999999997e-01   9.999999997e-01 
315   1.150000000e+01   4.935788550e+04   4.935788550e+04   4.935788551e+04   4.935788551e+04   9.999999998e-01   9.999999998e-01 
316   1.160000000e+01   5.454889963e+04   5.454889963e+04   5.454889964e+04   5.454889964e+04   9.999999998e-01   9.999999998e-01 
317   1.170000000e+01   6.028585749e+04   6.028585749e+04   6.028585750e+04   6.028585750e+04   9.999999999e-01   9.999999999e-01 
318   1.180000000e+01   6.662617647e+04   6.662617647e+04   6.662617648e+04   6.662617648e+04   9.999999999e-01   9.999999999e-01 
319   1.190000000e+01   7.363331262e+04   7.363331262e+04   7.363331262e+04   7.363331262e+04   9.999999999e-01   9.999999999e-01 
320   1.200000000e+01   8.137739571e+04   8.137739571e+04   8.137739571e+04   8.137739571e+04   9.999999999e-01   9.999999999e-01 
321   1.210000000e+01   8.993593112e+04   8.993593112e+04   8.993593113e+04   8.993593113e+04   9.999999999e-01   9.999999999e-01 
322   1.220000000e+01   9.939457557e+04   9.939457557e+04   9.939457557e+04   9.939457557e+04   9.999999999e-01   9.999999999e-01 
323   1.230000000e+01   1.098479943e+05   1.098479943e+05   1.098479943e+05   1.098479943e+05   1.000000000e+00   1.000000000e+00 
324   1.240000000e+01   1.214008087e+05   1.214008087e+05   1.214008088e+05   1.214008088e+05   1.000000000e+00   1.000000000e+00 
325   1.250000000e+01   1.341686433e+05   1.341686433e+05   1.341686433e+05   1.341686433e+05   1.000000000e+00   1.000000000e+00 
326   1.260000000e+01   1.482792826e+05   1.482792826e+05   1.482792827e+05   1.482792827e+05   1.000000000e+00   1.000000000e+00 
327   1.270000000e+01   1.638739509e+05   1.638739509e+05   1.638739509e+05   1.638739509e+05   1.000000000e+00   1.000000000e+00 
328   1.280000000e+01   1.811087248e+05   1.811087248e+05   1.811087248e+05   1.811087248e+05   1.000000000e+00   1.000000000e+00 
329   1.290000000e+01   2.001560957e+05   2.001560957e+05   2.001560957e+05   2.001560957e+05   1.000000000e+00   1.000000000e+00 
330   1.300000000e+01   2.212066960e+05   2.212066960e+05   2.212066960e+05   2.212066960e+05   1.000000000e+00   1.000000000e+00 
331   1.310000000e+01   2.444712073e+05   2.444712073e+05   2.444712073e+05   2.444712073e+05   1.000000000e+00   1.000000000e+00 
332   1.320000000e+01   2.701824686e+05   2.701824686e+05   2.701824686e+05   2.701824686e+05   1.000000000e+00   1.000000000e+00 
333   1.330000000e+01   2.985978069e+05   2.985978069e+05   2.985978069e+05   2.985978069e+05   1.000000000e+00   1.000000000e+00 
334   1.340000000e+01   3.300016124e+05   3.300016124e+05   3.300016124e+05   3.300016124e+05   1.000000000e+00   1.000000000e+00 
335   1.350000000e+01   3.647081849e+05   3.647081849e+05   3.647081849e+05   3.647081849e+05   1.000000000e+00   1.000000000e+00 
336   1.360000000e+01   4.030648796e+05   4.030648796e+05   4.030648796e+05   4.030648796e+05   1.000000000e+00   1.000000000e+00 
337   1.370000000e+01   4.454555830e+05   4.454555830e+05   4.454555830e+05   4.454555830e+05   1.000000000e+00   1.000000000e+00 
338   1.380000000e+01   4.923045556e+05   4.923045556e+05   4.923045556e+05   4.923045556e+05   1.000000000e+00   1.000000000e+00 
339   1.390000000e+01   5.440806777e+05   5.440806777e+05   5.440806777e+05   5.440806777e+05   1.000000000e+00   1.000000000e+00 
340   1.400000000e+01   6.013021421e+05   6.013021421e+05   6.013021421e+05   6.013021421e+05   1.000000000e+00   1.000000000e+00 
341   1.410000000e+01   6.645416404e+05   6.645416404e+05   6.645416404e+05   6.645416404e+05   1.000000000e+00   1.000000000e+00 
342   1.420000000e+01   7.344320948e+05   7.344320948e+05   7.344320948e+05   7.344320948e+05   1.000000000e+00   1.000000000e+00 
343   1.430000000e+01   8.116729925e+05   8.116729925e+05   8.116729925e+05   8.116729925e+05   1.000000000e+00   1.000000000e+00 
344   1.440000000e+01   8.970373863e+05   8.970373863e+05   8.970373863e+05   8.970373863e+05   1.000000000e+00   1.000000000e+00 
345   1.450000000e+01   9.913796318e+05   9.913796318e+05   9.913796318e+05   9.913796318e+05   1.000000000e+00   1.000000000e+00 
346   1.460000000e+01   1.095643938e+06   1.095643938e+06   1.095643938e+06   1.095643938e+06   1.000000000e+00   1.000000000e+00 
347   1.470000000e+01   1.210873817e+06   1.210873817e+06   1.210873817e+06   1.210873817e+06   1.000000000e+00   1.000000000e+00 
348   1.480000000e+01   1.338222528e+06   1.338222528e+06   1.338222528e+06   1.338222528e+06   1.000000000e+00   1.000000000e+00 
349   1.490000000e+01   1.478964619e+06   1.478964619e+06   1.478964619e+06   1.478964619e+06   1.000000000e+00   1.000000000e+00 
350   1.500000000e+01   1.634508686e+06   1.634508686e+06   1.634508686e+06   1.634508686e+06   1.000000000e+00   1.000000000e+00 
351   1.510000000e+01   1.806411465e+06   1.806411465e+06   1.806411465e+06   1.806411465e+06   1.000000000e+00   1.000000000e+00 
352   1.520000000e+01   1.996393418e+06   1.996393418e+06   1.996393418e+06   1.996393418e+06   1.000000000e+00   1.000000000e+00 
353   1.530000000e+01   2.206355946e+06   2.206355946e+06   2.206355946e+06   2.206355946e+06   1.000000000e+00   1.000000000e+00 
354   1.540000000e+01   2.438400427e+06   2.438400427e+06   2.438400427e+06   2.438400427e+06   1.000000000e+00   1.000000000e+00 
355   1.550000000e+01   2.694849238e+06   2.694849238e+06   2.694849238e+06   2.694849238e+06   1.000000000e+00   1.000000000e+00 
356   1.560000000e+01   2.978269007e+06   2.978269007e+06   2.978269007e+06   2.978269007e+06   1.000000000e+00   1.000000000e+00 
357   1.570000000e+01   3.291496292e+06   3.291496292e+06   3.291496292e+06   3.291496292e+06   1.000000000e+00   1.000000000e+00 
358   1.580000000e+01   3.637665979e+06   3.637665979e+06   3.637665979e+06   3.637665979e+06   1.000000000e+00   1.000000000e+00 
359   1.590000000e+01   4.020242650e+06   4.020242650e+06   4.020242650e+06   4.020242650e+06   1.000000000e+00   1.000000000e+00 
360   1.600000000e+01   4.443055260e+06   4.443055260e+06   4.443055260e+06   4.443055260e+06   1.000000000e+00   1.000000000e+00 
361   1.610000000e+01   4.910335461e+06   4.910335461e+06   4.910335461e+06   4.910335461e+06   1.000000000e+00   1.000000000e+00 
362   1.620000000e+01   5.426759950e+06   5.426759950e+06   5.426759950e+06   5.426759950e+06   1.000000000e+00   1.000000000e+00 
363   1.630000000e+01   5.997497276e+06   5.997497276e+06   5.997497276e+06   5.997497276e+06   1.000000000e+00   1.000000000e+00 
364   1.640000000e+01   6.628259570e+06   6.628259570e+06   6.628259570e+06   6.628259570e+06   1.000000000e+00   1.000000000e+00 
365   1.650000000e+01   7.325359714e+06   7.325359714e+06   7.325359714e+06   7.325359714e+06   1.000000000e+00   1.000000000e+00 
366   1.660000000e+01   8.095774521e+06   8.095774521e+06   8.095774521e+06   8.095774521e+06   1.000000000e+00   1.000000000e+00 
367   1.670000000e+01   8.947214560e+06   8.947214560e+06   8.947214560e+06   8.947214560e+06   1.000000000e+00   1.000000000e+00 
368   1.680000000e+01   9.888201329e+06   9.888201329e+06   9.888201329e+06   9.888201329e+06   1.000000000e+00   1.000000000e+00 
369   1.690000000e+01   1.092815254e+07   1.092815254e+07   1.092815254e+07   1.092815254e+07   1.000000000e+00   1.000000000e+00 
370   1.700000000e+01   1.207747638e+07   1.207747638e+07   1.207747638e+07   1.207747638e+07   1.000000000e+00   1.000000000e+00 
371   1.710000000e+01   1.334767566e+07   1.334767566e+07   1.334767566e+07   1.334767566e+07   1.000000000e+00   1.000000000e+00 
372   1.720000000e+01   1.475146296e+07   1.475146296e+07   1.475146296e+07   1.475146296e+07   1.000000000e+00   1.000000000e+00 
373   1.730000000e+01   1.630288786e+07   1.630288786e+07   1.630288786e+07   1.630288786e+07   1.000000000e+00   1.000000000e+00 
374   1.740000000e+01   1.801747754e+07   1.801747754e+07   1.801747754e+07   1.801747754e+07   1.000000000e+00   1.000000000e+00 
375   1.750000000e+01   1.991239220e+07   1.991239220e+07   1.991239220e+07   1.991239220e+07   1.000000000e+00   1.000000000e+00 
376   1.760000000e+01   2.200659677e+07   2.200659677e+07   2.200659677e+07   2.200659677e+07   1.000000000e+00   1.000000000e+00 
