Index       TIME              V(1)              V(2)              V(3A)             V(4A)             V(5A)             V(8A)             V(9A)            V(10A)            V(11A)             {P1}       
47       4.22433505e-01    2.46829901e+00    4.93659802e+00    2.46829901e+00    2.46829901e+00    2.46829901e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
48       4.29721448e-01    2.42736226e+00    4.85472453e+00    2.42736226e+00    2.42736226e+00    2.42736226e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
49       4.44297333e-01    2.34288858e+00    4.68577717e+00    2.34288858e+00    2.34288858e+00    2.34288858e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
50       4.58873218e-01    2.25554095e+00    4.51108191e+00    2.25554095e+00    2.25554095e+00    2.25554095e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
51       4.88024988e-01    2.07517025e+00    4.15034049e+00    2.07517025e+00    2.07517025e+00    2.07517025e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
52       5.46328529e-01    1.71300276e+00    3.42600552e+00    1.71300276e+00    1.71300276e+00    1.71300276e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
53       5.70275666e-01    1.57265413e+00    3.14530826e+00    1.57265413e+00    1.57265413e+00    1.57265413e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
54       5.78555876e-01    1.52621739e+00    3.05243479e+00    1.52621739e+00    1.52621739e+00    1.52621739e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
55       5.86836085e-01    1.48106276e+00    2.96212552e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
56       5.95116295e-01    1.43731242e+00    2.87462484e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
57       6.03396505e-01    1.39508478e+00    2.79016955e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
58       6.11676714e-01    1.35449409e+00    2.70898819e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
59       6.28237134e-01    1.27865826e+00    2.55731652e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
60       6.44797553e-01    1.21062525e+00    2.42125050e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
61       6.61357973e-01    1.15113098e+00    2.30226196e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
62       6.77918392e-01    1.10081900e+00    2.20163800e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
63       6.94478811e-01    1.06023355e+00    2.12046710e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
64       7.11039231e-01    1.02981363e+00    2.05962727e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
65       7.27599650e-01    1.00988832e+00    2.01977663e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
66       7.44160069e-01    1.00067313e+00    2.00134625e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
67       7.60720489e-01    1.00226775e+00    2.00453549e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
68       7.77280908e-01    1.01465493e+00    2.02930986e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
69       7.93841327e-01    1.03770068e+00    2.07540136e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
70       8.10401747e-01    1.07115571e+00    2.14231143e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
71       8.26962166e-01    1.11465814e+00    2.22931628e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
72       8.43522585e-01    1.16773739e+00    2.33547478e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
73       8.60083005e-01    1.22981930e+00    2.45963860e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
74       8.76643424e-01    1.30023233e+00    2.60046465e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
75       8.93203843e-01    1.37821481e+00    2.75642961e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
76       9.09764263e-01    1.46292319e+00    2.92584638e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
77       9.12515216e-01    1.47758295e+00    2.95516591e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
78       9.18017122e-01    1.50736627e+00    3.01473255e+00    1.50736627e+00    1.50736627e+00    1.50736627e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
79       9.23519028e-01    1.53773826e+00    3.07547652e+00    1.53773826e+00    1.53773826e+00    1.53773826e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
80       9.29020934e-01    1.56866262e+00    3.13732523e+00    1.56866262e+00    1.56866262e+00    1.56866262e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
81       9.34522839e-01    1.60010239e+00    3.20020478e+00    1.60010239e+00    1.60010239e+00    1.60010239e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
82       9.45526651e-01    1.66437735e+00    3.32875470e+00    1.66437735e+00    1.66437735e+00    1.66437735e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
83       9.67534275e-01    1.79742359e+00    3.59484718e+00    1.79742359e+00    1.79742359e+00    1.79742359e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
84       9.89541899e-01    1.93433709e+00    3.86867418e+00    1.93433709e+00    1.93433709e+00    1.93433709e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
85       1.00000000e+00    2.00000000e+00    4.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
End of Xyce(TM) Simulation
