Index       TIME            {V(VI)+1}         {V(VO)+1}    
77       7.70000000e-07    1.00524256e+00    1.99998781e+00
78       7.80000000e-07    1.00918877e+00    1.99998718e+00
79       7.90000000e-07    1.01688099e+00    1.99998761e+00
80       8.00000000e-07    1.02527991e+00    1.99998824e+00
81       8.10000000e-07    1.03597261e+00    1.99998819e+00
82       8.20000000e-07    1.04864839e+00    1.99998757e+00
83       8.30000000e-07    1.06225226e+00    1.99998723e+00
84       8.40000000e-07    1.07893950e+00    1.99998785e+00
85       8.50000000e-07    1.09562673e+00    1.99998848e+00
86       8.60000000e-07    1.11570649e+00    1.99998795e+00
87       8.70000000e-07    1.13605579e+00    1.99998732e+00
88       8.80000000e-07    1.15841605e+00    1.99998747e+00
89       8.90000000e-07    1.18200134e+00    1.99998810e+00
90       9.00000000e-07    1.20645445e+00    1.99998833e+00
91       9.10000000e-07    1.23278192e+00    1.99998770e+00
92       9.20000000e-07    1.25912504e+00    1.99998711e+00
93       9.30000000e-07    1.28716247e+00    1.99998781e+00
94       9.40000000e-07    1.31596880e+00    1.99998781e+00
95       9.50000000e-07    1.34551484e+00    1.99998781e+00
96       9.60000000e-07    1.37565682e+00    1.99998781e+00
97       9.70000000e-07    1.40630938e+00    1.99998781e+00
98       9.80000000e-07    1.43733423e+00    9.99999682e-01
99       9.90000000e-07    1.46860617e+00    1.00000038e+00
100      1.00000000e-06    1.49999870e+00    1.00000042e+00
101      1.01000000e-06    1.53137421e+00    9.99999609e-01
102      1.02000000e-06    1.56255816e+00    1.00000010e+00
103      1.03000000e-06    1.59362321e+00    1.00000042e+00
104      1.04000000e-06    1.62413097e+00    9.99999928e-01
105      1.05000000e-06    1.65437563e+00    9.99999665e-01
106      1.06000000e-06    1.68375304e+00    1.00000016e+00
107      1.07000000e-06    1.71267632e+00    1.00000036e+00
108      1.08000000e-06    1.74048604e+00    9.99999872e-01
109      1.09000000e-06    1.76760891e+00    9.99999721e-01
110      1.10000000e-06    1.79343695e+00    1.00000021e+00
111      1.11000000e-06    1.81831017e+00    1.00000031e+00
112      1.12000000e-06    1.84177204e+00    9.99999816e-01
113      1.13000000e-06    1.86398356e+00    9.99999777e-01
114      1.14000000e-06    1.88472999e+00    1.00000027e+00
115      1.15000000e-06    1.90391169e+00    1.00000025e+00
116      1.16000000e-06    1.92163383e+00    9.99999760e-01
117      1.17000000e-06    1.93746756e+00    9.99999833e-01
118      1.18000000e-06    1.95190159e+00    1.00000032e+00
119      1.19000000e-06    1.96412439e+00    1.00000020e+00
120      1.20000000e-06    1.97505543e+00    9.99999704e-01
121      1.21000000e-06    1.98346384e+00    9.99999889e-01
122      1.22000000e-06    1.99072917e+00    1.00000038e+00
123      1.23000000e-06    1.99518260e+00    1.00000014e+00
124      1.24000000e-06    1.99867405e+00    9.99999648e-01
125      1.25000000e-06    1.99909709e+00    9.99999945e-01
126      1.26000000e-06    1.99876270e+00    1.00000044e+00
127      1.27000000e-06    1.99514637e+00    1.00000008e+00
128      1.28000000e-06    1.99099111e+00    9.99999592e-01
129      1.29000000e-06    1.98339305e+00    1.00000000e+00
130      1.30000000e-06    1.97547878e+00    1.00000049e+00
131      1.31000000e-06    1.96402234e+00    1.00000003e+00
132      1.32000000e-06    1.95236373e+00    9.99999565e-01
133      1.33000000e-06    1.93733909e+00    1.00000006e+00
134      1.34000000e-06    1.92203320e+00    1.00000046e+00
135      1.35000000e-06    1.90376306e+00    9.99999972e-01
136      1.36000000e-06    1.88506596e+00    9.99999621e-01
137      1.37000000e-06    1.86382229e+00    1.00000011e+00
138      1.38000000e-06    1.84204581e+00    1.00000041e+00
139      1.39000000e-06    1.81814487e+00    9.99999916e-01
140      1.40000000e-06    1.79365145e+00    9.99999677e-01
141      1.41000000e-06    1.76744904e+00    1.00000017e+00
142      1.42000000e-06    1.74064575e+00    1.00000035e+00
143      1.43000000e-06    1.71253195e+00    9.99999860e-01
144      1.44000000e-06    1.68386384e+00    9.99999733e-01
145      1.45000000e-06    1.65425716e+00    1.00000022e+00
146      1.46000000e-06    1.62419993e+00    1.00000030e+00
147      1.47000000e-06    1.59354111e+00    9.99999804e-01
148      1.48000000e-06    1.56259327e+00    9.99999789e-01
149      1.49000000e-06    1.53133873e+00    1.00000028e+00
150      1.50000000e-06    1.49999996e+00    1.00000003e+00
151      1.51000000e-06    1.46860930e+00    1.00000003e+00
152      1.52000000e-06    1.43733407e+00    1.00000003e+00
153      1.53000000e-06    1.40630936e+00    1.99998850e+00
154      1.54000000e-06    1.37566039e+00    1.99998792e+00
155      1.55000000e-06    1.34551768e+00    1.99998753e+00
156      1.56000000e-06    1.31595182e+00    1.99998633e+00
157      1.57000000e-06    1.28725326e+00    1.99998816e+00
158      1.58000000e-06    1.25925223e+00    1.99998685e+00
159      1.59000000e-06    1.23215711e+00    1.99998937e+00
160      1.60000000e-06    1.20614407e+00    1.99998603e+00
161      1.61000000e-06    1.18213853e+00    1.99998741e+00
162      1.62000000e-06    1.15825700e+00    1.99998908e+00
163      1.63000000e-06    1.13627657e+00    1.99998881e+00
164      1.64000000e-06    1.11566747e+00    1.99998714e+00
165      1.65000000e-06    1.09587815e+00    1.99998620e+00
166      1.66000000e-06    1.07899415e+00    1.99998787e+00
167      1.67000000e-06    1.06211015e+00    1.99998954e+00
168      1.68000000e-06    1.04874534e+00    1.99998834e+00
169      1.69000000e-06    1.03595727e+00    1.99998667e+00
170      1.70000000e-06    1.02535023e+00    1.99998667e+00
171      1.71000000e-06    1.01693897e+00    1.99998834e+00
172      1.72000000e-06    1.00915465e+00    1.99998955e+00
173      1.73000000e-06    1.00530494e+00    1.99998788e+00
174      1.74000000e-06    1.00145524e+00    1.99998621e+00
175      1.75000000e-06    1.00121352e+00    1.99998713e+00
176      1.76000000e-06    1.00200993e+00    1.99998880e+00
177      1.77000000e-06    1.00473038e+00    1.99998908e+00
178      1.78000000e-06    1.01015540e+00    1.99998741e+00
179      1.79000000e-06    1.01582757e+00    1.99998593e+00
180      1.80000000e-06    1.02576206e+00    1.99998760e+00
181      1.81000000e-06    1.03569654e+00    1.99998926e+00
182      1.82000000e-06    1.04860887e+00    1.99998862e+00
183      1.83000000e-06    1.06283461e+00    1.99998695e+00
184      1.84000000e-06    1.07838552e+00    1.99998639e+00
185      1.85000000e-06    1.09659007e+00    1.99998806e+00
186      1.86000000e-06    1.11479462e+00    1.99998973e+00
187      1.87000000e-06    1.13647857e+00    1.99998815e+00
188      1.88000000e-06    1.15826209e+00    1.99998648e+00
189      1.89000000e-06    1.18194095e+00    1.99998686e+00
190      1.90000000e-06    1.20682498e+00    1.99998852e+00
191      1.91000000e-06    1.23234859e+00    1.99998936e+00
192      1.92000000e-06    1.25978659e+00    1.99998769e+00
193      1.93000000e-06    1.28722458e+00    1.99998602e+00
194      1.94000000e-06    1.31596288e+00    1.99998781e+00
195      1.95000000e-06    1.34551397e+00    1.99998781e+00
196      1.96000000e-06    1.37565580e+00    1.99998781e+00
197      1.97000000e-06    1.40630939e+00    1.99998781e+00
198      1.98000000e-06    1.43733393e+00    1.00000016e+00
199      1.99000000e-06    1.46860563e+00    9.99999899e-01
200      2.00000000e-06    1.49999910e+00    9.99999893e-01
201      2.01000000e-06    1.53138212e+00    1.00000017e+00
202      2.02000000e-06    1.56255129e+00    1.00000002e+00
203      2.03000000e-06    1.59364854e+00    9.99999893e-01
204      2.04000000e-06    1.62411559e+00    1.00000005e+00
205      2.05000000e-06    1.65442470e+00    1.00000016e+00
206      2.06000000e-06    1.68372481e+00    1.00000000e+00
207      2.07000000e-06    1.71275335e+00    9.99999903e-01
208      2.08000000e-06    1.74043951e+00    1.00000006e+00
209      2.09000000e-06    1.76771599e+00    1.00000015e+00
210      2.10000000e-06    1.79336581e+00    9.99999995e-01
211      2.11000000e-06    1.81844731e+00    9.99999913e-01
212      2.12000000e-06    1.84166947e+00    1.00000007e+00
213      2.13000000e-06    1.86414878e+00    1.00000014e+00
214      2.14000000e-06    1.88458899e+00    9.99999985e-01
215      2.15000000e-06    1.90410124e+00    9.99999923e-01
216      2.16000000e-06    1.92144765e+00    1.00000008e+00
217      2.17000000e-06    1.93767618e+00    1.00000013e+00
218      2.18000000e-06    1.95166415e+00    9.99999975e-01
219      2.19000000e-06    1.96434562e+00    9.99999933e-01
220      2.20000000e-06    1.97476176e+00    1.00000009e+00
221      2.21000000e-06    1.98369045e+00    1.00000012e+00
222      2.22000000e-06    1.99037582e+00    9.99999964e-01
223      2.23000000e-06    1.99540693e+00    9.99999943e-01
224      2.24000000e-06    1.99825955e+00    1.00000010e+00
225      2.25000000e-06    1.99931152e+00    1.00000011e+00
226      2.26000000e-06    1.99828788e+00    9.99999954e-01
227      2.27000000e-06    1.99534374e+00    9.99999954e-01
228      2.28000000e-06    1.99045944e+00    1.00000011e+00
229      2.29000000e-06    1.98356708e+00    1.00000010e+00
230      2.30000000e-06    1.97489665e+00    9.99999944e-01
231      2.31000000e-06    1.96416803e+00    9.99999964e-01
232      2.32000000e-06    1.95184374e+00    1.00000012e+00
233      2.33000000e-06    1.93745308e+00    1.00000009e+00
234      2.34000000e-06    1.92166296e+00    9.99999934e-01
235      2.35000000e-06    1.90384393e+00    9.99999974e-01
236      2.36000000e-06    1.88482888e+00    1.00000013e+00
237      2.37000000e-06    1.86387082e+00    1.00000008e+00
238      2.38000000e-06    1.84192093e+00    9.99999924e-01
239      2.39000000e-06    1.81816416e+00    9.99999984e-01
240      2.40000000e-06    1.79361431e+00    1.00000014e+00
241      2.41000000e-06    1.76744462e+00    1.00000007e+00
242      2.42000000e-06    1.74066936e+00    9.99999914e-01
243      2.43000000e-06    1.71251177e+00    9.99999994e-01
244      2.44000000e-06    1.68391959e+00    1.00000015e+00
245      2.45000000e-06    1.65423150e+00    1.00000006e+00
246      2.46000000e-06    1.62425861e+00    9.99999904e-01
247      2.47000000e-06    1.59352237e+00    1.00000000e+00
248      2.48000000e-06    1.56262605e+00    1.00000016e+00
249      2.49000000e-06    1.53134115e+00    1.00000005e+00
250      2.50000000e-06    1.49999276e+00    9.99999894e-01
251      2.51000000e-06    1.46860495e+00    1.00000003e+00
252      2.52000000e-06    1.43733350e+00    1.00000003e+00
253      2.53000000e-06    1.40630936e+00    1.99998838e+00
254      2.54000000e-06    1.37566035e+00    1.99998785e+00
255      2.55000000e-06    1.34551762e+00    1.99998761e+00
256      2.56000000e-06    1.31595386e+00    1.99998651e+00
257      2.57000000e-06    1.28725326e+00    1.99998808e+00
258      2.58000000e-06    1.25925691e+00    1.99998698e+00
259      2.59000000e-06    1.23216973e+00    1.99998918e+00
260      2.60000000e-06    1.20612431e+00    1.99998604e+00
261      2.61000000e-06    1.18213947e+00    1.99998749e+00
262      2.62000000e-06    1.15821023e+00    1.99998906e+00
263      2.63000000e-06    1.13630645e+00    1.99998867e+00
264      2.64000000e-06    1.11562630e+00    1.99998710e+00
265      2.65000000e-06    1.09595626e+00    1.99998639e+00
266      2.66000000e-06    1.07897538e+00    1.99998796e+00
267      2.67000000e-06    1.06199450e+00    1.99998953e+00
268      2.68000000e-06    1.04876809e+00    1.99998820e+00
269      2.69000000e-06    1.03585613e+00    1.99998663e+00
270      2.70000000e-06    1.02543404e+00    1.99998686e+00
271      2.71000000e-06    1.01687207e+00    1.99998843e+00
272      2.72000000e-06    1.00931740e+00    1.99998930e+00
273      2.73000000e-06    1.00529181e+00    1.99998773e+00
274      2.74000000e-06    1.00126622e+00    1.99998616e+00
275      2.75000000e-06    1.00127143e+00    1.99998733e+00
276      2.76000000e-06    1.00186985e+00    1.99998890e+00
277      2.77000000e-06    1.00487233e+00    1.99998883e+00
278      2.78000000e-06    1.01008172e+00    1.99998726e+00
279      2.79000000e-06    1.01606039e+00    1.99998623e+00
280      2.80000000e-06    1.02576736e+00    1.99998780e+00
281      2.81000000e-06    1.03547434e+00    1.99998937e+00
282      2.82000000e-06    1.04869909e+00    1.99998836e+00
283      2.83000000e-06    1.06269233e+00    1.99998679e+00
284      2.84000000e-06    1.07855844e+00    1.99998670e+00
285      2.85000000e-06    1.09653334e+00    1.99998827e+00
286      2.86000000e-06    1.11493922e+00    1.99998946e+00
287      2.87000000e-06    1.13650449e+00    1.99998789e+00
288      2.88000000e-06    1.15806976e+00    1.99998632e+00
289      2.89000000e-06    1.18203722e+00    1.99998717e+00
290      2.90000000e-06    1.20672342e+00    1.99998874e+00
291      2.91000000e-06    1.23249307e+00    1.99998899e+00
292      2.92000000e-06    1.25976281e+00    1.99998742e+00
293      2.93000000e-06    1.28711662e+00    1.99998641e+00
294      2.94000000e-06    1.31595178e+00    1.99998781e+00
295      2.95000000e-06    1.34551543e+00    1.99998781e+00
296      2.96000000e-06    1.37565632e+00    1.99998781e+00
297      2.97000000e-06    1.40630939e+00    1.99998781e+00
298      2.98000000e-06    1.43733397e+00    1.00000015e+00
299      2.99000000e-06    1.46860571e+00    9.99999900e-01
300      3.00000000e-06    1.49999903e+00    9.99999893e-01
301      3.01000000e-06    1.53138079e+00    1.00000017e+00
302      3.02000000e-06    1.56255237e+00    1.00000001e+00
303      3.03000000e-06    1.59364417e+00    9.99999893e-01
304      3.04000000e-06    1.62411792e+00    1.00000005e+00
305      3.05000000e-06    1.65441603e+00    1.00000016e+00
306      3.06000000e-06    1.68372895e+00    1.00000000e+00
307      3.07000000e-06    1.71273945e+00    9.99999904e-01
308      3.08000000e-06    1.74044616e+00    1.00000006e+00
309      3.09000000e-06    1.76769625e+00    1.00000015e+00
310      3.10000000e-06    1.79337578e+00    9.99999990e-01
311      3.11000000e-06    1.81842144e+00    9.99999916e-01
312      3.12000000e-06    1.84168363e+00    1.00000007e+00
313      3.13000000e-06    1.86411683e+00    1.00000013e+00
314      3.14000000e-06    1.88460825e+00    9.99999979e-01
315      3.15000000e-06    1.90406357e+00    9.99999927e-01
316      3.16000000e-06    1.92147286e+00    1.00000008e+00
317      3.17000000e-06    1.93763342e+00    1.00000012e+00
318      3.18000000e-06    1.95169609e+00    9.99999967e-01
319      3.19000000e-06    1.96429866e+00    9.99999939e-01
320      3.20000000e-06    1.97480104e+00    1.00000010e+00
321      3.21000000e-06    1.98364035e+00    1.00000011e+00
322      3.22000000e-06    1.99042287e+00    9.99999956e-01
323      3.23000000e-06    1.99535491e+00    9.99999951e-01
324      3.24000000e-06    1.99831451e+00    1.00000011e+00
325      3.25000000e-06    1.99925887e+00    1.00000010e+00
326      3.26000000e-06    1.99835059e+00    9.99999944e-01
327      3.27000000e-06    1.99529178e+00    9.99999962e-01
328      3.28000000e-06    1.99052942e+00    1.00000012e+00
329      3.29000000e-06    1.98351708e+00    1.00000009e+00
330      3.30000000e-06    1.97497300e+00    9.99999933e-01
331      3.31000000e-06    1.96412116e+00    9.99999974e-01
332      3.32000000e-06    1.95192517e+00    1.00000013e+00
333      3.33000000e-06    1.93741036e+00    1.00000008e+00
334      3.34000000e-06    1.92174776e+00    9.99999921e-01
335      3.35000000e-06    1.90380616e+00    9.99999985e-01
336      3.36000000e-06    1.88491493e+00    1.00000014e+00
337      3.37000000e-06    1.86383855e+00    1.00000007e+00
338      3.38000000e-06    1.84200572e+00    9.99999909e-01
339      3.39000000e-06    1.81813765e+00    9.99999997e-01
340      3.40000000e-06    1.79369493e+00    1.00000015e+00
341      3.41000000e-06    1.76742383e+00    1.00000005e+00
342      3.42000000e-06    1.74074260e+00    9.99999898e-01
343      3.43000000e-06    1.71249633e+00    1.00000001e+00
344      3.44000000e-06    1.68398197e+00    1.00000016e+00
345      3.45000000e-06    1.65422070e+00    1.00000004e+00
346      3.46000000e-06    1.62430646e+00    9.99999886e-01
347      3.47000000e-06    1.59351518e+00    1.00000002e+00
348      3.48000000e-06    1.56265556e+00    1.00000018e+00
349      3.49000000e-06    1.53133626e+00    1.00000003e+00
350      3.50000000e-06    1.50000000e+00    9.99999876e-01
351      3.51000000e-06    1.46860611e+00    1.00000003e+00
352      3.52000000e-06    1.43733350e+00    1.00000003e+00
353      3.53000000e-06    1.40630936e+00    1.99998839e+00
354      3.54000000e-06    1.37566036e+00    1.99998786e+00
355      3.55000000e-06    1.34551763e+00    1.99998760e+00
356      3.56000000e-06    1.31595363e+00    1.99998650e+00
357      3.57000000e-06    1.28725327e+00    1.99998809e+00
358      3.58000000e-06    1.25925639e+00    1.99998697e+00
359      3.59000000e-06    1.23216829e+00    1.99998919e+00
360      3.60000000e-06    1.20612668e+00    1.99998606e+00
361      3.61000000e-06    1.18213945e+00    1.99998748e+00
362      3.62000000e-06    1.15821582e+00    1.99998905e+00
363      3.63000000e-06    1.13630311e+00    1.99998868e+00
364      3.64000000e-06    1.11563131e+00    1.99998711e+00
365      3.65000000e-06    1.09594737e+00    1.99998638e+00
366      3.66000000e-06    1.07897788e+00    1.99998795e+00
367      3.67000000e-06    1.06200838e+00    1.99998952e+00
368      3.68000000e-06    1.04876586e+00    1.99998821e+00
369      3.69000000e-06    1.03586846e+00    1.99998665e+00
370      3.70000000e-06    1.02542480e+00    1.99998685e+00
371      3.71000000e-06    1.01688056e+00    1.99998841e+00
372      3.72000000e-06    1.00929908e+00    1.99998932e+00
373      3.73000000e-06    1.00529417e+00    1.99998775e+00
374      3.74000000e-06    1.00128927e+00    1.99998618e+00
375      3.75000000e-06    1.00126565e+00    1.99998731e+00
376      3.76000000e-06    1.00188736e+00    1.99998888e+00
377      3.77000000e-06    1.00485686e+00    1.99998885e+00
378      3.78000000e-06    1.01009164e+00    1.99998728e+00
379      3.79000000e-06    1.01603441e+00    1.99998621e+00
380      3.80000000e-06    1.02576818e+00    1.99998778e+00
381      3.81000000e-06    1.03550195e+00    1.99998934e+00
382      3.82000000e-06    1.04869005e+00    1.99998839e+00
383      3.83000000e-06    1.06271070e+00    1.99998682e+00
384      3.84000000e-06    1.07853974e+00    1.99998667e+00
385      3.85000000e-06    1.09654174e+00    1.99998824e+00
386      3.86000000e-06    1.11491212e+00    1.99998949e+00
387      3.87000000e-06    1.13650317e+00    1.99998792e+00
388      3.88000000e-06    1.15809423e+00    1.99998635e+00
389      3.89000000e-06    1.18202752e+00    1.99998714e+00
390      3.90000000e-06    1.20673713e+00    1.99998871e+00
391      3.91000000e-06    1.23247746e+00    1.99998902e+00
392      3.92000000e-06    1.25976717e+00    1.99998745e+00
393      3.93000000e-06    1.28711508e+00    1.99998627e+00
394      3.94000000e-06    1.31595384e+00    1.99998781e+00
395      3.95000000e-06    1.34551546e+00    1.99998781e+00
396      3.96000000e-06    1.37565628e+00    1.99998781e+00
397      3.97000000e-06    1.40630939e+00    1.99998781e+00
398      3.98000000e-06    1.43733396e+00    1.00000015e+00
399      3.99000000e-06    1.46860570e+00    9.99999900e-01
400      4.00000000e-06    1.49999904e+00    9.99999893e-01
401      4.01000000e-06    1.53138105e+00    1.00000017e+00
402      4.02000000e-06    1.56255216e+00    1.00000001e+00
403      4.03000000e-06    1.59364503e+00    9.99999893e-01
404      4.04000000e-06    1.62411745e+00    1.00000005e+00
405      4.05000000e-06    1.65441773e+00    1.00000016e+00
406      4.06000000e-06    1.68372811e+00    1.00000000e+00
407      4.07000000e-06    1.71274217e+00    9.99999904e-01
408      4.08000000e-06    1.74044481e+00    1.00000006e+00
409      4.09000000e-06    1.76770010e+00    1.00000015e+00
410      4.10000000e-06    1.79337374e+00    9.99999991e-01
411      4.11000000e-06    1.81842647e+00    9.99999915e-01
412      4.12000000e-06    1.84168073e+00    1.00000007e+00
413      4.13000000e-06    1.86412303e+00    1.00000014e+00
414      4.14000000e-06    1.88460429e+00    9.99999980e-01
415      4.15000000e-06    1.90407085e+00    9.99999927e-01
416      4.16000000e-06    1.92146767e+00    1.00000008e+00
417      4.17000000e-06    1.93764165e+00    1.00000012e+00
418      4.18000000e-06    1.95168950e+00    9.99999969e-01
419      4.19000000e-06    1.96430766e+00    9.99999938e-01
420      4.20000000e-06    1.97479293e+00    1.00000009e+00
421      4.21000000e-06    1.98364990e+00    1.00000011e+00
422      4.22000000e-06    1.99041314e+00    9.99999957e-01
423      4.23000000e-06    1.99536477e+00    9.99999949e-01
424      4.24000000e-06    1.99830314e+00    1.00000010e+00
425      4.25000000e-06    1.99926879e+00    1.00000010e+00
426      4.26000000e-06    1.99833760e+00    9.99999946e-01
427      4.27000000e-06    1.99530149e+00    9.99999960e-01
428      4.28000000e-06    1.99051491e+00    1.00000012e+00
429      4.29000000e-06    1.98352634e+00    1.00000009e+00
430      4.30000000e-06    1.97495716e+00    9.99999935e-01
431      4.31000000e-06    1.96412975e+00    9.99999972e-01
432      4.32000000e-06    1.95190827e+00    1.00000013e+00
433      4.33000000e-06    1.93741809e+00    1.00000008e+00
434      4.34000000e-06    1.92173015e+00    9.99999924e-01
435      4.35000000e-06    1.90381289e+00    9.99999983e-01
436      4.36000000e-06    1.88489705e+00    1.00000014e+00
437      4.37000000e-06    1.86384420e+00    1.00000007e+00
438      4.38000000e-06    1.84198808e+00    9.99999912e-01
439      4.39000000e-06    1.81814219e+00    9.99999994e-01
440      4.40000000e-06    1.79367814e+00    1.00000015e+00
441      4.41000000e-06    1.76742729e+00    1.00000006e+00
442      4.42000000e-06    1.74072732e+00    9.99999901e-01
443      4.43000000e-06    1.71249881e+00    1.00000001e+00
444      4.44000000e-06    1.68396893e+00    1.00000016e+00
445      4.45000000e-06    1.65422239e+00    1.00000005e+00
446      4.46000000e-06    1.62429641e+00    9.99999890e-01
447      4.47000000e-06    1.59351632e+00    1.00000002e+00
448      4.48000000e-06    1.56264930e+00    1.00000017e+00
449      4.49000000e-06    1.53133713e+00    1.00000003e+00
450      4.50000000e-06    1.49999845e+00    9.99999879e-01
451      4.51000000e-06    1.46860579e+00    1.00000003e+00
452      4.52000000e-06    1.43733350e+00    1.00000003e+00
453      4.53000000e-06    1.40630936e+00    1.99998838e+00
454      4.54000000e-06    1.37566036e+00    1.99998786e+00
455      4.55000000e-06    1.34551763e+00    1.99998760e+00
456      4.56000000e-06    1.31595368e+00    1.99998650e+00
457      4.57000000e-06    1.28725327e+00    1.99998809e+00
458      4.58000000e-06    1.25925649e+00    1.99998697e+00
459      4.59000000e-06    1.23216857e+00    1.99998919e+00
460      4.60000000e-06    1.20612623e+00    1.99998605e+00
461      4.61000000e-06    1.18213946e+00    1.99998748e+00
462      4.62000000e-06    1.15821474e+00    1.99998905e+00
463      4.63000000e-06    1.13630376e+00    1.99998868e+00
464      4.64000000e-06    1.11563035e+00    1.99998711e+00
465      4.65000000e-06    1.09594909e+00    1.99998638e+00
466      4.66000000e-06    1.07897740e+00    1.99998795e+00
467      4.67000000e-06    1.06200570e+00    1.99998952e+00
468      4.68000000e-06    1.04876630e+00    1.99998821e+00
469      4.69000000e-06    1.03586608e+00    1.99998664e+00
470      4.70000000e-06    1.02542660e+00    1.99998685e+00
471      4.71000000e-06    1.01687893e+00    1.99998842e+00
472      4.72000000e-06    1.00930264e+00    1.99998931e+00
473      4.73000000e-06    1.00529373e+00    1.99998775e+00
474      4.74000000e-06    1.00128482e+00    1.99998618e+00
475      4.75000000e-06    1.00126679e+00    1.99998731e+00
476      4.76000000e-06    1.00188399e+00    1.99998888e+00
477      4.77000000e-06    1.00485988e+00    1.99998885e+00
478      4.78000000e-06    1.01008974e+00    1.99998728e+00
479      4.79000000e-06    1.01603947e+00    1.99998621e+00
