Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)         N(M1:VDS)         N(M1:VBS)         N(M1:VGS)        N(M1:VDSAT)   
60      -4.00000000e-02    0.00000000e+00    5.51572450e-09    1.82371567e-07    1.82371529e-07   -3.78077143e-14    3.04112172e-01    8.00000000e-02   -4.00000000e-02    4.00000000e-02    7.43114476e-02
61      -3.90000000e-02    0.00000000e+00    5.29288113e-09    1.75043860e-07    1.75043800e-07   -6.04565301e-14    3.04121408e-01    7.80000000e-02   -3.90000000e-02    3.90000000e-02    7.43105832e-02
62      -3.80000000e-02    0.00000000e+00    5.07749109e-09    1.67958545e-07    1.67958533e-07   -1.19074799e-14    3.04130499e-01    7.60000000e-02   -3.80000000e-02    3.80000000e-02    7.43097497e-02
63      -3.70000000e-02    0.00000000e+00    4.86925398e-09    1.61106064e-07    1.61106034e-07   -3.01443471e-14    3.04139439e-01    7.40000000e-02   -3.70000000e-02    3.70000000e-02    7.43089460e-02
64      -3.60000000e-02    0.00000000e+00    4.66787808e-09    1.54476881e-07    1.54476881e-07   -6.54343566e-16    3.04148224e-01    7.20000000e-02   -3.60000000e-02    3.60000000e-02    7.43081710e-02
65      -3.50000000e-02    0.00000000e+00    4.47307963e-09    1.48061916e-07    1.48061901e-07   -1.51973857e-14    3.04156850e-01    7.00000000e-02   -3.50000000e-02    3.50000000e-02    7.43074237e-02
66      -3.40000000e-02    0.00000000e+00    4.28458193e-09    1.41852133e-07    1.41852146e-07    1.27568241e-14    3.04165312e-01    6.80000000e-02   -3.40000000e-02    3.40000000e-02    7.43067031e-02
67      -3.30000000e-02    0.00000000e+00    4.10211449e-09    1.35838820e-07    1.35838860e-07    3.94802381e-14    3.04173605e-01    6.60000000e-02   -3.30000000e-02    3.30000000e-02    7.43060083e-02
68      -3.20000000e-02    0.00000000e+00    3.92541214e-09    1.30013462e-07    1.30013451e-07   -1.09909044e-14    3.04181725e-01    6.40000000e-02   -3.20000000e-02    3.20000000e-02    7.43053384e-02
69      -3.10000000e-02    0.00000000e+00    3.75421416e-09    1.24367530e-07    1.24367466e-07   -6.40907554e-14    3.04189668e-01    6.20000000e-02   -3.10000000e-02    3.10000000e-02    7.43046925e-02
