Index    TIME    V(5)mean    V(5)meanPlus    V(5)meanMinus    V(5)meanPlusTwoSigma    V(5)meanMinusTwoSigma    V(5)stddev    V(5)variance    V(5)quad_pce_mean    V(5)quad_pce_meanPlus    V(5)quad_pce_meanMinus    V(5)quad_pce_meanPlusTwoSigma    V(5)quad_pce_meanMinusTwoSigma    V(5)quad_pce_stddev    V(5)quad_pce_variance    V(2)mean    V(2)meanPlus    V(2)meanMinus    V(2)meanPlusTwoSigma    V(2)meanMinusTwoSigma    V(2)stddev    V(2)variance    V(2)quad_pce_mean    V(2)quad_pce_meanPlus    V(2)quad_pce_meanMinus    V(2)quad_pce_meanPlusTwoSigma    V(2)quad_pce_meanMinusTwoSigma    V(2)quad_pce_stddev    V(2)quad_pce_variance    
20   1.17000000e-09   2.50015200e+00   2.51426300e+00   2.48604000e+00   2.52837500e+00   2.47192900e+00   1.41114900e-02   1.99134200e-04   2.50165400e+00   2.50965200e+00   2.49365700e+00   2.51764900e+00   2.48565900e+00   7.99750000e-03   6.39600000e-05   2.50088400e+00   2.51595200e+00   2.48581600e+00   2.53102100e+00   2.47074700e+00   1.50683700e-02   2.27055700e-04   2.50251000e+00   2.51105400e+00   2.49396700e+00   2.51959700e+00   2.48542400e+00   8.54341700e-03   7.29899700e-05   
21   1.25000000e-09   2.50518500e+00   2.51904500e+00   2.49132600e+00   2.53290400e+00   2.47746600e+00   1.38594100e-02   1.92083300e-04   2.50663500e+00   2.51451200e+00   2.49875800e+00   2.52238900e+00   2.49088200e+00   7.87686000e-03   6.20449300e-05   2.50099600e+00   2.51629100e+00   2.48570000e+00   2.53158700e+00   2.47040500e+00   1.52954100e-02   2.33949600e-04   2.50264100e+00   2.51131500e+00   2.49396700e+00   2.51998900e+00   2.48529200e+00   8.67429500e-03   7.52434000e-05   
22   1.41000000e-09   2.51703800e+00   2.53056500e+00   2.50351200e+00   2.54409100e+00   2.48998500e+00   1.35265600e-02   1.82967900e-04   2.51839400e+00   2.52616100e+00   2.51062800e+00   2.53392800e+00   2.50286100e+00   7.76683500e-03   6.03237200e-05   2.49903500e+00   2.51488100e+00   2.48318900e+00   2.53072700e+00   2.46734300e+00   1.58460300e-02   2.51096800e-04   2.50073100e+00   2.50971600e+00   2.49174600e+00   2.51870000e+00   2.48276200e+00   8.98468000e-03   8.07244800e-05   
23   1.73000000e-09   2.55076700e+00   2.56508800e+00   2.53644700e+00   2.57940800e+00   2.52212700e+00   1.43202700e-02   2.05070100e-04   2.55203000e+00   2.56063400e+00   2.54342700e+00   2.56923800e+00   2.53482300e+00   8.60362300e-03   7.40223300e-05   2.48802400e+00   2.50678600e+00   2.46926200e+00   2.52554800e+00   2.45050000e+00   1.87619700e-02   3.52011700e-04   2.49005600e+00   2.50071300e+00   2.47939800e+00   2.51137100e+00   2.46874000e+00   1.06576800e-02   1.13586200e-04   
24   1.85467800e-09   2.56663000e+00   2.58330800e+00   2.54995300e+00   2.59998500e+00   2.53327500e+00   1.66774500e-02   2.78137400e-04   2.56805700e+00   2.57825900e+00   2.55785600e+00   2.58846000e+00   2.54765500e+00   1.02013100e-02   1.04066700e-04   2.48954400e+00   2.51223600e+00   2.46685100e+00   2.53492900e+00   2.44415900e+00   2.26924900e-02   5.14949000e-04   2.49204200e+00   2.50494400e+00   2.47914000e+00   2.51784500e+00   2.46623800e+00   1.29019000e-02   1.66459000e-04   
25   1.87352000e-09   2.56871900e+00   2.58584400e+00   2.55159400e+00   2.60297000e+00   2.53446800e+00   1.71253600e-02   2.93277900e-04   2.57018200e+00   2.58067400e+00   2.55969000e+00   2.59116700e+00   2.54919700e+00   1.04923500e-02   1.10089400e-04   2.49646100e+00   2.52036400e+00   2.47255800e+00   2.54426700e+00   2.44865500e+00   2.39030800e-02   5.71357000e-04   2.49911500e+00   2.51271100e+00   2.48551900e+00   2.52630700e+00   2.47192300e+00   1.35959900e-02   1.84850900e-04   
26   1.89236200e-09   2.57067800e+00   2.58829300e+00   2.55306400e+00   2.60590700e+00   2.53545000e+00   1.76143300e-02   3.10264500e-04   2.57218300e+00   2.58298800e+00   2.56137700e+00   2.59379400e+00   2.55057200e+00   1.08054200e-02   1.16757100e-04   2.50478200e+00   2.53017100e+00   2.47939300e+00   2.55556100e+00   2.45400400e+00   2.53892600e-02   6.44614400e-04   2.50762100e+00   2.52206600e+00   2.49317600e+00   2.53651100e+00   2.47873100e+00   1.44448400e-02   2.08653300e-04   
27   1.91120400e-09   2.57236800e+00   2.59055100e+00   2.55418400e+00   2.60873500e+00   2.53600100e+00   1.81834100e-02   3.30636500e-04   2.57392400e+00   2.58508500e+00   2.56276200e+00   2.59624700e+00   2.55160000e+00   1.11616700e-02   1.24582900e-04   2.51458300e+00   2.54186800e+00   2.48729800e+00   2.56915400e+00   2.46001300e+00   2.72852400e-02   7.44484300e-04   2.51765100e+00   2.53317300e+00   2.50212900e+00   2.54869500e+00   2.48660700e+00   1.55220400e-02   2.40933600e-04   
28   1.94888900e-09   2.57450100e+00   2.59408800e+00   2.55491300e+00   2.61367500e+00   2.53532600e+00   1.95873200e-02   3.83663100e-04   2.57619500e+00   2.58820900e+00   2.56418200e+00   2.60022300e+00   2.55216800e+00   1.20136400e-02   1.44327600e-04   2.53663000e+00   2.56866600e+00   2.50459300e+00   2.60070300e+00   2.47255600e+00   3.20366200e-02   1.02634500e-03   2.54022800e+00   2.55844500e+00   2.52201000e+00   2.57666300e+00   2.50379300e+00   1.82175200e-02   3.31877900e-04   
29   2.00000000e-09   2.57425400e+00   2.59651000e+00   2.55199900e+00   2.61876500e+00   2.52974300e+00   2.22555800e-02   4.95310700e-04   2.57621300e+00   2.58977400e+00   2.56265100e+00   2.60333600e+00   2.54909000e+00   1.35614700e-02   1.83913500e-04   2.57419000e+00   2.61525500e+00   2.53312400e+00   2.65632000e+00   2.49205900e+00   4.10651900e-02   1.68635000e-03   2.57845800e+00   2.60183300e+00   2.55508200e+00   2.62520900e+00   2.53170700e+00   2.33755000e-02   5.46413900e-04   
30   2.00753700e-09   2.57373900e+00   2.59649300e+00   2.55098600e+00   2.61924600e+00   2.52823300e+00   2.27531500e-02   5.17705900e-04   2.57575600e+00   2.58959600e+00   2.56191600e+00   2.60343600e+00   2.54807600e+00   1.38401400e-02   1.91549400e-04   2.57924500e+00   2.62195300e+00   2.53653600e+00   2.66466200e+00   2.49382700e+00   4.27086400e-02   1.82402800e-03   2.58368600e+00   2.60802700e+00   2.55934600e+00   2.63236700e+00   2.53500500e+00   2.43405700e-02   5.92463500e-04   
31   2.01432000e-09   2.57309200e+00   2.59630500e+00   2.54987900e+00   2.61951900e+00   2.52666500e+00   2.32132700e-02   5.38855800e-04   2.57516900e+00   2.58926300e+00   2.56107500e+00   2.60335600e+00   2.54698200e+00   1.40936700e-02   1.98631600e-04   2.58263100e+00   2.62671800e+00   2.53854400e+00   2.67080500e+00   2.49445600e+00   4.40872800e-02   1.94368800e-03   2.58725000e+00   2.61241000e+00   2.56209000e+00   2.63756900e+00   2.53693100e+00   2.51596600e-02   6.33008500e-04   
32   2.02788700e-09   2.57138600e+00   2.59552700e+00   2.54724400e+00   2.61966900e+00   2.52310300e+00   2.41415100e-02   5.82812700e-04   2.57359100e+00   2.58819000e+00   2.55899200e+00   2.60279000e+00   2.54439200e+00   1.45993200e-02   2.13140200e-04   2.58560100e+00   2.63182500e+00   2.53937600e+00   2.67805000e+00   2.49315200e+00   4.62244300e-02   2.13669800e-03   2.59046900e+00   2.61691500e+00   2.56402400e+00   2.64336000e+00   2.53757800e+00   2.64454900e-02   6.99364100e-04   
33   2.05501900e-09   2.56553000e+00   2.59155500e+00   2.53950500e+00   2.61758100e+00   2.51347900e+00   2.60254000e-02   6.77321400e-04   2.56799800e+00   2.58361900e+00   2.55237700e+00   2.59924000e+00   2.53675600e+00   1.56209400e-02   2.44013700e-04   2.57304500e+00   2.61968400e+00   2.52640600e+00   2.66632300e+00   2.47976700e+00   4.66390900e-02   2.17520500e-03   2.57803300e+00   2.60471300e+00   2.55135400e+00   2.63139300e+00   2.52467400e+00   2.66796600e-02   7.11804400e-04   
