Index    TIME    {V(DRAIN)}_quad_pce_mean    {V(DRAIN)}_quad_pce_meanPlus    {V(DRAIN)}_quad_pce_meanMinus    {V(DRAIN)}_quad_pce_stddev    {V(DRAIN)}_quad_pce_variance    
125   4.80890500e-07   2.35311500e-04   4.95457400e-04   -2.48344200e-05   2.60145900e-04   6.76758900e-08   
126   4.83079000e-07   1.70498100e-04   3.39504900e-04   1.49125800e-06   1.69006800e-04   2.85633100e-08   
127   4.87456200e-07   1.01371100e-04   1.80739800e-04   2.20025000e-05   7.93686500e-05   6.29938200e-09   
128   4.96210500e-07   5.18241400e-05   7.66574400e-05   2.69908400e-05   2.48333000e-05   6.16692800e-10   
129   5.00000000e-07   4.27471600e-05   5.95136500e-05   2.59806700e-05   1.67664900e-05   2.81115300e-10   
130   5.01750900e-07   1.27993400e-07   2.26930400e-07   2.90562900e-08   9.89370700e-08   9.78854300e-15   
131   5.05252600e-07   9.18935800e-09   1.41885400e-08   4.19017800e-09   4.99918000e-09   2.49918000e-17   
132   5.12256000e-07   8.81284800e-09   1.34935000e-08   4.13219800e-09   4.68065000e-09   2.19084800e-17   
133   5.26262800e-07   9.18699200e-09   1.41841300e-08   4.18985700e-09   4.99713500e-09   2.49713600e-17   
134   5.54276600e-07   8.81333900e-09   1.34944900e-08   4.13219200e-09   4.68114700e-09   2.19131400e-17   
135   6.10304000e-07   9.18674700e-09   1.41836200e-08   4.18987800e-09   4.99686900e-09   2.49687000e-17   
136   7.10304000e-07   8.81346700e-09   1.34947400e-08   4.13219000e-09   4.68127600e-09   2.19143500e-17   
137   8.10304000e-07   9.18665500e-09   1.41834200e-08   4.18988600e-09   4.99676900e-09   2.49677000e-17   
138   9.00000000e-07   8.81356400e-09   1.34949400e-08   4.13218900e-09   4.68137400e-09   2.19152700e-17   
139   9.00625000e-07   -4.37013700e-05   -2.60742100e-05   -6.13285400e-05   1.76271600e-05   3.10716900e-10   
140   9.01875000e-07   -4.66893700e-05   -2.65621700e-05   -6.68165600e-05   2.01272000e-05   4.05104000e-10   
141   9.04375000e-07   -5.33376600e-05   -2.72482000e-05   -7.94271300e-05   2.60894600e-05   6.80660100e-10   
142   9.09375000e-07   -7.53435800e-05   -2.64591200e-05   -1.24228000e-04   4.88844600e-05   2.38969000e-09   
143   9.19375000e-07   -2.37628300e-04   2.22770600e-05   -4.97533600e-04   2.59905400e-04   6.75507900e-08   
144   9.24375000e-07   -5.52292600e-04   1.70906000e-04   -1.27549100e-03   7.23198600e-04   5.23016200e-07   
145   9.29375000e-07   -1.25816800e-03   5.68986200e-04   -3.08532300e-03   1.82715400e-03   3.33849300e-06   
146   9.34375000e-07   -2.56579700e-03   2.44980200e-03   -7.58139600e-03   5.01559900e-03   2.51562300e-05   
147   9.34891900e-07   -2.63814000e-03   3.00075500e-03   -8.27703500e-03   5.63889500e-03   3.17971300e-05   
148   9.35925800e-07   -2.68683700e-03   4.61258300e-03   -9.98625600e-03   7.29942000e-03   5.32815300e-05   
149   9.36959700e-07   -2.46854300e-03   7.53448700e-03   -1.24715700e-02   1.00030300e-02   1.00060600e-04   
150   9.37993600e-07   -1.77353600e-03   1.25653100e-02   -1.61123800e-02   1.43388400e-02   2.05602400e-04   
151   9.39027500e-07   -3.38259500e-04   2.06663200e-02   -2.13428400e-02   2.10045800e-02   4.41192500e-04   
152   9.40061400e-07   2.19468400e-03   3.28895500e-02   -2.85001800e-02   3.06948600e-02   9.42174700e-04   
153   9.41095200e-07   6.35830200e-03   5.05812700e-02   -3.78646700e-02   4.42229700e-02   1.95567100e-03   
154   9.42129100e-07   1.28616400e-02   7.54922100e-02   -4.97689400e-02   6.26305700e-02   3.92258900e-03   
155   9.43163000e-07   2.24091700e-02   1.09302400e-01   -6.44840200e-02   8.68931900e-02   7.55042700e-03   
156   9.44196900e-07   3.58147500e-02   1.53505500e-01   -8.18760000e-02   1.17690800e-01   1.38511100e-02   
157   9.45127400e-07   5.22208100e-02   2.03758800e-01   -9.93171600e-02   1.51538000e-01   2.29637600e-02   
158   9.45964800e-07   7.13520000e-02   2.58795200e-01   -1.16091200e-01   1.87443200e-01   3.51349700e-02   
159   9.46718500e-07   9.24245500e-02   3.16558800e-01   -1.31709700e-01   2.24134300e-01   5.02361800e-02   
160   9.46836000e-07   9.60805200e-02   3.26273500e-01   -1.34112500e-01   2.30193000e-01   5.29888300e-02   
161   9.47071100e-07   1.03479500e-01   3.45574900e-01   -1.38615900e-01   2.42095400e-01   5.86101700e-02   
