Index      TIME           V(1)           V(2)           V(3)           I(VMON)
99      9.38055259e-04   3.54185830e+02   1.84991501e+02   7.66529889e+01   2.70846280e+01   
100     9.48055259e-04   3.53507325e+02   1.86835666e+02   7.80493357e+01   2.71965825e+01   
101     9.58055259e-04   3.52826043e+02   1.88681525e+02   7.94541100e+01   2.73068538e+01   
102     9.68055259e-04   3.52142025e+02   1.90528844e+02   8.08670883e+01   2.74154389e+01   
103     9.78055259e-04   3.51455313e+02   1.92377386e+02   8.22880443e+01   2.75223353e+01   
104     9.88055259e-04   3.50765950e+02   1.94226910e+02   8.37167491e+01   2.76275403e+01   
105     9.98055259e-04   3.50073978e+02   1.96077178e+02   8.51529712e+01   2.77310517e+01   
106     1.00805526e-03   3.49379440e+02   1.97927946e+02   8.65964768e+01   2.78328673e+01   
107     1.01805526e-03   3.48682377e+02   1.99778961e+02   8.80470203e+01   2.79329851e+01   
108     1.02805526e-03   3.47982833e+02   2.01630002e+02   8.95043882e+01   2.80314034e+01   
109     1.03805526e-03   3.47280850e+02   2.03480807e+02   9.09683245e+01   2.81281206e+01   
110     1.04805526e-03   3.46576470e+02   2.05331115e+02   9.24385733e+01   2.82231354e+01   
111     1.05805526e-03   3.45869735e+02   2.07180693e+02   9.39149070e+01   2.83164466e+01   
112     1.06805526e-03   3.45160690e+02   2.09029286e+02   9.53970737e+01   2.84080532e+01   
113     1.07805526e-03   3.44449375e+02   2.10876642e+02   9.68848248e+01   2.84979543e+01   
114     1.08805526e-03   3.43735835e+02   2.12722508e+02   9.83779099e+01   2.85861495e+01   
115     1.09805526e-03   3.43020111e+02   2.14566630e+02   9.98760769e+01   2.86726384e+01   
116     1.10805526e-03   3.42302245e+02   2.16408755e+02   1.01379072e+02   2.87574207e+01   
117     1.11805526e-03   3.41582282e+02   2.18248626e+02   1.02886640e+02   2.88404964e+01   
118     1.12805526e-03   3.40860263e+02   2.20085988e+02   1.04398525e+02   2.89218657e+01   
119     1.13805526e-03   3.40136232e+02   2.21920586e+02   1.05914469e+02   2.90015291e+01   
120     1.14805526e-03   3.39410229e+02   2.23752161e+02   1.07434213e+02   2.90794872e+01   
121     1.15805526e-03   3.38682300e+02   2.25580459e+02   1.08957496e+02   2.91557407e+01   
122     1.16805526e-03   3.37952485e+02   2.27405221e+02   1.10484059e+02   2.92302906e+01   
123     1.17805526e-03   3.37220828e+02   2.29226191e+02   1.12013638e+02   2.93031382e+01   
124     1.18805526e-03   3.36487371e+02   2.31043111e+02   1.13545972e+02   2.93742849e+01   
125     1.19805526e-03   3.35752156e+02   2.32855725e+02   1.15080796e+02   2.94437322e+01   
126     1.20805526e-03   3.35015227e+02   2.34663775e+02   1.16617847e+02   2.95114819e+01   
127     1.21805526e-03   3.34276624e+02   2.36467005e+02   1.18156861e+02   2.95775361e+01   
128     1.22805526e-03   3.33536392e+02   2.38265159e+02   1.19697571e+02   2.96418970e+01   
129     1.23805526e-03   3.32794572e+02   2.40057981e+02   1.21239713e+02   2.97045668e+01   
130     1.24805526e-03   3.32051206e+02   2.41845216e+02   1.22783022e+02   2.97655483e+01   
131     1.25805526e-03   3.31306337e+02   2.43626609e+02   1.24327232e+02   2.98248443e+01   
132     1.26805526e-03   3.30560006e+02   2.45401907e+02   1.25872076e+02   2.98824576e+01   
