Index        TIME             V(1S)            V(1)             V(2S)            V(2)             V(3S)            V(3)             V(4S)            V(4)
52      2.01500000e-09   1.55450000e+00   1.00000000e-03   1.36052408e-01   2.00000000e-03   1.10089955e+00   3.00000000e-03   1.41257836e+00   4.00000000e-03   
53      2.03000000e-09   1.55900000e+00   1.00000000e-03   1.42125246e-01   2.00000000e-03   1.10179820e+00   3.00000000e-03   1.41803901e+00   4.00000000e-03   
54      2.06000000e-09   1.56800000e+00   1.00000000e-03   1.54251079e-01   2.00000000e-03   1.10359281e+00   3.00000000e-03   1.42844227e+00   4.00000000e-03   
55      2.12000000e-09   1.58600000e+00   1.00000000e-03   1.78421631e-01   2.00000000e-03   1.10717128e+00   3.00000000e-03   1.44716381e+00   4.00000000e-03   
56      2.18000000e-09   1.60400000e+00   1.00000000e-03   2.02480725e-01   2.00000000e-03   1.11073546e+00   3.00000000e-03   1.46308337e+00   4.00000000e-03   
57      2.24000000e-09   1.62200000e+00   1.00000000e-03   2.26424407e-01   2.00000000e-03   1.11428541e+00   3.00000000e-03   1.47617803e+00   4.00000000e-03   
58      2.30000000e-09   1.64000000e+00   1.00000000e-03   2.50248744e-01   2.00000000e-03   1.11782119e+00   3.00000000e-03   1.48642896e+00   4.00000000e-03   
59      2.36000000e-09   1.65800000e+00   1.00000000e-03   2.73949822e-01   2.00000000e-03   1.12134286e+00   3.00000000e-03   1.49382141e+00   4.00000000e-03   
60      2.42000000e-09   1.67600000e+00   1.00000000e-03   2.97523747e-01   2.00000000e-03   1.12485047e+00   3.00000000e-03   1.49834473e+00   4.00000000e-03   
61      2.48000000e-09   1.69400000e+00   1.00000000e-03   3.20966645e-01   2.00000000e-03   1.12834408e+00   3.00000000e-03   1.49999243e+00   4.00000000e-03   
62      2.54000000e-09   1.71200000e+00   1.00000000e-03   3.44274667e-01   2.00000000e-03   1.13182374e+00   3.00000000e-03   1.49876213e+00   4.00000000e-03   
63      2.60000000e-09   1.73000000e+00   1.00000000e-03   3.67443981e-01   2.00000000e-03   1.13528950e+00   3.00000000e-03   1.49465560e+00   4.00000000e-03   
64      2.66000000e-09   1.74800000e+00   1.00000000e-03   3.90470782e-01   2.00000000e-03   1.13874144e+00   3.00000000e-03   1.48767876e+00   4.00000000e-03   
65      2.72000000e-09   1.76600000e+00   1.00000000e-03   4.13351286e-01   2.00000000e-03   1.14217959e+00   3.00000000e-03   1.47784164e+00   4.00000000e-03   
66      2.78000000e-09   1.78400000e+00   1.00000000e-03   4.36081735e-01   2.00000000e-03   1.14560402e+00   3.00000000e-03   1.46515840e+00   4.00000000e-03   
67      2.84000000e-09   1.80200000e+00   1.00000000e-03   4.58658395e-01   2.00000000e-03   1.14901478e+00   3.00000000e-03   1.44964730e+00   4.00000000e-03   
68      2.90000000e-09   1.82000000e+00   1.00000000e-03   4.81077555e-01   2.00000000e-03   1.15241192e+00   3.00000000e-03   1.43133066e+00   4.00000000e-03   
69      2.96000000e-09   1.83800000e+00   1.00000000e-03   5.03335532e-01   2.00000000e-03   1.15579550e+00   3.00000000e-03   1.41023483e+00   4.00000000e-03   
70      3.02000000e-09   1.85600000e+00   1.00000000e-03   5.25428671e-01   2.00000000e-03   1.15916557e+00   3.00000000e-03   1.38639018e+00   4.00000000e-03   
71      3.08000000e-09   1.87400000e+00   1.00000000e-03   5.47353340e-01   2.00000000e-03   1.16252219e+00   3.00000000e-03   1.35983102e+00   4.00000000e-03   
72      3.14000000e-09   1.89200000e+00   1.00000000e-03   5.69105939e-01   2.00000000e-03   1.16586541e+00   3.00000000e-03   1.33059557e+00   4.00000000e-03   
73      3.20000000e-09   1.91000000e+00   1.00000000e-03   5.90682893e-01   2.00000000e-03   1.16919529e+00   3.00000000e-03   1.29872590e+00   4.00000000e-03   
74      3.26000000e-09   1.92800000e+00   1.00000000e-03   6.12080658e-01   2.00000000e-03   1.17251187e+00   3.00000000e-03   1.26426787e+00   4.00000000e-03   
75      3.32000000e-09   1.94600000e+00   1.00000000e-03   6.33295718e-01   2.00000000e-03   1.17581521e+00   3.00000000e-03   1.22727108e+00   4.00000000e-03   
76      3.38000000e-09   1.96400000e+00   1.00000000e-03   6.54324587e-01   2.00000000e-03   1.17910537e+00   3.00000000e-03   1.18778875e+00   4.00000000e-03   
77      3.44000000e-09   1.98200000e+00   1.00000000e-03   6.75163811e-01   2.00000000e-03   1.18238239e+00   3.00000000e-03   1.14587771e+00   4.00000000e-03   
