Index        TIME               V(VOUT)              V(IN)       
158      3.0105022828e-06    7.6360652212e-06    2.0000010933e+00
159      3.0107197800e-06   -4.8278716498e-06    1.9999984178e+00
160      3.0111547744e-06    3.8679864032e-06    2.0000015532e+00
161      3.0120247632e-06   -3.4639186002e-06    1.9999984756e+00
162      3.0137647408e-06    3.2789557741e-06    2.0000015030e+00
163      3.0172446960e-06   -3.1902459308e-06    1.9999985081e+00
164      3.0242046064e-06    3.1468528096e-06    2.0000014859e+00
165      3.0381244272e-06   -3.1253715466e-06    1.9999985170e+00
166      3.0659640688e-06    3.1146970976e-06    2.0000014815e+00
167      3.1216433519e-06   -3.1093655190e-06    1.9999985193e+00
168      3.2330019181e-06    3.1067114283e-06    2.0000014803e+00
169      3.4557190506e-06   -3.1053771632e-06    1.9999985199e+00
170      3.7567190506e-06    3.1043996514e-06    2.0000014800e+00
171      4.0577190506e-06   -3.1034117077e-06    1.9999985201e+00
172      4.3587190506e-06    3.1024348251e-06    2.0000014797e+00
173      4.5100000000e-06   -3.1004760484e-06    1.9999985206e+00
174      4.5100312500e-06   -2.6356179758e-04    1.9931841213e+00
175      4.5100625000e-06   -5.0002274413e-04    1.9832805885e+00
176      4.5100937500e-06   -7.0050788547e-04    1.9724072486e+00
177      4.5101562500e-06   -8.8883720660e-04    1.9480122285e+00
178      4.5102812500e-06   -9.5553037007e-04    1.8979174076e+00
179      4.5104062500e-06   -1.0155271590e-03    1.8478976413e+00
180      4.5106562500e-06   -1.1899177697e-03    1.7478076749e+00
181      4.5111562500e-06   -1.8500477815e-03    1.5476738431e+00
182      4.5121562500e-06   -1.2011547409e-02    1.1468257265e+00
183      4.5124062500e-06   -1.5255462371e-02    1.0464557037e+00
184      4.5126730454e-06   -1.3009836287e-02    9.3985643079e-01
185      4.5127703370e-06   -9.1317398948e-03    9.0126753240e-01
186      4.5128676287e-06   -1.9660570729e-03    8.6309163933e-01
187      4.5128971743e-06    2.1067104816e-03    8.5153457437e-01
188      4.5129267200e-06    6.7209179520e-03    8.4005796908e-01
189      4.5129858113e-06    1.9721705433e-02    8.1717716794e-01
190      4.5130449025e-06    3.8838045683e-02    7.9443096459e-01
191      4.5131039938e-06    6.5422953720e-02    7.7182388178e-01
192      4.5131630851e-06    1.0056772416e-01    7.4932936776e-01
193      4.5132221764e-06    1.4498649639e-01    7.2690722765e-01
