Index       V(2)              V(1)             I(VDS)      
130      1.60000000e-01    6.00000000e-01   -8.14162710e-04
131      1.80000000e-01    6.00000000e-01   -8.57305220e-04
132      2.00000000e-01    6.00000000e-01   -8.95406842e-04
133      2.20000000e-01    6.00000000e-01   -9.29900079e-04
134      2.40000000e-01    6.00000000e-01   -9.61712920e-04
135      2.60000000e-01    6.00000000e-01   -9.91447014e-04
136      2.80000000e-01    6.00000000e-01   -1.01951060e-03
137      3.00000000e-01    6.00000000e-01   -1.04619610e-03
138      3.20000000e-01    6.00000000e-01   -1.07172274e-03
139      3.40000000e-01    6.00000000e-01   -1.09626066e-03
140      3.60000000e-01    6.00000000e-01   -1.11994533e-03
141      3.80000000e-01    6.00000000e-01   -1.14288673e-03
142      4.00000000e-01    6.00000000e-01   -1.16517554e-03
143      4.20000000e-01    6.00000000e-01   -1.18688745e-03
144      4.40000000e-01    6.00000000e-01   -1.20808634e-03
145      4.60000000e-01    6.00000000e-01   -1.22882659e-03
146      4.80000000e-01    6.00000000e-01   -1.24915488e-03
147      5.00000000e-01    6.00000000e-01   -1.26911157e-03
148      5.20000000e-01    6.00000000e-01   -1.28873176e-03
149      5.40000000e-01    6.00000000e-01   -1.30804619e-03
150      5.60000000e-01    6.00000000e-01   -1.32708189e-03
151      5.80000000e-01    6.00000000e-01   -1.34586276e-03
152      6.00000000e-01    6.00000000e-01   -1.36441003e-03
153      6.20000000e-01    6.00000000e-01   -1.38274264e-03
154      6.40000000e-01    6.00000000e-01   -1.40087752e-03
155      6.60000000e-01    6.00000000e-01   -1.41882992e-03
156      6.80000000e-01    6.00000000e-01   -1.43661357e-03
157      7.00000000e-01    6.00000000e-01   -1.45424087e-03
158      7.20000000e-01    6.00000000e-01   -1.47172309e-03
159      7.40000000e-01    6.00000000e-01   -1.48907048e-03
160      7.60000000e-01    6.00000000e-01   -1.50629238e-03
161      7.80000000e-01    6.00000000e-01   -1.52339733e-03
162      8.00000000e-01    6.00000000e-01   -1.54039316e-03
163      8.20000000e-01    6.00000000e-01   -1.55728705e-03
164      8.40000000e-01    6.00000000e-01   -1.57408562e-03
165      8.60000000e-01    6.00000000e-01   -1.59079496e-03
166      8.80000000e-01    6.00000000e-01   -1.60742073e-03
167      9.00000000e-01    6.00000000e-01   -1.62396812e-03
168      9.20000000e-01    6.00000000e-01   -1.64044200e-03
169      9.40000000e-01    6.00000000e-01   -1.65684685e-03
170      9.60000000e-01    6.00000000e-01   -1.67318688e-03
171      9.80000000e-01    6.00000000e-01   -1.68946601e-03
172      1.00000000e+00    6.00000000e-01   -1.70568790e-03
173      1.02000000e+00    6.00000000e-01   -1.72185602e-03
174      1.04000000e+00    6.00000000e-01   -1.73797362e-03
175      1.06000000e+00    6.00000000e-01   -1.75404379e-03
176      1.08000000e+00    6.00000000e-01   -1.77006950e-03
177      1.10000000e+00    6.00000000e-01   -1.78605359e-03
178      1.12000000e+00    6.00000000e-01   -1.80199881e-03
179      1.14000000e+00    6.00000000e-01   -1.81790786e-03
180      1.16000000e+00    6.00000000e-01   -1.83378341e-03
181      1.18000000e+00    6.00000000e-01   -1.84962815e-03
182      1.20000000e+00    6.00000000e-01   -1.86544480e-03
183      0.00000000e+00    8.00000000e-01    0.00000000e+00
184      2.00000000e-02    8.00000000e-01   -2.91776678e-04
185      4.00000000e-02    8.00000000e-01   -5.51485384e-04
186      6.00000000e-02    8.00000000e-01   -7.82384341e-04
187      8.00000000e-02    8.00000000e-01   -9.87336929e-04
188      1.00000000e-01    8.00000000e-01   -1.16888597e-03
189      1.20000000e-01    8.00000000e-01   -1.32932190e-03
190      1.40000000e-01    8.00000000e-01   -1.47074991e-03
191      1.60000000e-01    8.00000000e-01   -1.59516035e-03
192      1.80000000e-01    8.00000000e-01   -1.70450130e-03
193      2.00000000e-01    8.00000000e-01   -1.80073813e-03
194      2.20000000e-01    8.00000000e-01   -1.88586234e-03
195      2.40000000e-01    8.00000000e-01   -1.96181197e-03
196      2.60000000e-01    8.00000000e-01   -2.03032871e-03
197      2.80000000e-01    8.00000000e-01   -2.09284797e-03
198      3.00000000e-01    8.00000000e-01   -2.15048522e-03
199      3.20000000e-01    8.00000000e-01   -2.20409048e-03
