Index       TIME             V(VDD)             V(IN)            V(OUT)      
130      4.95468449e-10    1.00000000e+00    1.00000000e+00    6.82776710e-03
131      5.05570293e-10    1.00000000e+00    1.00000000e+00    1.79853611e-03
132      5.15672137e-10    1.00000000e+00    1.00000000e+00    4.65195049e-04
133      5.35875825e-10    1.00000000e+00    1.00000000e+00   -3.86728962e-05
134      5.54059144e-10    1.00000000e+00    1.00000000e+00    2.10645801e-06
135      5.90425782e-10    1.00000000e+00    1.00000000e+00   -1.91671549e-07
136      6.26792420e-10    1.00000000e+00    1.00000000e+00    6.40673298e-07
137      6.99525697e-10    1.00000000e+00    1.00000000e+00    2.81379320e-07
138      8.44992250e-10    1.00000000e+00    1.00000000e+00    5.27413219e-07
139      1.02000000e-09    1.00000000e+00    1.00000000e+00    3.29575003e-07
140      1.02187602e-09    1.00000000e+00    9.95309948e-01   -1.01734102e-03
141      1.02347434e-09    1.00000000e+00    9.91314151e-01   -1.74695109e-03
142      1.02507266e-09    1.00000000e+00    9.87318353e-01   -2.41441298e-03
143      1.02826930e-09    1.00000000e+00    9.79326758e-01   -3.43840122e-03
144      1.03466257e-09    1.00000000e+00    9.63343568e-01   -4.68226162e-03
145      1.04744913e-09    1.00000000e+00    9.31377187e-01   -5.71230299e-03
146      1.06000000e-09    1.00000000e+00    9.00000000e-01   -6.05681927e-03
147      1.06075102e-09    1.00000000e+00    8.92489826e-01   -7.46164602e-03
148      1.06134803e-09    1.00000000e+00    8.86519719e-01   -8.51699482e-03
149      1.06194504e-09    1.00000000e+00    8.80549612e-01   -9.54307154e-03
150      1.06313906e-09    1.00000000e+00    8.68609397e-01   -1.14328250e-02
151      1.06552710e-09    1.00000000e+00    8.44728969e-01   -1.46730534e-02
152      1.07030319e-09    1.00000000e+00    7.96968111e-01   -1.96082675e-02
153      1.07985536e-09    1.00000000e+00    7.01446397e-01   -2.45537190e-02
154      1.08940753e-09    1.00000000e+00    6.05924682e-01   -1.60323973e-02
155      1.09068310e-09    1.00000000e+00    5.93168982e-01   -1.27949693e-02
156      1.09195867e-09    1.00000000e+00    5.80413283e-01   -9.22906661e-03
157      1.09450981e-09    1.00000000e+00    5.54901884e-01   -2.74480328e-05
158      1.09706095e-09    1.00000000e+00    5.29390485e-01    1.18725883e-02
159      1.09961209e-09    1.00000000e+00    5.03879086e-01    2.69725646e-02
160      1.10216323e-09    1.00000000e+00    4.78367687e-01    4.57100170e-02
161      1.10471437e-09    1.00000000e+00    4.52856288e-01    6.86143964e-02
162      1.10726551e-09    1.00000000e+00    4.27344890e-01    9.61105553e-02
163      1.10981665e-09    1.00000000e+00    4.01833491e-01    1.28383467e-01
164      1.11236779e-09    1.00000000e+00    3.76322092e-01    1.65356927e-01
165      1.11491893e-09    1.00000000e+00    3.50810693e-01    2.06754201e-01
166      1.11747007e-09    1.00000000e+00    3.25299294e-01    2.52199675e-01
167      1.12002121e-09    1.00000000e+00    2.99787895e-01    3.01264959e-01
168      1.12257235e-09    1.00000000e+00    2.74276496e-01    3.53487282e-01
169      1.12512349e-09    1.00000000e+00    2.48765097e-01    4.08382246e-01
170      1.12767463e-09    1.00000000e+00    2.23253698e-01    4.65443114e-01
171      1.13277691e-09    1.00000000e+00    1.72230900e-01    5.83464354e-01
172      1.14000000e-09    1.00000000e+00    1.00000000e-01    7.45160114e-01
173      1.14032087e-09    1.00000000e+00    9.91978133e-02    7.52477715e-01
174      1.14057255e-09    1.00000000e+00    9.85686320e-02    7.58129708e-01
175      1.14082422e-09    1.00000000e+00    9.79394508e-02    7.63731611e-01
176      1.14132756e-09    1.00000000e+00    9.66810882e-02    7.74670229e-01
177      1.14233425e-09    1.00000000e+00    9.41643632e-02    7.95468791e-01
178      1.14434763e-09    1.00000000e+00    8.91309131e-02    8.32736005e-01
179      1.14636101e-09    1.00000000e+00    8.40974631e-02    8.64436514e-01
180      1.14837439e-09    1.00000000e+00    7.90640130e-02    8.90975187e-01
181      1.15038777e-09    1.00000000e+00    7.40305629e-02    9.12866278e-01
182      1.15240115e-09    1.00000000e+00    6.89971129e-02    9.30676246e-01
183      1.15441453e-09    1.00000000e+00    6.39636628e-02    9.44985409e-01
184      1.15642791e-09    1.00000000e+00    5.89302128e-02    9.56355243e-01
185      1.15844129e-09    1.00000000e+00    5.38967627e-02    9.65303476e-01
186      1.16045467e-09    1.00000000e+00    4.88633126e-02    9.72288858e-01
187      1.16448143e-09    1.00000000e+00    3.87964125e-02    9.81995863e-01
188      1.17253496e-09    1.00000000e+00    1.86626122e-02    9.91343623e-01
189      1.18000000e-09    1.00000000e+00    0.00000000e+00    9.93996004e-01
190      1.18080535e-09    1.00000000e+00    0.00000000e+00    9.94636360e-01
