Index     V(DRAIN)           V(GATE)        {-I(VDRAIN)}   
259    -4.2000e-02  -2.00000000e-01    -4.200e-08 
260    -4.1000e-02  -2.00000000e-01    -4.044e-08 
261    -4.0000e-02  -2.00000000e-01    -3.893e-08 
262    -3.9000e-02  -2.00000000e-01    -3.747e-08 
263    -3.8000e-02  -2.00000000e-01    -3.605e-08 
264    -3.7000e-02  -2.00000000e-01    -3.468e-08 
265    -3.6000e-02  -2.00000000e-01    -3.334e-08 
266    -3.5000e-02  -2.00000000e-01    -3.205e-08 
267    -3.4000e-02  -2.00000000e-01    -3.079e-08 
268    -3.3000e-02  -2.00000000e-01    -2.956e-08 
269    -3.2000e-02  -2.00000000e-01    -2.838e-08 
270    -3.1000e-02  -2.00000000e-01    -2.722e-08 
271    -3.0000e-02  -2.00000000e-01    -2.610e-08 
272    -2.9000e-02  -2.00000000e-01    -2.500e-08 
273    -2.8000e-02  -2.00000000e-01    -2.393e-08 
274    -2.7000e-02  -2.00000000e-01    -2.289e-08 
275    -2.6000e-02  -2.00000000e-01    -2.188e-08 
276    -2.5000e-02  -2.00000000e-01    -2.088e-08 
277    -2.4000e-02  -2.00000000e-01    -1.991e-08 
278    -2.3000e-02  -2.00000000e-01    -1.896e-08 
279    -2.2000e-02  -2.00000000e-01    -1.803e-08 
280    -2.1000e-02  -2.00000000e-01    -1.712e-08 
281    -2.0000e-02  -2.00000000e-01    -1.622e-08 
282    -1.9000e-02  -2.00000000e-01    -1.534e-08 
283    -1.8000e-02  -2.00000000e-01    -1.447e-08 
284    -1.7000e-02  -2.00000000e-01    -1.361e-08 
285    -1.6000e-02  -2.00000000e-01    -1.277e-08 
286    -1.5000e-02  -2.00000000e-01    -1.193e-08 
287    -1.4000e-02  -2.00000000e-01    -1.111e-08 
288    -1.3000e-02  -2.00000000e-01    -1.029e-08 
289    -1.2000e-02  -2.00000000e-01    -9.479e-09 
290    -1.1000e-02  -2.00000000e-01    -8.673e-09 
291    -1.0000e-02  -2.00000000e-01    -7.872e-09 
292    -9.0000e-03  -2.00000000e-01    -7.075e-09 
293    -8.0000e-03  -2.00000000e-01    -6.282e-09 
294    -7.0000e-03  -2.00000000e-01    -5.491e-09 
295    -6.0000e-03  -2.00000000e-01    -4.703e-09 
296    -5.0000e-03  -2.00000000e-01    -3.916e-09 
297    -4.0000e-03  -2.00000000e-01    -3.131e-09 
298    -3.0000e-03  -2.00000000e-01    -2.347e-09 
299    -2.0000e-03  -2.00000000e-01    -1.564e-09 
