Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)       N(M1:VDSSAT)   
78      -2.20000000e-02    0.00000000e+00    2.45143682e-09    8.13367691e-08    8.13412182e-08    0.00000000e+00    2.92265578e-01    7.48484441e-02
79      -2.10000000e-02    0.00000000e+00    2.31996766e-09    7.69886414e-08    7.69897230e-08    0.00000000e+00    2.92271464e-01    7.48479928e-02
80      -2.00000000e-02    0.00000000e+00    2.19144839e-09    7.27343041e-08    7.27344997e-08    0.00000000e+00    2.92277116e-01    7.48475578e-02
81      -1.90000000e-02    0.00000000e+00    2.06568321e-09    6.85683678e-08    6.85691543e-08    0.00000000e+00    2.92282530e-01    7.48471384e-02
82      -1.80000000e-02    0.00000000e+00    1.94248737e-09    6.44886572e-08    6.44876546e-08    0.00000000e+00    2.92287700e-01    7.48467341e-02
83      -1.70000000e-02    0.00000000e+00    1.82168713e-09    6.04885543e-08    6.04843301e-08    0.00000000e+00    2.92292622e-01    7.48463443e-02
84      -1.60000000e-02    0.00000000e+00    1.70311935e-09    5.65524206e-08    5.65538580e-08    0.00000000e+00    2.92297291e-01    7.48459685e-02
85      -1.50000000e-02    0.00000000e+00    1.58663074e-09    5.26925073e-08    5.26912386e-08    0.00000000e+00    2.92301703e-01    7.48456062e-02
86      -1.40000000e-02    0.00000000e+00    1.47207673e-09    4.88889911e-08    4.88917594e-08    0.00000000e+00    2.92305853e-01    7.48452570e-02
87      -1.30000000e-02    0.00000000e+00    1.35932026e-09    4.51499238e-08    4.51509536e-08    0.00000000e+00    2.92309737e-01    7.48449202e-02
88      -1.20000000e-02    0.00000000e+00    1.24823029e-09    4.14666458e-08    4.14645529e-08    0.00000000e+00    2.92313351e-01    7.48445956e-02
89      -1.10000000e-02    0.00000000e+00    1.13868041e-09    3.78291439e-08    3.78284393e-08    0.00000000e+00    2.92316690e-01    7.48442826e-02
90      -1.00000000e-02    0.00000000e+00    1.03054733e-09    3.42383091e-08    3.42385971e-08    0.00000000e+00    2.92319752e-01    7.48439808e-02
91      -9.00000000e-03    0.00000000e+00    9.23709532e-10    3.06905636e-08    3.06910680e-08    0.00000000e+00    2.92322534e-01    7.48436899e-02
92      -8.00000000e-03    0.00000000e+00    8.18046046e-10    2.71839725e-08    2.71819095e-08    0.00000000e+00    2.92325031e-01    7.48434094e-02
93      -7.00000000e-03    0.00000000e+00    7.13435343e-10    2.37044179e-08    2.37071595e-08    0.00000000e+00    2.92327241e-01    7.48431389e-02
94      -6.00000000e-03    0.00000000e+00    6.09754446e-10    2.02639485e-08    2.02628063e-08    0.00000000e+00    2.92329162e-01    7.48428780e-02
95      -5.00000000e-03    0.00000000e+00    5.06878242e-10    1.68470394e-08    1.68447663e-08    0.00000000e+00    2.92330791e-01    7.48426265e-02
96      -4.00000000e-03    0.00000000e+00    4.04679012e-10    1.34428134e-08    1.34488679e-08    0.00000000e+00    2.92332126e-01    7.48423840e-02
97      -3.00000000e-03    0.00000000e+00    3.03026194e-10    1.00726541e-08    1.00708447e-08    0.00000000e+00    2.92333167e-01    7.48421501e-02
98      -2.00000000e-03    0.00000000e+00    2.01786390e-10    6.70577835e-09    6.70633485e-09    0.00000000e+00    2.92333911e-01    7.48419245e-02
99      -1.00000000e-03    0.00000000e+00    1.00823645e-10    3.35438959e-09    3.35089133e-09    0.00000000e+00    2.92334357e-01    7.48417069e-02
100      0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.92334506e-01    7.48414971e-02
101      1.00000000e-03    0.00000000e+00    1.00823645e-10    3.35438959e-09    3.35089133e-09    0.00000000e+00    2.92334357e-01    7.48417069e-02
102      2.00000000e-03    0.00000000e+00    2.01786390e-10    6.70577835e-09    6.70633485e-09    0.00000000e+00    2.92333911e-01    7.48419245e-02
103      3.00000000e-03    0.00000000e+00    3.03026194e-10    1.00726541e-08    1.00708447e-08    0.00000000e+00    2.92333167e-01    7.48421501e-02
104      4.00000000e-03    0.00000000e+00    4.04679012e-10    1.34428134e-08    1.34488679e-08    0.00000000e+00    2.92332126e-01    7.48423840e-02
