Index       TIME              V(VI)             V(1)       
275      2.32513300e-06    2.22656708e+00    4.15504244e-01
276      2.32937252e-06    2.19549800e+00    4.59950521e-01
277      2.33361205e-06    2.16287116e+00    5.16388308e-01
278      2.33785158e-06    2.12870970e+00    5.92258934e-01
279      2.34209110e-06    2.09303786e+00    7.05697491e-01
280      2.34265261e-06    2.08820130e+00    7.25690732e-01
281      2.34321413e-06    2.08333875e+00    7.47400057e-01
282      2.34433715e-06    2.07353592e+00    7.97055546e-01
283      2.34546017e-06    2.06362984e+00    8.57078433e-01
284      2.34658320e-06    2.05362102e+00    9.29832933e-01
285      2.34770622e-06    2.04350994e+00    1.01649803e+00
286      2.34882925e-06    2.03329713e+00    1.11640959e+00
287      2.34995227e-06    2.02298308e+00    1.22664239e+00
288      2.35107529e-06    2.01256830e+00    1.34407806e+00
289      2.35332134e-06    1.99143866e+00    1.58985078e+00
290      2.35556739e-06    1.96991241e+00    1.83088376e+00
291      2.35781344e-06    1.94799385e+00    2.04139726e+00
292      2.35982189e-06    1.92806522e+00    2.18312930e+00
293      2.36153576e-06    1.91081671e+00    2.27040334e+00
294      2.36324962e-06    1.89334662e+00    2.33704025e+00
295      2.36496348e-06    1.87565699e+00    2.39045593e+00
296      2.36667734e-06    1.85774985e+00    2.43514935e+00
297      2.37010507e-06    1.82129140e+00    2.50742255e+00
298      2.37696052e-06    1.74585753e+00    2.61313283e+00
299      2.38381596e-06    1.66718493e+00    2.69038058e+00
300      2.39067141e-06    1.58541956e+00    2.75104877e+00
301      2.39752686e-06    1.50071310e+00    2.80030567e+00
302      2.40438231e-06    1.41322269e+00    2.84118054e+00
303      2.41123776e-06    1.32311062e+00    2.87531107e+00
304      2.41809321e-06    1.23054407e+00    2.90391797e+00
305      2.43180411e-06    1.03873862e+00    2.94713515e+00
306      2.44551501e-06    8.39228940e-01    2.97448069e+00
307      2.45922590e-06    6.33494776e-01    2.98766577e+00
308      2.47293680e-06    4.23062038e-01    2.99047950e+00
309      2.48664770e-06    2.09491487e-01    2.99104897e+00
310      2.50035860e-06   -5.63284200e-03    2.99154694e+00
311      2.52778039e-06   -4.34160919e-01    2.99233176e+00
312      2.55520219e-06   -8.49832351e-01    2.99296409e+00
313      2.58262399e-06   -1.24033802e+00    2.99343206e+00
314      2.61004578e-06   -1.59411402e+00    2.99381272e+00
315      2.63472540e-06   -1.87242236e+00    2.99405765e+00
316      2.65693705e-06   -2.08465048e+00    2.99424526e+00
317      2.67692754e-06   -2.24109843e+00    2.99435742e+00
318      2.69691803e-06   -2.36223649e+00    2.99445722e+00
319      2.71690852e-06   -2.44615604e+00    2.99450770e+00
320      2.73689901e-06   -2.49153489e+00    2.99454910e+00
321      2.75688950e-06   -2.49765805e+00    2.99454379e+00
322      2.77687999e-06   -2.46442906e+00    2.99453017e+00
323      2.79687048e-06   -2.39237145e+00    2.99446932e+00
324      2.81686097e-06   -2.28262055e+00    2.99439855e+00
325      2.83685146e-06   -2.13690554e+00    2.99427677e+00
326      2.85684195e-06   -1.95752225e+00    2.99414081e+00
327      2.87683244e-06   -1.74729699e+00    2.99394609e+00
328      2.89682293e-06   -1.50954197e+00    2.99372935e+00
329      2.91681341e-06   -1.24800318e+00    2.99344068e+00
330      2.93680390e-06   -9.66801328e-01    2.99311679e+00
331      2.95679439e-06   -6.70366917e-01    2.99269976e+00
332      2.97678488e-06   -3.63370459e-01    2.99222604e+00
333      2.99677537e-06   -5.06488731e-02    2.99162556e+00
334      3.03675635e-06    5.72248616e-01    2.98921349e+00
335      3.04201448e-06    6.52323345e-01    2.98701199e+00
336      3.05253074e-06    8.10250357e-01    2.97718289e+00
337      3.06304700e-06    9.64641113e-01    2.95915506e+00
338      3.07356326e-06    1.11482179e+00    2.93225409e+00
339      3.08407952e-06    1.26013695e+00    2.89541653e+00
340      3.09459578e-06    1.39995236e+00    2.84665872e+00
341      3.10511204e-06    1.53365783e+00    2.78245660e+00
342      3.11562830e-06    1.66066980e+00    2.69585646e+00
343      3.12614456e-06    1.78043395e+00    2.56991256e+00
344      3.12748193e-06    1.79511823e+00    2.54918648e+00
345      3.12881931e-06    1.80967575e+00    2.52676100e+00
346      3.13149406e-06    1.83840644e+00    2.47603085e+00
347      3.13416881e-06    1.86661789e+00    2.41394398e+00
348      3.13684357e-06    1.89430215e+00    2.33384606e+00
349      3.13951832e-06    1.92145140e+00    2.21973079e+00
350      3.14192560e-06    1.94542194e+00    2.06268123e+00
351      3.14386602e-06    1.96442002e+00    1.88788893e+00
352      3.14561239e-06    1.98126871e+00    1.70654195e+00
353      3.14735877e-06    1.99787886e+00    1.51467925e+00
354      3.14958633e-06    2.01871630e+00    1.27418751e+00
355      3.15181390e-06    2.03915830e+00    1.05770790e+00
356      3.15381870e-06    2.05721469e+00    9.02228428e-01
357      3.15561317e-06    2.07309990e+00    7.99479094e-01
358      3.15740764e-06    2.08872157e+00    7.23469484e-01
359      3.15920212e-06    2.10407772e+00    6.65050407e-01
360      3.16099659e-06    2.11916639e+00    6.18094985e-01
361      3.16279106e-06    2.13398566e+00    5.79007149e-01
362      3.16638000e-06    2.16280851e+00    5.16510023e-01
363      3.17355788e-06    2.21714087e+00    4.28218463e-01
364      3.18073576e-06    2.26696432e+00    3.67067876e-01
365      3.18791365e-06    2.31217753e+00    3.21801557e-01
366      3.19509153e-06    2.35268855e+00    2.87143439e-01
367      3.20226941e-06    2.38841499e+00    2.60177081e-01
368      3.20944729e-06    2.41928421e+00    2.39111593e-01
369      3.21662518e-06    2.44523342e+00    2.22784174e-01
370      3.22380306e-06    2.46620985e+00    2.10404131e-01
371      3.23098094e-06    2.48217084e+00    2.01434758e-01
372      3.23815882e-06    2.49308394e+00    1.95510818e-01
373      3.24533671e-06    2.49892694e+00    1.92407139e-01
374      3.25251459e-06    2.49968797e+00    1.92005581e-01
375      3.25969247e-06    2.49536548e+00    1.94293785e-01
376      3.26687036e-06    2.48596826e+00    1.99354142e-01
377      3.27404824e-06    2.47151542e+00    2.07381426e-01
378      3.28122612e-06    2.45203635e+00    2.18692080e-01
379      3.28840400e-06    2.42757067e+00    2.33769263e-01
380      3.29558189e-06    2.39816813e+00    2.53313658e-01
381      3.30275977e-06    2.36388852e+00    2.78361941e-01
382      3.30993765e-06    2.32480157e+00    3.10475891e-01
383      3.31711553e-06    2.28098675e+00    3.52158452e-01
384      3.32429342e-06    2.23253318e+00    4.07763579e-01
385      3.33147130e-06    2.17953938e+00    4.86055765e-01
386      3.33864918e-06    2.12211314e+00    6.09834420e-01
387      3.33942080e-06    2.11568082e+00    6.28210707e-01
388      3.34019241e-06    2.10919877e+00    6.48140454e-01
389      3.34173565e-06    2.09608609e+00    6.93834484e-01
390      3.34327888e-06    2.08277633e+00    7.50024525e-01
391      3.34482211e-06    2.06927076e+00    8.21555399e-01
392      3.34636534e-06    2.05557063e+00    9.14639477e-01
393      3.34790858e-06    2.04167724e+00    1.03358135e+00
394      3.34945181e-06    2.02759189e+00    1.17646898e+00
395      3.35099504e-06    2.01331590e+00    1.33550138e+00
396      3.35253827e-06    1.99885063e+00    1.50348403e+00
397      3.35562474e-06    1.96935766e+00    1.83675971e+00
